demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1260.447165412207,2732
global,global,1,living,2132.183370043865,2247
global,global,2,living,634.9964205175779,2899
global,global,3,living,2211.241879349971,1483
global,global,4,living,1065.647942050101,2955
global,global,5,living,-493.5130881890167,2044
global,global,6,living,1911.2910453285313,2818
global,global,7,living,2036.0085176468067,2815
global,global,8,living,1420.264696958569,3075
global,global,0,biodiversity,-642.2241465672192,2756
global,global,1,biodiversity,963.3968938788115,2467
global,global,2,biodiversity,571.5255971080355,2459
global,global,3,biodiversity,1116.0560824384302,2359
global,global,4,biodiversity,1894.6592845777723,2764
global,global,5,biodiversity,2142.4148083129867,2690
global,global,6,biodiversity,1983.8166523262892,3008
global,global,7,biodiversity,1558.679252381845,2757
global,global,8,biodiversity,2286.824210830222,2338
global,global,0,safety,1400.1497494923901,1860
global,global,1,safety,2149.70369672993,1716
global,global,2,safety,385.0749504750067,1269
global,global,3,safety,1466.588351726053,2328
global,global,4,safety,718.7938408826924,2120
global,global,5,safety,2265.8197932790786,1491
global,global,6,safety,1914.3692586332804,1882
global,global,7,safety,1674.8478147208211,2322
global,global,8,safety,1059.8662699180475,1646
gender,man,0,living,118.82778680300498,1365
gender,man,1,living,1847.220204873394,1081
gender,man,2,living,702.9367195394514,1551
gender,man,3,living,1948.8126048169954,750
gender,man,4,living,1607.5812879591613,1512
gender,man,5,living,1743.6901133079166,1150
gender,man,6,living,1631.5107224468907,1376
gender,man,7,living,2006.723970534739,1374
gender,man,8,living,1320.3544781520568,1609
gender,man,0,biodiversity,129.0561242531932,1423
gender,man,1,biodiversity,974.8352890385312,1344
gender,man,2,biodiversity,880.9092553757317,1254
gender,man,3,biodiversity,1824.0147089387735,1233
gender,man,4,biodiversity,1926.2435245135835,1451
gender,man,5,biodiversity,1886.8636000102042,1403
gender,man,6,biodiversity,1845.7417181539975,1620
gender,man,7,biodiversity,1560.4357273353744,1481
gender,man,8,biodiversity,2107.5050360147534,1209
gender,man,0,safety,999.4245706467628,912
gender,man,1,safety,1428.3353482298744,878
gender,man,2,safety,846.1921058003621,636
gender,man,3,safety,1939.7548780227546,1143
gender,man,4,safety,1147.3819444857054,1061
gender,man,5,safety,2015.8320684899318,751
gender,man,6,safety,1822.6353792215978,944
gender,man,7,safety,1893.381688344492,1114
gender,man,8,safety,578.7984753147406,799
gender,woman,0,living,1934.251256328155,1115
gender,woman,1,living,1876.774215020605,987
gender,woman,2,living,1546.5255205320098,1159
gender,woman,3,living,1611.3274589844195,598
gender,woman,4,living,1790.6483794239589,1147
gender,woman,5,living,-295.04167853311594,795
gender,woman,6,living,1030.904822499382,1199
gender,woman,7,living,1818.9769571214972,1179
gender,woman,8,living,1926.3101767941248,1257
gender,woman,0,biodiversity,1750.6853372641249,1065
gender,woman,1,biodiversity,1959.860687127848,990
gender,woman,2,biodiversity,462.21555281875044,955
gender,woman,3,biodiversity,-67.32927509465068,872
gender,woman,4,biodiversity,1388.073887194924,1039
gender,woman,5,biodiversity,1640.5651883650335,1086
gender,woman,6,biodiversity,1236.8852688681407,1194
gender,woman,7,biodiversity,2007.566880726767,1107
gender,woman,8,biodiversity,1882.8431635380682,922
gender,woman,0,safety,1702.2883404528473,730
gender,woman,1,safety,1832.5950666598371,671
gender,woman,2,safety,1146.2932722455955,566
gender,woman,3,safety,925.4631151421723,890
gender,woman,4,safety,1581.299191499239,897
gender,woman,5,safety,1955.535276031335,605
gender,woman,6,safety,1303.4225258866804,786
gender,woman,7,safety,884.1540276365487,957
gender,woman,8,safety,1614.540321741156,700
gender,other,0,living,1565.7663139938202,11
gender,other,1,living,1431.3862048403487,14
gender,other,2,living,1501.3157022585513,18
gender,other,3,living,1511.915943961033,15
gender,other,4,living,1474.3030224027264,26
gender,other,5,living,1550.5111352899885,16
gender,other,6,living,1492.5425058865862,13
gender,other,7,living,1535.4247991037137,15
gender,other,8,living,1455.450843881468,26
gender,other,0,biodiversity,1474.7187307439813,10
gender,other,1,biodiversity,1559.9999524174452,5
gender,other,2,biodiversity,1500.0428461891947,12
gender,other,3,biodiversity,1547.9587357048501,12
gender,other,4,biodiversity,1464.0,7
gender,other,5,biodiversity,1487.9984704011924,9
gender,other,6,biodiversity,1425.4797493150454,6
gender,other,7,biodiversity,1522.8052726394442,12
gender,other,8,biodiversity,1512.041366291508,11
gender,other,0,safety,1427.232610263906,12
gender,other,1,safety,1513.6788920639733,9
gender,other,2,safety,1524.0316619940807,10
gender,other,3,safety,1450.7767787192965,10
gender,other,4,safety,1569.132398411381,8
gender,other,5,safety,1548.7852716775315,18
gender,other,6,safety,1498.7646981015562,10
gender,other,7,safety,1473.6807615271387,8
gender,other,8,safety,1488.472599727401,15
age,younger,0,living,1086.9302544395548,775
age,younger,1,living,1667.5413894545468,609
age,younger,2,living,1798.8783561777125,898
age,younger,3,living,1732.9964925836957,430
age,younger,4,living,1106.7833757293595,878
age,younger,5,living,1692.061298016008,610
age,younger,6,living,1625.206817573514,839
age,younger,7,living,1907.5985795792078,755
age,younger,8,living,1044.2532879780429,910
age,younger,0,biodiversity,1439.0197893310467,783
age,younger,1,biodiversity,1560.9319660542183,699
age,younger,2,biodiversity,685.3903005401907,680
age,younger,3,biodiversity,1384.5402614779568,718
age,younger,4,biodiversity,1711.8006495585153,752
age,younger,5,biodiversity,1952.8036462769562,742
age,younger,6,biodiversity,1870.1953600199233,796
age,younger,7,biodiversity,1641.5441699582452,779
age,younger,8,biodiversity,1523.0456677651769,653
age,younger,0,safety,1730.9350254882377,520
age,younger,1,safety,1910.4713060385232,425
age,younger,2,safety,1376.9358648879045,373
age,younger,3,safety,1479.0724403234574,587
age,younger,4,safety,1614.6248888123343,635
age,younger,5,safety,1683.3836091005376,411
age,younger,6,safety,1543.1236943237636,516
age,younger,7,safety,1195.1781093460472,605
age,younger,8,safety,990.1088112024697,404
age,middle,0,living,1648.859433736728,1186
age,middle,1,living,1808.8937775386623,1042
age,middle,2,living,1255.905701975709,1232
age,middle,3,living,1949.9333031469282,669
age,middle,4,living,1890.1093686709726,1178
age,middle,5,living,51.850394920973464,855
age,middle,6,living,1669.7359611232985,1138
age,middle,7,living,1998.3466555308153,1172
age,middle,8,living,1976.1239283138157,1316
