demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,655.3521616207066,2813
global,global,1,living,749.603915539951,2677
global,global,2,living,1942.8047844930009,2772
global,global,3,living,1148.9067581752684,3094
global,global,4,living,2058.0142218612937,2580
global,global,5,living,1780.121788355873,2602
global,global,6,living,2486.722741773736,3453
global,global,7,living,1433.677824177587,2978
global,global,8,living,2381.721904525815,3021
global,global,0,biodiversity,1034.9368825849006,1868
global,global,1,biodiversity,2237.524148771206,1848
global,global,2,biodiversity,1561.2645760756384,1796
global,global,3,biodiversity,2089.827717041548,1853
global,global,4,biodiversity,968.4367583753017,1732
global,global,5,biodiversity,1435.0060340396303,1984
global,global,6,biodiversity,2012.586086515723,1751
global,global,7,biodiversity,659.2078735913491,2252
global,global,8,biodiversity,80.85396544727043,1936
global,global,0,safety,1350.269526115956,2647
global,global,1,safety,1675.9465093929716,1920
global,global,2,safety,2165.510553880215,1695
global,global,3,safety,571.6397979982305,2408
global,global,4,safety,1840.6289306846693,2643
global,global,5,safety,116.05580061531677,2310
global,global,6,safety,2009.048143345465,2116
global,global,7,safety,2109.83994170049,2223
global,global,8,safety,923.1993400013245,2328
gender,man,0,living,2060.588861981719,1505
gender,man,1,living,1554.3024115311316,1333
gender,man,2,living,1978.2874691023503,1491
gender,man,3,living,1036.263656712651,1572
gender,man,4,living,1745.1064593527883,1286
gender,man,5,living,1894.892252467467,1320
gender,man,6,living,1836.292241206205,1784
gender,man,7,living,1681.5306325561135,1582
gender,man,8,living,2028.7072468688318,1521
gender,man,0,biodiversity,1063.6411519355122,964
gender,man,1,biodiversity,2010.1963983351166,977
gender,man,2,biodiversity,1681.2951526230422,940
gender,man,3,biodiversity,1932.049630553039,927
gender,man,4,biodiversity,895.949561855538,862
gender,man,5,biodiversity,1802.1642356562188,1001
gender,man,6,biodiversity,1748.740274849314,886
gender,man,7,biodiversity,1207.0334232676655,1100
gender,man,8,biodiversity,1384.0028615324961,997
gender,man,0,safety,1676.4419558247346,1398
gender,man,1,safety,1848.4388353967724,992
gender,man,2,safety,2041.7717052889523,871
gender,man,3,safety,1693.579735586479,1232
gender,man,4,safety,1752.8775125920747,1295
gender,man,5,safety,1347.7517411184679,1150
gender,man,6,safety,1928.9196193747036,1116
gender,man,7,safety,1772.1938652652466,1219
gender,man,8,safety,1650.8886456028645,1103
gender,woman,0,living,477.87068833028087,1090
gender,woman,1,living,1778.8516667598233,1138
gender,woman,2,living,457.72735355416035,1026
gender,woman,3,living,1500.026168399491,1287
gender,woman,4,living,1889.9833141526904,1057
gender,woman,5,living,1745.652588735749,1025
gender,woman,6,living,2073.1831374798485,1379
gender,woman,7,living,1412.0311291274875,1167
gender,woman,8,living,1968.339276758627,1245
gender,woman,0,biodiversity,1683.816710973029,750
gender,woman,1,biodiversity,1723.7269613223482,748
gender,woman,2,biodiversity,1782.9848290723955,708
gender,woman,3,biodiversity,1830.7291820942537,728
gender,woman,4,biodiversity,1174.893681337939,655
gender,woman,5,biodiversity,1276.6211152934013,826
gender,woman,6,biodiversity,1892.3544698468716,679
gender,woman,7,biodiversity,1453.8384809039794,918
gender,woman,8,biodiversity,346.3227715125401,780
gender,woman,0,safety,1763.7006322524746,1053
gender,woman,1,safety,1854.0947887254756,795
gender,woman,2,safety,1927.304544761783,689
gender,woman,3,safety,1092.324033522205,995
gender,woman,4,safety,1837.1692901405183,1083
gender,woman,5,safety,1369.6369450473692,1004
gender,woman,6,safety,1607.521046175923,817
gender,woman,7,safety,1789.9725543418804,790
gender,woman,8,safety,1298.073621122262,1036
gender,other,0,living,1549.9836944544247,6
gender,other,1,living,1550.7081925926025,8
gender,other,2,living,1443.83699636611,13
gender,other,3,living,1514.2866948286664,17
gender,other,4,living,1491.2281722154355,15
gender,other,5,living,1493.9332258035145,25
gender,other,6,living,1525.99011481468,18
gender,other,7,living,1463.4340013070728,15
gender,other,8,living,1489.5836805764636,15
gender,other,0,biodiversity,1526.5475445801549,8
gender,other,1,biodiversity,1464.4785177673768,13
gender,other,2,biodiversity,1487.952558780169,15
gender,other,3,biodiversity,1545.656093388309,16
gender,other,4,biodiversity,1499.9318747355392,8
gender,other,5,biodiversity,1425.294804767143,12
gender,other,6,biodiversity,1569.17479857716,8
gender,other,7,biodiversity,1463.9691379047688,9
gender,other,8,biodiversity,1511.9245185855264,11
gender,other,0,safety,1487.7640422518868,17
gender,other,1,safety,1476.507809765974,14
gender,other,2,safety,1463.2215671352199,15
gender,other,3,safety,1512.093689394045,11
gender,other,4,safety,1499.9818795596932,12
gender,other,5,safety,1430.6317269362935,8
gender,other,6,safety,1548.0190686144792,8
gender,other,7,safety,1526.7814485973024,12
gender,other,8,safety,1559.228567538046,9
age,younger,0,living,2032.8944092125967,758
age,younger,1,living,1195.0702150171453,825
age,younger,2,living,1421.008322995668,744
age,younger,3,living,1683.1478630892016,874
age,younger,4,living,1124.4043691036347,668
age,younger,5,living,1453.2050138861762,772
age,younger,6,living,1891.4707833800683,927
age,younger,7,living,1555.852331170253,928
age,younger,8,living,1622.387343124094,862
age,younger,0,biodiversity,1349.7468877192855,555
age,younger,1,biodiversity,1685.643103966766,478
age,younger,2,biodiversity,1519.4577626931416,563
age,younger,3,biodiversity,1878.507537800372,462
age,younger,4,biodiversity,1745.7093866962161,470
age,younger,5,biodiversity,1216.1199113756036,557
age,younger,6,biodiversity,1597.819667206503,469
age,younger,7,biodiversity,1125.560583872015,600
age,younger,8,biodiversity,933.8111968862036,538
age,younger,0,safety,1133.1859697476903,758
age,younger,1,safety,1864.6934076491734,564
age,younger,2,safety,1562.371726515777,518
age,younger,3,safety,843.6986015122596,640
age,younger,4,safety,662.1774929224433,696
age,younger,5,safety,1252.890701709708,633
age,younger,6,safety,1811.3065974488366,644
age,younger,7,safety,1735.0807354637188,653
age,younger,8,safety,1702.9541224823506,626
age,middle,0,living,767.5732493967053,1239
age,middle,1,living,1777.029017469419,1098
age,middle,2,living,1418.7055878584304,1249
age,middle,3,living,1554.114527196292,1338
age,middle,4,living,2073.9990543025183,1079
age,middle,5,living,1747.6914377050928,1044
age,middle,6,living,1701.3387619711352,1464
age,middle,7,living,818.6734559056101,1202
age,middle,8,living,1820.8920109819283,1287
age,middle,0,biodiversity,1423.9077509451024,769
age,middle,1,biodiversity,1957.5381324986524,814
age,middle,2,biodiversity,1664.5653003272485,712
age,middle,3,biodiversity,1803.235833591138,775
age,middle,4,biodiversity,1345.2342702753285,737
age,middle,5,biodiversity,1732.2648744774858,855
