demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2123.425744514197,2166
global,global,1,living,2262.9165785346245,2144
global,global,2,living,1237.1664536943197,2423
global,global,3,living,1273.4199088341322,2334
global,global,4,living,337.93689221487494,1762
global,global,5,living,1948.897081915246,1814
global,global,6,living,714.5491251948996,2135
global,global,7,living,954.4921706775934,2456
global,global,8,living,1113.816910023771,2640
global,global,0,biodiversity,2113.5246497546927,2486
global,global,1,biodiversity,1584.2686066989081,2817
global,global,2,biodiversity,-168.66810611140494,1894
global,global,3,biodiversity,1698.5327944998796,2679
global,global,4,biodiversity,2002.400304495865,2392
global,global,5,biodiversity,643.1701074489691,2002
global,global,6,biodiversity,2286.0071419583874,1508
global,global,7,biodiversity,1690.31229465834,3053
global,global,8,biodiversity,1938.7022967153466,2561
global,global,0,safety,1555.9787924440902,2619
global,global,1,safety,2020.960550562061,2176
global,global,2,safety,-199.31408956384536,2853
global,global,3,safety,997.8552327068024,2720
global,global,4,safety,-767.1635279363804,1275
global,global,5,safety,1362.0508833569377,2159
global,global,6,safety,2189.313570885946,2522
global,global,7,safety,2438.7295325833384,2740
global,global,8,safety,1807.7600111164782,2970
gender,man,0,living,1925.1370448350435,1160
gender,man,1,living,1894.5935626977962,1021
gender,man,2,living,2009.7988786059657,1205
gender,man,3,living,1458.2791099496042,1265
gender,man,4,living,1414.9328831657951,913
gender,man,5,living,1693.9822756807514,1011
gender,man,6,living,1152.4668142956293,1122
gender,man,7,living,874.8997421887955,1243
gender,man,8,living,473.9302019842784,1332
gender,man,0,biodiversity,1804.2650005174246,1246
gender,man,1,biodiversity,1616.460462101128,1367
gender,man,2,biodiversity,-728.3950434431722,976
gender,man,3,biodiversity,1547.6939506841334,1335
gender,man,4,biodiversity,1995.6212659592184,1240
gender,man,5,biodiversity,1032.040407223257,1017
gender,man,6,biodiversity,1929.3913793475203,825
gender,man,7,biodiversity,1986.6881499474348,1576
gender,man,8,biodiversity,2036.3326442945586,1288
gender,man,0,safety,1908.8690246053789,1380
gender,man,1,safety,1937.3105008718146,1145
