demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2014.580418117693,2342
global,global,1,living,1583.5041922647258,2847
global,global,2,living,199.96039954672997,2396
global,global,3,living,706.6903943795589,2019
global,global,4,living,931.7971843459272,2907
global,global,5,living,2149.1519075910523,2118
global,global,6,living,2304.4870596558308,2218
global,global,7,living,-346.99322562086843,2100
global,global,8,living,1735.0005177960513,2329
global,global,0,biodiversity,1283.191936456821,2220
global,global,1,biodiversity,2129.388469882552,2280
global,global,2,biodiversity,1641.6780779444496,2844
global,global,3,biodiversity,2277.361519668502,2168
global,global,4,biodiversity,1042.4761503489765,2207
global,global,5,biodiversity,1961.9094047324422,2294
global,global,6,biodiversity,1878.4050959428694,1822
global,global,7,biodiversity,274.62445172478425,2490
global,global,8,biodiversity,1131.9306030092746,2835
global,global,0,safety,516.1995736242508,1707
global,global,1,safety,2295.9906264058764,2536
global,global,2,safety,839.4239178047885,3144
global,global,3,safety,1536.244012683811,2348
global,global,4,safety,1888.154368252791,2503
global,global,5,safety,2222.5307403382217,1581
global,global,6,safety,1443.3142184153837,2785
global,global,7,safety,677.3354997249644,1921
global,global,8,safety,2101.281302803951,2339
gender,man,0,living,1737.1797410575257,1213
gender,man,1,living,1253.7364275021741,1480
gender,man,2,living,1175.233769800335,1290
gender,man,3,living,1368.1595528300652,1072
gender,man,4,living,1017.8350377944212,1488
gender,man,5,living,2056.542700828408,1070
gender,man,6,living,1572.9113971416712,1123
gender,man,7,living,848.4547685809887,1082
gender,man,8,living,1634.3863264760553,1210
gender,man,0,biodiversity,1796.4136006689166,1095
gender,man,1,biodiversity,1854.1061687280117,1161
gender,man,2,biodiversity,233.86901591890287,1440
gender,man,3,biodiversity,1997.2955578226065,1111
gender,man,4,biodiversity,1045.3234278678956,1198
gender,man,5,biodiversity,1924.298358396849,1256
gender,man,6,biodiversity,1515.0669908655032,961
gender,man,7,biodiversity,1680.4740251873088,1295
gender,man,8,biodiversity,1255.852864360613,1441
gender,man,0,safety,506.9409777342244,859
gender,man,1,safety,1795.936122262715,1295
gender,man,2,safety,1500.5614923400617,1514
gender,man,3,safety,1892.1256121054541,1207
gender,man,4,safety,1453.6511162230984,1229
gender,man,5,safety,1856.3807862442238,823
gender,man,6,safety,1371.7139053933213,1376
gender,man,7,safety,319.87580958239187,979
gender,man,8,safety,2061.950140564213,1156
gender,woman,0,living,1821.8778003289326,910
gender,woman,1,living,1795.146362491066,1175
gender,woman,2,living,1062.0332775295783,959
gender,woman,3,living,1262.2854575792326,806
gender,woman,4,living,840.024559735676,1172
gender,woman,5,living,861.7139702873637,853
gender,woman,6,living,1907.8561157133097,878
gender,woman,7,living,1466.7207964893464,869
gender,woman,8,living,1940.4366488514415,888
gender,woman,0,biodiversity,1386.5542994417,901
gender,woman,1,biodiversity,1675.589142461374,914
gender,woman,2,biodiversity,1765.7784563797552,1186
gender,woman,3,biodiversity,1796.3045889257883,918
gender,woman,4,biodiversity,1004.4489635638325,921
gender,woman,5,biodiversity,1466.5687629333054,848
gender,woman,6,biodiversity,2039.1491086413646,725
gender,woman,7,biodiversity,1008.8825576265735,1005
gender,woman,8,biodiversity,683.8214024319678,1126
gender,woman,0,safety,1696.7770797267574,759
gender,woman,1,safety,2045.1964039338854,1024
gender,woman,2,safety,1413.964944859554,1273
gender,woman,3,safety,574.6645733401175,908
gender,woman,4,safety,1932.568024213815,961
gender,woman,5,safety,1977.3785617371943,674
gender,woman,6,safety,1578.376308543681,1109
gender,woman,7,safety,1274.3571746266462,752
gender,woman,8,safety,1545.5759096026975,954
gender,other,0,living,1512.2280874157211,9
gender,other,1,living,1523.1246226485248,8
gender,other,2,living,1558.3974631819688,15
gender,other,3,living,1425.9675894888187,10
gender,other,4,living,1475.9862335916491,10
gender,other,5,living,1451.0759473670446,10
gender,other,6,living,1483.9650129874497,11
gender,other,7,living,1488.0585817138021,17
gender,other,8,living,1570.7474434782614,10
gender,other,0,biodiversity,1521.231772773383,20
gender,other,1,biodiversity,1487.4110311424554,19
gender,other,2,biodiversity,1537.157796151749,15
gender,other,3,biodiversity,1451.2610864944736,12
gender,other,4,biodiversity,1503.4116329171877,18
gender,other,5,biodiversity,1464.3147321602407,7
gender,other,6,biodiversity,1547.8800895643774,8
gender,other,7,biodiversity,1425.4125113577427,10
gender,other,8,biodiversity,1561.8499980359825,9
gender,other,0,safety,1489.450016141742,19
gender,other,1,safety,1442.7827664619383,11
gender,other,2,safety,1445.3471597485973,20
gender,other,3,safety,1548.912074271132,12
gender,other,4,safety,1469.1255345636582,9
gender,other,5,safety,1499.7909740350078,14
gender,other,6,safety,1570.4794573566467,8
gender,other,7,safety,1525.9640122326286,10
gender,other,8,safety,1511.946091520387,17
age,younger,0,living,1776.737571442747,652
age,younger,1,living,1125.382499653687,778
age,younger,2,living,1676.3182746765397,685
age,younger,3,living,803.3558209557597,561
age,younger,4,living,1744.1984818249662,766
age,younger,5,living,1835.1860741358232,596
age,younger,6,living,878.500058109694,641
age,younger,7,living,1340.6368773318131,584
age,younger,8,living,1900.1887181922664,665
age,younger,0,biodiversity,1833.7416556264125,631
age,younger,1,biodiversity,1933.735914625503,602
age,younger,2,biodiversity,1575.4433062194162,840
age,younger,3,biodiversity,1570.66963937515,622
age,younger,4,biodiversity,1730.1654041645966,685
age,younger,5,biodiversity,1488.3845793054252,601
age,younger,6,biodiversity,1212.822610989342,523
age,younger,7,biodiversity,1533.1881441204694,709
age,younger,8,biodiversity,1419.4023566795056,765
age,younger,0,safety,1473.2326269228847,595
age,younger,1,safety,1380.7683866634943,668
age,younger,2,safety,1600.6958432019464,815
age,younger,3,safety,1881.8464976095381,722
age,younger,4,safety,1654.6420081136782,639
age,younger,5,safety,1756.2409469902643,474
age,younger,6,safety,1627.0219472743802,803
age,younger,7,safety,1494.5872991429171,520
age,younger,8,safety,1859.6622495141528,640
age,middle,0,living,1739.1497859896647,922
age,middle,1,living,1895.1487654050038,1311
age,middle,2,living,1227.5620638415649,1041
age,middle,3,living,1401.9329233183446,868
age,middle,4,living,838.9980589541287,1164
age,middle,5,living,1347.901273479397,935
age,middle,6,living,2027.3415644895076,940
age,middle,7,living,1078.2185490495242,911
age,middle,8,living,1843.4802137561135,916
age,middle,0,biodiversity,815.7970993536819,866
age,middle,1,biodiversity,1872.8332906843773,1043
age,middle,2,biodiversity,876.5183279073784,1232
age,middle,3,biodiversity,1852.582576378395,981
age,middle,4,biodiversity,1358.4166746279172,960
age,middle,5,biodiversity,2043.718548933171,1009
age,middle,6,biodiversity,1886.7214019842245,798
age,middle,7,biodiversity,1186.274659725315,1047
age,middle,8,biodiversity,1701.323094022315,1176
age,middle,0,safety,1099.9198097014448,682
age,middle,1,safety,1862.5179110428326,1131
age,middle,2,safety,608.7843140153187,1279
age,middle,3,safety,1192.94866188997,960
age,middle,4,safety,1700.1071239636644,1034
age,middle,5,safety,1947.6289020521094,644
age,middle,6,safety,1516.3687234895488,1132
age,middle,7,safety,708.2895527812708,795
age,middle,8,safety,1989.4800456536873,971
age,older,0,living,1567.9021056057309,547
age,older,1,living,1717.4601273273895,569
age,older,2,living,1192.283071093334,530
age,older,3,living,1664.905676050762,467
age,older,4,living,1700.746635894416,738
age,older,5,living,1739.6182478327564,388
age,older,6,living,1823.5038141155276,424
age,older,7,living,1456.8537601839505,473
age,older,8,living,1493.1397637323616,524
age,older,0,biodiversity,1533.1572742282422,514
age,older,1,biodiversity,1842.1376044753235,440
age,older,2,biodiversity,1182.037017273506,561
age,older,3,biodiversity,1798.35452865555,424
age,older,4,biodiversity,1476.3514955771732,485
age,older,5,biodiversity,1495.447050226771,489
age,older,6,biodiversity,1704.4448103741283,361
age,older,7,biodiversity,1427.7657814533768,545
age,older,8,biodiversity,1100.605194576962,629
age,older,0,safety,1493.9030818000476,348
age,older,1,safety,1817.0363111359673,518
age,older,2,safety,1631.0080148333698,715
age,older,3,safety,758.5107534681641,444
age,older,4,safety,1763.1914284884738,520
age,older,5,safety,1849.0594553647798,390
age,older,6,safety,1677.2711859500084,557
age,older,7,safety,1417.9747378966272,416
age,older,8,safety,1321.4030082594613,512
ethnicity,white,0,living,2089.8919959189734,1861
ethnicity,white,1,living,1829.8680870351486,2282
ethnicity,white,2,living,112.20602407241533,1932
ethnicity,white,3,living,741.3658525412676,1621
ethnicity,white,4,living,1234.6413800935463,2319
ethnicity,white,5,living,1956.4309237628006,1666
ethnicity,white,6,living,2177.141439441751,1705
ethnicity,white,7,living,-102.58011466134477,1709
ethnicity,white,8,living,2132.3030548556767,1787
ethnicity,white,0,biodiversity,1611.4538076875176,1752
ethnicity,white,1,biodiversity,2160.9984601108226,1799
ethnicity,white,2,biodiversity,1051.1938329958334,2239
