demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,-381.42965434713255,2499
global,global,1,living,-41.73105209135934,2110
global,global,2,living,2376.5913885097916,2941
global,global,3,living,793.7643080624141,2324
global,global,4,living,1610.3692431470804,2366
global,global,5,living,300.77336886805364,1443
global,global,6,living,2021.4005351659075,2836
global,global,7,living,2175.6907456809727,2347
global,global,8,living,2354.081957843543,1996
global,global,0,biodiversity,1647.207914382079,1728
global,global,1,biodiversity,918.3144496025728,2791
global,global,2,biodiversity,1292.6053141120167,2859
global,global,3,biodiversity,2046.8040903751084,1375
global,global,4,biodiversity,2232.2490532350794,2642
global,global,5,biodiversity,1191.0173315643733,2332
global,global,6,biodiversity,1765.3114494235053,2871
global,global,7,biodiversity,1894.0953949713487,2664
global,global,8,biodiversity,1168.0027465823039,2426
global,global,0,safety,1925.2577034102626,2268
global,global,1,safety,-494.3703733583498,1938
global,global,2,safety,2236.2436170689793,1788
global,global,3,safety,215.3424868965566,1758
global,global,4,safety,851.1215257994709,2929
global,global,5,safety,1181.0403354056068,2414
global,global,6,safety,1669.5210572862302,2764
global,global,7,safety,987.5182717739457,2902
global,global,8,safety,1515.3782021409877,1989
gender,man,0,living,1763.6637094984005,1279
gender,man,1,living,1246.0455224104094,1137
gender,man,2,living,1260.5997576422435,1499
gender,man,3,living,1333.2628271677588,1245
gender,man,4,living,1326.1652444486076,1246
gender,man,5,living,1093.2520559092357,748
gender,man,6,living,2103.082319958362,1415
gender,man,7,living,1910.642202645611,1154
gender,man,8,living,1824.5398084354053,939
gender,man,0,biodiversity,1759.7272958823412,869
gender,man,1,biodiversity,837.3979129300124,1425
gender,man,2,biodiversity,1047.6493854104997,1428
gender,man,3,biodiversity,1953.266484485453,723
gender,man,4,biodiversity,2016.6464083806552,1383
gender,man,5,biodiversity,175.64411356982095,1161
gender,man,6,biodiversity,1563.9341402007565,1458
gender,man,7,biodiversity,1658.481990218103,1381
gender,man,8,biodiversity,523.6965571119251,1208
gender,man,0,safety,1712.1841518006738,1174
gender,man,1,safety,785.5559939443791,1062
gender,man,2,safety,2041.9696476959064,924
gender,man,3,safety,1245.262030687292,1006
gender,man,4,safety,432.3051169410765,1434
gender,man,5,safety,1657.0285915062022,1308
gender,man,6,safety,1880.6291508854965,1428
gender,man,7,safety,899.3388956975891,1383
gender,man,8,safety,1741.1506628556137,1007
gender,woman,0,living,971.4354793969226,1050
gender,woman,1,living,1058.4798180096286,866
gender,woman,2,living,1962.7305535126716,1132
gender,woman,3,living,1820.1953230716724,909
gender,woman,4,living,1763.9886230670206,962
gender,woman,5,living,1019.7849322215933,615
gender,woman,6,living,601.8426486732385,1137
gender,woman,7,living,1783.0747533180447,922
gender,woman,8,living,1873.6008001258463,773
gender,woman,0,biodiversity,1456.950717466358,715
gender,woman,1,biodiversity,998.751622969231,1120
gender,woman,2,biodiversity,1741.1938625583539,1141
gender,woman,3,biodiversity,1951.236929818597,550
gender,woman,4,biodiversity,802.8326312519961,991
gender,woman,5,biodiversity,1867.2926111306592,984
gender,woman,6,biodiversity,1599.7460380961631,1146
gender,woman,7,biodiversity,1705.0042385884046,1054
gender,woman,8,biodiversity,1025.2667625846823,1031
gender,woman,0,safety,2031.9586235859035,879
gender,woman,1,safety,829.4596585684404,807
gender,woman,2,safety,1834.1528260945986,769
gender,woman,3,safety,784.0422612368312,670
gender,woman,4,safety,1502.524418282763,1186
gender,woman,5,safety,1339.657990670118,923
gender,woman,6,safety,1649.699258768933,1105
gender,woman,7,safety,1953.530982986673,1194
gender,woman,8,safety,1531.695104865433,837
gender,other,0,living,1524.0416241181517,10
gender,other,1,living,1515.2114464915524,15
gender,other,2,living,1438.2528601971865,11
gender,other,3,living,1453.6529849125995,10
gender,other,4,living,1560.000109093034,7
gender,other,5,living,1488.3177533725618,9
gender,other,6,living,1500.6624902116598,14
gender,other,7,living,1475.9441760636312,12
gender,other,8,living,1546.9310871246093,12
gender,other,0,biodiversity,1539.1823575801934,15
gender,other,1,biodiversity,1499.9168657317687,16
gender,other,2,biodiversity,1426.732097424104,6
gender,other,3,biodiversity,1572.812070999751,10
gender,other,4,biodiversity,1489.9987793027215,9
gender,other,5,biodiversity,1513.48368942136,13
gender,other,6,biodiversity,1489.2384072117493,15
gender,other,7,biodiversity,1451.8206234873594,24
gender,other,8,biodiversity,1524.4397132311828,16
gender,other,0,safety,1466.9594515482204,11
gender,other,1,safety,1476.4231092520806,10
gender,other,2,safety,1536.038315695742,13
gender,other,3,safety,1512.2251014161477,15
gender,other,4,safety,1517.1765011132213,13
gender,other,5,safety,1487.8671829958512,9
gender,other,6,safety,1503.672934359433,18
gender,other,7,safety,1564.0631834979406,19
gender,other,8,safety,1455.655394493043,6
age,younger,0,living,1361.71220561772,701
age,younger,1,living,1464.1871834022143,614
age,younger,2,living,1847.2054354498223,760
age,younger,3,living,1694.5377512579046,701
age,younger,4,living,948.7624920660667,645
age,younger,5,living,1480.6882711153737,512
age,younger,6,living,1324.3610755865216,816
age,younger,7,living,1910.3451236456115,625
age,younger,8,living,1788.545482604246,534
age,younger,0,biodiversity,1859.0310779054653,464
age,younger,1,biodiversity,917.8698637650249,740
age,younger,2,biodiversity,1345.5910025281016,821
age,younger,3,biodiversity,1898.5142949557628,344
age,younger,4,biodiversity,1582.0599500420644,720
age,younger,5,biodiversity,1446.698379466425,682
age,younger,6,biodiversity,1198.1335977199637,825
age,younger,7,biodiversity,1566.1031795191452,736
age,younger,8,biodiversity,870.2170388662926,622
age,younger,0,safety,1856.7478049314507,651
age,younger,1,safety,997.2699477875121,634
age,younger,2,safety,1947.6554152345727,486
age,younger,3,safety,1587.7542198352032,489
age,younger,4,safety,1088.0215352296686,830
age,younger,5,safety,671.463417912636,660
age,younger,6,safety,1222.079991732824,792
age,younger,7,safety,1403.6207736384126,824
age,younger,8,safety,1494.721373700806,554
age,middle,0,living,1783.1110647072715,1103
age,middle,1,living,707.8648675395646,948
age,middle,2,living,1122.1584778046467,1263
age,middle,3,living,1090.8892431067002,938
age,middle,4,living,1929.7320477697053,1029
age,middle,5,living,1301.9113132231728,605
age,middle,6,living,1944.995531304745,1124
age,middle,7,living,1452.1809820270016,939
age,middle,8,living,1797.3945764376224,771
age,middle,0,biodiversity,1134.2769327923054,730
age,middle,1,biodiversity,1927.6576112175048,1294
age,middle,2,biodiversity,1782.632173736517,1211
age,middle,3,biodiversity,1805.027272679132,594
age,middle,4,biodiversity,1991.4867820914483,1120
age,middle,5,biodiversity,669.6930333917618,942
age,middle,6,biodiversity,1300.7428046201796,1167
age,middle,7,biodiversity,1691.7028470423465,1141
age,middle,8,biodiversity,1507.7603689418181,1017
age,middle,0,safety,1772.3675554248152,958
age,middle,1,safety,985.9227156126689,835
age,middle,2,safety,1932.3557252363464,823
age,middle,3,safety,-54.99842302215711,761
age,middle,4,safety,398.0947486185085,1196
age,middle,5,safety,1880.225866158362,1031
age,middle,6,safety,1848.1510357523437,1160
age,middle,7,safety,1826.5690172237303,1213
age,middle,8,safety,1103.774836551179,835
age,older,0,living,1265.0859923020635,526
age,older,1,living,1371.9456793321435,444
age,older,2,living,1716.2101913345298,617
age,older,3,living,1582.2162000932108,516
age,older,4,living,1452.7761493672785,528
age,older,5,living,1022.1400801416555,252
age,older,6,living,1861.6773367706685,624
age,older,7,living,1758.495393466425,523
