demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1726.448946560618,3098
global,global,1,living,906.7849012391983,2684
global,global,2,living,-242.42856799060453,2556
global,global,3,living,2164.9858689872967,3284
global,global,4,living,590.1510120955778,2223
global,global,5,living,2043.2431521524206,2993
global,global,6,living,2326.0111450870886,2809
global,global,7,living,2386.603863852435,2420
global,global,8,living,1515.6659033674832,3055
global,global,0,biodiversity,1845.8556270781623,2060
global,global,1,biodiversity,2175.439109439119,2571
global,global,2,biodiversity,-99.81418953484491,2086
global,global,3,biodiversity,2088.3868575352003,3289
global,global,4,biodiversity,2311.418862398405,1528
global,global,5,biodiversity,2198.433046337917,2690
global,global,6,biodiversity,94.92567698171558,2391
global,global,7,biodiversity,1933.1676387996063,2495
global,global,8,biodiversity,1002.8960974921996,1998
global,global,0,safety,2171.444635635204,1427
global,global,1,safety,1242.6370691437967,1886
global,global,2,safety,255.50564805819258,1841
global,global,3,safety,1766.4110833916118,2193
global,global,4,safety,470.32080852323105,2008
global,global,5,safety,1906.7969182973738,1883
global,global,6,safety,1529.3513669247232,2411
global,global,7,safety,393.0758558875825,1411
global,global,8,safety,1689.086756850352,2010
gender,man,0,living,1779.7685301444676,1621
gender,man,1,living,1755.090738007633,1399
gender,man,2,living,1518.24684883129,1433
gender,man,3,living,1696.397422618888,1716
gender,man,4,living,1079.5301760514076,1148
gender,man,5,living,1470.9344508456995,1563
gender,man,6,living,1884.043622948624,1352
gender,man,7,living,2069.009191636527,1166
gender,man,8,living,1269.9706115108734,1638
gender,man,0,biodiversity,1701.9757983476695,978
gender,man,1,biodiversity,1678.6942523098912,1167
gender,man,2,biodiversity,265.39214103442987,1075
gender,man,3,biodiversity,1162.7507544231685,1648
gender,man,4,biodiversity,1961.4589697652302,815
gender,man,5,biodiversity,1998.3412004146753,1367
gender,man,6,biodiversity,1541.9120108954824,1224
gender,man,7,biodiversity,1935.3869223384727,1321
gender,man,8,biodiversity,1117.901632848639,1007
gender,man,0,safety,1944.012070894099,828
gender,man,1,safety,1452.124358196978,965
gender,man,2,safety,1333.7090044010129,955
gender,man,3,safety,810.8797825290083,1161
gender,man,4,safety,1169.1624310563875,977
gender,man,5,safety,1922.2196817571319,1004
gender,man,6,safety,1890.9295533629202,1207
gender,man,7,safety,1093.8484522507897,692
gender,man,8,safety,1739.6181186688686,997
gender,woman,0,living,1549.1322254350855,1220
gender,woman,1,living,1030.7385421490535,1117
gender,woman,2,living,828.23201106902,1038
gender,woman,3,living,2054.201306312779,1310
gender,woman,4,living,1192.065565813711,908
gender,woman,5,living,1916.5979654486914,1119
gender,woman,6,living,1830.8457369618402,1083
gender,woman,7,living,931.8518631117264,1025
gender,woman,8,living,1859.8134519806247,1214
gender,woman,0,biodiversity,1928.7904906269443,855
gender,woman,1,biodiversity,1970.7852489933487,1071
gender,woman,2,biodiversity,1603.3419459076222,894
gender,woman,3,biodiversity,1711.4986927192283,1357
gender,woman,4,biodiversity,1858.4233879132933,579
gender,woman,5,biodiversity,1586.28348816433,1121
gender,woman,6,biodiversity,993.0297522239126,1029
gender,woman,7,biodiversity,1533.6844716972173,994
gender,woman,8,biodiversity,1225.4392695484112,800
gender,woman,0,safety,1862.4901390945158,501
gender,woman,1,safety,1289.0670802951367,744
gender,woman,2,safety,869.1409401334002,740
gender,woman,3,safety,1899.1879156930354,861
gender,woman,4,safety,1477.41122538576,818
gender,woman,5,safety,1792.9279267037257,743
gender,woman,6,safety,934.0222454793883,932
gender,woman,7,safety,1357.8879785997287,607
gender,woman,8,safety,1627.2786144132383,788
gender,other,0,living,1519.3148034694577,18
gender,other,1,living,1424.2194712690812,6
