demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1268.4760326510586,1157
global,global,1,living,1796.8851136086412,2458
global,global,2,living,1660.2359595099197,2500
global,global,3,living,2439.0925958291205,2267
global,global,4,living,2095.1300150118054,2405
global,global,5,living,1687.5867111059458,2529
global,global,6,living,1858.058565463396,2672
global,global,7,living,2185.831731897176,2675
global,global,8,living,814.0146199492232,2315
global,global,0,biodiversity,1081.4986949289796,2391
global,global,1,biodiversity,541.4931890562282,1235
global,global,2,biodiversity,2318.9819600059686,1588
global,global,3,biodiversity,877.8523131048019,2420
global,global,4,biodiversity,1497.3584984121644,2522
global,global,5,biodiversity,189.3224360557528,1855
global,global,6,biodiversity,1259.0514945069772,2376
global,global,7,biodiversity,2174.5852303918773,2625
global,global,8,biodiversity,1920.997648213969,2374
global,global,0,safety,2001.479969783183,2558
global,global,1,safety,2367.412980202795,1967
global,global,2,safety,1908.6142671221526,2589
global,global,3,safety,1739.2042146599497,2644
global,global,4,safety,1313.9381026424794,3083
global,global,5,safety,1928.8616582335442,2521
global,global,6,safety,2116.2770278444223,3096
global,global,7,safety,1378.9998418973532,2621
global,global,8,safety,53.04208863033951,1857
gender,man,0,living,1583.2079769224945,680
gender,man,1,living,1125.9693751667492,1271
gender,man,2,living,972.389476653736,1224
gender,man,3,living,2093.6545133645864,1175
gender,man,4,living,1290.5233869758497,1229
gender,man,5,living,1712.2763854689535,1210
gender,man,6,living,1995.830526012126,1358
gender,man,7,living,1628.9634579455217,1313
gender,man,8,living,963.681475431103,1288
gender,man,0,biodiversity,1018.0805967263404,1251
gender,man,1,biodiversity,1190.464717006926,692
gender,man,2,biodiversity,1935.131514334193,775
gender,man,3,biodiversity,1811.3038406644625,1233
gender,man,4,biodiversity,1511.5027011708855,1301
gender,man,5,biodiversity,692.8726462559287,974
gender,man,6,biodiversity,1410.5390780683208,1229
gender,man,7,biodiversity,2042.4572872045774,1334
gender,man,8,biodiversity,1780.2702118086506,1233
gender,man,0,safety,1038.3527630276749,1249
gender,man,1,safety,2034.9174305543936,988
gender,man,2,safety,1497.2820291451749,1245
gender,man,3,safety,1898.4208749694226,1385
gender,man,4,safety,1919.791618801324,1594
gender,man,5,safety,1955.7403760574045,1267
gender,man,6,safety,1733.4758030782968,1603
gender,man,7,safety,1701.6928414066074,1321
gender,man,8,safety,379.8182733285398,1002
gender,woman,0,living,1053.72149928812,414
gender,woman,1,living,1556.8939431760714,898
gender,woman,2,living,1886.4486551876082,992
gender,woman,3,living,1994.8612612879874,927
gender,woman,4,living,1787.8587363586066,952
gender,woman,5,living,1873.7015563505302,1085
gender,woman,6,living,989.4357090733606,1064
gender,woman,7,living,1750.445459419832,1102
gender,woman,8,living,1368.7421295077563,934
gender,woman,0,biodiversity,1610.3994731710663,936
gender,woman,1,biodiversity,839.7122900471061,475
gender,woman,2,biodiversity,1969.215952245658,667
gender,woman,3,biodiversity,910.4642779259002,1041
gender,woman,4,biodiversity,1821.1177342662402,995
gender,woman,5,biodiversity,1209.264630361448,749
gender,woman,6,biodiversity,1583.8956333495116,968
gender,woman,7,biodiversity,1247.2568634171698,1081
gender,woman,8,biodiversity,1921.4800435930033,932
gender,woman,0,safety,1953.109508126972,1057
gender,woman,1,safety,1986.8280599194757,808
gender,woman,2,safety,1686.0515487922098,1041
gender,woman,3,safety,1605.7058941833934,1038
gender,woman,4,safety,1635.4125638235605,1300
gender,woman,5,safety,1648.4127976074956,1072
gender,woman,6,safety,1186.209226352851,1150
gender,woman,7,safety,1578.2629977472307,1066
gender,woman,8,safety,1660.8985951412792,724
gender,other,0,living,1463.9687357835264,9
gender,other,1,living,1485.9828608425082,17
gender,other,2,living,1452.818799801262,12
gender,other,3,living,1536.355236337229,13
gender,other,4,living,1547.6418700155336,14
gender,other,5,living,1501.342476945702,12
gender,other,6,living,1521.6362221527934,14
gender,other,7,living,1559.8628575270423,7
