demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2289.6933768411277,2633
global,global,1,living,865.8624972701306,2687
global,global,2,living,1784.40346053158,2897
global,global,3,living,1563.72619110059,2543
global,global,4,living,141.51069804045832,2412
global,global,5,living,1391.4471196989516,2792
global,global,6,living,1045.8931369802349,2211
global,global,7,living,1934.7372649696842,1598
global,global,8,living,2049.380019813322,2417
global,global,0,biodiversity,1543.7596293075937,1542
global,global,1,biodiversity,43.99652341559732,1834
global,global,2,biodiversity,706.3518328693115,2059
global,global,3,biodiversity,1675.3610738889881,2028
global,global,4,biodiversity,1999.9330315061377,2712
global,global,5,biodiversity,2185.2769287669043,2146
global,global,6,biodiversity,2261.181584298181,2590
global,global,7,biodiversity,383.0235883272236,2448
global,global,8,biodiversity,567.2126578554764,2371
global,global,0,safety,2111.3486281732835,2475
global,global,1,safety,1468.7304432804924,2779
global,global,2,safety,1611.3099148117506,2521
global,global,3,safety,1842.2212607526073,2188
global,global,4,safety,2301.5375136597327,1833
global,global,5,safety,1437.6809483852699,2440
global,global,6,safety,1994.3668720442363,2042
global,global,7,safety,918.0629590125881,2724
global,global,8,safety,-409.38775405754,2378
gender,man,0,living,1805.4738567763436,1447
gender,man,1,living,1380.1668992558261,1365
gender,man,2,living,801.9375228919963,1551
gender,man,3,living,1320.5676483253612,1299
gender,man,4,living,510.35332387578046,1193
gender,man,5,living,1833.5881554091425,1401
gender,man,6,living,1138.0715039264708,1085
gender,man,7,living,1978.7488526596562,793
gender,man,8,living,1856.8656415408516,1192
gender,man,0,biodiversity,1704.9446164035996,798
gender,man,1,biodiversity,947.7872458325527,883
gender,man,2,biodiversity,1153.2997055581516,1121
gender,man,3,biodiversity,1769.5696221820142,1028
gender,man,4,biodiversity,1676.917320859792,1403
gender,man,5,biodiversity,1857.0982331988769,1122
gender,man,6,biodiversity,2073.9371890374364,1249
gender,man,7,biodiversity,1369.9520147128108,1316
gender,man,8,biodiversity,974.9862778431129,1206
gender,man,0,safety,1541.4953228933728,1285
gender,man,1,safety,853.7219063832038,1423
gender,man,2,safety,1817.0653308474407,1224
gender,man,3,safety,1783.9600476933401,1108
