demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,-712.8201945267583,1409
global,global,1,living,2146.426038580968,2560
global,global,2,living,1604.6693459651767,2592
global,global,3,living,2223.6153511940392,2097
global,global,4,living,2073.136044462137,2164
global,global,5,living,-221.53195020594828,1937
global,global,6,living,1772.6557931544978,2595
global,global,7,living,2348.4658548153384,2487
global,global,8,living,1932.9624566581842,2177
global,global,0,biodiversity,1654.1861499283905,2586
global,global,1,biodiversity,2081.331898251681,2435
global,global,2,biodiversity,1564.1905062618869,2897
global,global,3,biodiversity,2232.2136191982177,2219
global,global,4,biodiversity,1460.507602971219,2673
global,global,5,biodiversity,2355.2035470007527,2225
global,global,6,biodiversity,210.72452431683152,1291
global,global,7,biodiversity,1895.397598741451,2798
global,global,8,biodiversity,828.3727187736853,2060
global,global,0,safety,1437.6096109785603,2431
global,global,1,safety,1095.9474053053636,1945
global,global,2,safety,2024.3264213380014,3093
global,global,3,safety,1402.332321492142,2675
global,global,4,safety,1971.3984278656349,2520
global,global,5,safety,1868.3145174599147,2848
global,global,6,safety,240.25729654924547,1696
global,global,7,safety,1819.8248504216906,2737
global,global,8,safety,2317.105828055563,2153
gender,man,0,living,872.1906912246804,817
gender,man,1,living,1687.4727239774365,1275
gender,man,2,living,1275.745495735318,1321
gender,man,3,living,1881.0531950914226,1059
gender,man,4,living,1500.1348416790388,1030
gender,man,5,living,794.4278253120073,1014
gender,man,6,living,1709.4661302033908,1357
gender,man,7,living,1544.980131778309,1254
gender,man,8,living,2141.86280300487,1117
gender,man,0,biodiversity,1923.583373507862,1403
gender,man,1,biodiversity,1588.9915441774947,1269
gender,man,2,biodiversity,1620.2494941737873,1548
gender,man,3,biodiversity,2092.261191817741,1040
gender,man,4,biodiversity,1666.7724217061236,1363
gender,man,5,biodiversity,1404.4125495950395,1074
gender,man,6,biodiversity,464.9949991560711,728
gender,man,7,biodiversity,1862.2946670535916,1480
gender,man,8,biodiversity,1093.3617945542637,1077
gender,man,0,safety,1611.6835393072997,1225
gender,man,1,safety,1809.4046240510381,989
gender,man,2,safety,1122.379593881863,1526
gender,man,3,safety,181.20900254384293,1297
gender,man,4,safety,971.0950274895109,1310
gender,man,5,safety,868.0267172991719,1450
gender,man,6,safety,1451.3428034778221,943
gender,man,7,safety,1511.103711288623,1366
gender,man,8,safety,2093.5557725326444,1092
gender,woman,0,living,730.9279531457446,524
gender,woman,1,living,1737.8596408706496,1025
gender,woman,2,living,1553.4413717435357,1035
gender,woman,3,living,1911.890572965269,839
gender,woman,4,living,1773.9291067098206,895
gender,woman,5,living,1096.3299260246788,770
gender,woman,6,living,1358.1572212135711,1064
gender,woman,7,living,1982.9845351914948,921
gender,woman,8,living,1383.55047401817,867
gender,woman,0,biodiversity,1726.7511532509602,1065
gender,woman,1,biodiversity,1366.7532353823408,918
gender,woman,2,biodiversity,1861.8575794670073,1193
gender,woman,3,biodiversity,1998.885547813847,923
gender,woman,4,biodiversity,1029.1158614790897,1092
gender,woman,5,biodiversity,1894.1388135185996,901
gender,woman,6,biodiversity,1524.6972957169626,516
gender,woman,7,biodiversity,1466.6095903122005,1086
gender,woman,8,biodiversity,1815.330455026405,878
gender,woman,0,safety,1208.1441559969303,927
gender,woman,1,safety,1528.980228486799,767
gender,woman,2,safety,2011.1006522250952,1283
gender,woman,3,safety,1436.3870895227496,994
gender,woman,4,safety,1876.885375950521,987
gender,woman,5,safety,1916.7704103254566,1225
gender,woman,6,safety,966.0133832980961,656
gender,woman,7,safety,1803.0775781842426,1183
gender,woman,8,safety,1560.9442948391597,934
gender,other,0,living,1424.4468318866225,10
gender,other,1,living,1451.3822875120356,10
gender,other,2,living,1536.7048616423615,19
gender,other,3,living,1474.9872759554871,14
gender,other,4,living,1500.8690686017155,10
gender,other,5,living,1549.1816373376814,10
gender,other,6,living,1557.548205763807,5
gender,other,7,living,1511.0856372560606,13
gender,other,8,living,1490.5261253238416,11
gender,other,0,biodiversity,1524.1565787120423,18
gender,other,1,biodiversity,1499.9935635535294,10
gender,other,2,biodiversity,1535.7994568436882,9
gender,other,3,biodiversity,1475.2754468090345,14
gender,other,4,biodiversity,1443.1791797012884,9
gender,other,5,biodiversity,1565.6093726604352,9
gender,other,6,biodiversity,1487.9645345011818,11
gender,other,7,biodiversity,1466.9523464624829,13
gender,other,8,biodiversity,1511.1238644516382,11
gender,other,0,safety,1534.8560443677084,9
gender,other,1,safety,1514.385932722837,15
gender,other,2,safety,1452.9797726520967,20
gender,other,3,safety,1478.2783733281258,18
gender,other,4,safety,1487.8986930136366,21
gender,other,5,safety,1524.414398121145,10
gender,other,6,safety,1581.2392450422028,11
gender,other,7,safety,1500.7402844197254,18
gender,other,8,safety,1430.7652422727613,10
age,younger,0,living,1272.2143440828333,440
age,younger,1,living,1585.2625002380628,715
age,younger,2,living,1412.5857096885659,686
age,younger,3,living,1251.0482393882517,608
age,younger,4,living,1862.090809983802,514
age,younger,5,living,1114.4276018551084,512
age,younger,6,living,1553.237376749009,744
age,younger,7,living,1895.7284853448223,641
age,younger,8,living,1703.2923863230378,586
age,younger,0,biodiversity,1914.6254945836893,726
age,younger,1,biodiversity,1681.044669631293,703
age,younger,2,biodiversity,1407.5824921699977,813
age,younger,3,biodiversity,1565.4979432803948,565
age,younger,4,biodiversity,1723.4272497571415,740
age,younger,5,biodiversity,1501.7168960130216,693
age,younger,6,biodiversity,1270.2207413365238,421
age,younger,7,biodiversity,1957.4388569186267,856
age,younger,8,biodiversity,1361.0742955974085,567
age,younger,0,safety,1630.3708545011905,663
age,younger,1,safety,1491.7180531772342,579
age,younger,2,safety,1862.6075177249752,849
age,younger,3,safety,1327.892032698735,759
age,younger,4,safety,1509.4709683650235,723
age,younger,5,safety,1037.1997761796688,760
age,younger,6,safety,1683.0672952595796,538
age,younger,7,safety,1930.0133480356817,721
age,younger,8,safety,1780.571726417246,660
age,middle,0,living,-212.8130483629477,556
age,middle,1,living,823.8046741330081,1069
age,middle,2,living,1423.3175012198942,1078
age,middle,3,living,1764.4097818867626,862
age,middle,4,living,1632.4056844928298,947
age,middle,5,living,1099.2152833174591,803
age,middle,6,living,1903.7350331771943,1073
age,middle,7,living,2012.4190229254582,1078
age,middle,8,living,1670.595219358429,936
age,middle,0,biodiversity,1716.9482988644818,1124
age,middle,1,biodiversity,1400.1462435655092,966
age,middle,2,biodiversity,1274.562915751801,1306
age,middle,3,biodiversity,2021.687441256279,905
age,middle,4,biodiversity,1257.7262458336584,1163
age,middle,5,biodiversity,1826.7929383956152,875
age,middle,6,biodiversity,1486.723681898058,583
age,middle,7,biodiversity,1036.175021084216,1167
age,middle,8,biodiversity,1167.593429804559,915
age,middle,0,safety,1307.7785831367353,984
age,middle,1,safety,1943.748147349034,778
age,middle,2,safety,1786.5630212018516,1323
age,middle,3,safety,493.2807700681952,1066
age,middle,4,safety,1725.299452652849,1044
age,middle,5,safety,1852.0800281050397,1316
age,middle,6,safety,547.9310348358894,692
age,middle,7,safety,1529.944839727051,1229
age,middle,8,safety,1912.4421254316644,910
age,older,0,living,1370.4948128307465,352
age,older,1,living,1797.2490785326581,519
age,older,2,living,1412.4551274142818,601
age,older,3,living,1735.9232746364412,435
age,older,4,living,1763.771288914139,465
age,older,5,living,1507.7976480305938,483
age,older,6,living,1703.6666087261601,608
age,older,7,living,944.9054629156641,465
age,older,8,living,1628.2213132332904,470
age,older,0,biodiversity,1125.8076671910032,632
age,older,1,biodiversity,1691.1299248867886,525
age,older,2,biodiversity,1638.1652039098992,618
age,older,3,biodiversity,1714.3761572152166,505
age,older,4,biodiversity,1373.7846861120122,553
age,older,5,biodiversity,1769.5628815513328,408
age,older,6,biodiversity,1039.214952809123,248
age,older,7,biodiversity,1813.0452520415804,543
age,older,8,biodiversity,1610.5277399805561,482
age,older,0,safety,985.4529007255243,500
age,older,1,safety,1330.2391987659612,407
age,older,2,safety,911.8078127505268,648
age,older,3,safety,1189.9997676077664,478
age,older,4,safety,1666.615569819604,540
age,older,5,safety,1647.4833944700486,597
age,older,6,safety,1161.643417228733,379
age,older,7,safety,1752.135143916954,609
age,older,8,safety,1913.5687063877795,458
ethnicity,white,0,living,-66.06158730745193,1165
ethnicity,white,1,living,1864.7231575528838,2008
ethnicity,white,2,living,1890.1903260755705,2063
ethnicity,white,3,living,1935.7198883746714,1652
ethnicity,white,4,living,2247.479428682564,1693
ethnicity,white,5,living,497.33779454819194,1551
ethnicity,white,6,living,1472.0386819146725,2061
ethnicity,white,7,living,1842.9584376345626,1868
ethnicity,white,8,living,2087.7552242156667,1693
ethnicity,white,0,biodiversity,1720.5183270350788,2191
ethnicity,white,1,biodiversity,1149.3296177066586,1887
ethnicity,white,2,biodiversity,1078.1936618863629,2375
ethnicity,white,3,biodiversity,2212.265756801517,1714
ethnicity,white,4,biodiversity,1214.7940775054767,2138
ethnicity,white,5,biodiversity,1481.1620487522046,1699
ethnicity,white,6,biodiversity,497.92304585963706,1072
ethnicity,white,7,biodiversity,1998.862538116881,2207
ethnicity,white,8,biodiversity,840.426936114427,1683
ethnicity,white,0,safety,864.7713733586426,1820
ethnicity,white,1,safety,1633.0435318629102,1542
ethnicity,white,2,safety,1807.1205386628708,2433
ethnicity,white,3,safety,901.4740248526565,1971
ethnicity,white,4,safety,1870.3521019596428,2009
ethnicity,white,5,safety,1816.2948393278725,2317
ethnicity,white,6,safety,395.3475406993504,1389
ethnicity,white,7,safety,2004.4392629903618,2209
ethnicity,white,8,safety,2285.315322650029,1750
ethnicity,other,0,living,1472.739559030499,127
ethnicity,other,1,living,1525.9876026239306,208
ethnicity,other,2,living,1424.5615737111964,204
ethnicity,other,3,living,1720.2577192987842,183
ethnicity,other,4,living,1606.167260672861,163
ethnicity,other,5,living,1275.4539026037694,178
ethnicity,other,6,living,1576.6853322970649,263
ethnicity,other,7,living,1655.7105317109806,213
ethnicity,other,8,living,1506.2920504376702,217
ethnicity,other,0,biodiversity,1123.9081187673858,201
ethnicity,other,1,biodiversity,1486.9718220404743,220
ethnicity,other,2,biodiversity,1761.471140552382,256
ethnicity,other,3,biodiversity,1246.2610126360958,192
ethnicity,other,4,biodiversity,1653.2301270908276,212
ethnicity,other,5,biodiversity,1632.6412416857427,197
ethnicity,other,6,biodiversity,1388.56097254978,120
ethnicity,other,7,biodiversity,1560.1782441176515,271
ethnicity,other,8,biodiversity,1583.2851446240663,209
ethnicity,other,0,safety,1485.377194952388,264
ethnicity,other,1,safety,1704.5012122740889,164
ethnicity,other,2,safety,1515.0229980568536,293
ethnicity,other,3,safety,1459.556848924815,221
ethnicity,other,4,safety,1656.6832160312715,217
ethnicity,other,5,safety,1550.5724134924217,267
ethnicity,other,6,safety,1371.4479641905446,163
ethnicity,other,7,safety,1388.8474879489804,246
ethnicity,other,8,safety,1729.0069700785268,211
education,sixteen,0,living,970.3634733465594,78
education,sixteen,1,living,1706.1691541069556,158
education,sixteen,2,living,1652.9616351412838,159
education,sixteen,3,living,1420.6247964159495,132
education,sixteen,4,living,1559.3038850777166,135
education,sixteen,5,living,1394.8148591899944,157
education,sixteen,6,living,1360.4480218987408,190
education,sixteen,7,living,1630.0926970019113,149
education,sixteen,8,living,1541.9714657684542,140
education,sixteen,0,biodiversity,1558.7829828811819,168
education,sixteen,1,biodiversity,1646.4503466118072,139
education,sixteen,2,biodiversity,1139.9072836612022,171
education,sixteen,3,biodiversity,1508.6355423171904,172
education,sixteen,4,biodiversity,1358.5715778681647,170
education,sixteen,5,biodiversity,1708.8591472332653,103
education,sixteen,6,biodiversity,1534.2208491569222,89
education,sixteen,7,biodiversity,1421.4324392208744,167
education,sixteen,8,biodiversity,1594.726365357521,165
education,sixteen,0,safety,1492.429705895589,166
education,sixteen,1,safety,1590.2588487827186,138
education,sixteen,2,safety,1454.2684182592607,173
education,sixteen,3,safety,1405.9576050045705,158
education,sixteen,4,safety,1572.4556538478184,157
education,sixteen,5,safety,1607.156313543395,187
education,sixteen,6,safety,727.2623059955265,99
education,sixteen,7,safety,1375.9899656441967,207
education,sixteen,8,safety,1757.8971888205326,145
education,eighteen,0,living,1227.1923339684563,245
education,eighteen,1,living,1607.147919022074,416
education,eighteen,2,living,1566.0464944500645,420
education,eighteen,3,living,1864.6493926372482,352
education,eighteen,4,living,1292.806754455278,382
education,eighteen,5,living,1392.5750988494285,366
education,eighteen,6,living,1649.3431063937728,421
education,eighteen,7,living,1160.199834984231,429
education,eighteen,8,living,1712.662074526366,349
education,eighteen,0,biodiversity,1540.1738860971436,491
education,eighteen,1,biodiversity,1767.8253894611687,382
education,eighteen,2,biodiversity,1505.297919620153,525
education,eighteen,3,biodiversity,1680.316007853212,383
education,eighteen,4,biodiversity,1609.0160558565813,460
education,eighteen,5,biodiversity,1783.5695168359975,358
education,eighteen,6,biodiversity,1256.8803229002747,252
education,eighteen,7,biodiversity,1720.3175444663684,438
education,eighteen,8,biodiversity,1366.3870545089126,339
education,eighteen,0,safety,1393.1897635694897,345
education,eighteen,1,safety,1768.7742062658053,289
education,eighteen,2,safety,1518.2490003026294,542
education,eighteen,3,safety,905.818036193344,380
education,eighteen,4,safety,1864.9099388702455,415
education,eighteen,5,safety,1607.7707418770033,495
education,eighteen,6,safety,1141.9317727758803,282
education,eighteen,7,safety,1669.6594798574818,513
education,eighteen,8,safety,1423.2545866947282,373
education,older,0,living,776.4954549601551,1015
education,older,1,living,429.11686108695113,1707
education,older,2,living,889.0250636092721,1770
education,older,3,living,1434.0901455414098,1408
education,older,4,living,2017.1262765887118,1388
education,older,5,living,346.2256544717626,1248
education,older,6,living,2078.208916410309,1776
education,older,7,living,2123.123468686047,1578
education,older,8,living,1742.188803440685,1486
education,older,0,biodiversity,1868.9038934319067,1785
education,older,1,biodiversity,650.6936764760586,1639
education,older,2,biodiversity,1947.2823939109303,2015
education,older,3,biodiversity,2211.2770211551338,1397
education,older,4,biodiversity,1610.3190318799222,1801
education,older,5,biodiversity,1794.8454635643802,1498
education,older,6,biodiversity,660.5553540939386,904
education,older,7,biodiversity,2015.9081299061863,1942
education,older,8,biodiversity,605.9461627303809,1435
education,older,0,safety,1212.8251568289265,1633
education,older,1,safety,1778.848994325046,1325
education,older,2,safety,1665.5603919627247,2069
education,older,3,safety,268.9025998135466,1742
education,older,4,safety,1509.1478286994097,1721
education,older,5,safety,1375.4387634964169,1974
education,older,6,safety,1529.9594878862454,1209
education,older,7,safety,2031.940001977124,1814
education,older,8,safety,2221.813416825979,1501
income,lower,0,living,1138.2065538410623,219
income,lower,1,living,1297.585314269872,446
income,lower,2,living,1755.8345491851928,446
income,lower,3,living,1577.5082543195924,363
income,lower,4,living,1824.7362637907543,371
income,lower,5,living,1370.568236146775,355
income,lower,6,living,1640.731801066245,466
income,lower,7,living,1214.8044375628253,386
income,lower,8,living,1780.451781103657,374
income,lower,0,biodiversity,1633.9597190450404,459
income,lower,1,biodiversity,1672.1221729773258,368
income,lower,2,biodiversity,1429.8163280327617,489
income,lower,3,biodiversity,1565.0948620515494,415
income,lower,4,biodiversity,1426.5456633850793,463
income,lower,5,biodiversity,1591.3607809599039,308
income,lower,6,biodiversity,1409.5760948366046,238
income,lower,7,biodiversity,1856.111193650145,433
income,lower,8,biodiversity,1474.2355235890398,411
income,lower,0,safety,1404.8595655873173,426
income,lower,1,safety,1703.5661663859391,311
income,lower,2,safety,1576.6904200419028,463
income,lower,3,safety,1019.7720057966009,416
income,lower,4,safety,1826.4722395602869,397
income,lower,5,safety,1301.908050120885,525
income,lower,6,safety,1434.6859618049705,323
income,lower,7,safety,1754.6515091827625,506
income,lower,8,safety,1659.437723103139,343
income,middle,0,living,1316.0125359716544,438
income,middle,1,living,1803.925352219644,784
income,middle,2,living,1485.2786190798463,774
income,middle,3,living,1840.6980595532616,614
income,middle,4,living,1386.908215840623,588
income,middle,5,living,1284.8856892512604,564
income,middle,6,living,814.2084274988356,723
income,middle,7,living,1930.539888894595,637
income,middle,8,living,1722.2445366920533,606
income,middle,0,biodiversity,1499.765007955248,788
income,middle,1,biodiversity,837.324803882742,665
income,middle,2,biodiversity,1631.684704367316,864
income,middle,3,biodiversity,1945.625495095449,626
income,middle,4,biodiversity,1729.8789184200366,824
income,middle,5,biodiversity,1602.065285911697,660
income,middle,6,biodiversity,1537.436944496561,401
income,middle,7,biodiversity,1797.7808096627639,858
income,middle,8,biodiversity,643.3735300848678,598
income,middle,0,safety,1073.7018854121447,632
income,middle,1,safety,1776.7071795018462,558
income,middle,2,safety,1814.9706146330484,945
income,middle,3,safety,1692.0487818985866,759
income,middle,4,safety,1625.084676543006,810
income,middle,5,safety,1221.3539380546697,844
income,middle,6,safety,1385.1569062437284,501
income,middle,7,safety,1913.951396769976,816
income,middle,8,safety,1846.5743373814382,657
income,higher,0,living,738.412164735046,437
income,higher,1,living,1057.386748917144,711
income,higher,2,living,1250.7535030610259,746
income,higher,3,living,1743.7799477525741,597
income,higher,4,living,1768.9760800006163,628
income,higher,5,living,885.9302606534925,549
income,higher,6,living,1904.013076060415,799
income,higher,7,living,1866.6690428928885,737
income,higher,8,living,1615.3962492209453,660
income,higher,0,biodiversity,1716.511445596203,753
income,higher,1,biodiversity,1706.4610849636294,755
income,higher,2,biodiversity,1105.112814027544,883
income,higher,3,biodiversity,1877.2618878912212,595
income,higher,4,biodiversity,1785.8947143207731,766
income,higher,5,biodiversity,1838.875032842202,670
income,higher,6,biodiversity,548.0082915193572,391
income,higher,7,biodiversity,1286.4887767952084,848
income,higher,8,biodiversity,794.9415125645692,607
income,higher,0,safety,1107.9202057785158,726
income,higher,1,safety,1733.3013195949752,574
income,higher,2,safety,1546.6167048168431,915
income,higher,3,safety,221.4266824961462,707
income,higher,4,safety,1711.393787102263,713
income,higher,5,safety,1600.020642997598,884
income,higher,6,safety,1084.7466729109383,501
income,higher,7,safety,1905.412217904444,768
income,higher,8,safety,1942.0611943485694,678
movement,yes,0,living,1303.5239884893622,289
movement,yes,1,living,1595.3419085279031,451
movement,yes,2,living,1206.1895569886358,498
movement,yes,3,living,1479.4705208181217,409
movement,yes,4,living,1567.6565385966037,428
movement,yes,5,living,1734.6090691176796,421
movement,yes,6,living,1629.3731327225955,543
movement,yes,7,living,1688.9616263902499,502
movement,yes,8,living,1855.264533011665,403
movement,yes,0,biodiversity,1841.731604740649,534
movement,yes,1,biodiversity,1784.1486695788487,449
movement,yes,2,biodiversity,1521.0927052520965,567
movement,yes,3,biodiversity,1664.5909241479992,435
movement,yes,4,biodiversity,1642.3146293301288,554
movement,yes,5,biodiversity,1172.4199567496375,401
movement,yes,6,biodiversity,1261.211610381131,254
movement,yes,7,biodiversity,1598.5724459230814,566
movement,yes,8,biodiversity,1706.672615942322,462
movement,yes,0,safety,1395.2072025707453,454
movement,yes,1,safety,1489.875757209036,331
movement,yes,2,safety,1429.2981844640285,582
movement,yes,3,safety,836.497896499044,480
movement,yes,4,safety,1810.1113705241537,401
movement,yes,5,safety,1652.083145647479,543
movement,yes,6,safety,1252.8117244324037,369
movement,yes,7,safety,1227.7642014728387,602
movement,yes,8,safety,1840.0581921977125,398
movement,no,0,living,95.54324024833932,1033
movement,no,1,living,280.58540123441026,1810
movement,no,2,living,1162.1471400211617,1821
movement,no,3,living,1815.4005570600852,1461
movement,no,4,living,2062.0295425485033,1472
movement,no,5,living,-420.6024863048649,1337
movement,no,6,living,1794.0429058750967,1835
movement,no,7,living,2131.01788325155,1642
movement,no,8,living,1642.5465120090764,1551
movement,no,0,biodiversity,1700.750968107377,1899
movement,no,1,biodiversity,1232.0872153115663,1700
movement,no,2,biodiversity,1135.1770352490228,2131
movement,no,3,biodiversity,2185.193778982831,1499
movement,no,4,biodiversity,1380.3219786019877,1871
movement,no,5,biodiversity,1823.319366615928,1533
movement,no,6,biodiversity,458.97451795681457,974
movement,no,7,biodiversity,1760.693272671279,1960
movement,no,8,biodiversity,324.4356322236175,1461
movement,no,0,safety,916.6921908480103,1660
movement,no,1,safety,1933.7119057979135,1409
movement,no,2,safety,1595.2462209900873,2183
