demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1670.8468482271405,1611
global,global,1,living,641.9603518731004,2120
global,global,2,living,1399.16842923331,2782
global,global,3,living,1057.364293169393,1897
global,global,4,living,1933.5125639535993,2437
global,global,5,living,1995.7838954995418,2199
global,global,6,living,1201.6382573264618,2817
global,global,7,living,2107.524335545309,2674
global,global,8,living,2199.456728681989,2593
global,global,0,biodiversity,2341.869395449922,3313
global,global,1,biodiversity,-151.46675524748784,3082
global,global,2,biodiversity,1610.208414738949,2377
global,global,3,biodiversity,2187.0628451351854,2354
global,global,4,biodiversity,2366.037470797616,2144
global,global,5,biodiversity,2004.4863489024244,3281
global,global,6,biodiversity,369.3413891965385,2822
global,global,7,biodiversity,2166.0360059460913,2878
global,global,8,biodiversity,435.03510217997814,1743
global,global,0,safety,1258.508143979184,2436
global,global,1,safety,1851.7420866420318,2327
global,global,2,safety,-64.33452380004863,1763
global,global,3,safety,815.4020530065187,2363
global,global,4,safety,2001.8643111123563,1747
global,global,5,safety,56.283311909573015,2280
global,global,6,safety,1467.4081533443755,2103
global,global,7,safety,2169.486018761395,1627
global,global,8,safety,1685.9223270728965,1530
gender,man,0,living,2093.889710919663,893
gender,man,1,living,1072.745205819374,1060
gender,man,2,living,1947.5833679417383,1504
gender,man,3,living,1449.0243616112407,966
gender,man,4,living,216.41463354737834,1203
gender,man,5,living,1507.3146703232346,1120
gender,man,6,living,1277.2806711648432,1446
gender,man,7,living,1656.573937257354,1366
gender,man,8,living,2039.1735844955388,1246
gender,man,0,biodiversity,2027.3380726192158,1704
gender,man,1,biodiversity,1770.6814946367838,1636
gender,man,2,biodiversity,1667.9876466194949,1206
gender,man,3,biodiversity,1821.864522319956,1159
gender,man,4,biodiversity,1854.8917875524414,1095
gender,man,5,biodiversity,2116.4200733195535,1647
gender,man,6,biodiversity,1643.771449790545,1498
gender,man,7,biodiversity,1949.5161169559128,1514
gender,man,8,biodiversity,1724.907240969129,991
gender,man,0,safety,1816.9050626509493,1242
gender,man,1,safety,1394.3353441274735,1127
gender,man,2,safety,918.3359752350192,850
gender,man,3,safety,1669.6160622472496,1219
gender,man,4,safety,1528.6301973686345,854
gender,man,5,safety,1480.1450309653574,1145
gender,man,6,safety,1730.1743926724832,1128
gender,man,7,safety,1959.3397586138701,879
gender,man,8,safety,1797.2574602140323,726
gender,woman,0,living,1339.2148982331646,628
gender,woman,1,living,1484.820096753518,905
