demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1260.954970121498,2309
global,global,1,living,2174.2248528866935,1661
global,global,2,living,419.5375276326316,2038
global,global,3,living,1154.0898570745871,2577
global,global,4,living,1496.6970469212222,2144
global,global,5,living,1720.6641673979473,1383
global,global,6,living,895.9923363728153,2076
global,global,7,living,-290.31639402890374,1206
global,global,8,living,2035.0697066207397,1912
global,global,0,biodiversity,1289.9335141555102,3354
global,global,1,biodiversity,2080.301617691603,2111
global,global,2,biodiversity,630.6931311328076,1802
global,global,3,biodiversity,2138.815589776785,2557
global,global,4,biodiversity,1425.6360718988342,3567
global,global,5,biodiversity,1545.636543656657,2359
global,global,6,biodiversity,1156.8397251050148,2996
global,global,7,biodiversity,2017.1237017215592,3121
global,global,8,biodiversity,1864.7580047788201,1853
global,global,0,safety,-11.248442843783163,1608
global,global,1,safety,1582.1755730257805,2579
global,global,2,safety,2026.2287163424405,2641
global,global,3,safety,2158.620141472478,2081
global,global,4,safety,1943.9735170932106,2294
global,global,5,safety,767.4343155425249,2219
global,global,6,safety,1699.8031068636494,3101
global,global,7,safety,2280.1449085320305,2877
global,global,8,safety,1330.6509724726177,2874
gender,man,0,living,1759.9223121454497,1160
gender,man,1,living,1928.1759409355564,830
gender,man,2,living,683.0165049420596,1025
gender,man,3,living,1482.7230411489695,1348
gender,man,4,living,1409.192864965032,1133
gender,man,5,living,1701.0106830455934,757
gender,man,6,living,1417.3212223570654,1085
gender,man,7,living,374.8040512646343,640
gender,man,8,living,1968.372311661589,968
gender,man,0,biodiversity,859.2998867319554,1682
gender,man,1,biodiversity,1570.8368788502528,1127
gender,man,2,biodiversity,1305.4674291684044,902
gender,man,3,biodiversity,2009.0540478731552,1284
gender,man,4,biodiversity,1969.1581295890558,1835
gender,man,5,biodiversity,1378.709898231914,1258
gender,man,6,biodiversity,1590.43671800075,1458
gender,man,7,biodiversity,2089.4384464368923,1614
gender,man,8,biodiversity,1982.8583684493362,1004
gender,man,0,safety,1354.986210504005,883
gender,man,1,safety,424.07127852296776,1305
gender,man,2,safety,1908.8186363385014,1280
gender,man,3,safety,1794.8613601063958,1095
gender,man,4,safety,1338.547357902226,1157
gender,man,5,safety,1236.1845192088847,1179
gender,man,6,safety,1555.7603019094572,1534
gender,man,7,safety,2133.7466176879866,1466
gender,man,8,safety,878.4031150117331,1415
gender,woman,0,living,876.0695919943875,910
gender,woman,1,living,1641.6667520259823,651
gender,woman,2,living,1710.8238826526924,892
gender,woman,3,living,1198.1004661249463,1002
gender,woman,4,living,1503.994849861682,884
gender,woman,5,living,1787.968395641075,562
gender,woman,6,living,1921.8517528745735,790
gender,woman,7,living,1472.3944452126493,512
gender,woman,8,living,1893.0972459654236,763
gender,woman,0,biodiversity,1913.2245083427722,1383
gender,woman,1,biodiversity,1839.5663252755048,886
gender,woman,2,biodiversity,1153.635659542807,722
gender,woman,3,biodiversity,1956.6162451676025,1033
gender,woman,4,biodiversity,1711.1942358314536,1366
gender,woman,5,biodiversity,1557.7398281631547,911
gender,woman,6,biodiversity,1051.3298308645667,1203
gender,woman,7,biodiversity,1801.5483856489097,1246
gender,woman,8,biodiversity,1694.9727041566762,748
gender,woman,0,safety,1007.7427018754576,647
gender,woman,1,safety,1967.1939133387286,1037
gender,woman,2,safety,1233.589120716988,1082
gender,woman,3,safety,1759.9440932727232,799
gender,woman,4,safety,1465.662234694948,977
gender,woman,5,safety,1812.9306348932914,893
gender,woman,6,safety,1704.2756536221527,1215
gender,woman,7,safety,1360.5941201197213,1161
gender,woman,8,safety,1740.3772787586984,1193
gender,other,0,living,1478.186167019626,16
gender,other,1,living,1559.2009700706376,9
gender,other,2,living,1439.9555832056358,5
gender,other,3,living,1524.0783245453638,6
gender,other,4,living,1546.6382015492736,14
gender,other,5,living,1500.9030192783473,14
gender,other,6,living,1453.207795319586,10
gender,other,7,living,1488.002572450043,13
gender,other,8,living,1512.0504965966572,9
gender,other,0,biodiversity,1490.3662235956374,13
gender,other,1,biodiversity,1415.166562170939,9
gender,other,2,biodiversity,1448.1421768439814,16
gender,other,3,biodiversity,1446.5947546324835,18
gender,other,4,biodiversity,1557.9996517497455,9
gender,other,5,biodiversity,1517.9284045866298,18
gender,other,6,biodiversity,1545.765427423519,8
gender,other,7,biodiversity,1578.352813494413,15
gender,other,8,biodiversity,1476.0134842672683,14
gender,other,0,safety,1479.8232030209542,14
gender,other,1,safety,1439.885952878652,9
gender,other,2,safety,1462.4185716551701,13
gender,other,3,safety,1572.3172965998622,18
gender,other,4,safety,1521.108429804657,14
gender,other,5,safety,1488.725449740107,13
gender,other,6,safety,1493.2464766291023,19
gender,other,7,safety,1538.8417907219798,13
gender,other,8,safety,1515.5820093542916,9
age,younger,0,living,1747.21259195287,669
age,younger,1,living,1859.3286425863014,437
age,younger,2,living,1497.5447910375767,581
age,younger,3,living,1437.3648486839286,725
age,younger,4,living,1569.2330778638961,684
age,younger,5,living,1682.757665699718,444
age,younger,6,living,1520.734157966048,595
age,younger,7,living,1287.2495235344563,366
age,younger,8,living,1699.3201187696836,497
age,younger,0,biodiversity,1306.483038948815,927
age,younger,1,biodiversity,1661.3250590557216,606
age,younger,2,biodiversity,1689.6738477490944,503
age,younger,3,biodiversity,1200.3135540618546,681
age,younger,4,biodiversity,1640.406472289071,964
age,younger,5,biodiversity,1734.9680536293874,679
age,younger,6,biodiversity,1176.3924575172366,758
age,younger,7,biodiversity,1390.2210080420089,853
age,younger,8,biodiversity,1919.7126323265784,479
age,younger,0,safety,1313.2675525441005,473
age,younger,1,safety,1405.7451107721688,738
age,younger,2,safety,1911.13438757082,713
age,younger,3,safety,1640.0470514066274,652
age,younger,4,safety,1635.968944572542,605
age,younger,5,safety,1116.587931624095,619
age,younger,6,safety,1868.0097847446177,901
age,younger,7,safety,1518.7518523460774,837
age,younger,8,safety,1845.5214123638016,796
age,middle,0,living,1085.0661057419413,966
age,middle,1,living,1962.8677815391527,687
age,middle,2,living,784.1661574007512,889
age,middle,3,living,1479.989096416995,1117
age,middle,4,living,1823.757694783917,877
age,middle,5,living,1733.945944463488,584
age,middle,6,living,1493.2057949386124,876
age,middle,7,living,909.8525018106925,514
age,middle,8,living,1441.4072419587737,814
age,middle,0,biodiversity,1192.7245321478813,1460
age,middle,1,biodiversity,1584.2942196523127,898
age,middle,2,biodiversity,379.00682049017706,674
age,middle,3,biodiversity,2074.0876640765723,1044
age,middle,4,biodiversity,-75.80097671536045,1464
age,middle,5,biodiversity,1322.0255534304183,1047
age,middle,6,biodiversity,1254.726508663571,1259
age,middle,7,biodiversity,1874.6592103709352,1390
age,middle,8,biodiversity,1640.5132198988367,838
age,middle,0,safety,998.7734404516208,683
age,middle,1,safety,612.6088232261,1035
age,middle,2,safety,1795.6374885409516,1090
age,middle,3,safety,1878.5170779485143,835
age,middle,4,safety,1502.2362336467318,1009
age,middle,5,safety,1300.9043867538905,992
age,middle,6,safety,944.75476987994,1266
age,middle,7,safety,1973.6106384855239,1212
age,middle,8,safety,1117.6669088560043,1228
age,older,0,living,1761.3088664396957,442
age,older,1,living,1177.6655838106708,355
age,older,2,living,1386.5659829880947,447
age,older,3,living,1398.5747343380567,505
age,older,4,living,1227.2982824171038,473
age,older,5,living,1720.330766245927,302
age,older,6,living,1523.7292894783081,406
age,older,7,living,1366.1804275503634,283
age,older,8,living,1832.9563788420367,423
age,older,0,biodiversity,1853.137698412621,680
age,older,1,biodiversity,1546.7910863438867,518
age,older,2,biodiversity,1498.696715107138,452
age,older,3,biodiversity,1742.630277739384,610
age,older,4,biodiversity,1800.0248585287293,775
age,older,5,biodiversity,1251.3146149182837,460
