demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1827.8471238773188,2137
global,global,1,living,2158.441672171917,2158
global,global,2,living,2302.76011055179,2032
global,global,3,living,483.7774502914859,1586
global,global,4,living,2066.0019967107496,2544
global,global,5,living,1086.326645815886,1921
global,global,6,living,236.40265532487985,1099
global,global,7,living,-72.95732406518852,1348
global,global,8,living,1200.764440184527,1937
global,global,0,biodiversity,1628.3390193248104,3141
global,global,1,biodiversity,2484.0134667758766,2431
global,global,2,biodiversity,2212.3649559217247,3127
global,global,3,biodiversity,1607.8634735167705,2567
global,global,4,biodiversity,264.6909376675555,2376
global,global,5,biodiversity,1735.6254050667062,2776
global,global,6,biodiversity,1553.7703416712247,2620
global,global,7,biodiversity,2358.3639895473643,2359
global,global,8,biodiversity,2194.2345379077797,2895
global,global,0,safety,1813.563306273643,2645
global,global,1,safety,2283.6864888559367,2106
global,global,2,safety,-64.73406713785363,2271
global,global,3,safety,975.4922112685362,2140
global,global,4,safety,1729.9905424882077,2736
global,global,5,safety,1938.7183460061003,2908
global,global,6,safety,1496.0665019276998,2109
global,global,7,safety,1366.676446606327,2753
global,global,8,safety,2109.4068446670835,2578
gender,man,0,living,1373.5491682857585,1106
gender,man,1,living,2029.614277629428,1083
gender,man,2,living,1895.8364364150677,1076
gender,man,3,living,1528.267722387891,838
gender,man,4,living,1724.310602412518,1329
gender,man,5,living,1783.8297669502047,1004
gender,man,6,living,575.47223976441,535
gender,man,7,living,923.7982141759908,659
gender,man,8,living,1935.6562358393662,946
gender,man,0,biodiversity,1483.4778860489423,1589
gender,man,1,biodiversity,2146.2073943825467,1342
gender,man,2,biodiversity,1605.5665268715522,1588
gender,man,3,biodiversity,1788.3070439980318,1338
gender,man,4,biodiversity,655.2641900199138,1212
gender,man,5,biodiversity,2071.13943704044,1430
gender,man,6,biodiversity,1535.2240021507812,1340
gender,man,7,biodiversity,1974.2760519834885,1193
gender,man,8,biodiversity,2023.694536818043,1474
gender,man,0,safety,1095.304849383121,1348
gender,man,1,safety,2079.70816546833,1044
gender,man,2,safety,1124.5698335623822,1181
gender,man,3,safety,789.616524573424,1158
gender,man,4,safety,1316.0061054783137,1355
gender,man,5,safety,1480.233932845496,1425
gender,man,6,safety,1928.8547601794558,1052
gender,man,7,safety,1345.8046420923495,1448
gender,man,8,safety,1842.1692796427321,1331
gender,woman,0,living,2015.0847082150433,814
gender,woman,1,living,1825.1905773104463,823
gender,woman,2,living,1693.1595789964601,828
gender,woman,3,living,560.9653860883341,655
gender,woman,4,living,1733.4313327175719,982
gender,woman,5,living,1307.0975643799352,741
gender,woman,6,living,1194.07748052674,441
gender,woman,7,living,1012.0856805082792,532
gender,woman,8,living,977.948536999534,792
gender,woman,0,biodiversity,1796.335986306292,1293
gender,woman,1,biodiversity,1931.62882275473,906
gender,woman,2,biodiversity,1907.4763044324875,1263
gender,woman,3,biodiversity,1759.245998348867,1007
gender,woman,4,biodiversity,1458.6893179284252,961
gender,woman,5,biodiversity,899.2871177440884,1085
gender,woman,6,biodiversity,1466.3320637034958,1109
gender,woman,7,biodiversity,1985.2329521262725,968
gender,woman,8,biodiversity,1607.8660322063547,1190
gender,woman,0,safety,1936.3769297950578,973
gender,woman,1,safety,1819.5801302670466,892
gender,woman,2,safety,947.5088445612189,974
gender,woman,3,safety,1866.2394259643336,921
gender,woman,4,safety,1352.5587269203068,1128
gender,woman,5,safety,1205.7624995442288,1204
gender,woman,6,safety,1891.4312526474903,769
gender,woman,7,safety,1507.452948455292,1143
gender,woman,8,safety,1604.7235686614374,1074
gender,other,0,living,1501.6122814939827,20
gender,other,1,living,1477.8326474553949,14
gender,other,2,living,1559.6877169797365,11
gender,other,3,living,1524.868195761585,8
gender,other,4,living,1452.0050612975522,6
gender,other,5,living,1535.3173554267205,13
gender,other,6,living,1549.0185390271658,20
gender,other,7,living,1464.2099894727012,15
gender,other,8,living,1440.0000189006398,11
gender,other,0,biodiversity,1426.340902031138,12
gender,other,1,biodiversity,1488.3743564552383,7
gender,other,2,biodiversity,1475.100081808235,12
gender,other,3,biodiversity,1568.4424019353853,14
gender,other,4,biodiversity,1525.1166623403312,16
gender,other,5,biodiversity,1499.6143910709204,10
gender,other,6,biodiversity,1452.0918460878183,12
gender,other,7,biodiversity,1548.1272647015799,8
gender,other,8,biodiversity,1511.9704279738364,9
gender,other,0,safety,1545.6580980866656,12
gender,other,1,safety,1536.0324709827398,11
gender,other,2,safety,1428.397867323748,16
gender,other,3,safety,1510.9581523366132,13
gender,other,4,safety,1464.7795547316114,13
gender,other,5,safety,1477.9498244253484,18
gender,other,6,safety,1450.5391061633845,16
gender,other,7,safety,1512.0702362343884,13
gender,other,8,safety,1570.7866367047648,8
age,younger,0,living,1818.1945324802832,577
age,younger,1,living,1501.0005764644864,579
age,younger,2,living,1875.5975544439252,571
age,younger,3,living,1276.7422117113363,460
age,younger,4,living,881.5353250548403,741
age,younger,5,living,1095.401049494357,560
age,younger,6,living,922.786835947643,343
age,younger,7,living,1598.8967360196189,365
age,younger,8,living,1406.5885423880677,480
age,younger,0,biodiversity,600.1677674136855,878
age,younger,1,biodiversity,1823.480931872608,707
age,younger,2,biodiversity,1360.6266356116844,877
age,younger,3,biodiversity,1971.964242070221,669
age,younger,4,biodiversity,1538.0531197669575,645
age,younger,5,biodiversity,1645.4146908120144,802
age,younger,6,biodiversity,1212.9795802080346,723
age,younger,7,biodiversity,1597.943791498763,656
age,younger,8,biodiversity,1681.929203583623,835
age,younger,0,safety,1838.4655448093258,672
age,younger,1,safety,1648.271299191949,642
age,younger,2,safety,295.80173772885365,668
age,younger,3,safety,1226.0871023905738,613
age,younger,4,safety,1716.2285882434317,705
age,younger,5,safety,1467.60546430035,824
age,younger,6,safety,1330.5651115158803,616
age,younger,7,safety,1565.0532043525882,858
age,younger,8,safety,1917.364710758132,716
age,middle,0,living,1417.1808985056114,850
age,middle,1,living,1957.2252922280481,884
age,middle,2,living,1875.8323946929602,852
age,middle,3,living,1298.610340789077,719
age,middle,4,living,1802.4641833803262,1064
age,middle,5,living,1754.6663711996885,778
age,middle,6,living,1443.4986595166072,440
age,middle,7,living,664.3794045502667,549
age,middle,8,living,1256.9746602997398,864
age,middle,0,biodiversity,1814.501777476722,1346
age,middle,1,biodiversity,1566.594426277958,1012
age,middle,2,biodiversity,1908.1412831756197,1305
age,middle,3,biodiversity,742.255525917907,1102
age,middle,4,biodiversity,1327.1777399589705,1007
age,middle,5,biodiversity,1887.651553229355,1213
age,middle,6,biodiversity,1935.113202058541,1144
age,middle,7,biodiversity,2050.9407251677367,976
age,middle,8,biodiversity,1229.855614437079,1245
age,middle,0,safety,1183.5201030366622,1106
age,middle,1,safety,1962.4304600235748,868
age,middle,2,safety,321.1233341433201,983
age,middle,3,safety,1600.226104237926,981
age,middle,4,safety,671.2237046588751,1195
age,middle,5,safety,609.0139093727931,1218
age,middle,6,safety,1713.2145518946224,804
age,middle,7,safety,1494.9125826175784,1136
age,middle,8,safety,1915.6201551864376,1107
age,older,0,living,1579.6915569177427,505
age,older,1,living,1659.0323501572987,457
age,older,2,living,1528.2717309215,481
age,older,3,living,1192.203245639624,316
age,older,4,living,1853.1582298522444,501
age,older,5,living,1392.047120441984,415
age,older,6,living,1325.4048975090825,208
age,older,7,living,963.9629176375092,291
age,older,8,living,1811.4219711281075,404
age,older,0,biodiversity,1713.8539965100238,663
age,older,1,biodiversity,1922.5408858752164,527
age,older,2,biodiversity,1836.5575047584457,662
age,older,3,biodiversity,1257.2431269558192,579
age,older,4,biodiversity,1161.168625047191,533
age,older,5,biodiversity,1250.8142238952414,504
age,older,6,biodiversity,1232.5644359804985,596
age,older,7,biodiversity,1528.0588570348962,520
age,older,8,biodiversity,1072.9070118289499,590
age,older,0,safety,1403.5878415896036,551
age,older,1,safety,1595.3090402374569,435
age,older,2,safety,1703.9466044674477,519
age,older,3,safety,1637.5464389436022,487
age,older,4,safety,1193.534561873225,597
age,older,5,safety,1755.125073089,596
age,older,6,safety,1834.5790703217203,412
age,older,7,safety,1222.3449675066731,603
age,older,8,safety,740.2771895697293,576
ethnicity,white,0,living,1764.2163900514047,1658
ethnicity,white,1,living,2027.8736192515134,1634
ethnicity,white,2,living,2091.304141836398,1642
ethnicity,white,3,living,130.24893891506093,1275
ethnicity,white,4,living,2193.345620336794,1976
ethnicity,white,5,living,794.7392367487483,1519
ethnicity,white,6,living,98.32884263372664,833
ethnicity,white,7,living,214.57106426477372,1020
ethnicity,white,8,living,829.2482079035956,1545
ethnicity,white,0,biodiversity,1828.7667124355696,2488
ethnicity,white,1,biodiversity,2290.2953640516557,1978
ethnicity,white,2,biodiversity,2236.243904142338,2451
ethnicity,white,3,biodiversity,2068.431440250406,2017
ethnicity,white,4,biodiversity,144.72172909668402,1869
ethnicity,white,5,biodiversity,2050.9815775042925,2187
ethnicity,white,6,biodiversity,484.69047789814715,2094
ethnicity,white,7,biodiversity,2214.0904870309996,1901
ethnicity,white,8,biodiversity,2148.375284804411,2333
ethnicity,white,0,safety,1526.5793759174333,2018
ethnicity,white,1,safety,2143.2608667844897,1671
ethnicity,white,2,safety,817.3394095741949,1890
ethnicity,white,3,safety,1572.317902543783,1825
ethnicity,white,4,safety,-35.51721108305995,2189
ethnicity,white,5,safety,1176.3655624765136,2271
ethnicity,white,6,safety,1930.26931866746,1559
ethnicity,white,7,safety,1565.1378461992226,2218
ethnicity,white,8,safety,2026.2508590621383,2099
ethnicity,other,0,living,1468.8499774591985,208
ethnicity,other,1,living,1322.572649918946,208
ethnicity,other,2,living,1666.2281041498825,202
ethnicity,other,3,living,1560.1500631053782,153
ethnicity,other,4,living,1169.9357677358576,240
ethnicity,other,5,living,1580.2439941978485,164
ethnicity,other,6,living,1604.5423943697847,117
ethnicity,other,7,living,1357.043019313182,138
ethnicity,other,8,living,1725.3928123400015,148
ethnicity,other,0,biodiversity,1348.0446294166334,287
ethnicity,other,1,biodiversity,1767.4669966396768,185
ethnicity,other,2,biodiversity,1503.3160620552674,277
ethnicity,other,3,biodiversity,1572.4706698949255,264
ethnicity,other,4,biodiversity,1403.4952150811253,235
ethnicity,other,5,biodiversity,1188.4513778003866,232
ethnicity,other,6,biodiversity,1729.3800999760701,262
ethnicity,other,7,biodiversity,1556.3759311115086,169
ethnicity,other,8,biodiversity,1523.8144173595533,249
ethnicity,other,0,safety,1723.2942638394784,225
ethnicity,other,1,safety,1615.0818882748774,199
ethnicity,other,2,safety,991.1227197924059,197
ethnicity,other,3,safety,1357.63079063718,182
ethnicity,other,4,safety,1679.5659303278467,199
ethnicity,other,5,safety,1444.8115719089744,276
ethnicity,other,6,safety,1488.5054529695192,174
ethnicity,other,7,safety,1336.9334345387588,282
ethnicity,other,8,safety,1649.689217746272,208
education,sixteen,0,living,1639.1991360401084,150
education,sixteen,1,living,1685.862265470762,138
education,sixteen,2,living,1614.317943878508,144
education,sixteen,3,living,1529.4554120117857,111
education,sixteen,4,living,1432.2327043555442,148
education,sixteen,5,living,1299.259070292706,132
education,sixteen,6,living,1320.7887783163173,51
education,sixteen,7,living,1571.5768198267954,91
education,sixteen,8,living,1453.6917994757846,125
education,sixteen,0,biodiversity,1639.7405567662497,204
education,sixteen,1,biodiversity,1556.391629926848,169
education,sixteen,2,biodiversity,1535.9533274979678,176
education,sixteen,3,biodiversity,1694.605857042968,160
education,sixteen,4,biodiversity,1308.382921568144,144
education,sixteen,5,biodiversity,1430.2706254195193,161
education,sixteen,6,biodiversity,1654.4168545318266,187
education,sixteen,7,biodiversity,1577.9788099082994,148
education,sixteen,8,biodiversity,1175.7311695853487,183
education,sixteen,0,safety,1540.2395126224988,180
education,sixteen,1,safety,1632.5657995610895,121
education,sixteen,2,safety,1395.8355705273393,169
education,sixteen,3,safety,1484.834060839257,175
education,sixteen,4,safety,1342.534755404438,163
education,sixteen,5,safety,1467.2047408274896,197
education,sixteen,6,safety,1702.9931518968292,97
education,sixteen,7,safety,1608.2401173041187,165
education,sixteen,8,safety,1521.105418821308,183
education,eighteen,0,living,1119.7922727113441,362
education,eighteen,1,living,1808.857989436658,325
education,eighteen,2,living,1713.0997760289054,331
education,eighteen,3,living,1655.9043270645059,282
education,eighteen,4,living,1596.0104665495028,406
education,eighteen,5,living,1242.9165858466397,326
education,eighteen,6,living,1526.06396145465,180
education,eighteen,7,living,1206.1450608624561,254
education,eighteen,8,living,1177.9617891283344,344
education,eighteen,0,biodiversity,1502.218787702129,580
education,eighteen,1,biodiversity,1689.4977563325358,400
education,eighteen,2,biodiversity,1719.4504810557944,501
education,eighteen,3,biodiversity,1651.5873761632192,426
education,eighteen,4,biodiversity,1358.9318377947034,444
education,eighteen,5,biodiversity,1331.3851094724469,399
education,eighteen,6,biodiversity,1119.591164969476,416
education,eighteen,7,biodiversity,1872.5115100025478,416
education,eighteen,8,biodiversity,1225.2059336936481,510
education,eighteen,0,safety,1654.5667382521613,416
education,eighteen,1,safety,1818.520781425579,339
education,eighteen,2,safety,887.5090733249853,387
education,eighteen,3,safety,1303.7462529988352,383
education,eighteen,4,safety,1742.8007174838515,466
education,eighteen,5,safety,1326.0424620586948,515
education,eighteen,6,safety,1463.601196983135,356
education,eighteen,7,safety,1368.479384451646,456
