demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,350.18336700331884,1237
global,global,1,living,2293.2123528323255,2244
global,global,2,living,144.07439697056685,2072
global,global,3,living,1789.4881523275935,2163
global,global,4,living,1431.8956388151198,2492
global,global,5,living,867.356487162723,2185
global,global,6,living,2058.2015346648386,1910
global,global,7,living,2107.6666217110755,2332
global,global,8,living,1865.7970780558342,2777
global,global,0,biodiversity,1901.0698707591123,2057
global,global,1,biodiversity,2221.879390907767,2231
global,global,2,biodiversity,1990.2376723835603,2553
global,global,3,biodiversity,1368.100408389172,1747
global,global,4,biodiversity,1822.521479196395,2543
global,global,5,biodiversity,670.8697418916398,2142
global,global,6,biodiversity,624.3174921961014,2372
global,global,7,biodiversity,1426.4786276902348,1860
global,global,8,biodiversity,2078.0410552104718,1399
global,global,0,safety,2041.8543914197846,3015
global,global,1,safety,1089.8232220741202,2988
global,global,2,safety,1934.9621227379664,2978
global,global,3,safety,2055.0109588763794,2437
global,global,4,safety,2236.2443344601124,2848
global,global,5,safety,2403.520144004841,2563
global,global,6,safety,2156.3236889664477,2703
global,global,7,safety,918.4122697124836,2653
global,global,8,safety,1762.1081080341496,2799
gender,man,0,living,632.2175475179744,586
gender,man,1,living,1904.3880470267864,1126
gender,man,2,living,706.7368704313113,1071
gender,man,3,living,1441.7626752585436,1089
gender,man,4,living,1547.2964489219207,1309
gender,man,5,living,1525.179299554121,1172
gender,man,6,living,1990.9680349849507,955
gender,man,7,living,1937.8769490166487,1230
gender,man,8,living,2050.008149574338,1382
gender,man,0,biodiversity,1326.2012670363624,1030
gender,man,1,biodiversity,1917.3798175878794,1089
gender,man,2,biodiversity,1750.6584704756228,1281
gender,man,3,biodiversity,1723.8028756796098,991
gender,man,4,biodiversity,1518.8066584890823,1307
gender,man,5,biodiversity,1441.549713578124,1096
gender,man,6,biodiversity,1050.1813539750876,1228
gender,man,7,biodiversity,1255.946054592144,980
gender,man,8,biodiversity,2004.0527287655414,660
gender,man,0,safety,1342.479857472992,1520
gender,man,1,safety,1624.5921233260858,1530
gender,man,2,safety,1871.4483823253945,1460
gender,man,3,safety,1130.2699321380567,1236
gender,man,4,safety,1266.5428720876919,1514
gender,man,5,safety,2113.3702531420236,1365
gender,man,6,safety,2013.991524665048,1383
gender,man,7,safety,906.3850145153464,1405
gender,man,8,safety,1682.4135304814395,1429
gender,woman,0,living,1395.6557513750372,561
gender,woman,1,living,1921.7009753244533,889
gender,woman,2,living,1211.7213450017239,824
gender,woman,3,living,1639.075713394398,939
gender,woman,4,living,1832.856818154613,1027
gender,woman,5,living,1129.9019891693345,849
gender,woman,6,living,1890.1138406505488,772
gender,woman,7,living,1937.761639522783,923
gender,woman,8,living,1103.0163797732757,1102
gender,woman,0,biodiversity,1678.2086618757014,804
gender,woman,1,biodiversity,2028.5468262795255,925
gender,woman,2,biodiversity,1826.3370978936962,1026
gender,woman,3,biodiversity,1089.6430718111535,653
gender,woman,4,biodiversity,1515.4659384373194,1056
gender,woman,5,biodiversity,1487.0820754223566,847
gender,woman,6,biodiversity,1545.5442942985833,1020
gender,woman,7,biodiversity,1573.774532199252,793
gender,woman,8,biodiversity,1697.8495116718534,616
gender,woman,0,safety,1580.7384254682468,1198
gender,woman,1,safety,324.47179103269775,1159
gender,woman,2,safety,1005.6497024494358,1228
gender,woman,3,safety,1879.505110370947,953
gender,woman,4,safety,1896.602675591104,1113
gender,woman,5,safety,1653.3580387302013,1073
gender,woman,6,safety,1435.4304281838645,976
gender,woman,7,safety,786.527977694761,1029
gender,woman,8,safety,1938.2305407372962,1113
gender,other,0,living,1487.0553774547498,13
gender,other,1,living,1570.6957181862265,8
gender,other,2,living,1522.8891679906444,16
gender,other,3,living,1503.232497102987,10
gender,other,4,living,1540.0843753796044,21
gender,other,5,living,1449.5135653194384,15
gender,other,6,living,1500.6874007101876,12
gender,other,7,living,1476.0774388717316,14
gender,other,8,living,1464.240838315405,13
gender,other,0,biodiversity,1582.214929918111,9
gender,other,1,biodiversity,1519.769036370359,14
gender,other,2,biodiversity,1476.2501712211429,10
gender,other,3,biodiversity,1433.0898008316224,13
gender,other,4,biodiversity,1532.3704843524577,19
gender,other,5,biodiversity,1413.314162814074,9
gender,other,6,biodiversity,1461.471267472116,11
gender,other,7,biodiversity,1556.3539446504344,15
gender,other,8,biodiversity,1500.0864382837126,14
gender,other,0,safety,1526.4904551732566,12
gender,other,1,safety,1514.7881891797178,15
gender,other,2,safety,1475.8025507286388,14
gender,other,3,safety,1499.7772215486857,12
gender,other,4,safety,1487.809579727875,7
gender,other,5,safety,1463.0023655105572,11
gender,other,6,safety,1562.4279107363784,15
gender,other,7,safety,1439.172385326556,7
gender,other,8,safety,1539.4333922251126,9
age,younger,0,living,1761.710168396617,397
age,younger,1,living,1838.997425602283,636
age,younger,2,living,1086.3658884932427,570
age,younger,3,living,1366.522266741283,590
age,younger,4,living,933.5783630743626,725
age,younger,5,living,1618.5426702892405,622
age,younger,6,living,1793.1558224768585,514
age,younger,7,living,1577.447206158415,687
age,younger,8,living,1717.8352751616599,827
age,younger,0,biodiversity,1405.4817049420549,556
age,younger,1,biodiversity,1908.9651638188004,598
age,younger,2,biodiversity,1734.8842950231526,687
age,younger,3,biodiversity,1317.3024909614612,474
age,younger,4,biodiversity,1710.5442284302922,661
age,younger,5,biodiversity,1143.7486932331124,552
age,younger,6,biodiversity,1525.984996555037,645
age,younger,7,biodiversity,1376.2991327590303,526
age,younger,8,biodiversity,1755.7546984603068,423
age,younger,0,safety,1503.8227128665235,866
age,younger,1,safety,1615.5185545887337,797
age,younger,2,safety,1830.510752213178,858
age,younger,3,safety,719.4018345873694,623
age,younger,4,safety,1930.7675695223847,768
age,younger,5,safety,1802.600629944303,800
age,younger,6,safety,1756.7004315648044,789
age,younger,7,safety,1390.9333196384798,760
age,younger,8,safety,1865.0047185855835,831
age,middle,0,living,445.40672052974367,477
age,middle,1,living,1404.500196542311,920
age,middle,2,living,1643.626922918564,883
age,middle,3,living,1287.454380291015,942
age,middle,4,living,1808.634168912157,1123
age,middle,5,living,1037.1562986231763,925
age,middle,6,living,1946.8456390048386,789
age,middle,7,living,1842.715951342778,1022
age,middle,8,living,1916.1242426004035,1099
age,middle,0,biodiversity,1708.9893297192953,818
age,middle,1,biodiversity,1994.1582704022371,888
age,middle,2,biodiversity,1570.4731545995705,1030
age,middle,3,biodiversity,1540.2222894503261,794
age,middle,4,biodiversity,1351.0205839155249,1150
age,middle,5,biodiversity,1311.9709862668653,990
age,middle,6,biodiversity,386.43157685484255,1042
age,middle,7,biodiversity,1821.371405677302,828
age,middle,8,biodiversity,1795.5454122409399,574
age,middle,0,safety,1770.0215610624782,1254
age,middle,1,safety,1472.873114699445,1268
age,middle,2,safety,1503.4947545346158,1239
age,middle,3,safety,1828.8756546291838,1023
age,middle,4,safety,678.7878347321036,1263
age,middle,5,safety,2016.1494541414213,1093
age,middle,6,safety,1070.1697998130437,1085
age,middle,7,safety,221.25738198360665,1087
age,middle,8,safety,1954.3340543055838,1142
age,older,0,living,1215.5538499504792,282
age,older,1,living,1864.3824440654503,458
age,older,2,living,918.970442933217,458
age,older,3,living,1537.5118832893281,499
age,older,4,living,1813.6652801029468,506
age,older,5,living,1639.3235830082535,491
age,older,6,living,1359.8101538389994,431
age,older,7,living,1692.0311472014716,452
age,older,8,living,1262.765299516474,567
age,older,0,biodiversity,1602.9470377686728,469
age,older,1,biodiversity,1628.9029716447012,534
age,older,2,biodiversity,1520.285336087999,591
age,older,3,biodiversity,1495.1169610925922,385
age,older,4,biodiversity,1152.6616251839241,560
age,older,5,biodiversity,1841.444372033897,400
age,older,6,biodiversity,1484.9032536744353,560
age,older,7,biodiversity,1668.3597815594176,424
age,older,8,biodiversity,1722.0924348595534,289
age,older,0,safety,1567.8381439439647,599
age,older,1,safety,1326.0119423260994,633
age,older,2,safety,1881.2909368830385,593
age,older,3,safety,1502.3291460973985,544
age,older,4,safety,1662.0257914179783,602
age,older,5,safety,1624.8315247042256,552
age,older,6,safety,1794.4684897120696,494
age,older,7,safety,1525.4055385732465,583
age,older,8,safety,1459.4371634083154,572
ethnicity,white,0,living,353.74048824406725,998
ethnicity,white,1,living,2141.252958264524,1771
ethnicity,white,2,living,547.6255055057162,1638
ethnicity,white,3,living,1422.2799851751756,1725
ethnicity,white,4,living,2027.313561332428,2038
ethnicity,white,5,living,1237.5881623277628,1785
ethnicity,white,6,living,1954.7387043519823,1521
ethnicity,white,7,living,2175.2527869479363,1841
ethnicity,white,8,living,1763.9376924477097,2157
ethnicity,white,0,biodiversity,1693.1586305538901,1566
ethnicity,white,1,biodiversity,2120.2757456385652,1748
ethnicity,white,2,biodiversity,2041.1149053796955,2004
ethnicity,white,3,biodiversity,1360.9238419938179,1398
ethnicity,white,4,biodiversity,978.5413446683319,2060
ethnicity,white,5,biodiversity,916.5435257446068,1660
ethnicity,white,6,biodiversity,936.7979274345943,1939
ethnicity,white,7,biodiversity,309.4078768882371,1510
ethnicity,white,8,biodiversity,2004.9571936549453,1089
ethnicity,white,0,safety,1424.554869554654,2400
ethnicity,white,1,safety,684.0831937113674,2340
ethnicity,white,2,safety,1489.7194027663234,2318
ethnicity,white,3,safety,2024.5165982945255,1932
ethnicity,white,4,safety,1856.940799172172,2310
ethnicity,white,5,safety,2178.009129990136,2085
ethnicity,white,6,safety,2205.2425895185065,2049
ethnicity,white,7,safety,195.7626299735583,2089
ethnicity,white,8,safety,1778.440409927391,2189
ethnicity,other,0,living,1521.0279862846148,122
ethnicity,other,1,living,1765.4517600424308,174
ethnicity,other,2,living,1345.1163680618195,203
ethnicity,other,3,living,1427.6740744229319,257
ethnicity,other,4,living,1363.191146573466,231
ethnicity,other,5,living,1056.9429402255482,170
ethnicity,other,6,living,1701.6402784690827,136
ethnicity,other,7,living,1650.2780620953247,236
ethnicity,other,8,living,1269.2336292913199,243
ethnicity,other,0,biodiversity,1487.259915800115,199
ethnicity,other,1,biodiversity,1456.858880926221,190
ethnicity,other,2,biodiversity,1184.0213894360668,206
ethnicity,other,3,biodiversity,1491.6584453793623,172
ethnicity,other,4,biodiversity,1684.5119083962784,229
ethnicity,other,5,biodiversity,1629.2831891230771,198
ethnicity,other,6,biodiversity,1365.2157982781978,242
ethnicity,other,7,biodiversity,1765.560819379724,204
ethnicity,other,8,biodiversity,1408.0424867811687,152
ethnicity,other,0,safety,1429.7543915953179,223
ethnicity,other,1,safety,1313.7050461035396,250
ethnicity,other,2,safety,1689.3689384929883,277
ethnicity,other,3,safety,1545.6194940115506,187
ethnicity,other,4,safety,1725.52962374614,213
ethnicity,other,5,safety,1572.7233485675408,248
ethnicity,other,6,safety,1028.4202964996434,219
ethnicity,other,7,safety,1514.8410159176303,246
ethnicity,other,8,safety,1635.7218649305598,253
education,sixteen,0,living,1373.1028995157135,109
education,sixteen,1,living,1650.8864924934699,143
education,sixteen,2,living,1418.8831570117284,101
education,sixteen,3,living,1550.3485229356422,160
education,sixteen,4,living,1391.6678490120153,181
education,sixteen,5,living,1569.24103308711,147
education,sixteen,6,living,1503.5538013794308,132
education,sixteen,7,living,1715.7191453091602,110
education,sixteen,8,living,1454.4217022688429,159
education,sixteen,0,biodiversity,1603.4361028356618,116
education,sixteen,1,biodiversity,1574.2984538689973,161
education,sixteen,2,biodiversity,1543.963219908076,159
education,sixteen,3,biodiversity,1413.048179882739,124
education,sixteen,4,biodiversity,1363.1532937397997,157
education,sixteen,5,biodiversity,1441.3456216295156,114
education,sixteen,6,biodiversity,1628.1670868109427,156
education,sixteen,7,biodiversity,1501.7559438415226,160
education,sixteen,8,biodiversity,1662.8984853233947,85
education,sixteen,0,safety,1568.7698127265455,212
education,sixteen,1,safety,1530.8309262157184,187
education,sixteen,2,safety,1656.5134587396167,190
education,sixteen,3,safety,1429.6795911494567,160
education,sixteen,4,safety,1438.8091549763838,196
education,sixteen,5,safety,1634.3399276755283,161
education,sixteen,6,safety,1721.965616169683,153
education,sixteen,7,safety,1200.4589078352237,184
education,sixteen,8,safety,1316.2107311490188,155
education,eighteen,0,living,959.1059771987351,198
education,eighteen,1,living,1535.6021055660212,372
education,eighteen,2,living,1682.9967360469059,352
education,eighteen,3,living,1471.6804394666553,410
education,eighteen,4,living,1851.1176004204135,444
education,eighteen,5,living,1363.2056539595785,396
education,eighteen,6,living,820.1129416082473,370
education,eighteen,7,living,1739.763323550427,383
education,eighteen,8,living,1599.3616744508338,419
education,eighteen,0,biodiversity,1768.0497055429687,359
education,eighteen,1,biodiversity,1624.2300864105807,381
education,eighteen,2,biodiversity,1543.489603736084,454
education,eighteen,3,biodiversity,1521.2428841963201,329
education,eighteen,4,biodiversity,1727.2274276120531,472
education,eighteen,5,biodiversity,1296.3843475507795,386
education,eighteen,6,biodiversity,1373.7979059811707,417
education,eighteen,7,biodiversity,1347.7457685852844,356
education,eighteen,8,biodiversity,1791.9014160189377,244
education,eighteen,0,safety,1633.3282132486831,475
education,eighteen,1,safety,1230.2157953094293,492
education,eighteen,2,safety,1771.646257258834,451
education,eighteen,3,safety,1731.9768581334536,375
education,eighteen,4,safety,1074.6687285037574,496
education,eighteen,5,safety,1804.4365855237688,415
education,eighteen,6,safety,1591.7797159354877,406
education,eighteen,7,safety,1310.819293086875,396
education,eighteen,8,safety,1500.5898672136655,394
education,older,0,living,971.730965570617,833
education,older,1,living,1953.0794876541756,1482
education,older,2,living,915.1734723430062,1435
education,older,3,living,1853.554218723756,1447
education,older,4,living,1404.8058116595798,1707
education,older,5,living,1595.6949594761786,1458
education,older,6,living,2201.330193369848,1217
education,older,7,living,1670.3462958595655,1650
education,older,8,living,1521.4380105567902,1881
education,older,0,biodiversity,1377.3697478677489,1341
education,older,1,biodiversity,2168.7794238798897,1451
education,older,2,biodiversity,2056.9553771492533,1665
education,older,3,biodiversity,1570.6593184906942,1186
education,older,4,biodiversity,1592.6009613162719,1729
education,older,5,biodiversity,1608.2879745972202,1425
education,older,6,biodiversity,917.5648100159636,1654
education,older,7,biodiversity,1833.2091812537358,1252
education,older,8,biodiversity,1787.3304912129006,945
education,older,0,safety,1854.6163063924257,2013
education,older,1,safety,1915.9204198163388,2000
education,older,2,safety,1772.2685010528232,2022
education,older,3,safety,2101.796589856662,1639
