demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1973.5726937211894,2694
global,global,1,living,-257.37925755436964,1670
global,global,2,living,2192.1413976200465,2196
global,global,3,living,-321.45196447209037,2157
global,global,4,living,1782.6608645168096,2273
global,global,5,living,962.2313459736323,2063
global,global,6,living,2128.9596047516807,1610
global,global,7,living,1809.9463229725116,2273
global,global,8,living,1710.0482076321875,2784
global,global,0,biodiversity,2255.361259082107,2121
global,global,1,biodiversity,642.6743160946703,2308
global,global,2,biodiversity,1047.3706854511013,2899
global,global,3,biodiversity,2041.5669088007999,2431
global,global,4,biodiversity,1101.2443673075718,2680
global,global,5,biodiversity,257.99951533883,2098
global,global,6,biodiversity,2120.659267162769,1536
global,global,7,biodiversity,1326.24792999139,2490
global,global,8,biodiversity,1524.3126188375784,2717
global,global,0,safety,917.8546492611101,2099
global,global,1,safety,1644.9825085997343,2627
global,global,2,safety,559.519937885331,2845
global,global,3,safety,1341.265696624242,3028
global,global,4,safety,2212.256620857186,2050
global,global,5,safety,1997.0100478570387,2409
global,global,6,safety,29.7851846169427,1680
global,global,7,safety,2347.6616893324945,2168
global,global,8,safety,480.952901679816,3394
gender,man,0,living,1793.5689770773367,1415
gender,man,1,living,-84.97969339205454,855
gender,man,2,living,1536.1682448317445,1152
gender,man,3,living,396.0897693875904,1072
gender,man,4,living,1998.6504841302735,1084
gender,man,5,living,1396.0429309526055,1083
gender,man,6,living,1953.4617801352128,833
gender,man,7,living,1669.872550909553,1083
gender,man,8,living,1415.1566558051525,1349
gender,man,0,biodiversity,1879.7577237680284,1015
gender,man,1,biodiversity,1361.0109178260561,1171
gender,man,2,biodiversity,1441.6581012622196,1453
gender,man,3,biodiversity,1804.2165596408165,1320
gender,man,4,biodiversity,1235.6811361236014,1480
gender,man,5,biodiversity,1714.5014061424852,1014
gender,man,6,biodiversity,1994.11474146394,724
gender,man,7,biodiversity,1080.9783592681065,1311
gender,man,8,biodiversity,1479.917463164974,1464
gender,man,0,safety,1567.726805103104,1091
gender,man,1,safety,1686.4172434728005,1392
gender,man,2,safety,767.3745854592294,1473
gender,man,3,safety,1871.955407979057,1538
gender,man,4,safety,1775.145100613339,1047
gender,man,5,safety,1282.8263900962997,1297
gender,man,6,safety,1916.152510523113,925
gender,man,7,safety,2050.204196095311,1058
gender,man,8,safety,1478.224426099917,1725
gender,woman,0,living,1103.0658770080356,1062
gender,woman,1,living,1223.7180008446649,719
gender,woman,2,living,2008.7182811293317,871
gender,woman,3,living,1465.6419340897648,933
gender,woman,4,living,1627.1378090429635,975
gender,woman,5,living,1001.1771694475765,871
gender,woman,6,living,1680.394931012714,643
gender,woman,7,living,1952.148985144383,873
gender,woman,8,living,1713.3854019913963,1115
gender,woman,0,biodiversity,968.0990856230895,887
gender,woman,1,biodiversity,1180.9970904089237,972
gender,woman,2,biodiversity,754.4689697632929,1169
gender,woman,3,biodiversity,2007.5937017252847,949
gender,woman,4,biodiversity,1834.0064463226713,1011
gender,woman,5,biodiversity,422.0574933067869,826
gender,woman,6,biodiversity,1621.3029574300879,614
gender,woman,7,biodiversity,1288.464161488245,1002
gender,woman,8,biodiversity,1788.6950632786788,1082
gender,woman,0,safety,713.4391750274324,822
gender,woman,1,safety,1727.3182096606304,1018
gender,woman,2,safety,1613.6525952781042,1155
gender,woman,3,safety,1110.6761888597591,1274
gender,woman,4,safety,1856.0482974547942,815
gender,woman,5,safety,1990.3111896924704,887
gender,woman,6,safety,-211.19170239659326,665
gender,woman,7,safety,1845.6225279855469,860
gender,woman,8,safety,617.4646607659614,1398
gender,other,0,living,1449.2716843447295,16
gender,other,1,living,1487.9788683954746,9
gender,other,2,living,1571.722783114269,10
gender,other,3,living,1464.187419659232,9
gender,other,4,living,1546.3596887274448,10
gender,other,5,living,1500.8388593651614,14
gender,other,6,living,1525.4708642086543,16
gender,other,7,living,1428.0976893150605,6
gender,other,8,living,1521.3416369853587,20
gender,other,0,biodiversity,1504.642585741448,18
gender,other,1,biodiversity,1537.2203261627967,15
gender,other,2,biodiversity,1536.6765045666027,19
gender,other,3,biodiversity,1453.204900090837,10
gender,other,4,biodiversity,1439.9989433415617,7
gender,other,5,biodiversity,1488.202396504942,11
gender,other,6,biodiversity,1563.119342617205,7
gender,other,7,biodiversity,1476.4952710178447,12
gender,other,8,biodiversity,1511.8583917534056,21
gender,other,0,safety,1475.1585816652412,10
gender,other,1,safety,1500.7270853425025,20
gender,other,2,safety,1487.8973278632784,13
gender,other,3,safety,1569.3040568689632,14
gender,other,4,safety,1512.0418589694061,9
gender,other,5,safety,1536.5539602196707,17
gender,other,6,safety,1434.5844020630325,11
gender,other,7,safety,1427.6731216756916,6
gender,other,8,safety,1548.0964423645678,8
age,younger,0,living,1420.101257686632,778
age,younger,1,living,912.3068309893978,490
age,younger,2,living,1964.7221244924608,577
age,younger,3,living,1038.226376119763,624
age,younger,4,living,1640.580836753788,648
age,younger,5,living,1359.807104818086,602
age,younger,6,living,1775.2305593257029,449
age,younger,7,living,950.6494689976566,589
age,younger,8,living,1377.5467014967744,743
age,younger,0,biodiversity,1907.161412157446,596
age,younger,1,biodiversity,1276.5306152277235,613
age,younger,2,biodiversity,1743.7769062966727,798
age,younger,3,biodiversity,1583.3826468036668,754
age,younger,4,biodiversity,1447.4036998828858,763
age,younger,5,biodiversity,1051.3773546033901,606
age,younger,6,biodiversity,1817.246674113233,391
age,younger,7,biodiversity,932.0158126064546,705
age,younger,8,biodiversity,1300.006777102948,838
age,younger,0,safety,495.99765603041084,526
age,younger,1,safety,1206.3269434697802,777
age,younger,2,safety,1072.7568012603908,739
age,younger,3,safety,1743.283033217706,886
age,younger,4,safety,1705.853305841259,609
age,younger,5,safety,1964.3406206393224,653
age,younger,6,safety,1496.6607549117502,504
age,younger,7,safety,1824.7537807804279,620
age,younger,8,safety,1268.9853807165782,904
age,middle,0,living,527.2113790248495,1145
age,middle,1,living,1227.4956758568678,756
age,middle,2,living,1614.9631039549504,913
age,middle,3,living,474.06193463109275,889
age,middle,4,living,1817.798552503428,921
age,middle,5,living,1346.7604123489316,918
age,middle,6,living,1975.6331751413811,678
age,middle,7,living,1856.7981310314617,895
age,middle,8,living,590.1493419957628,1185
age,middle,0,biodiversity,1858.8540063387875,868
age,middle,1,biodiversity,600.0699640429405,1015
age,middle,2,biodiversity,789.4043471116454,1225
age,middle,3,biodiversity,1922.722265452108,989
age,middle,4,biodiversity,1106.9199965562184,1193
age,middle,5,biodiversity,1192.7388572461878,882
age,middle,6,biodiversity,1947.324461125259,667
age,middle,7,biodiversity,1664.05151288574,1054
age,middle,8,biodiversity,1654.3765971613243,1113
age,middle,0,safety,1726.102355716298,918
age,middle,1,safety,1953.5099528043725,1074
age,middle,2,safety,1501.1654074876253,1274
age,middle,3,safety,1559.4054733753874,1322
age,middle,4,safety,1776.2856238629104,812
age,middle,5,safety,1629.0790038154423,1034
age,middle,6,safety,317.6326228874729,712
age,middle,7,safety,2021.5725898463318,831
age,middle,8,safety,1485.248529091436,1465
age,older,0,living,1789.521645268961,562
age,older,1,living,1173.6562405326051,337
age,older,2,living,1681.1560169762251,544
age,older,3,living,1470.318470242559,495
age,older,4,living,1503.4223096177045,494
age,older,5,living,1039.2131898352425,444
age,older,6,living,1531.9744807290294,359
age,older,7,living,1624.7393790002768,474
age,older,8,living,1885.0268595596722,547
age,older,0,biodiversity,1355.3805711588707,451
age,older,1,biodiversity,1719.072841558005,526
age,older,2,biodiversity,1292.4405653574001,614
age,older,3,biodiversity,1666.1323090599499,524
age,older,4,biodiversity,1850.0807701662814,526
age,older,5,biodiversity,712.5026593394251,356
age,older,6,biodiversity,1584.8066148180278,286
age,older,7,biodiversity,1326.6013100679063,553
age,older,8,biodiversity,1772.2583273530174,606
age,older,0,safety,1616.9724857782494,476
