demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2425.578919721437,2963
global,global,1,living,2141.7546386018585,2760
global,global,2,living,1852.3678472858721,2965
global,global,3,living,2495.9707929785723,2624
global,global,4,living,1566.6318972584666,2770
global,global,5,living,2276.1992905164943,2543
global,global,6,living,2228.6393406260986,2724
global,global,7,living,1470.3143769027636,2604
global,global,8,living,2369.18996771823,2845
global,global,0,biodiversity,2185.8159760541394,1649
global,global,1,biodiversity,1115.0873504708513,2384
global,global,2,biodiversity,740.6734159899049,2271
global,global,3,biodiversity,2125.620688384528,2056
global,global,4,biodiversity,260.9534426046581,2009
global,global,5,biodiversity,1646.546981277416,1439
global,global,6,biodiversity,864.3657425242507,2070
global,global,7,biodiversity,1795.929879716092,1797
global,global,8,biodiversity,1177.0247058951488,1713
global,global,0,safety,2267.2026942183643,1627
global,global,1,safety,873.433696253049,2071
global,global,2,safety,1164.2203612617354,2516
global,global,3,safety,2156.909762806702,2506
global,global,4,safety,1828.407259839757,1852
global,global,5,safety,1840.2981762887994,2516
global,global,6,safety,1498.5545506524347,2553
global,global,7,safety,2099.53538788308,2959
global,global,8,safety,1045.7787056099512,2514
gender,man,0,living,1845.2435852727426,1509
gender,man,1,living,1579.038773085083,1408
gender,man,2,living,1160.6803596029386,1487
gender,man,3,living,1708.664613963988,1333
gender,man,4,living,1053.9267647103857,1530
gender,man,5,living,2025.788893680059,1279
gender,man,6,living,1229.8469320683603,1313
gender,man,7,living,1882.9361539719923,1284
gender,man,8,living,1626.3473298938036,1463
gender,man,0,biodiversity,1319.6770865046299,834
gender,man,1,biodiversity,1108.2236287658832,1227
gender,man,2,biodiversity,607.9366833351348,1165
gender,man,3,biodiversity,1880.3428024747232,1027
gender,man,4,biodiversity,529.8714818891892,1025
gender,man,5,biodiversity,1806.7553477877336,698
gender,man,6,biodiversity,1662.7829729864877,1058
gender,man,7,biodiversity,1852.1574980812609,954
gender,man,8,biodiversity,1690.6516532946987,814
gender,man,0,safety,1988.474672043103,853
gender,man,1,safety,1428.2601473071913,1144
gender,man,2,safety,1645.5038352484166,1423
gender,man,3,safety,1706.3512823461904,1328
gender,man,4,safety,1740.557418259931,946
gender,man,5,safety,2037.1578358561435,1273
gender,man,6,safety,1930.4301225433876,1271
gender,man,7,safety,1634.6510665590642,1493
gender,man,8,safety,1010.3212189559282,1285
gender,woman,0,living,992.7715944337589,1212
gender,woman,1,living,1644.7874090994399,1131
gender,woman,2,living,1883.1951583014584,1188
gender,woman,3,living,1585.6156138838485,1056
gender,woman,4,living,1619.600679671072,1082
gender,woman,5,living,1388.397975683284,1015
gender,woman,6,living,2056.6184329770585,1057
gender,woman,7,living,271.97540343818406,1073
gender,woman,8,living,1816.7150131250653,1152
gender,woman,0,biodiversity,1961.4266551223989,656
gender,woman,1,biodiversity,1864.821422822053,972
gender,woman,2,biodiversity,1157.5819556140411,916
