demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1316.115758041939,2274
global,global,1,living,1832.2306550319358,2272
global,global,2,living,1735.1134130327619,2048
global,global,3,living,2085.9262520269003,1466
global,global,4,living,-206.30792842888013,1618
global,global,5,living,1566.749903309017,2236
global,global,6,living,1651.9934225782624,2067
global,global,7,living,1435.4880065802556,2364
global,global,8,living,2163.1889848550136,1641
global,global,0,biodiversity,1403.9738217716827,1933
global,global,1,biodiversity,2414.281898935705,2629
global,global,2,biodiversity,1188.6052180084112,2371
global,global,3,biodiversity,2215.5491994025,1961
global,global,4,biodiversity,2224.603406230534,2307
global,global,5,biodiversity,-165.71135658642459,1249
global,global,6,biodiversity,1866.410805401694,2861
global,global,7,biodiversity,1581.3633254149363,2806
global,global,8,biodiversity,1359.4470054872047,2711
global,global,0,safety,1489.1700699398746,3020
global,global,1,safety,2262.645965280252,2265
global,global,2,safety,2337.1787432856745,2631
global,global,3,safety,-449.0745644692835,1669
global,global,4,safety,1417.0874655015016,2849
global,global,5,safety,1683.0385271757052,3113
global,global,6,safety,1914.790673568229,2975
global,global,7,safety,2022.0892574253537,2716
global,global,8,safety,1434.0331956660132,3248
gender,man,0,living,1752.3895621757479,1145
gender,man,1,living,1655.6486774189564,1197
gender,man,2,living,1586.98329100993,991
gender,man,3,living,1839.395330502287,832
gender,man,4,living,953.3283417700445,853
gender,man,5,living,1201.7219849450753,1046
gender,man,6,living,1934.7105324050085,1029
gender,man,7,living,1202.5517044265182,1109
gender,man,8,living,1969.2721712497853,816
gender,man,0,biodiversity,1238.020405327305,946
gender,man,1,biodiversity,2063.803070999982,1301
gender,man,2,biodiversity,1031.3123185525053,1254
gender,man,3,biodiversity,1943.6558015738294,1014
gender,man,4,biodiversity,1831.428860331976,1252
gender,man,5,biodiversity,414.5223100148547,656
gender,man,6,biodiversity,2131.5613537314694,1449
gender,man,7,biodiversity,1620.5375062052756,1397
gender,man,8,biodiversity,1388.0658005881041,1397
gender,man,0,safety,1716.378233879698,1546
gender,man,1,safety,2022.8939401375847,1209
gender,man,2,safety,1950.3767068460957,1372
gender,man,3,safety,432.0356418760764,850
gender,man,4,safety,1262.2053731319684,1546
gender,man,5,safety,744.0255590762704,1634
gender,man,6,safety,1749.9292816133982,1514
gender,man,7,safety,1883.9283646164242,1405
gender,man,8,safety,2067.3542128225445,1664
gender,woman,0,living,1675.3880753399965,904
gender,woman,1,living,1339.2517004919303,870
gender,woman,2,living,989.3712458111162,844
gender,woman,3,living,1940.8216772392745,561
gender,woman,4,living,1519.0179416290894,688
gender,woman,5,living,1827.7299489407185,945
gender,woman,6,living,931.0868721403676,849
gender,woman,7,living,1807.9687739711724,969
gender,woman,8,living,1638.1856916283468,680
gender,woman,0,biodiversity,1582.8772219602472,793
gender,woman,1,biodiversity,1942.8604059316335,1105
gender,woman,2,biodiversity,1736.2019968927389,865
gender,woman,3,biodiversity,1917.15470948085,772
gender,woman,4,biodiversity,1851.4423478855874,883
gender,woman,5,biodiversity,1047.4244076652442,560
gender,woman,6,biodiversity,1291.0146342235614,1136
gender,woman,7,biodiversity,1662.3670182486997,1150
gender,woman,8,biodiversity,1813.5055379402188,1088
gender,woman,0,safety,645.4471281209114,1177
gender,woman,1,safety,1376.1919086029732,899
gender,woman,2,safety,1793.6408237582407,1042
gender,woman,3,safety,1602.4500154904315,729
gender,woman,4,safety,1638.047668618492,1132
gender,woman,5,safety,2047.165608773983,1251
gender,woman,6,safety,1774.578026646772,1167
gender,woman,7,safety,1836.28318019311,1082
gender,woman,8,safety,876.0772815236145,1327
gender,other,0,living,1476.4633124344934,8
gender,other,1,living,1423.386107595869,16
gender,other,2,living,1499.2223631209663,12
gender,other,3,living,1559.1492357861403,9
gender,other,4,living,1568.9267781298129,10
gender,other,5,living,1452.3301894646536,8
gender,other,6,living,1507.706206757966,19
gender,other,7,living,1465.0290377641431,13
gender,other,8,living,1535.5631416197505,11
gender,other,0,biodiversity,1454.7571778628467,12
gender,other,1,biodiversity,1567.2735392548454,10
gender,other,2,biodiversity,1499.7642857441288,12
gender,other,3,biodiversity,1474.3015077884424,12
