demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,389.45966249158573,2693
global,global,1,living,1954.1109113428083,2798
global,global,2,living,1670.0153317167947,3535
global,global,3,living,782.6734934430223,3077
global,global,4,living,2215.9709329254592,2091
global,global,5,living,2107.3382863575403,1372
global,global,6,living,1477.898958461817,2882
global,global,7,living,1581.1753964208374,2118
global,global,8,living,687.3204663994536,3106
global,global,0,biodiversity,657.6954484585045,1117
global,global,1,biodiversity,820.2322115080907,1696
global,global,2,biodiversity,408.0533041492954,1314
global,global,3,biodiversity,2052.6790248427205,1723
global,global,4,biodiversity,2007.5911163764076,1759
global,global,5,biodiversity,1356.488119039077,1681
global,global,6,biodiversity,1644.5137344566635,1696
global,global,7,biodiversity,2155.78838750048,1149
global,global,8,biodiversity,1673.6976865556915,1735
global,global,0,safety,1559.7893778460827,3005
global,global,1,safety,-34.54211912033033,2779
global,global,2,safety,2230.9331082522867,2244
global,global,3,safety,1984.7207366664297,2941
global,global,4,safety,2106.4704913856285,2162
global,global,5,safety,2432.712461996945,3293
global,global,6,safety,929.4571139849942,3465
global,global,7,safety,539.5734317100213,2467
global,global,8,safety,1713.3749529871855,3402
gender,man,0,living,886.4371707247076,1461
gender,man,1,living,1822.2261605699875,1479
gender,man,2,living,1632.8630814506205,1788
gender,man,3,living,1039.1135217208816,1559
gender,man,4,living,1707.7142544482788,1080
gender,man,5,living,1864.017396299323,786
gender,man,6,living,1997.2917677528922,1444
gender,man,7,living,1945.5642275425548,1065
gender,man,8,living,630.8038591028251,1554
gender,man,0,biodiversity,1338.2500844924532,676
gender,man,1,biodiversity,800.3996979977745,891
gender,man,2,biodiversity,469.4878445204785,683
gender,man,3,biodiversity,1487.2882804669196,940
gender,man,4,biodiversity,1201.058778927969,967
gender,man,5,biodiversity,1832.890043396549,898
gender,man,6,biodiversity,1767.7149255435902,831
gender,man,7,biodiversity,1936.4772464147768,549
gender,man,8,biodiversity,1618.200082178583,963
gender,man,0,safety,1215.4739217471679,1509
gender,man,1,safety,1629.8020919768032,1389
gender,man,2,safety,1499.43712411308,1040
gender,man,3,safety,1153.035549520268,1464
gender,man,4,safety,2057.990680254762,1024
gender,man,5,safety,1955.6444259759894,1686
gender,man,6,safety,1025.8216483153417,1796
gender,man,7,safety,374.108422559309,1196
gender,man,8,safety,1423.2349630131703,1706
gender,woman,0,living,1768.27853724318,1168
gender,woman,1,living,1890.7802241610027,1131
gender,woman,2,living,1606.1365807044635,1407
gender,woman,3,living,1433.8181702541415,1308
gender,woman,4,living,1804.8214535864042,836
gender,woman,5,living,1942.5600443666578,492
gender,woman,6,living,723.9262194620965,1083
gender,woman,7,living,1240.4660794594129,814
gender,woman,8,living,1509.7145017554903,1381
gender,woman,0,biodiversity,981.2277340003649,417
gender,woman,1,biodiversity,1533.8734372506678,704
gender,woman,2,biodiversity,1583.792763709163,568
