demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2131.157345891424,2237
global,global,1,living,1491.5632006135843,2643
global,global,2,living,1747.4474178811593,2718
global,global,3,living,-396.91458009383865,1103
global,global,4,living,1950.3735627989304,2489
global,global,5,living,2294.1733027270616,1535
global,global,6,living,2102.4022816596384,2650
global,global,7,living,458.41551033176484,1354
global,global,8,living,1985.7212230296655,2849
global,global,0,biodiversity,2367.0404796557505,2308
global,global,1,biodiversity,1873.7107398708213,2781
global,global,2,biodiversity,957.1538611501212,2972
global,global,3,biodiversity,1803.77413783526,2457
global,global,4,biodiversity,1996.9779996119275,2407
global,global,5,biodiversity,1397.0036523082406,2948
global,global,6,biodiversity,957.7757432759784,2935
global,global,7,biodiversity,2116.0618581284584,2660
global,global,8,biodiversity,712.5065892410186,2696
global,global,0,safety,1724.730714855209,2505
global,global,1,safety,184.4749261178987,2307
global,global,2,safety,120.80207228619729,1333
global,global,3,safety,2262.144288060036,2285
global,global,4,safety,2186.31720760643,2058
global,global,5,safety,1989.614234587074,1951
global,global,6,safety,1372.8825459565107,2439
global,global,7,safety,2119.1443334236887,2436
global,global,8,safety,580.4781627240783,2244
gender,man,0,living,-149.9227418138682,1058
gender,man,1,living,1483.1890850569177,1387
gender,man,2,living,491.73111116088575,1400
gender,man,3,living,1177.3831593693737,600
gender,man,4,living,1718.2465625940918,1211
gender,man,5,living,1979.082830904792,850
gender,man,6,living,2058.5140843201925,1356
gender,man,7,living,664.8524564222218,721
gender,man,8,living,1949.2042458351204,1437
gender,man,0,biodiversity,1979.5225821945546,1126
gender,man,1,biodiversity,1618.8256017813728,1446
gender,man,2,biodiversity,603.7141626375428,1462
gender,man,3,biodiversity,1147.6451507883232,1261
gender,man,4,biodiversity,1915.411267168634,1213
gender,man,5,biodiversity,332.41227974329126,1498
gender,man,6,biodiversity,1578.651171594858,1550
gender,man,7,biodiversity,2014.8772775121138,1376
gender,man,8,biodiversity,1401.929585485873,1418
gender,man,0,safety,1979.7149669899488,1282
gender,man,1,safety,1167.8270497281858,1154
gender,man,2,safety,778.8889845901529,695
gender,man,3,safety,1861.7349382938562,1162
gender,man,4,safety,1731.1585714408295,1048
gender,man,5,safety,1930.202815097194,996
gender,man,6,safety,1224.870054016151,1259
gender,man,7,safety,2002.5519847643739,1293
gender,man,8,safety,1127.8320533189242,1165
gender,woman,0,living,1369.5105646331108,912
gender,woman,1,living,1406.2626799596098,1016
gender,woman,2,living,1695.1722242757726,1076
gender,woman,3,living,590.7796190176655,443
gender,woman,4,living,1986.0144851178584,851
gender,woman,5,living,1921.077886477996,594
gender,woman,6,living,296.99715347930777,1038
gender,woman,7,living,1215.45152671226,597
gender,woman,8,living,974.629737730709,1091
gender,woman,0,biodiversity,1558.4221022140264,997
