demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,462.656117589349,2208
global,global,1,living,1531.1021791730507,2490
global,global,2,living,2178.2269820132506,2286
global,global,3,living,879.867487617794,1872
global,global,4,living,1042.3309981619843,2429
global,global,5,living,1838.3204015937154,2405
global,global,6,living,2263.399841527148,2563
global,global,7,living,160.5348162610744,1864
global,global,8,living,2068.245254934383,1741
global,global,0,biodiversity,2173.1075640590866,2883
global,global,1,biodiversity,1794.7771185530755,2032
global,global,2,biodiversity,809.5484786244608,1794
global,global,3,biodiversity,1979.1603502714577,3041
global,global,4,biodiversity,2194.632282244756,2853
global,global,5,biodiversity,2310.538292308424,2530
global,global,6,biodiversity,1885.3021671802157,2655
global,global,7,biodiversity,1583.676674878449,2264
global,global,8,biodiversity,1461.842189237662,2414
global,global,0,safety,2032.0550986856056,2323
global,global,1,safety,402.4087136561677,2499
global,global,2,safety,1232.3871969461761,1988
global,global,3,safety,625.8046742348671,2052
global,global,4,safety,1406.5820226038052,2806
global,global,5,safety,2351.3156898552656,1904
global,global,6,safety,1168.2776920497672,1835
global,global,7,safety,1860.8239105661441,2792
global,global,8,safety,2066.8727941642924,2777
gender,man,0,living,1434.3050424578307,1176
gender,man,1,living,1272.7156235106015,1279
gender,man,2,living,2007.1829847506406,1115
gender,man,3,living,1390.6856725546227,1026
gender,man,4,living,1313.1564646414151,1276
gender,man,5,living,1930.8629001093075,1219
gender,man,6,living,1910.2957686647364,1271
gender,man,7,living,1015.8843550328378,984
gender,man,8,living,1650.4479508217903,858
gender,man,0,biodiversity,1866.8028147207258,1431
gender,man,1,biodiversity,1752.1835633032442,1056
gender,man,2,biodiversity,128.0584020114419,817
gender,man,3,biodiversity,1677.6716151659502,1502
gender,man,4,biodiversity,1981.1077230788756,1501
gender,man,5,biodiversity,2007.5614583670363,1344
gender,man,6,biodiversity,1379.6101738697557,1323
gender,man,7,biodiversity,1207.1134556071145,1188
gender,man,8,biodiversity,395.0547074920369,1266
gender,man,0,safety,1774.2080017655985,1223
gender,man,1,safety,2013.7843411914462,1218
gender,man,2,safety,783.283067990147,945
gender,man,3,safety,1870.6272826355387,1145
gender,man,4,safety,1409.783913881107,1403
gender,man,5,safety,1822.921336949416,975
gender,man,6,safety,1522.3555725637245,970
gender,man,7,safety,1684.6653241525155,1431
gender,man,8,safety,1239.2001203136938,1482
gender,woman,0,living,1648.198405801423,896
gender,woman,1,living,1931.349698526689,998
gender,woman,2,living,933.7647713920019,888
gender,woman,3,living,1408.4523008537822,725
gender,woman,4,living,1767.367148824281,1005
gender,woman,5,living,1210.4600905385728,991
gender,woman,6,living,1800.5087126947067,1064
gender,woman,7,living,1484.17412632084,787
gender,woman,8,living,1850.2505861395548,694
gender,woman,0,biodiversity,1523.3231512699895,1151
gender,woman,1,biodiversity,1706.8920930775935,824
gender,woman,2,biodiversity,1464.4818748970265,771
gender,woman,3,biodiversity,1741.4083435968691,1185
gender,woman,4,biodiversity,1691.7893052775132,1148
gender,woman,5,biodiversity,1169.968846091106,981
gender,woman,6,biodiversity,2016.8219841706982,1094
gender,woman,7,biodiversity,1573.4514781492073,935
gender,woman,8,biodiversity,1953.514755075632,997
gender,woman,0,safety,1982.0960535022211,898
gender,woman,1,safety,634.4239217323739,1070
gender,woman,2,safety,1763.5421028935702,777
gender,woman,3,safety,344.7809948013464,802
gender,woman,4,safety,1469.981298028205,1097
gender,woman,5,safety,1862.4110151441569,827
gender,woman,6,safety,1282.9422092549871,712
gender,woman,7,safety,884.6641335453854,1115
gender,woman,8,safety,1890.2570223495275,1036
gender,other,0,living,1548.0004467991264,6
gender,other,1,living,1510.7419876326412,9
gender,other,2,living,1523.958449638454,10
gender,other,3,living,1451.9859893310631,10
gender,other,4,living,1559.9469640090629,11
gender,other,5,living,1498.2782378563716,12
gender,other,6,living,1463.470019016833,7
gender,other,7,living,1440.8301531211353,13
gender,other,8,living,1501.5867452022583,16
gender,other,0,biodiversity,1524.5942764729732,14
gender,other,1,biodiversity,1538.6404860869247,11
gender,other,2,biodiversity,1452.4776779375115,18
gender,other,3,biodiversity,1501.4024178436193,14
gender,other,4,biodiversity,1574.2144247320734,14
gender,other,5,biodiversity,1499.8645462873694,14
gender,other,6,biodiversity,1439.8049660570355,15
gender,other,7,biodiversity,1478.408087146899,16
gender,other,8,biodiversity,1503.040712670348,14
gender,other,0,safety,1426.790113564417,8
gender,other,1,safety,1538.684502801212,15
gender,other,2,safety,1475.2103084542011,16
gender,other,3,safety,1522.7155569783663,14
gender,other,4,safety,1473.5055317160281,22
gender,other,5,safety,1454.6178172591146,12
gender,other,6,safety,1559.6000088421538,7
gender,other,7,safety,1500.6457967514607,14
gender,other,8,safety,1548.0008917172142,6
age,younger,0,living,1283.2061415358596,631
age,younger,1,living,1859.6983532004192,630
age,younger,2,living,1701.3148659282776,621
age,younger,3,living,1520.1189813359767,557
age,younger,4,living,1828.9643562157803,643
age,younger,5,living,1484.8747464000999,703
age,younger,6,living,1798.6724547065996,683
age,younger,7,living,981.9591122848349,554
