demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,207.82280998627252,2358
global,global,1,living,-20.066782978661372,1454
global,global,2,living,1738.6194710561754,1810
global,global,3,living,2206.864233977643,1807
global,global,4,living,1276.2518420925476,2452
global,global,5,living,1410.3173730213875,2868
global,global,6,living,2094.4756178335438,2465
global,global,7,living,-513.1999548074884,2239
global,global,8,living,1113.017357989595,2287
global,global,0,biodiversity,-227.5459436672855,1981
global,global,1,biodiversity,2062.76168396855,1912
global,global,2,biodiversity,631.2160388468438,2823
global,global,3,biodiversity,1679.3199925171803,2940
global,global,4,biodiversity,933.5934769632601,2943
global,global,5,biodiversity,2076.510860565354,2475
global,global,6,biodiversity,1778.89577807281,3138
global,global,7,biodiversity,2190.577283878248,2334
global,global,8,biodiversity,2312.388393199804,2762
global,global,0,safety,1833.6211999063482,2583
global,global,1,safety,2059.3645429000057,1431
global,global,2,safety,908.6291220986942,2873
global,global,3,safety,1416.088569507725,1814
global,global,4,safety,185.42556531824476,1745
global,global,5,safety,2143.24517153336,1952
global,global,6,safety,738.9365759640036,2269
global,global,7,safety,985.4840473921063,2560
global,global,8,safety,1686.188574565542,3025
gender,man,0,living,1539.3787487607042,1266
gender,man,1,living,522.6569999626803,740
gender,man,2,living,1712.3525492848812,963
gender,man,3,living,1964.8781953151624,946
gender,man,4,living,1621.5107223252064,1328
gender,man,5,living,1852.9797583794068,1490
gender,man,6,living,2081.839166913679,1264
gender,man,7,living,1366.738828071228,1233
gender,man,8,living,874.8265569436006,1152
gender,man,0,biodiversity,995.7605445339159,1103
gender,man,1,biodiversity,1852.1364192535243,888
gender,man,2,biodiversity,1638.055404718654,1416
gender,man,3,biodiversity,1933.7265141228925,1494
gender,man,4,biodiversity,1038.5550450163853,1510
gender,man,5,biodiversity,1805.1294407327987,1257
gender,man,6,biodiversity,1719.0967943463759,1611
gender,man,7,biodiversity,2070.626872384821,1148
gender,man,8,biodiversity,1543.7790978287983,1419
gender,man,0,safety,1792.254098993281,1267
gender,man,1,safety,1722.8134466998436,754
gender,man,2,safety,1392.224172480987,1395
gender,man,3,safety,1563.1219445019665,895
gender,man,4,safety,202.59749974908377,943
gender,man,5,safety,1982.391477467473,954
gender,man,6,safety,1004.6746101785579,1138
gender,man,7,safety,607.5320305758014,1301
gender,man,8,safety,1876.249728370879,1549
gender,woman,0,living,1323.67534656989,973
gender,woman,1,living,947.1029116801577,586
gender,woman,2,living,1876.844294618079,728
gender,woman,3,living,1968.4448104041694,725
gender,woman,4,living,1581.0783041731559,940
gender,woman,5,living,1402.3136836151564,1163
gender,woman,6,living,1793.3430957981464,1032
gender,woman,7,living,67.2991143561745,844
gender,woman,8,living,1515.3302978578408,979
gender,woman,0,biodiversity,739.1335138717714,795
gender,woman,1,biodiversity,1894.5542111928842,805
gender,woman,2,biodiversity,842.7228727879841,1204
gender,woman,3,biodiversity,1643.2380697703222,1152
gender,woman,4,biodiversity,1352.8006987585093,1206
gender,woman,5,biodiversity,2014.7090991966031,934
gender,woman,6,biodiversity,1756.406833159969,1217
gender,woman,7,biodiversity,1313.44689755155,994
gender,woman,8,biodiversity,1778.2219883444234,1051
gender,woman,0,safety,1682.8640955844216,1108
gender,woman,1,safety,1945.4736404173045,601
gender,woman,2,safety,1771.7008844379598,1179
gender,woman,3,safety,1894.8781874151944,687
gender,woman,4,safety,1485.7676718245677,711
gender,woman,5,safety,1157.5076573069628,766
