demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2212.7521712140483,2859
global,global,1,living,2251.2342448255918,3568
global,global,2,living,2092.1797646808054,3929
global,global,3,living,1973.407931677472,3889
global,global,4,living,1736.6777673836136,3403
global,global,5,living,2347.9334683190336,2050
global,global,6,living,2422.283315094422,3222
global,global,7,living,1946.656476528896,3163
global,global,8,living,1516.798264260571,2859
global,global,0,biodiversity,2067.9130520924064,1658
global,global,1,biodiversity,1680.1354115818574,2377
global,global,2,biodiversity,1934.876797693232,2709
global,global,3,biodiversity,986.5233502605402,2330
global,global,4,biodiversity,2206.555834442066,2648
global,global,5,biodiversity,2138.455684068792,2415
global,global,6,biodiversity,2335.4242428747675,2721
global,global,7,biodiversity,1853.001957100816,2572
global,global,8,biodiversity,535.538112915952,1774
global,global,0,safety,1770.185829628679,1776
global,global,1,safety,1649.3430439473725,1509
global,global,2,safety,700.9350425798208,1206
global,global,3,safety,2073.757159577923,1224
global,global,4,safety,1517.5833087864671,1625
global,global,5,safety,1311.7470869999258,1094
global,global,6,safety,1176.378711185974,1281
global,global,7,safety,2155.2721680595346,1910
global,global,8,safety,1882.4112236169683,1529
gender,man,0,living,2107.029018297439,1474
gender,man,1,living,1320.9484607427842,1816
gender,man,2,living,2020.610349652081,2040
gender,man,3,living,2038.9730747087003,1975
gender,man,4,living,1923.6914960302793,1695
gender,man,5,living,1694.0827648827033,1096
gender,man,6,living,1976.454674591076,1641
gender,man,7,living,718.0555807997682,1609
gender,man,8,living,1830.0775684654598,1442
gender,man,0,biodiversity,1833.6789540329487,863
gender,man,1,biodiversity,1473.692890260804,1181
gender,man,2,biodiversity,1927.0231556635733,1444
gender,man,3,biodiversity,994.5728426401553,1188
gender,man,4,biodiversity,1772.8614092262742,1367
gender,man,5,biodiversity,1487.2261942442683,1263
gender,man,6,biodiversity,2111.413740242801,1403
gender,man,7,biodiversity,1870.0931677545389,1346
gender,man,8,biodiversity,1897.3751860803002,1009
gender,man,0,safety,1662.3660084328337,928
gender,man,1,safety,1934.3514903661403,737
gender,man,2,safety,1404.4201661261206,616
gender,man,3,safety,1849.1367991561594,614
gender,man,4,safety,974.0095394237933,812
gender,man,5,safety,1213.8402264530077,561
gender,man,6,safety,701.7658062627238,631
gender,man,7,safety,1357.19631830284,943
gender,man,8,safety,1694.3129439919583,730
gender,woman,0,living,1713.4268277027177,1091
gender,woman,1,living,1393.4414717831542,1418
gender,woman,2,living,1682.8221746279726,1640
gender,woman,3,living,1137.1934013565192,1552
gender,woman,4,living,541.4478552229917,1383
gender,woman,5,living,1748.654126474262,901
gender,woman,6,living,1860.581979119017,1286
gender,woman,7,living,2074.7445881924023,1277
gender,woman,8,living,1568.642468669402,1152
gender,woman,0,biodiversity,1634.68182297816,622
gender,woman,1,biodiversity,1809.8747895965437,960
gender,woman,2,biodiversity,1431.4126211803634,1070
gender,woman,3,biodiversity,1601.679306407544,912
gender,woman,4,biodiversity,1972.3724448085752,1068
gender,woman,5,biodiversity,1834.9629672290812,932
gender,woman,6,biodiversity,1895.0906027259143,1145
gender,woman,7,biodiversity,1220.1884305743154,993
gender,woman,8,biodiversity,454.01154100327733,704
gender,woman,0,safety,1363.1011205535751,705
gender,woman,1,safety,793.2461588874166,594
gender,woman,2,safety,1101.0764972375734,506
gender,woman,3,safety,1621.6755169214505,524
gender,woman,4,safety,1716.7736905773108,635
gender,woman,5,safety,1320.2007193177183,456
gender,woman,6,safety,1766.4310648912706,527
gender,woman,7,safety,1900.923517252291,767
gender,woman,8,safety,1796.0839445096867,648
gender,other,0,living,1521.3751175138862,20
gender,other,1,living,1468.6990607894495,17
gender,other,2,living,1549.1168300818345,10
gender,other,3,living,1399.9354585890553,14
gender,other,4,living,1508.9643166111957,19
gender,other,5,living,1473.5807137318209,16
gender,other,6,living,1537.267344399655,11
gender,other,7,living,1552.0315685435921,8
gender,other,8,living,1487.825729620607,9
gender,other,0,biodiversity,1499.7823224664628,12
gender,other,1,biodiversity,1512.5153825755378,11
gender,other,2,biodiversity,1579.6396624498789,9
gender,other,3,biodiversity,1549.3061596785824,20
gender,other,4,biodiversity,1410.8892652196748,7
gender,other,5,biodiversity,1449.5332676670148,14
gender,other,6,biodiversity,1464.175720477982,13
gender,other,7,biodiversity,1491.4328297772863,23
gender,other,8,biodiversity,1531.3248174708613,13
gender,other,0,safety,1499.9969478102585,12
gender,other,1,safety,1424.327009878017,16
gender,other,2,safety,1568.273859787502,10
gender,other,3,safety,1510.1013373600517,7
gender,other,4,safety,1521.9679778757256,8
gender,other,5,safety,1551.5372107221563,12
gender,other,6,safety,1487.91173547282,9
gender,other,7,safety,1451.2020461093277,8
gender,other,8,safety,1474.408917438204,10
age,younger,0,living,1860.2271684266514,905
age,younger,1,living,1191.8955492910748,992
age,younger,2,living,1911.8744362134807,1063
age,younger,3,living,1702.3072631380485,1104
age,younger,4,living,1564.1566655883391,976
age,younger,5,living,1548.8027946058344,680
age,younger,6,living,1400.2719239271205,894
age,younger,7,living,1932.1217897447953,901
age,younger,8,living,1783.4754412494894,723
age,younger,0,biodiversity,1707.5490431793955,424
age,younger,1,biodiversity,1590.736064121458,638
age,younger,2,biodiversity,1510.8848536708463,789
age,younger,3,biodiversity,1736.008498083748,672
age,younger,4,biodiversity,1338.8917309937497,721
age,younger,5,biodiversity,1637.4376063870477,679
age,younger,6,biodiversity,1907.7464286442637,725
age,younger,7,biodiversity,1340.8709234115533,698
age,younger,8,biodiversity,1541.5702385597538,500
age,younger,0,safety,1390.607504606256,475
age,younger,1,safety,1674.8596392287516,423
age,younger,2,safety,1276.9151925948174,354
age,younger,3,safety,1747.9279649611588,357
age,younger,4,safety,1634.3716181546224,470
age,younger,5,safety,1776.5970283280305,331
age,younger,6,safety,865.0215305294574,328
age,younger,7,safety,1722.4228232574287,558
age,younger,8,safety,1543.3832034095901,402
age,middle,0,living,1739.3734160438216,1106
age,middle,1,living,1987.8923670869094,1477
age,middle,2,living,1912.2255793682396,1767
age,middle,3,living,1625.4674958201022,1672
age,middle,4,living,1297.0929590268488,1417
age,middle,5,living,2135.598087567867,895
age,middle,6,living,1442.500222292149,1345
age,middle,7,living,1700.9456790120728,1375
age,middle,8,living,1334.272279349392,1236
age,middle,0,biodiversity,1823.1477496545797,683
