demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,715.0470894393541,2042
global,global,1,living,1094.7732314146915,2590
global,global,2,living,86.21117977676019,1859
global,global,3,living,2027.9508368704012,2259
global,global,4,living,1304.247958865555,2364
global,global,5,living,925.8509196521411,2395
global,global,6,living,2242.718583042797,2312
global,global,7,living,1636.4074293613785,2205
global,global,8,living,2153.1961239929897,2668
global,global,0,biodiversity,-363.6437731466223,1536
global,global,1,biodiversity,2143.214975428819,2851
global,global,2,biodiversity,2376.9085113102883,2602
global,global,3,biodiversity,1028.4924927114673,2910
global,global,4,biodiversity,540.748867025873,2230
global,global,5,biodiversity,1499.8899906136137,2614
global,global,6,biodiversity,975.3706763392064,2789
global,global,7,biodiversity,2218.168927207418,2676
global,global,8,biodiversity,1721.334364728131,2494
global,global,0,safety,1941.8165340543587,2660
global,global,1,safety,2052.607672364561,1954
global,global,2,safety,-335.69982362172885,1648
global,global,3,safety,1302.0238255486113,2107
global,global,4,safety,1510.717584722819,2846
global,global,5,safety,263.4709287489338,2797
global,global,6,safety,2280.6679184362415,1686
global,global,7,safety,790.1161873857283,2041
global,global,8,safety,-36.055091210492456,2165
gender,man,0,living,881.4606007923917,1042
gender,man,1,living,878.7678304637402,1342
gender,man,2,living,1293.079185192034,1001
gender,man,3,living,1868.4232054265958,1121
gender,man,4,living,1820.9123638588576,1228
gender,man,5,living,1000.2145618102134,1236
gender,man,6,living,1988.5982271945913,1141
gender,man,7,living,1961.4542064707853,1140
gender,man,8,living,2024.9483657787698,1317
gender,man,0,biodiversity,1122.4408487248593,809
gender,man,1,biodiversity,1806.2950527933294,1462
gender,man,2,biodiversity,1845.5591700817904,1288
gender,man,3,biodiversity,1737.8812553335356,1587
gender,man,4,biodiversity,1747.6954777798026,1185
gender,man,5,biodiversity,1318.7806716110374,1339
gender,man,6,biodiversity,1649.7694224204645,1421
gender,man,7,biodiversity,1993.743641396157,1407
gender,man,8,biodiversity,2115.28841232631,1246
gender,man,0,safety,2072.9631775852986,1298
gender,man,1,safety,1565.5853195685886,1045
gender,man,2,safety,-225.11459369001807,823
gender,man,3,safety,1683.9526910773025,1032
gender,man,4,safety,1621.2392080623354,1490
gender,man,5,safety,1294.0690781331339,1391
gender,man,6,safety,1806.5656640439174,840
gender,man,7,safety,1396.8039377646894,1058
gender,man,8,safety,882.6492413718639,1135
gender,woman,0,living,1678.3022986504757,908
gender,woman,1,living,1842.2515838523618,1031
gender,woman,2,living,283.6372044934019,727
gender,woman,3,living,1640.5189247024307,944
gender,woman,4,living,1131.4768951579488,942
gender,woman,5,living,1694.7082033191018,989
gender,woman,6,living,2005.6329191258476,911
gender,woman,7,living,1112.5742451579963,868
gender,woman,8,living,1762.5713906000512,1128
gender,woman,0,biodiversity,654.7444465243298,626
gender,woman,1,biodiversity,1739.954007392543,1071
gender,woman,2,biodiversity,1906.2825620889605,986
gender,woman,3,biodiversity,1090.1479823033544,1213
gender,woman,4,biodiversity,1097.181800091361,888
gender,woman,5,biodiversity,1801.9692626392782,1110
gender,woman,6,biodiversity,1537.5055177877146,1130
gender,woman,7,biodiversity,2017.186783370836,1015
gender,woman,8,biodiversity,1134.74384814349,1009
gender,woman,0,safety,1712.1504238646253,1100
gender,woman,1,safety,1887.932279325348,684
gender,woman,2,safety,1419.4298487144674,657
gender,woman,3,safety,1248.321101208614,884
gender,woman,4,safety,1578.8878836997146,1154
gender,woman,5,safety,1532.9696155293266,1180
gender,woman,6,safety,1973.1076980140401,629
gender,woman,7,safety,1138.0923907895199,815
gender,woman,8,safety,968.4493891064941,869
gender,other,0,living,1475.9956474971962,16
gender,other,1,living,1580.8254253943753,7
gender,other,2,living,1476.0030201300865,10
gender,other,3,living,1525.1328455851515,14
gender,other,4,living,1511.9869234471364,15
gender,other,5,living,1535.2453003732157,11
gender,other,6,living,1498.8426222457954,12
