demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1198.7889337308632,3120
global,global,1,living,365.96616499126395,2766
global,global,2,living,-208.71501512858902,1010
global,global,3,living,2264.7055454540973,2286
global,global,4,living,1974.9400187904328,2693
global,global,5,living,2089.8834053166343,1814
global,global,6,living,1636.1931959203184,2683
global,global,7,living,1701.90471907642,3216
global,global,8,living,1840.7618556171228,2790
global,global,0,biodiversity,992.7257503352922,995
global,global,1,biodiversity,1712.3944932634004,961
global,global,2,biodiversity,1588.3061143656844,988
global,global,3,biodiversity,845.4351861022815,1342
global,global,4,biodiversity,1173.532310642263,1064
global,global,5,biodiversity,2030.0068380501593,867
global,global,6,biodiversity,1895.322050564375,864
global,global,7,biodiversity,552.8551542534203,1210
global,global,8,biodiversity,268.9172340757796,765
global,global,0,safety,1316.5707750319918,4725
global,global,1,safety,2333.915495819051,4092
global,global,2,safety,2485.747436244628,3665
global,global,3,safety,1634.7391899971676,4236
global,global,4,safety,1464.0067227702696,3157
global,global,5,safety,862.3805883372415,2624
global,global,6,safety,339.6565445119702,2951
global,global,7,safety,2405.6024395201025,2170
global,global,8,safety,2246.7155991265217,4246
gender,man,0,living,1931.9813578952583,1582
gender,man,1,living,753.9694852386415,1438
gender,man,2,living,1111.8232830649956,605
gender,man,3,living,2012.331610414274,1200
gender,man,4,living,1418.0972550415238,1445
gender,man,5,living,2054.855156729887,951
gender,man,6,living,1674.709549628883,1310
gender,man,7,living,933.7131491719908,1612
gender,man,8,living,1593.7892527189733,1395
gender,man,0,biodiversity,1472.8523420890474,462
gender,man,1,biodiversity,1417.2735733285306,535
gender,man,2,biodiversity,1555.300488196419,504
gender,man,3,biodiversity,825.6200002241327,637
gender,man,4,biodiversity,1089.2249942930223,511
gender,man,5,biodiversity,1817.53427893145,443
gender,man,6,biodiversity,1890.3083899815963,414
gender,man,7,biodiversity,1326.2715146840858,571
gender,man,8,biodiversity,1124.551091970561,423
gender,man,0,safety,2145.041987308765,2417
gender,man,1,safety,2261.882491987812,2181
gender,man,2,safety,2063.148577929613,1925
gender,man,3,safety,1575.6184134601383,2189
gender,man,4,safety,1013.7791876679472,1643
gender,man,5,safety,1436.957546523332,1326
gender,man,6,safety,1091.8788123977674,1627
gender,man,7,safety,2089.9681605653245,1019
gender,man,8,safety,1822.65524951985,2059
gender,woman,0,living,828.0582275267132,1258
gender,woman,1,living,1374.5864901749185,1181
gender,woman,2,living,744.7633540081201,384
gender,woman,3,living,1823.081970510856,895
gender,woman,4,living,2054.5527225592637,1092
gender,woman,5,living,1435.3088065323643,731
gender,woman,6,living,1242.179190991757,1173
gender,woman,7,living,1865.7802852401917,1328
gender,woman,8,living,1499.0719141526051,1118
gender,woman,0,biodiversity,1145.3657929187905,435
gender,woman,1,biodiversity,1760.2507669937977,351
gender,woman,2,biodiversity,1432.7516693609061,406
gender,woman,3,biodiversity,1499.7676978908896,575
gender,woman,4,biodiversity,1734.6706209735587,440
gender,woman,5,biodiversity,1852.7907985929698,347
gender,woman,6,biodiversity,1538.1471088310768,366
gender,woman,7,biodiversity,1469.1350191883957,533
gender,woman,8,biodiversity,1045.7863002381093,293
gender,woman,0,safety,1079.5349421299968,1975
gender,woman,1,safety,1919.6582975565323,1512
gender,woman,2,safety,1719.1363885616497,1349
gender,woman,3,safety,1976.115949798701,1688
gender,woman,4,safety,2013.3722096091117,1218
gender,woman,5,safety,1006.21222667606,1010
gender,woman,6,safety,1505.9368573235165,1201
gender,woman,7,safety,1935.5924089204648,903
gender,woman,8,safety,1810.8450440031402,1706
gender,other,0,living,1514.9694007062376,17
gender,other,1,living,1524.098531797063,8
gender,other,2,living,1560.090186238211,11
gender,other,3,living,1490.512305047467,9
gender,other,4,living,1500.4512928778868,10
gender,other,5,living,1441.4147398616558,9
gender,other,6,living,1474.9493544421034,14
gender,other,7,living,1454.8321915113613,24
gender,other,8,living,1547.7503619574895,10
gender,other,0,biodiversity,1488.0,5
gender,other,1,biodiversity,1452.0,8
gender,other,2,biodiversity,1512.0,7
gender,other,3,biodiversity,1476.0,6
gender,other,4,biodiversity,1500.0,10
gender,other,5,biodiversity,1524.0,8
gender,other,6,biodiversity,1548.0,4
gender,other,7,biodiversity,1464.0,7
gender,other,8,biodiversity,1536.0,5
gender,other,0,safety,1581.4520528479507,19
gender,other,1,safety,1452.4166575749973,16
gender,other,2,safety,1510.896630649803,23
gender,other,3,safety,1537.0000290037058,19
gender,other,4,safety,1461.875089755024,19
