demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,726.1261771972152,2156
global,global,1,living,1884.4837340619479,2436
global,global,2,living,1615.9077903616142,2080
global,global,3,living,1408.8644638585763,1469
global,global,4,living,1538.539213974339,2161
global,global,5,living,2292.039482804935,2396
global,global,6,living,1290.6168145543304,1961
global,global,7,living,-391.64727850171397,2397
global,global,8,living,2155.5607591685934,2204
global,global,0,biodiversity,226.15756366093592,1569
global,global,1,biodiversity,2335.5257669075213,1852
global,global,2,biodiversity,1385.607902549237,2966
global,global,3,biodiversity,1901.6604113800352,2204
global,global,4,biodiversity,2029.9383468344613,2792
global,global,5,biodiversity,692.2404916667068,2308
global,global,6,biodiversity,2113.069767034166,3168
global,global,7,biodiversity,171.0937099826623,3019
global,global,8,biodiversity,1930.6335001916486,2848
global,global,0,safety,2037.4156428446574,2321
global,global,1,safety,855.7073935690643,2053
global,global,2,safety,2003.7208096599088,2409
global,global,3,safety,2215.927804014731,1671
global,global,4,safety,690.4175927389074,2364
global,global,5,safety,1232.6806655184662,2981
global,global,6,safety,1259.1516563948153,2288
global,global,7,safety,1700.1167752210665,2726
global,global,8,safety,2158.60086709617,2501
gender,man,0,living,803.7530275904312,1124
gender,man,1,living,1893.63445838748,1188
gender,man,2,living,1858.5743539430011,1076
gender,man,3,living,1665.5101859195358,744
gender,man,4,living,1950.4430270199186,1111
gender,man,5,living,2029.718890999457,1223
gender,man,6,living,1595.8037396401173,1000
gender,man,7,living,1205.3632345577196,1291
gender,man,8,living,1727.3823676666789,1083
gender,man,0,biodiversity,1217.9286892344724,732
gender,man,1,biodiversity,1814.2737332244355,1016
gender,man,2,biodiversity,1910.7739343840153,1494
gender,man,3,biodiversity,2033.330176416781,1142
gender,man,4,biodiversity,1990.321365489963,1466
gender,man,5,biodiversity,1043.114881327498,1195
gender,man,6,biodiversity,2081.9895531652655,1581
gender,man,7,biodiversity,1622.4564720772782,1563
gender,man,8,biodiversity,1947.8853949214576,1509
gender,man,0,safety,1976.1394590545242,1138
gender,man,1,safety,1320.5151603495726,978
gender,man,2,safety,1794.2656527341292,1267
gender,man,3,safety,1901.8552282016262,856
gender,man,4,safety,365.42268306841555,1254
gender,man,5,safety,1368.4275376125422,1496
gender,man,6,safety,1947.7933055280555,1162
gender,man,7,safety,827.5204917663389,1402
gender,man,8,safety,1593.208139473092,1333
gender,woman,0,living,1611.1395942871966,886
gender,woman,1,living,1877.6820617330277,985
gender,woman,2,living,1706.4286410546536,855
gender,woman,3,living,1649.1741784236106,662
gender,woman,4,living,1737.049858345917,815
gender,woman,5,living,1406.9480862910016,938
gender,woman,6,living,527.5721686556501,739
gender,woman,7,living,1368.0380762993327,899
gender,woman,8,living,1970.382662014185,895
gender,woman,0,biodiversity,1028.917100198238,740
gender,woman,1,biodiversity,1991.654377122352,692
gender,woman,2,biodiversity,1169.346478681538,1202
gender,woman,3,biodiversity,1483.279065440159,883
gender,woman,4,biodiversity,1654.3726370133545,1115
gender,woman,5,biodiversity,1335.506634335837,961
gender,woman,6,biodiversity,1544.5992819282872,1240
gender,woman,7,biodiversity,1451.005430546243,1208
gender,woman,8,biodiversity,1970.067219288083,1081
gender,woman,0,safety,1370.8159836905397,985
gender,woman,1,safety,956.9476532742387,911
gender,woman,2,safety,1574.9291640496092,889
gender,woman,3,safety,1078.2322250868076,733
gender,woman,4,safety,1633.4054114137396,952
gender,woman,5,safety,1131.262028143177,1237
gender,woman,6,safety,1083.9987597122104,923
gender,woman,7,safety,1759.487497832596,1077
gender,woman,8,safety,2057.4665156036094,965
gender,other,0,living,1476.503800834272,16
gender,other,1,living,1436.6969706915397,7
gender,other,2,living,1554.8229569392145,11
gender,other,3,living,1407.2666953192766,11
gender,other,4,living,1577.7619447354014,15
gender,other,5,living,1501.1624205375988,16
gender,other,6,living,1542.8278076515799,12
gender,other,7,living,1446.4788394814805,8
gender,other,8,living,1524.3992409006732,10
gender,other,0,biodiversity,1464.1440264018386,13
gender,other,1,biodiversity,1451.7388132463336,14
gender,other,2,biodiversity,1552.6981440705426,16
gender,other,3,biodiversity,1427.193541856665,8
gender,other,4,biodiversity,1479.7969428450847,16
gender,other,5,biodiversity,1511.0964575399985,13
gender,other,6,biodiversity,1533.9825755546965,23
gender,other,7,biodiversity,1495.7742238382311,14
gender,other,8,biodiversity,1579.7866274098867,13
gender,other,0,safety,1440.6681575510868,7
gender,other,1,safety,1509.0748764366947,21
gender,other,2,safety,1562.5937547057035,7
gender,other,3,safety,1464.0991981922516,9
gender,other,4,safety,1464.2433157415728,13
gender,other,5,safety,1450.32599792511,10
gender,other,6,safety,1535.9084388125432,15
gender,other,7,safety,1519.9453560170903,12
gender,other,8,safety,1547.9817405834672,8
age,younger,0,living,1307.9678222213272,659
age,younger,1,living,1628.0053086041758,735
age,younger,2,living,1744.1150994983361,589
age,younger,3,living,1236.5909052697175,465
age,younger,4,living,1696.9725064174925,601
age,younger,5,living,1273.5527763396994,739
age,younger,6,living,1084.2776163232827,502
age,younger,7,living,1796.2910996512114,660
age,younger,8,living,1900.445109510945,548
age,younger,0,biodiversity,888.2904944965596,370
age,younger,1,biodiversity,1495.7020741696447,548
age,younger,2,biodiversity,1486.0122050295763,803
age,younger,3,biodiversity,1837.1150717853734,667
age,younger,4,biodiversity,1922.0948126499884,755
age,younger,5,biodiversity,1705.3012482435122,726
age,younger,6,biodiversity,1872.4296203535682,859
age,younger,7,biodiversity,1529.0368635910013,855
age,younger,8,biodiversity,1772.9681995443914,801
age,younger,0,safety,1886.013599169713,619
age,younger,1,safety,1009.2360162306944,556
age,younger,2,safety,1384.7786129182778,677
age,younger,3,safety,1726.3988516441366,495
age,younger,4,safety,1167.5516969379933,690
age,younger,5,safety,1508.8459400702147,795
age,younger,6,safety,1758.6466135970632,647
age,younger,7,safety,1639.4701063824814,772
age,younger,8,safety,1809.4367276047801,649
age,middle,0,living,1203.5510360365647,909
age,middle,1,living,1988.9671498200646,942
age,middle,2,living,1743.7439019450142,893
age,middle,3,living,1559.1686231006051,620
age,middle,4,living,1394.966155725184,944
age,middle,5,living,1965.3651714297455,956
age,middle,6,living,1358.8586481675957,826
age,middle,7,living,1106.901198893837,1018
age,middle,8,living,1507.2032581911913,976
age,middle,0,biodiversity,792.5088759089917,705
age,middle,1,biodiversity,1983.3041508470872,825
age,middle,2,biodiversity,1793.0789517823378,1213
age,middle,3,biodiversity,1859.9007032972133,898
age,middle,4,biodiversity,1749.3406713968552,1203
age,middle,5,biodiversity,1321.7637704538824,976
age,middle,6,biodiversity,1606.2029215135647,1345
age,middle,7,biodiversity,347.2074526374029,1224
age,middle,8,biodiversity,1719.2511131172698,1211
age,middle,0,safety,1838.9919896648048,968
age,middle,1,safety,1099.9328038807898,931
age,middle,2,safety,1965.0587395607174,950
age,middle,3,safety,1878.4555364075065,743
age,middle,4,safety,1381.5447844318676,1036
age,middle,5,safety,604.5118514249103,1237
age,middle,6,safety,226.72601117284816,935
age,middle,7,safety,1905.9903245565422,1158
age,middle,8,safety,1770.2718914741165,1106
age,older,0,living,1630.438867351956,454
age,older,1,living,1524.7221308076832,493
age,older,2,living,1018.9999394443922,455
age,older,3,living,1435.4999624915881,320
age,older,4,living,1790.1674696737205,393
age,older,5,living,1669.9212133956275,479
age,older,6,living,1356.4511594446772,421
age,older,7,living,1262.7166418088548,513
age,older,8,living,1835.935247956092,458
age,older,0,biodiversity,1645.0866126797448,411
age,older,1,biodiversity,1905.315469780392,337
age,older,2,biodiversity,1306.97428956648,687
age,older,3,biodiversity,917.1288198426261,463
