demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,907.0878137585214,3162
global,global,1,living,334.9764121519027,2032
global,global,2,living,2235.865828454596,3455
global,global,3,living,1643.1939005951604,3059
global,global,4,living,1393.6618135599758,2482
global,global,5,living,1102.659640577432,2828
global,global,6,living,2026.4679697488855,1817
global,global,7,living,2174.2124552043306,2673
global,global,8,living,2109.4878484190144,2392
global,global,0,biodiversity,1426.0016157602274,2661
global,global,1,biodiversity,1729.8801543932993,2851
global,global,2,biodiversity,1694.055954204086,2859
global,global,3,biodiversity,2222.8197835490732,1802
global,global,4,biodiversity,2131.0320741600235,3263
global,global,5,biodiversity,1843.3571764970288,3034
global,global,6,biodiversity,1986.7671809577646,2828
global,global,7,biodiversity,2300.474495545647,1924
global,global,8,biodiversity,1735.6833144830164,3034
global,global,0,safety,1513.3223233047152,1753
global,global,1,safety,2168.205435907841,1305
global,global,2,safety,1811.9230752807648,2176
global,global,3,safety,1965.3019778228531,2020
global,global,4,safety,-262.73503641716616,1161
global,global,5,safety,1369.8928250850367,2047
global,global,6,safety,1178.9218790559164,1887
global,global,7,safety,1018.3664477751262,1409
global,global,8,safety,1689.2745787909548,1386
gender,man,0,living,2070.2043410538786,1611
gender,man,1,living,1730.1868225471667,1083
gender,man,2,living,1944.9557795472842,1769
gender,man,3,living,1772.2097720182944,1590
gender,man,4,living,1344.2741397389432,1230
gender,man,5,living,1587.8234481577088,1448
gender,man,6,living,1914.8434226834415,994
gender,man,7,living,1687.7759482795182,1348
gender,man,8,living,2018.8187931355371,1169
gender,man,0,biodiversity,802.198732369278,1331
gender,man,1,biodiversity,1446.9424679903582,1422
gender,man,2,biodiversity,965.1683741004134,1475
gender,man,3,biodiversity,1946.1155122995256,868
gender,man,4,biodiversity,1776.1955738348545,1644
gender,man,5,biodiversity,1403.2293914295144,1554
gender,man,6,biodiversity,1684.7923684366738,1459
gender,man,7,biodiversity,2102.1189843935285,989
gender,man,8,biodiversity,1647.7869054857192,1550
gender,man,0,safety,1748.1942201064971,917
gender,man,1,safety,1799.6829148394286,700
gender,man,2,safety,1950.8955038991912,1129
gender,man,3,safety,2012.2682873562744,1044
gender,man,4,safety,209.27581391688264,628
gender,man,5,safety,1297.187475707659,1042
gender,man,6,safety,1422.5993055286353,946
gender,man,7,safety,1393.2392630563436,739
gender,man,8,safety,1451.642872935602,745
gender,woman,0,living,428.5517737012206,1239
gender,woman,1,living,957.970243568692,821
gender,woman,2,living,1952.9765825008017,1391
gender,woman,3,living,1573.3023024855017,1246
gender,woman,4,living,1541.2172727625236,1060
gender,woman,5,living,1666.3203180270377,1050
gender,woman,6,living,1882.5979711992886,730
gender,woman,7,living,1917.6105492682311,1071
gender,woman,8,living,1828.061723715653,966
gender,woman,0,biodiversity,1351.1845054402859,1059
gender,woman,1,biodiversity,1657.7510148234842,1128
gender,woman,2,biodiversity,1823.5481193119701,1112
gender,woman,3,biodiversity,1290.096320009484,825
gender,woman,4,biodiversity,1908.54322434411,1332
gender,woman,5,biodiversity,2033.749692287096,1190
gender,woman,6,biodiversity,1732.3057404652254,1125
gender,woman,7,biodiversity,1620.2348114915337,820
gender,woman,8,biodiversity,1570.1233530905513,1247
gender,woman,0,safety,1008.3655107943611,634
gender,woman,1,safety,1973.7022948793003,511
gender,woman,2,safety,1694.9347628980356,874
gender,woman,3,safety,1553.7711370103048,832
gender,woman,4,safety,1165.3145367288014,475
gender,woman,5,safety,1502.7816835154367,849
gender,woman,6,safety,1327.1572374129182,787
gender,woman,7,safety,1389.2321839893218,592
gender,woman,8,safety,1768.2382621763622,502
gender,other,0,living,1512.3021269505105,15
gender,other,1,living,1452.0485439606887,8
gender,other,2,living,1537.0496438143412,21
gender,other,3,living,1516.258624133828,17
gender,other,4,living,1486.0740152169915,17
gender,other,5,living,1559.172385326556,9
gender,other,6,living,1539.9599430535418,7
gender,other,7,living,1460.8878351602605,15
gender,other,8,living,1444.3228927435125,9
gender,other,0,biodiversity,1453.6569196956289,6
gender,other,1,biodiversity,1502.4258055797472,14
gender,other,2,biodiversity,1535.6100314624443,21
gender,other,3,biodiversity,1500.9707784945663,12
gender,other,4,biodiversity,1467.025595242647,19
gender,other,5,biodiversity,1552.8914702343266,12
gender,other,6,biodiversity,1568.4736555512848,16
gender,other,7,biodiversity,1489.93076624748,13
gender,other,8,biodiversity,1435.0756291033058,13
gender,other,0,safety,1547.7803164848372,14
gender,other,1,safety,1449.951022152943,8
gender,other,2,safety,1440.070871649843,7
gender,other,3,safety,1497.9750600787686,12
gender,other,4,safety,1526.5592350558406,10
gender,other,5,safety,1514.229925731979,15
gender,other,6,safety,1560.0847055809597,9
gender,other,7,safety,1475.9164054096725,10
gender,other,8,safety,1487.999475398135,9
age,younger,0,living,1706.6925349057224,928
age,younger,1,living,1550.191099767763,567
