demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1158.739229714222,2376
global,global,1,living,1738.8901308306058,2904
global,global,2,living,2251.5658510429926,2664
global,global,3,living,1777.8856269275639,2631
global,global,4,living,1552.3302906074387,2512
global,global,5,living,1238.956484318713,2645
global,global,6,living,1934.5158070384412,1968
global,global,7,living,1740.6958241371792,3118
global,global,8,living,2390.085573953053,2750
global,global,0,biodiversity,1335.7267844313371,2799
global,global,1,biodiversity,1654.7171209766368,2332
global,global,2,biodiversity,2327.986507059259,2395
global,global,3,biodiversity,2180.4662216884367,2032
global,global,4,biodiversity,1860.4178276630678,2773
global,global,5,biodiversity,1297.6890622364863,2400
global,global,6,biodiversity,1896.4483937422951,2661
global,global,7,biodiversity,-544.4475364142585,1085
global,global,8,biodiversity,2097.07886496688,1837
global,global,0,safety,2166.6929233047285,1677
global,global,1,safety,1091.8923297202123,2183
global,global,2,safety,2064.8466947354145,2637
global,global,3,safety,801.2491512273622,2544
global,global,4,safety,1194.8141638794777,1579
global,global,5,safety,874.1146266345908,2300
global,global,6,safety,2314.4831334201276,2248
global,global,7,safety,1960.7136491003516,2322
global,global,8,safety,1554.7626162101496,1928
gender,man,0,living,1377.5906197866022,1165
gender,man,1,living,342.50226947143784,1448
gender,man,2,living,1878.9013020597088,1405
gender,man,3,living,617.8151336078192,1353
gender,man,4,living,1726.2739740194202,1268
gender,man,5,living,1826.374141444589,1446
gender,man,6,living,2020.0907584285776,1003
gender,man,7,living,1967.4677945759115,1572
gender,man,8,living,1919.7561712672316,1420
gender,man,0,biodiversity,1746.8974318829155,1463
gender,man,1,biodiversity,1016.3507164024918,1217
gender,man,2,biodiversity,1901.3922279274918,1201
gender,man,3,biodiversity,2088.8105869584488,971
gender,man,4,biodiversity,1567.0673959102478,1466
gender,man,5,biodiversity,1824.4557633852185,1323
gender,man,6,biodiversity,1783.7519400325375,1374
gender,man,7,biodiversity,-203.42454303182805,514
gender,man,8,biodiversity,1628.37313697564,975
gender,man,0,safety,1691.50847613847,849
gender,man,1,safety,1661.491683741773,1090
gender,man,2,safety,1964.3462783200887,1355
gender,man,3,safety,442.3252106908086,1263
gender,man,4,safety,1377.5836877516338,797
gender,man,5,safety,1496.9510096538834,1189
gender,man,6,safety,1997.9721558320412,1074
gender,man,7,safety,1187.1263364152762,1217
gender,man,8,safety,669.8200170296741,1006
gender,woman,0,living,1278.6006700554256,1052
gender,woman,1,living,1796.7482079405422,1224
gender,woman,2,living,1531.1078635493654,1018
