demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1199.9709977544235,2025
global,global,1,living,1763.7756612855255,2009
global,global,2,living,-13.187993454017683,1632
global,global,3,living,2191.7346073417243,2483
global,global,4,living,1485.3622329154052,2424
global,global,5,living,2109.1731543901165,1475
global,global,6,living,1953.9184357689142,1811
global,global,7,living,1292.707850297321,2516
global,global,8,living,362.9360896152037,1891
global,global,0,biodiversity,490.17758928967964,2695
global,global,1,biodiversity,1143.9533083546905,3008
global,global,2,biodiversity,2014.9340450813722,1614
global,global,3,biodiversity,1728.6757470465113,2296
global,global,4,biodiversity,683.7572304680832,2492
global,global,5,biodiversity,-34.66226754369592,1929
global,global,6,biodiversity,640.2982261161459,2728
global,global,7,biodiversity,1573.295720088617,2342
global,global,8,biodiversity,2277.1391171026953,2074
global,global,0,safety,1662.3338462303536,2697
global,global,1,safety,1887.4446596513496,2597
global,global,2,safety,2057.979603532334,2826
global,global,3,safety,2220.644875047223,2611
global,global,4,safety,853.9668949365141,2520
global,global,5,safety,2136.8412822731066,2894
global,global,6,safety,2367.8738865190867,2231
global,global,7,safety,375.91918295548584,2735
global,global,8,safety,1986.8004404735805,2745
gender,man,0,living,1569.345398445749,1079
gender,man,1,living,1841.7005601906053,1047
gender,man,2,living,1508.7643445368917,912
gender,man,3,living,2037.944951775326,1251
gender,man,4,living,1442.3164209347171,1268
gender,man,5,living,1970.7322451782882,752
gender,man,6,living,1618.045611330026,925
gender,man,7,living,1057.8416592042886,1246
gender,man,8,living,1160.199128022092,956
gender,man,0,biodiversity,1781.27035605314,1368
gender,man,1,biodiversity,1579.6449839796617,1522
gender,man,2,biodiversity,2075.0787457741912,848
gender,man,3,biodiversity,1970.4884314922256,1171
gender,man,4,biodiversity,1788.6681173806883,1274
gender,man,5,biodiversity,869.8826677204761,1076
gender,man,6,biodiversity,1273.669697390807,1353
gender,man,7,biodiversity,1717.6028099032033,1270
gender,man,8,biodiversity,1843.506055951875,1110
gender,man,0,safety,1989.7568825802018,1276
gender,man,1,safety,1559.4713191596409,1271
gender,man,2,safety,1726.0176617769412,1455
gender,man,3,safety,1262.3593939054342,1321
gender,man,4,safety,663.1987490930449,1299
gender,man,5,safety,1867.9567424193756,1416
gender,man,6,safety,2056.8942633605575,1089
gender,man,7,safety,1229.6705262256287,1473
gender,man,8,safety,1546.7520410170316,1396
gender,woman,0,living,1228.8433007363406,832
gender,woman,1,living,1796.1990081104345,811
gender,woman,2,living,419.4717606343171,653
gender,woman,3,living,1114.3173142502144,962
gender,woman,4,living,1688.1846476298545,967
gender,woman,5,living,1958.5137759505776,583
gender,woman,6,living,1826.1937782368948,750
gender,woman,7,living,1750.5404290301976,1031
gender,woman,8,living,599.7093313243098,741
gender,woman,0,biodiversity,370.5493182400909,1075
gender,woman,1,biodiversity,1496.1575956113852,1255
gender,woman,2,biodiversity,1833.6460611459343,671
gender,woman,3,biodiversity,1235.7524737519902,909
gender,woman,4,biodiversity,405.54330288295495,1024
gender,woman,5,biodiversity,823.1998199508186,785
gender,woman,6,biodiversity,1362.4857094096803,1083
gender,woman,7,biodiversity,1724.312831897861,951
gender,woman,8,biodiversity,2020.8010664874919,797
gender,woman,0,safety,1488.8659116352792,1072
gender,woman,1,safety,1791.6203372766915,1117
gender,woman,2,safety,1987.5246525475106,1077
gender,woman,3,safety,1892.2673650336849,1029
gender,woman,4,safety,1938.1844052386161,1087
gender,woman,5,safety,1687.665339822407,1134
gender,woman,6,safety,1599.8327157972703,899
gender,woman,7,safety,-81.95216015862286,1116
gender,woman,8,safety,1720.8626391714301,1057
gender,other,0,living,1571.157666419765,8
gender,other,1,living,1427.994953447876,6
gender,other,2,living,1544.358435148181,12
gender,other,3,living,1499.9422989546767,12
gender,other,4,living,1534.759582090091,9
gender,other,5,living,1487.144201630951,15
gender,other,6,living,1472.5023134470723,16
gender,other,7,living,1439.842012471795,11
gender,other,8,living,1512.0142923584262,13
gender,other,0,biodiversity,1478.5572114549004,14
gender,other,1,biodiversity,1487.6865793504087,9
gender,other,2,biodiversity,1547.1591424147434,10
gender,other,3,biodiversity,1500.0152778538804,8
gender,other,4,biodiversity,1428.0591338987483,16
gender,other,5,biodiversity,1568.4615537228158,8
gender,other,6,biodiversity,1450.9311397199674,14
gender,other,7,biodiversity,1523.986677871143,8
gender,other,8,biodiversity,1510.8162371274684,15
gender,other,0,safety,1465.1703844837039,15
gender,other,1,safety,1512.9505124841012,15
gender,other,2,safety,1399.9218742340047,12
gender,other,3,safety,1578.210637947239,17
gender,other,4,safety,1498.1173035929733,14
gender,other,5,safety,1481.9284893903189,23
gender,other,6,safety,1533.170905054899,11
gender,other,7,safety,1560.521115443173,9
gender,other,8,safety,1454.5098569532872,18
age,younger,0,living,1621.1075051929954,636
age,younger,1,living,1571.7880970607766,584
age,younger,2,living,1669.0624651935416,536
age,younger,3,living,1893.5091043594116,653
age,younger,4,living,1730.1851439721243,747
age,younger,5,living,1784.7095595261599,436
age,younger,6,living,1118.0330848786507,558
age,younger,7,living,1508.446687007702,703
age,younger,8,living,1377.6965077274758,475
age,younger,0,biodiversity,829.7005335597753,681
age,younger,1,biodiversity,1811.1832687226674,820
age,younger,2,biodiversity,1833.150998333167,442
age,younger,3,biodiversity,1188.6988156075,642
age,younger,4,biodiversity,1695.7688162930335,689
age,younger,5,biodiversity,1048.6061832571402,601
age,younger,6,biodiversity,1388.2212792371158,712
age,younger,7,biodiversity,1874.415604671666,619
age,younger,8,biodiversity,1569.905955361426,580
age,younger,0,safety,1955.5631935814272,690
age,younger,1,safety,1805.074969207875,710
age,younger,2,safety,1253.3808974588405,776
age,younger,3,safety,1021.3546199444819,749
age,younger,4,safety,1491.171799913357,703
age,younger,5,safety,1775.152250207433,713
age,younger,6,safety,1294.0313367285498,630
age,younger,7,safety,1541.4305292704832,853
age,younger,8,safety,1669.515756780423,844
age,middle,0,living,1605.705343350878,797
age,middle,1,living,1693.3884974972461,762
age,middle,2,living,640.2196816912115,644
age,middle,3,living,1115.849387147531,1037
age,middle,4,living,356.73790599694155,1005
age,middle,5,living,1881.2035888616867,575
age,middle,6,living,1918.928634604575,754
age,middle,7,living,814.6821345858199,967
age,middle,8,living,1175.1757198194794,831
age,middle,0,biodiversity,1400.9669670187318,1197
age,middle,1,biodiversity,1416.370661605469,1321
age,middle,2,biodiversity,1927.9649889919458,764
age,middle,3,biodiversity,1784.240047179724,920
age,middle,4,biodiversity,1497.3357981914355,1082
age,middle,5,biodiversity,1528.8120160260114,900
age,middle,6,biodiversity,1634.2443821707068,1200
age,middle,7,biodiversity,2002.2360326652085,1074
age,middle,8,biodiversity,2024.429965316029,856
age,middle,0,safety,1159.858782529817,1082
age,middle,1,safety,1484.5982585815468,1078
age,middle,2,safety,1875.108829473843,1195
age,middle,3,safety,1771.289543246955,1078
age,middle,4,safety,1634.5301123918484,1115
age,middle,5,safety,1940.6747832577562,1244
age,middle,6,safety,2006.281315225522,939
age,middle,7,safety,766.8026248854592,1220
age,middle,8,safety,1372.423848819434,1111
age,older,0,living,1516.369505295047,481
age,older,1,living,1559.9267249332431,512
age,older,2,living,1053.6556794740854,393
