demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1217.4778637720003,2218
global,global,1,living,2172.9344868081744,2915
global,global,2,living,1306.2199950740903,2726
global,global,3,living,1329.2444196784977,2978
global,global,4,living,1608.3639670044342,2833
global,global,5,living,2299.666678158511,2334
global,global,6,living,1733.4597082086204,2677
global,global,7,living,2263.346702733098,1806
global,global,8,living,865.7826680078691,2457
global,global,0,biodiversity,2214.8429132675883,1649
global,global,1,biodiversity,2010.8382676380688,2458
global,global,2,biodiversity,2105.570877431467,1488
global,global,3,biodiversity,1443.6108411930204,2348
global,global,4,biodiversity,1623.477228704837,2516
global,global,5,biodiversity,189.9455989372075,2013
global,global,6,biodiversity,1844.069658939036,2353
global,global,7,biodiversity,1496.4690011590749,2580
global,global,8,biodiversity,1026.9440415201295,2267
global,global,0,safety,914.7084207603214,2238
global,global,1,safety,2276.128793320052,2159
global,global,2,safety,110.77721611102913,2457
global,global,3,safety,1014.2393638060215,1846
global,global,4,safety,1766.5124409947887,2734
global,global,5,safety,2358.154962808388,2302
global,global,6,safety,1540.6247592158247,2435
global,global,7,safety,1723.2653948480263,2557
global,global,8,safety,1109.7399527189348,1956
gender,man,0,living,941.6837254183934,1141
gender,man,1,living,1982.3347173222126,1411
gender,man,2,living,1359.457585138679,1451
gender,man,3,living,866.6288410531246,1489
gender,man,4,living,1743.0599787460712,1480
gender,man,5,living,1759.9468099077171,1262
gender,man,6,living,2103.3973536561516,1355
gender,man,7,living,1802.072256638764,935
gender,man,8,living,-400.38248076149046,1218
gender,man,0,biodiversity,2012.9326384806698,840
gender,man,1,biodiversity,1893.375957592405,1236
gender,man,2,biodiversity,1561.2456059863223,757
gender,man,3,biodiversity,408.77911514431344,1119
gender,man,4,biodiversity,1602.1315935414739,1291
gender,man,5,biodiversity,561.6640402901996,976
gender,man,6,biodiversity,1742.6571817473612,1259
gender,man,7,biodiversity,1170.2346760849841,1330
gender,man,8,biodiversity,1544.4831946041927,1130
gender,man,0,safety,491.26222230468625,1179
gender,man,1,safety,2061.7128643801293,1050
gender,man,2,safety,1037.6951603867867,1333
gender,man,3,safety,1315.4826784158902,1034
gender,man,4,safety,734.8910857974353,1391
gender,man,5,safety,1790.0172485305188,1174
gender,man,6,safety,1864.0844784204432,1230
gender,man,7,safety,1400.9970611235358,1337
gender,man,8,safety,545.0423097339316,1016
gender,woman,0,living,895.860143642427,880
gender,woman,1,living,1144.026017212721,1248
gender,woman,2,living,1573.9144359441643,1009
gender,woman,3,living,1385.8885196005845,1226
gender,woman,4,living,825.9813770587481,1123
gender,woman,5,living,1967.741285223235,908
gender,woman,6,living,1439.943028367375,1078
gender,woman,7,living,1812.6062930704768,695
gender,woman,8,living,1770.910189179999,997
gender,woman,0,biodiversity,1955.0757324796998,680
gender,woman,1,biodiversity,905.7434654572405,979
gender,woman,2,biodiversity,1627.228920403553,628
gender,woman,3,biodiversity,1870.527371960642,1024
gender,woman,4,biodiversity,1789.140287205302,1006
gender,woman,5,biodiversity,1353.0895307170774,848
gender,woman,6,biodiversity,1749.83427134385,911
gender,woman,7,biodiversity,1053.4643262462534,1002
gender,woman,8,biodiversity,1430.143091275062,880
gender,woman,0,safety,1938.3411962852465,917
gender,woman,1,safety,1493.774393591103,837
gender,woman,2,safety,1786.5000409932532,1016
gender,woman,3,safety,1009.5444436605171,704
gender,woman,4,safety,1896.3011099186579,1102
gender,woman,5,safety,1963.8641809054973,937
gender,woman,6,safety,1535.3128123433319,1020
gender,woman,7,safety,1862.0043918963877,997
gender,woman,8,safety,1682.9281158096721,816
gender,other,0,living,1537.834967690668,15
gender,other,1,living,1430.5354890711087,22
gender,other,2,living,1512.8918686455345,17
gender,other,3,living,1487.818083004769,15
gender,other,4,living,1503.1098838613882,16
gender,other,5,living,1561.9982955683247,7
gender,other,6,living,1452.018318226798,8
gender,other,7,living,1546.8906871600132,14
gender,other,8,living,1475.2814452235086,14
gender,other,0,biodiversity,1512.0376740474198,5
gender,other,1,biodiversity,1500.0094144641787,6
gender,other,2,biodiversity,1488.430951803912,11
gender,other,3,biodiversity,1559.9714152559184,11
gender,other,4,biodiversity,1427.9101407338705,12
gender,other,5,biodiversity,1523.1506014572135,12
gender,other,6,biodiversity,1546.9536959447078,12
gender,other,7,biodiversity,1464.8046353318578,15
gender,other,8,biodiversity,1476.936795987315,12
gender,other,0,safety,1513.673193410173,13
gender,other,1,safety,1499.958481686353,12
gender,other,2,safety,1524.8321323142807,14
gender,other,3,safety,1452.9461377685882,12
gender,other,4,safety,1536.7128878435774,15
gender,other,5,safety,1441.7656885088325,9
gender,other,6,safety,1489.5851672494832,11
gender,other,7,safety,1477.2978245202232,20
gender,other,8,safety,1570.8910682630303,8
age,younger,0,living,1416.2683949963975,674
age,younger,1,living,1887.0303519370366,775
age,younger,2,living,1497.395023348846,774
age,younger,3,living,484.7515894184753,803
age,younger,4,living,1590.2449520992484,790
age,younger,5,living,1164.3151766104645,688
age,younger,6,living,1782.8370546681906,745
age,younger,7,living,1861.9813083896927,517
age,younger,8,living,1062.4050784692226,698
age,younger,0,biodiversity,1310.0147449881938,459
age,younger,1,biodiversity,1165.8943355098456,718
age,younger,2,biodiversity,1428.9657107171115,474
age,younger,3,biodiversity,1625.4568181710708,665
age,younger,4,biodiversity,1857.7302389287054,695
age,younger,5,biodiversity,889.1631451503233,543
age,younger,6,biodiversity,1920.8752249666986,608
age,younger,7,biodiversity,177.60136821237666,662
age,younger,8,biodiversity,1410.9189707123437,642
age,younger,0,safety,1114.3554074003443,589
age,younger,1,safety,1639.0041824531174,572
age,younger,2,safety,1712.1627673273147,725
age,younger,3,safety,1392.7010664891952,569
age,younger,4,safety,1560.6646406469872,818
age,younger,5,safety,1820.4584130672006,669
age,younger,6,safety,1734.8347324667777,706
age,younger,7,safety,1864.107391598017,623
age,younger,8,safety,1469.098700018679,581
age,middle,0,living,912.5637001926393,923
age,middle,1,living,1265.4045946987087,1266
age,middle,2,living,1419.7269413348265,1160
age,middle,3,living,1620.657558523235,1311
age,middle,4,living,1643.832768021551,1181
age,middle,5,living,2060.26852157369,928
age,middle,6,living,1821.978976117285,1124
age,middle,7,living,1566.1871026822657,745
age,middle,8,living,1362.3671810093806,1098
age,middle,0,biodiversity,1940.9466964994394,720
age,middle,1,biodiversity,1410.8375894447015,1031
age,middle,2,biodiversity,1828.5242343437058,636
age,middle,3,biodiversity,1570.8576091354205,946
age,middle,4,biodiversity,1794.0649344124247,1048
age,middle,5,biodiversity,1471.2333040560898,821
age,middle,6,biodiversity,1485.9153655909624,1029
age,middle,7,biodiversity,1665.4687647007922,1135
age,middle,8,biodiversity,1611.5782105850717,936
age,middle,0,safety,1895.0913531174363,1005
age,middle,1,safety,1799.5484169059098,919
age,middle,2,safety,1492.5627140442357,1090
age,middle,3,safety,1633.0034422511735,744
age,middle,4,safety,1657.0034217221587,1106
age,middle,5,safety,2027.5906127145583,998
age,middle,6,safety,1855.8805659413695,1003
age,middle,7,safety,1468.6394124681965,1062
age,middle,8,safety,1523.9422320097847,783
age,older,0,living,1782.960491689637,432
age,older,1,living,1103.2530943889249,629
age,older,2,living,1804.505142086294,537
age,older,3,living,1703.5236681906536,607
age,older,4,living,1383.9511136059202,647
age,older,5,living,1591.4814582687318,557
age,older,6,living,1665.926565673884,562
age,older,7,living,1744.92353779393,384
age,older,8,living,906.2362741154386,427
age,older,0,biodiversity,1674.616772080911,347
age,older,1,biodiversity,1864.3674247297565,460
age,older,2,biodiversity,1712.2343112183037,279
age,older,3,biodiversity,1139.7788942858654,542
age,older,4,biodiversity,1494.120200504316,552
age,older,5,biodiversity,995.4756783090111,462
age,older,6,biodiversity,1330.3895572960369,540
age,older,7,biodiversity,1633.7423313343975,549
age,older,8,biodiversity,964.6544026323141,437
age,older,0,safety,1432.0544910817173,509
age,older,1,safety,1874.844758009494,404
age,older,2,safety,954.9522919727855,534
age,older,3,safety,1656.0007153308006,428
age,older,4,safety,1673.121616800597,581
age,older,5,safety,1757.3220338588583,443
age,older,6,safety,1600.9875865772524,551
age,older,7,safety,1563.47522040842,660
age,older,8,safety,1300.1599088618682,468
ethnicity,white,0,living,463.0673651867917,1735
ethnicity,white,1,living,1922.5060995348583,2349
ethnicity,white,2,living,1763.317918422459,2101
ethnicity,white,3,living,1173.153083386973,2355
ethnicity,white,4,living,1109.4712314670408,2245
ethnicity,white,5,living,2101.889025481775,1846
ethnicity,white,6,living,1582.1588941995265,2119
ethnicity,white,7,living,2172.6558364093253,1378
ethnicity,white,8,living,-240.28246536584592,1880
ethnicity,white,0,biodiversity,2135.851052219828,1291
ethnicity,white,1,biodiversity,1992.2883825084366,1880
ethnicity,white,2,biodiversity,1620.7300795338501,1205
ethnicity,white,3,biodiversity,1533.2344480109614,1849
ethnicity,white,4,biodiversity,1577.4459431145672,2024
ethnicity,white,5,biodiversity,295.5607157787119,1574
ethnicity,white,6,biodiversity,1858.7924643694016,1915
ethnicity,white,7,biodiversity,1446.9567311449255,2044
ethnicity,white,8,biodiversity,1356.2354304798855,1756
ethnicity,white,0,safety,1126.7480014582989,1829
ethnicity,white,1,safety,2223.3982398986677,1629
ethnicity,white,2,safety,1044.765838525029,2042
ethnicity,white,3,safety,1335.9341302418434,1510
ethnicity,white,4,safety,1862.4027284474143,2170
ethnicity,white,5,safety,2145.2746314205815,1819
ethnicity,white,6,safety,2059.3645315526373,1927
ethnicity,white,7,safety,1597.2379221339054,2070
ethnicity,white,8,safety,1571.7180727679522,1618
ethnicity,other,0,living,1448.8226693147567,200
ethnicity,other,1,living,1563.4042050199348,238
ethnicity,other,2,living,1659.6710203336736,272
ethnicity,other,3,living,1296.6381622053448,251
ethnicity,other,4,living,1708.307938756444,273
ethnicity,other,5,living,1376.7973349933584,245
ethnicity,other,6,living,1676.3973849081617,208
ethnicity,other,7,living,1540.1496875689156,190
ethnicity,other,8,living,1613.320569276413,249
ethnicity,other,0,biodiversity,1273.3220944961713,174
ethnicity,other,1,biodiversity,1292.0613278235692,256
ethnicity,other,2,biodiversity,1605.4054092223391,136
ethnicity,other,3,biodiversity,1633.0437997510953,223
ethnicity,other,4,biodiversity,1775.2032668325219,183
ethnicity,other,5,biodiversity,1493.8423745231491,182
ethnicity,other,6,biodiversity,1599.2519700303699,200
ethnicity,other,7,biodiversity,1450.805315964229,214
ethnicity,other,8,biodiversity,1387.2145418762464,192
ethnicity,other,0,safety,1544.0450309928774,195
ethnicity,other,1,safety,1726.7190258029912,177
ethnicity,other,2,safety,1458.4090802886108,230
ethnicity,other,3,safety,1601.1834407183237,165
ethnicity,other,4,safety,1191.0842463538393,235
ethnicity,other,5,safety,1649.0336968997624,211
ethnicity,other,6,safety,1615.733868820581,229
ethnicity,other,7,safety,1481.311757063981,204
ethnicity,other,8,safety,1283.235133199613,148
education,sixteen,0,living,1410.518425837421,143
education,sixteen,1,living,1501.5497190284036,168
education,sixteen,2,living,1377.3986341985446,145
education,sixteen,3,living,1678.134093503115,178
education,sixteen,4,living,1520.5797148063843,175
education,sixteen,5,living,1701.438978315066,170
education,sixteen,6,living,1444.128954617759,181
education,sixteen,7,living,1647.5974402617076,101
education,sixteen,8,living,1262.8181612087108,141
education,sixteen,0,biodiversity,1598.3545568705529,103
education,sixteen,1,biodiversity,1738.002952001337,145
education,sixteen,2,biodiversity,1368.282164375616,117
education,sixteen,3,biodiversity,1291.5802182105097,149
education,sixteen,4,biodiversity,1491.6366405448646,149
education,sixteen,5,biodiversity,1445.5680679760867,137
education,sixteen,6,biodiversity,1331.288237839297,182
education,sixteen,7,biodiversity,1699.7205406784951,149
education,sixteen,8,biodiversity,1313.8706701627123,101
education,sixteen,0,safety,1598.3025275064613,151
education,sixteen,1,safety,1707.157126761561,103
education,sixteen,2,safety,1466.6808895896413,195
education,sixteen,3,safety,1540.296999383944,115
education,sixteen,4,safety,1653.867056121207,158
education,sixteen,5,safety,1309.9797093803286,173
education,sixteen,6,safety,1486.6784015048859,172
education,sixteen,7,safety,1447.1046394597822,226
education,sixteen,8,safety,1507.765283937332,145
education,eighteen,0,living,1544.1508158006177,368
education,eighteen,1,living,1461.1930120805841,521
education,eighteen,2,living,1118.831744726136,449
education,eighteen,3,living,1574.778174943486,488
education,eighteen,4,living,1734.5556373170452,478
education,eighteen,5,living,1852.2548411108319,337
education,eighteen,6,living,564.9754058531041,456
education,eighteen,7,living,1658.6080090255566,328
education,eighteen,8,living,1095.1960473058507,361
education,eighteen,0,biodiversity,1815.6967824464298,282
education,eighteen,1,biodiversity,1584.165256714995,394
education,eighteen,2,biodiversity,1743.6967033336693,256
education,eighteen,3,biodiversity,1133.1994789938892,357
education,eighteen,4,biodiversity,1413.340277573001,434
education,eighteen,5,biodiversity,1545.1461510620081,354
education,eighteen,6,biodiversity,1631.5135879785093,423
education,eighteen,7,biodiversity,1022.160762496137,425
education,eighteen,8,biodiversity,1170.7829328621522,381
education,eighteen,0,safety,1148.2681489944732,374
education,eighteen,1,safety,1740.1156816287696,344
education,eighteen,2,safety,1563.4119602970256,414
education,eighteen,3,safety,1628.1802123653524,375
education,eighteen,4,safety,1391.2149562647915,452
education,eighteen,5,safety,1683.1597359114146,404
education,eighteen,6,safety,1809.086036495685,386
education,eighteen,7,safety,1233.4241017228958,430
education,eighteen,8,safety,1659.9812223746742,371
education,older,0,living,1141.1424882703184,1502
education,older,1,living,1729.640252893767,1950
education,older,2,living,1904.9211040301182,1845
education,older,3,living,43.557716999333195,2040
education,older,4,living,1410.162055953609,1935
education,older,5,living,1635.789756904906,1634
education,older,6,living,1836.688206652239,1769
education,older,7,living,2173.7328785090335,1198
education,older,8,living,1099.5660821325587,1701
education,older,0,biodiversity,2042.4436738550507,1120
education,older,1,biodiversity,1098.6035500785272,1667
education,older,2,biodiversity,1876.937309288899,1004
education,older,3,biodiversity,1771.1551316845441,1622
education,older,4,biodiversity,2061.109750931115,1700
education,older,5,biodiversity,310.5591136089461,1317
education,older,6,biodiversity,1818.1308638142148,1550
education,older,7,biodiversity,712.4288707055576,1745
education,older,8,biodiversity,1304.6350473384919,1515
education,older,0,safety,1459.517067411389,1557
education,older,1,safety,2081.3139156612,1426
education,older,2,safety,964.4574402736652,1730
education,older,3,safety,1243.8801275716605,1227
education,older,4,safety,1761.9861848681965,1866
