demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2104.44897134122,2367
global,global,1,living,1542.4458332411873,2361
global,global,2,living,1871.368862535367,2258
global,global,3,living,851.3281148980348,2388
global,global,4,living,-687.440735175001,1905
global,global,5,living,2255.4390112943183,1914
global,global,6,living,1701.774318360621,1933
global,global,7,living,2302.5839547673377,2393
global,global,8,living,-304.9565827048278,1633
global,global,0,biodiversity,2046.7419749298751,2656
global,global,1,biodiversity,856.4416555806703,2858
global,global,2,biodiversity,1825.444015836652,2696
global,global,3,biodiversity,1555.7886983278888,3102
global,global,4,biodiversity,1272.612492027436,2653
global,global,5,biodiversity,430.3404132965966,2378
global,global,6,biodiversity,2333.4116841074992,2170
global,global,7,biodiversity,1331.906449727999,2668
global,global,8,biodiversity,1719.926295866459,2561
global,global,0,safety,1633.9945597593576,2628
global,global,1,safety,1980.949976877297,2584
global,global,2,safety,2316.2287904028476,2072
global,global,3,safety,2148.9049084083813,1986
global,global,4,safety,1349.1311915792057,2836
global,global,5,safety,685.9343048580433,2285
global,global,6,safety,1257.4178356872835,1758
global,global,7,safety,621.4387333003651,1515
global,global,8,safety,1454.8112528782954,2742
gender,man,0,living,1603.2914865904975,1173
gender,man,1,living,1441.5190960949492,1214
gender,man,2,living,1563.321526811045,1177
gender,man,3,living,892.9530105717668,1262
gender,man,4,living,291.08690734729674,968
gender,man,5,living,1997.2894491052775,983
gender,man,6,living,261.2483718720508,970
gender,man,7,living,2074.859102682712,1212
gender,man,8,living,-140.07492463916677,803
gender,man,0,biodiversity,1442.8500319498926,1342
gender,man,1,biodiversity,1546.208499560818,1470
gender,man,2,biodiversity,1825.041943664536,1407
gender,man,3,biodiversity,802.6596978091068,1601
gender,man,4,biodiversity,2007.4768369195365,1372
gender,man,5,biodiversity,692.1390167271295,1268
gender,man,6,biodiversity,2084.2230566043913,1125
gender,man,7,biodiversity,551.9593857581981,1321
gender,man,8,biodiversity,1840.381463856388,1358
gender,man,0,safety,1977.9949706741047,1300
gender,man,1,safety,2068.281351076311,1284
gender,man,2,safety,1872.2483867208323,1066
gender,man,3,safety,1731.0438503428938,1049
gender,man,4,safety,1052.170942892797,1489
gender,man,5,safety,674.2828852036371,1152
gender,man,6,safety,1699.1277219159672,938
gender,man,7,safety,804.2629315928264,741
gender,man,8,safety,1435.7141063273966,1379
gender,woman,0,living,1722.4895765101194,869
gender,woman,1,living,1212.7737876918166,980
gender,woman,2,living,1760.1506630461452,914
gender,woman,3,living,1625.467667638709,919
gender,woman,4,living,1422.1713000491789,831
gender,woman,5,living,1821.5630317213304,760
gender,woman,6,living,1992.5816055508324,767
gender,woman,7,living,1043.778391305902,890
gender,woman,8,living,1510.53311428595,698
gender,woman,0,biodiversity,1801.3167413057706,1123
gender,woman,1,biodiversity,1214.371779064887,1104
gender,woman,2,biodiversity,1315.6296608130442,1095
gender,woman,3,biodiversity,1895.6033385775056,1210
gender,woman,4,biodiversity,940.1644846813199,1090
gender,woman,5,biodiversity,1951.9940908309036,1017
gender,woman,6,biodiversity,1612.8645102620405,925
gender,woman,7,biodiversity,1852.6186339497729,1065
gender,woman,8,biodiversity,1759.2089269464705,997
gender,woman,0,safety,1026.8254686093264,1089
gender,woman,1,safety,1748.4654586513097,1108
gender,woman,2,safety,1957.863684449629,864
gender,woman,3,safety,1606.1692354518545,748
gender,woman,4,safety,2002.974391863912,1099
gender,woman,5,safety,1355.6217941687496,914
gender,woman,6,safety,800.2211950669617,663
gender,woman,7,safety,1057.5854223208985,615
gender,woman,8,safety,1485.3824819382282,1114
gender,other,0,living,1567.8205280683849,10
gender,other,1,living,1502.845187160988,24
gender,other,2,living,1520.8151806446263,14
gender,other,3,living,1511.4912991914066,13
gender,other,4,living,1423.3755412753553,8
gender,other,5,living,1412.5019390865937,11
gender,other,6,living,1520.7971737747598,14
gender,other,7,living,1560.8167824376999,13
gender,other,8,living,1462.5835560383505,15
gender,other,0,biodiversity,1560.4137904449406,7
gender,other,1,biodiversity,1440.014803658683,7
