demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1726.44713901953,3443
global,global,1,living,2039.4837795193223,3016
global,global,2,living,1026.0094467750957,2792
global,global,3,living,2055.6412585399526,1766
global,global,4,living,2229.7579773245693,3152
global,global,5,living,943.9947225467562,2816
global,global,6,living,1940.713821655144,2775
global,global,7,living,2279.4557287623925,3308
global,global,8,living,1196.404960834497,3532
global,global,0,biodiversity,2149.7677796451744,1198
global,global,1,biodiversity,1557.576112746923,1951
global,global,2,biodiversity,1380.011628387184,1629
global,global,3,biodiversity,1050.698011273361,1780
global,global,4,biodiversity,1712.0675400745383,2226
global,global,5,biodiversity,1814.3790191664418,2110
global,global,6,biodiversity,208.21117588339385,2305
global,global,7,biodiversity,2034.6244338721117,1739
global,global,8,biodiversity,1867.1688334876173,2094
global,global,0,safety,1020.2470338616266,1960
global,global,1,safety,1993.637017935906,2467
global,global,2,safety,1729.3227417781136,2334
global,global,3,safety,1406.2633920885394,2233
global,global,4,safety,1800.4672944239674,2152
global,global,5,safety,1581.3942490581971,2511
global,global,6,safety,587.7677060052575,1747
global,global,7,safety,2314.2739946771276,1932
global,global,8,safety,2102.6036527953124,2332
gender,man,0,living,1274.7018787896375,1750
gender,man,1,living,2110.6183649891477,1453
gender,man,2,living,1471.6680610741703,1472
gender,man,3,living,1748.6594656112254,957
gender,man,4,living,2020.7451514220254,1521
gender,man,5,living,1120.9048450708653,1496
gender,man,6,living,1597.405137587334,1450
gender,man,7,living,987.4541636095722,1745
gender,man,8,living,788.3988070659782,1766
gender,man,0,biodiversity,1812.8237658120554,634
gender,man,1,biodiversity,1638.1923421044178,972
gender,man,2,biodiversity,824.7450697819243,810
gender,man,3,biodiversity,1116.0797976267374,866
gender,man,4,biodiversity,1889.8979151294325,1092
gender,man,5,biodiversity,1910.7632543711934,1082
gender,man,6,biodiversity,941.6224025288205,1228
gender,man,7,biodiversity,1961.4001028221444,920
gender,man,8,biodiversity,1356.529662218238,1090
gender,man,0,safety,676.6791964432522,1000
gender,man,1,safety,1823.3281400655064,1288
gender,man,2,safety,2027.1508757832758,1140
gender,man,3,safety,1518.9432606783985,1153
gender,man,4,safety,1787.003639900967,1052
gender,man,5,safety,1706.0449398981489,1323
gender,man,6,safety,1418.9396480965079,919
gender,man,7,safety,2087.053971942968,1005
gender,man,8,safety,1675.6385135160133,1240
gender,woman,0,living,1768.6694153570568,1416
gender,woman,1,living,347.60693937455784,1217
gender,woman,2,living,774.8798964541102,1106
gender,woman,3,living,1943.1821110160815,682
gender,woman,4,living,756.6468464999608,1331
gender,woman,5,living,1691.309824250616,1142
gender,woman,6,living,1605.5592054057008,1074
gender,woman,7,living,1996.8542926749788,1263
gender,woman,8,living,1314.9722013616777,1445
gender,woman,0,biodiversity,1887.837973142212,438
gender,woman,1,biodiversity,1333.0802035511804,847
gender,woman,2,biodiversity,1565.4889784546708,696
gender,woman,3,biodiversity,1017.5085163794914,774
gender,woman,4,biodiversity,1418.833939639395,869
gender,woman,5,biodiversity,1773.125986138611,820
gender,woman,6,biodiversity,1389.2554420145889,937
gender,woman,7,biodiversity,1838.8550345219107,691
gender,woman,8,biodiversity,1210.6143140240679,820
gender,woman,0,safety,1853.8904149902069,796
gender,woman,1,safety,1510.9990816694105,1000
gender,woman,2,safety,1295.9222813429596,954
gender,woman,3,safety,1672.150040868405,897
gender,woman,4,safety,1546.2345728152711,819
gender,woman,5,safety,1222.1692416835729,1024
gender,woman,6,safety,883.084900836777,723
gender,woman,7,safety,1818.6222580647768,767
gender,woman,8,safety,1945.2702347618704,920
gender,other,0,living,1511.4465340728957,17
gender,other,1,living,1485.8758271752172,15
gender,other,2,living,1499.2204987587172,16
gender,other,3,living,1547.7015971884173,10
gender,other,4,living,1442.934824756661,13
gender,other,5,living,1464.9897490603391,17
gender,other,6,living,1527.693269414848,16
gender,other,7,living,1571.8685279579827,6
gender,other,8,living,1455.3250997937992,16
gender,other,0,biodiversity,1547.9856905714691,6
gender,other,1,biodiversity,1534.7034043712426,11
gender,other,2,biodiversity,1463.6890329945445,15
gender,other,3,biodiversity,1558.352606594792,7
gender,other,4,biodiversity,1499.9547947413269,14
gender,other,5,biodiversity,1439.9978967002542,7
gender,other,6,biodiversity,1511.9307572484604,7
gender,other,7,biodiversity,1452.013735758703,6
gender,other,8,biodiversity,1485.5169115582291,15
gender,other,0,safety,1513.4293831988796,15
gender,other,1,safety,1499.860509856196,12
gender,other,2,safety,1523.8187075919425,16
gender,other,3,safety,1560.8661054922231,9
gender,other,4,safety,1552.6491528843826,16
gender,other,5,safety,1440.0142249841222,5
gender,other,6,safety,1480.5246718848746,14
gender,other,7,safety,1451.855118506535,20
gender,other,8,safety,1489.1445061722297,17
age,younger,0,living,928.9112445408251,1004
age,younger,1,living,1322.1450005554555,838
age,younger,2,living,1445.8224076236957,823
age,younger,3,living,1740.6335200584047,565
age,younger,4,living,1805.0636427222096,907
age,younger,5,living,1097.2465033422932,806
age,younger,6,living,1235.8908132047002,723
age,younger,7,living,2003.4617759956252,830
age,younger,8,living,887.9906595574546,950
age,younger,0,biodiversity,1808.1491243201185,350
age,younger,1,biodiversity,1740.346805501649,509
age,younger,2,biodiversity,1093.4036276183738,480
age,younger,3,biodiversity,1461.716793066407,457
age,younger,4,biodiversity,1489.8051422563901,569
age,younger,5,biodiversity,1301.8932670100914,546
age,younger,6,biodiversity,1361.4318796206971,679
age,younger,7,biodiversity,1855.956258290945,458
age,younger,8,biodiversity,804.0126429783884,584
age,younger,0,safety,1623.4410980295602,658
age,younger,1,safety,1725.6790525148192,689
age,younger,2,safety,1848.5765036651255,675
age,younger,3,safety,1630.395187455276,677
age,younger,4,safety,1766.1764879728328,611
age,younger,5,safety,1436.7866363015262,627
age,younger,6,safety,1295.134626959075,512
age,younger,7,safety,1860.722358424073,561
age,younger,8,safety,1671.0480273611986,694
age,middle,0,living,1782.979446188701,1488
age,middle,1,living,1817.3174606179223,1233
age,middle,2,living,1546.9673224723226,1206
age,middle,3,living,2005.9673981677743,652
age,middle,4,living,879.5630051091384,1283
age,middle,5,living,1903.20534613114,1252
age,middle,6,living,1570.6781021356317,1225
age,middle,7,living,1236.5286852650254,1467
age,middle,8,living,1857.6341746813612,1536
age,middle,0,biodiversity,1760.848143453049,511
age,middle,1,biodiversity,1199.352801079171,823
age,middle,2,biodiversity,1564.2256758521332,676
age,middle,3,biodiversity,739.0458227788822,799
age,middle,4,biodiversity,1936.7479039436623,904
age,middle,5,biodiversity,1703.34744498277,923
age,middle,6,biodiversity,844.9280528698497,1012
age,middle,7,biodiversity,1845.8353710691144,709
age,middle,8,biodiversity,1661.791482005583,871
age,middle,0,safety,618.9435719201324,772
age,middle,1,safety,1824.3516208923468,1060
age,middle,2,safety,1225.9313156053322,927
age,middle,3,safety,1799.6447819385226,905
age,middle,4,safety,1889.6280106583126,811
age,middle,5,safety,1618.312967464939,1170
age,middle,6,safety,1562.2732591942126,758
age,middle,7,safety,1921.9300441636426,795
age,middle,8,safety,1594.4757250058065,980
age,older,0,living,1532.1172476261695,677
age,older,1,living,886.4586964297644,599
age,older,2,living,1004.942362367349,562
age,older,3,living,1685.870881188302,427
age,older,4,living,1702.562339038569,660
age,older,5,living,1719.350370507695,591
age,older,6,living,1899.759869941673,585
age,older,7,living,1810.360290074146,708
age,older,8,living,1627.2491561204847,731
age,older,0,biodiversity,1794.45827336227,216
age,older,1,biodiversity,1306.1998632035384,500
age,older,2,biodiversity,1468.1229932024173,363
age,older,3,biodiversity,1430.9928842435058,384
age,older,4,biodiversity,1760.8756700364395,487
age,older,5,biodiversity,1734.5832989884652,431
age,older,6,biodiversity,1579.1340149987254,479
age,older,7,biodiversity,1345.1562388293444,445
age,older,8,biodiversity,1241.611040924616,459
age,older,0,safety,1877.6347870241154,382
age,older,1,safety,1491.1334539545269,544
age,older,2,safety,1571.2071403230498,497
age,older,3,safety,1443.3309456581871,475
age,older,4,safety,1055.8560389900479,459
age,older,5,safety,1761.4160130789996,545
age,older,6,safety,1191.9413571500295,384
age,older,7,safety,1551.6858842800923,435
age,older,8,safety,1617.2406962462007,503
ethnicity,white,0,living,1230.464416480407,2734
ethnicity,white,1,living,1057.6454079186906,2348
ethnicity,white,2,living,918.5719573112162,2233
ethnicity,white,3,living,2189.8750904776066,1408
ethnicity,white,4,living,1631.2030984817814,2425
ethnicity,white,5,living,1571.3515232397299,2281
ethnicity,white,6,living,1982.5975047336149,2135
ethnicity,white,7,living,1689.8383713107978,2608
ethnicity,white,8,living,1422.3074419414725,2832
ethnicity,white,0,biodiversity,2055.320287551171,918
ethnicity,white,1,biodiversity,1592.6296806928426,1588
ethnicity,white,2,biodiversity,889.4978431779757,1308
ethnicity,white,3,biodiversity,1094.5903979531156,1430
ethnicity,white,4,biodiversity,1755.9404202301748,1742
ethnicity,white,5,biodiversity,1841.829572746265,1629
ethnicity,white,6,biodiversity,1160.7934578793465,1876
ethnicity,white,7,biodiversity,1880.5906238126602,1400
ethnicity,white,8,biodiversity,1219.0421001124967,1677
ethnicity,white,0,safety,1521.6533451831863,1534
ethnicity,white,1,safety,1844.7282543032375,1994
ethnicity,white,2,safety,2010.9949998356442,1796
ethnicity,white,3,safety,1196.6054167732284,1790
ethnicity,white,4,safety,1981.7732183062315,1641
ethnicity,white,5,safety,1478.9131008609265,2036
