demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,662.244807395932,1445
global,global,1,living,1742.9041403022754,1377
global,global,2,living,1116.727497229241,2012
global,global,3,living,1661.5535318695056,2288
global,global,4,living,1460.6318209721867,1904
global,global,5,living,2236.915256377427,1167
global,global,6,living,2129.7487334721077,1739
global,global,7,living,561.1227935362116,1394
global,global,8,living,1831.9451899754622,2014
global,global,0,biodiversity,2015.0275876008789,2465
global,global,1,biodiversity,1788.749137152446,2225
global,global,2,biodiversity,2101.1389664704366,1680
global,global,3,biodiversity,1679.5846457801235,2393
global,global,4,biodiversity,771.6753004017671,2756
global,global,5,biodiversity,1877.0020466808787,2477
global,global,6,biodiversity,2303.774884702648,2143
global,global,7,biodiversity,1023.083918511884,1686
global,global,8,biodiversity,1150.702466394348,2473
global,global,0,safety,1766.3606164589019,3288
global,global,1,safety,2129.574288061784,3461
global,global,2,safety,2264.7458925736646,2590
global,global,3,safety,2354.118497660614,2118
global,global,4,safety,1169.4665586109643,3205
global,global,5,safety,1253.8159524876216,3341
global,global,6,safety,1025.1025344448776,3015
global,global,7,safety,1065.6741086244663,3086
global,global,8,safety,1932.7612914891856,3558
gender,man,0,living,1472.8609795226682,755
gender,man,1,living,1615.1239392496218,692
gender,man,2,living,1727.3400732355208,1124
gender,man,3,living,1543.5309101543776,1232
gender,man,4,living,1296.8727069988722,1011
gender,man,5,living,1929.1203105127252,523
gender,man,6,living,1894.467253845741,878
gender,man,7,living,1167.5942715522801,704
gender,man,8,living,1861.15799692503,1029
gender,man,0,biodiversity,1905.7025510262033,1254
gender,man,1,biodiversity,1869.8771239806397,1143
gender,man,2,biodiversity,2067.850606531275,860
gender,man,3,biodiversity,1380.0358265627071,1218
gender,man,4,biodiversity,1721.6007789638577,1394
gender,man,5,biodiversity,1783.551793700838,1262
gender,man,6,biodiversity,1939.4692824853448,1101
gender,man,7,biodiversity,1152.9662864940376,827
gender,man,8,biodiversity,1574.30056769515,1209
gender,man,0,safety,2082.7265985890085,1605
gender,man,1,safety,1754.8887028514084,1780
gender,man,2,safety,2004.3686228611937,1318
gender,man,3,safety,1713.6378620236042,1072
gender,man,4,safety,1309.708392913649,1707
gender,man,5,safety,1153.7543476932235,1833
gender,man,6,safety,997.5872257530406,1495
gender,man,7,safety,1602.9308064146762,1590
gender,man,8,safety,2055.1656712514405,1808
gender,woman,0,living,1171.1034946535983,584
gender,woman,1,living,1937.6294457512965,518
gender,woman,2,living,1143.8173357457501,721
gender,woman,3,living,1250.023099427403,883
gender,woman,4,living,1639.421248569356,748
gender,woman,5,living,1688.5044281197904,459
gender,woman,6,living,1790.0593824763453,651
gender,woman,7,living,746.6445093765429,538
gender,woman,8,living,1340.6365600851248,776
gender,woman,0,biodiversity,1865.1051282191872,921
gender,woman,1,biodiversity,1067.6077853072723,961
gender,woman,2,biodiversity,1434.0108004087892,649
gender,woman,3,biodiversity,1898.066433293725,933
gender,woman,4,biodiversity,1387.8513227608685,1143
gender,woman,5,biodiversity,1757.8525468910939,984
gender,woman,6,biodiversity,1966.062278955243,903
gender,woman,7,biodiversity,1629.0613322679337,733
gender,woman,8,biodiversity,1034.432429252634,991
gender,woman,0,safety,1940.5871395442966,1386
gender,woman,1,safety,1849.1164316819115,1413
gender,woman,2,safety,2081.9124267665575,1009
gender,woman,3,safety,1755.0711566522148,886
gender,woman,4,safety,1571.717964853049,1331
gender,woman,5,safety,1329.520542513436,1322
gender,woman,6,safety,1547.2609604900777,1238
gender,woman,7,safety,1494.9639519547486,1344
gender,woman,8,safety,1261.8294986372425,1443
gender,other,0,living,1463.9829109573486,11
gender,other,1,living,1487.9594805496997,11
gender,other,2,living,1577.3420182516566,15
gender,other,3,living,1523.7064551140907,8
gender,other,4,living,1421.1919818477477,6
gender,other,5,living,1450.7620779082974,10
gender,other,6,living,1500.5003109532672,10
gender,other,7,living,1545.6478740820048,12
gender,other,8,living,1512.4250688489758,7
gender,other,0,biodiversity,1523.9032748572408,8
gender,other,1,biodiversity,1559.9999982977629,9
gender,other,2,biodiversity,1488.3700393823349,11
gender,other,3,biodiversity,1452.011696284985,8
gender,other,4,biodiversity,1475.0758581170285,14
gender,other,5,biodiversity,1547.9967214809856,10
gender,other,6,biodiversity,1438.761034864537,5
gender,other,7,biodiversity,1500.0518428323142,16
gender,other,8,biodiversity,1512.001815781565,7
gender,other,0,safety,1511.4366767288823,23
gender,other,1,safety,1503.090468719728,22
gender,other,2,safety,1536.71464751147,15
gender,other,3,safety,1458.5838980065416,18
gender,other,4,safety,1425.9884330326731,10
gender,other,5,safety,1482.4856007902847,20
gender,other,6,safety,1571.1120537862203,22
gender,other,7,safety,1550.8945827572684,14
gender,other,8,safety,1476.9552558632897,16
age,younger,0,living,1399.7142353506742,447
age,younger,1,living,1861.0411973783898,346
age,younger,2,living,1531.5453956779158,602
age,younger,3,living,1372.6351987311077,649
age,younger,4,living,1643.3024325161368,540
age,younger,5,living,1693.8363689635141,308
age,younger,6,living,1782.9766796783226,455
age,younger,7,living,1194.6771254128703,396
age,younger,8,living,1432.3767252636117,561
age,younger,0,biodiversity,1761.728106313397,647
age,younger,1,biodiversity,1057.6337170882875,645
age,younger,2,biodiversity,1203.9646798031151,496
age,younger,3,biodiversity,1147.5680540916612,649
age,younger,4,biodiversity,906.9402690896025,746
age,younger,5,biodiversity,1939.7853807633735,613
age,younger,6,biodiversity,1407.7712157106403,630
age,younger,7,biodiversity,1076.8873718353261,460
age,younger,8,biodiversity,1698.5126640672288,686
age,younger,0,safety,1596.2953292666607,985
age,younger,1,safety,1636.5063102424026,1018
age,younger,2,safety,2003.1976784341073,614
age,younger,3,safety,1222.0512848637754,614
age,younger,4,safety,1740.1475226098128,995
age,younger,5,safety,1097.1389894478855,968
age,younger,6,safety,1648.9787709893724,866
age,younger,7,safety,1682.093771075335,879
age,younger,8,safety,1849.602991548047,967
age,middle,0,living,616.5964162823533,584
age,middle,1,living,1217.2827376396626,633
age,middle,2,living,1632.3916977262636,841
age,middle,3,living,1679.2424652837392,1017
age,middle,4,living,1726.0014563241136,819
