demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1763.0589164482426,2713
global,global,1,living,2334.49250606866,2077
global,global,2,living,21.702724146761156,2041
global,global,3,living,1358.4554874006503,2009
global,global,4,living,2269.1310286597313,2526
global,global,5,living,856.4056048830007,2311
global,global,6,living,2012.639731826781,3545
global,global,7,living,1716.533169630944,2991
global,global,8,living,2017.1167010208476,2955
global,global,0,biodiversity,1558.1405472561287,1852
global,global,1,biodiversity,955.0101015568796,1460
global,global,2,biodiversity,782.9114786036339,2126
global,global,3,biodiversity,1021.2103793068446,2507
global,global,4,biodiversity,1312.4252867892812,2552
global,global,5,biodiversity,2008.7764093849742,2394
global,global,6,biodiversity,1491.4481683947763,2616
global,global,7,biodiversity,2117.801589036842,2418
global,global,8,biodiversity,2207.7502546263445,1515
global,global,0,safety,2191.6821324732146,2636
global,global,1,safety,1966.542484005219,2877
global,global,2,safety,1721.3682011484254,2371
global,global,3,safety,2082.919950058334,2448
global,global,4,safety,1117.2220101796643,2558
global,global,5,safety,945.0725069242583,2014
global,global,6,safety,1795.3832385616242,2388
global,global,7,safety,2160.2095972179004,1438
global,global,8,safety,1364.1158843556132,1962
gender,man,0,living,1337.1523138271618,1391
gender,man,1,living,2111.617103406906,1106
gender,man,2,living,69.37860771195224,1016
gender,man,3,living,1638.239411139823,1115
gender,man,4,living,1849.6282783339025,1319
gender,man,5,living,1236.9636349899943,1126
gender,man,6,living,1837.313157248904,1806
gender,man,7,living,1286.175769994922,1572
gender,man,8,living,1491.9358013077374,1473
gender,man,0,biodiversity,1987.8773719920623,935
gender,man,1,biodiversity,869.8585522463294,760
gender,man,2,biodiversity,-718.5251065665758,1093
gender,man,3,biodiversity,277.36784871427074,1263
gender,man,4,biodiversity,1538.6383800816232,1252
gender,man,5,biodiversity,1781.022086472073,1218
gender,man,6,biodiversity,1867.969356344436,1386
gender,man,7,biodiversity,1828.897181553145,1295
gender,man,8,biodiversity,1688.0784063642461,826
gender,man,0,safety,1322.4750562246713,1307
gender,man,1,safety,1682.1760720252796,1489
gender,man,2,safety,1447.6211112959209,1208
gender,man,3,safety,1903.7709916032081,1269
gender,man,4,safety,1854.7096220378717,1319
gender,man,5,safety,1223.661275145465,1032
gender,man,6,safety,1053.8558921775873,1132
gender,man,7,safety,2026.3008432266156,667
gender,man,8,safety,1601.4021120474788,1049
gender,woman,0,living,2081.466729506882,1089
gender,woman,1,living,1029.907703560212,822
gender,woman,2,living,1383.19592134079,883
gender,woman,3,living,1466.1328034515743,783
gender,woman,4,living,1775.538179157333,1025
gender,woman,5,living,1554.4902423238,982
gender,woman,6,living,1635.1621962824474,1445
gender,woman,7,living,1914.205284616981,1182
gender,woman,8,living,1939.8056189868948,1191
gender,woman,0,biodiversity,272.65188057653336,764
gender,woman,1,biodiversity,1554.112067179954,611
gender,woman,2,biodiversity,1811.5439150205439,902
gender,woman,3,biodiversity,1645.8369951938207,1015
gender,woman,4,biodiversity,925.0899551567925,1029
gender,woman,5,biodiversity,1679.9382959887753,959
gender,woman,6,biodiversity,1713.0098438197792,1044
gender,woman,7,biodiversity,964.7191169225084,953
gender,woman,8,biodiversity,1962.2025326649134,561
gender,woman,0,safety,1989.251280664401,1008
gender,woman,1,safety,1520.9132255374564,1115
gender,woman,2,safety,1863.2374811595034,924
gender,woman,3,safety,1463.8322141579392,913
gender,woman,4,safety,-236.9247292222446,909
gender,woman,5,safety,1569.7801148026297,878
gender,woman,6,safety,1805.2822357496857,994
gender,woman,7,safety,1746.7455786563598,659
gender,woman,8,safety,1572.0814867480588,828
gender,other,0,living,1471.4207470536332,16
gender,other,1,living,1429.0957497902514,12
gender,other,2,living,1487.7049679455001,9
gender,other,3,living,1542.9427007783177,10
gender,other,4,living,1480.8662603298856,10
gender,other,5,living,1510.8721387937119,13
gender,other,6,living,1546.7942368635565,14
gender,other,7,living,1573.5559255841001,14
gender,other,8,living,1448.9746685833345,14
gender,other,0,biodiversity,1527.3768393842834,14
gender,other,1,biodiversity,1498.3685105026348,14
gender,other,2,biodiversity,1424.0381027207814,6
gender,other,3,biodiversity,1512.394964686552,7
gender,other,4,biodiversity,1556.3573363589567,13
gender,other,5,biodiversity,1575.319080413823,9
gender,other,6,biodiversity,1449.8540689248916,14
gender,other,7,biodiversity,1476.0025388593356,12
gender,other,8,biodiversity,1464.0059218150795,13
gender,other,0,safety,1454.448514983611,16
gender,other,1,safety,1572.9716377606258,14
gender,other,2,safety,1524.3361269201241,10
gender,other,3,safety,1514.8858773689055,15
gender,other,4,safety,1481.1058450138894,20
gender,other,5,safety,1473.8531550766932,12
gender,other,6,safety,1538.727748333666,15
gender,other,7,safety,1501.2798018059566,18
gender,other,8,safety,1452.0,4
age,younger,0,living,1734.6204066748508,776
age,younger,1,living,1914.716401535347,565
age,younger,2,living,274.2629632844301,513
age,younger,3,living,1327.7686521024739,600
age,younger,4,living,1841.098292827533,736
