demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2102.2452350051985,2917
global,global,1,living,327.86047681521677,1573
global,global,2,living,2087.039093736901,2764
global,global,3,living,2260.55621940111,2594
global,global,4,living,2170.152030759479,3212
global,global,5,living,1676.6443581390388,3119
global,global,6,living,1391.41857136994,2912
global,global,7,living,1912.2042818503676,3375
global,global,8,living,2231.918989593645,1870
global,global,0,biodiversity,635.988888997921,2423
global,global,1,biodiversity,197.251920282967,983
global,global,2,biodiversity,2330.71047922145,2015
global,global,3,biodiversity,1682.318102164759,2087
global,global,4,biodiversity,1296.0937156927953,2167
global,global,5,biodiversity,1882.3417292416625,2285
global,global,6,biodiversity,2075.5965624739097,2695
global,global,7,biodiversity,1152.1896323700898,2254
global,global,8,biodiversity,2203.6475469353927,2763
global,global,0,safety,267.3678105634076,1769
global,global,1,safety,1505.3167823891997,2514
global,global,2,safety,763.2765237206956,2343
global,global,3,safety,1033.2895207559259,2506
global,global,4,safety,1653.978447111127,1968
global,global,5,safety,1121.9521147081466,2207
global,global,6,safety,2167.778048966109,1377
global,global,7,safety,1278.5425857642026,2498
global,global,8,safety,2015.6302410635506,2110
gender,man,0,living,1715.0731216948516,1510
gender,man,1,living,1163.0367785422377,869
gender,man,2,living,2073.1931115954862,1391
gender,man,3,living,969.7326507175819,1391
gender,man,4,living,2044.3912300359245,1675
gender,man,5,living,1146.9036657751437,1541
gender,man,6,living,1452.4550955230961,1514
gender,man,7,living,1251.3662478353776,1662
gender,man,8,living,1947.8491817849067,871
gender,man,0,biodiversity,1130.0436465195896,1219
gender,man,1,biodiversity,1171.6054784309274,545
gender,man,2,biodiversity,1754.2452230358933,1046
gender,man,3,biodiversity,1888.877736252579,1040
gender,man,4,biodiversity,1611.2994329612902,1142
gender,man,5,biodiversity,1717.7848145121625,1123
gender,man,6,biodiversity,1913.8151143841742,1383
gender,man,7,biodiversity,1826.888674789057,1099
gender,man,8,biodiversity,2074.287534511235,1409
gender,man,0,safety,1188.5519440478845,961
gender,man,1,safety,1407.4161650038343,1287
gender,man,2,safety,1219.5876429299576,1240
gender,man,3,safety,1946.53134917825,1330
gender,man,4,safety,1668.470740096825,1036
gender,man,5,safety,927.5954674551848,1091
gender,man,6,safety,1918.43573296118,706
gender,man,7,safety,1475.4445677385936,1261
gender,man,8,safety,2012.782078212848,1082
gender,woman,0,living,1932.5824943101431,1147
gender,woman,1,living,925.529695958112,673
gender,woman,2,living,838.4780889222659,1113
gender,woman,3,living,2018.7941397304915,949
gender,woman,4,living,1280.6891254193627,1246
gender,woman,5,living,1831.7457969338973,1295
gender,woman,6,living,1400.273837469796,1188
gender,woman,7,living,1650.4911428550656,1369
gender,woman,8,living,1862.6694529183656,822
gender,woman,0,biodiversity,1242.672441706602,1031
gender,woman,1,biodiversity,836.313143612681,407
gender,woman,2,biodiversity,1861.9271877232834,756
gender,woman,3,biodiversity,1005.1219001443361,845
gender,woman,4,biodiversity,1545.53664049745,861
gender,woman,5,biodiversity,1744.052391485695,927
gender,woman,6,biodiversity,1906.1688721478456,1108
gender,woman,7,biodiversity,1203.5371063886255,879
gender,woman,8,biodiversity,1967.1711335885466,1116
gender,woman,0,safety,917.2583467854848,730
gender,woman,1,safety,1435.0006213415234,946
gender,woman,2,safety,1733.285555955706,872
gender,woman,3,safety,1510.660839474641,1044
gender,woman,4,safety,1855.3939950725826,780
gender,woman,5,safety,1803.179248561536,938
gender,woman,6,safety,1934.6720805978252,536
gender,woman,7,safety,1246.3997393310322,1002
gender,woman,8,safety,1613.3801540557124,888
gender,other,0,living,1438.3630111633258,11
gender,other,1,living,1476.8636377397695,14
gender,other,2,living,1535.3554330557038,15
gender,other,3,living,1439.3313151348134,9
gender,other,4,living,1579.117877977349,15
gender,other,5,living,1501.15239910947,12
gender,other,6,living,1522.3172560597159,16
gender,other,7,living,1548.928801359222,16
gender,other,8,living,1452.657185224315,20
gender,other,0,biodiversity,1439.9161905548262,9
gender,other,1,biodiversity,1513.5981287419631,13
gender,other,2,biodiversity,1487.9458527488891,15
gender,other,3,biodiversity,1476.0517338476443,6
gender,other,4,biodiversity,1500.3473819885635,10
gender,other,5,biodiversity,1559.2263914265873,5
gender,other,6,biodiversity,1525.133141163129,16
gender,other,7,biodiversity,1548.0378305625873,6
gender,other,8,biodiversity,1453.6306044288017,22
gender,other,0,safety,1548.000352772454,8
gender,other,1,safety,1451.8656959450657,6
gender,other,2,safety,1567.2296865941007,6
gender,other,3,safety,1510.5185336080967,17
gender,other,4,safety,1502.063261016395,14
gender,other,5,safety,1464.0979600658554,15
gender,other,6,safety,1535.960754328279,13
gender,other,7,safety,1425.8004005448236,20
gender,other,8,safety,1488.4080277922196,9
age,younger,0,living,1884.40177272785,803
age,younger,1,living,1276.054558745151,503
age,younger,2,living,1024.9461661041933,807
age,younger,3,living,1736.7192297492445,672
age,younger,4,living,1859.352182335567,907
age,younger,5,living,1315.6953293731065,852
age,younger,6,living,1702.3583548054285,861
age,younger,7,living,782.7096891009224,893
age,younger,8,living,1570.1880919188168,512
age,younger,0,biodiversity,1201.4900987595895,677
age,younger,1,biodiversity,1085.6193130379818,303
age,younger,2,biodiversity,1701.051871982479,561
age,younger,3,biodiversity,1861.5417326063268,514
age,younger,4,biodiversity,946.6527750311245,609
age,younger,5,biodiversity,1473.8760823839395,635
age,younger,6,biodiversity,1583.8496498220775,774
age,younger,7,biodiversity,1654.0877845745276,610
age,younger,8,biodiversity,1896.2303548104742,831
age,younger,0,safety,613.1577624576948,485
age,younger,1,safety,1135.7287014463645,673
age,younger,2,safety,1572.893042566972,705
age,younger,3,safety,1355.2413775353507,758
age,younger,4,safety,1834.1756513984492,559
age,younger,5,safety,1694.2735205799033,609
age,younger,6,safety,1875.8095209241653,388
age,younger,7,safety,1524.4540065772403,709
age,younger,8,safety,1614.157213957346,572
age,middle,0,living,1851.1540601850475,1227
age,middle,1,living,1487.5121623933,712
