demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2178.66260239982,2440
global,global,1,living,2305.1961064162297,1971
global,global,2,living,1937.220309656577,2750
global,global,3,living,1529.8412821835295,2142
global,global,4,living,1358.9920621523695,2744
global,global,5,living,2089.85535933917,3184
global,global,6,living,1457.3682829205081,1570
global,global,7,living,834.739379391449,2934
global,global,8,living,1848.0526559214645,2911
global,global,0,biodiversity,1783.4682868964687,2803
global,global,1,biodiversity,1401.7194049132668,2057
global,global,2,biodiversity,1352.4358925842541,2179
global,global,3,biodiversity,2372.4266270158673,2820
global,global,4,biodiversity,1712.2688812967062,2344
global,global,5,biodiversity,1793.1744494301909,2587
global,global,6,biodiversity,2317.215469238794,3136
global,global,7,biodiversity,2132.330239759094,2666
global,global,8,biodiversity,2083.9710550501927,2718
global,global,0,safety,455.2333089228428,2159
global,global,1,safety,1092.4045101568524,2409
global,global,2,safety,878.948054532173,1573
global,global,3,safety,744.1407472094434,2274
global,global,4,safety,2040.2964755090284,1789
global,global,5,safety,1360.5691082707592,2035
global,global,6,safety,1445.4946494515627,2188
global,global,7,safety,2006.4815433387487,1375
global,global,8,safety,2152.593105343532,1542
gender,man,0,living,2095.988850143984,1268
gender,man,1,living,1960.027391999077,1057
gender,man,2,living,1875.4909041262806,1384
gender,man,3,living,745.0119400217804,1126
gender,man,4,living,1487.0436834059035,1446
gender,man,5,living,1834.803024794815,1630
gender,man,6,living,1646.2789346850093,827
gender,man,7,living,1540.3926221825614,1531
gender,man,8,living,924.8904340623769,1483
gender,man,0,biodiversity,604.4985917777129,1420
gender,man,1,biodiversity,1849.3304462324143,1051
gender,man,2,biodiversity,1299.840693274034,1103
gender,man,3,biodiversity,1781.0876107470456,1431
gender,man,4,biodiversity,1013.7490379770151,1155
gender,man,5,biodiversity,1490.556897809743,1335
gender,man,6,biodiversity,1901.0598567869122,1624
gender,man,7,biodiversity,571.8588657656693,1365
gender,man,8,biodiversity,2107.7287259417612,1404
gender,man,0,safety,1381.947893337988,1108
gender,man,1,safety,1809.5008360018278,1227
gender,man,2,safety,1182.2125260756625,731
gender,man,3,safety,1240.6842705307965,1126
gender,man,4,safety,1751.148225745374,896
gender,man,5,safety,1520.554116444575,1071
gender,man,6,safety,1492.624362534961,1178
gender,man,7,safety,1965.8445422892157,640
gender,man,8,safety,1891.2688381998382,807
gender,woman,0,living,1572.8926976878765,999
gender,woman,1,living,1776.7310758620233,767
gender,woman,2,living,1463.924283578318,1129
gender,woman,3,living,1846.8812565936141,814
gender,woman,4,living,1730.4438297961394,1092
gender,woman,5,living,870.7762353113875,1279
gender,woman,6,living,1155.7564603966077,604
gender,woman,7,living,1255.185361542591,1208
gender,woman,8,living,1959.3593219509057,1176
gender,woman,0,biodiversity,1837.1427945059804,1113
gender,woman,1,biodiversity,277.4440472110587,807
gender,woman,2,biodiversity,1570.6478142776368,922
gender,woman,3,biodiversity,1555.730738968192,1181
gender,woman,4,biodiversity,1956.978732027238,905
gender,woman,5,biodiversity,1740.7559426620396,1042
gender,woman,6,biodiversity,1682.4544300215503,1292
gender,woman,7,biodiversity,2003.5842155373907,1024
gender,woman,8,biodiversity,1405.7721682532417,1078
gender,woman,0,safety,1475.1620437942595,850
gender,woman,1,safety,1659.8061812062197,985
gender,woman,2,safety,1219.03659046929,607
gender,woman,3,safety,1584.8762296116336,916
gender,woman,4,safety,1833.4293568614792,781
gender,woman,5,safety,1778.0027068179772,780
gender,woman,6,safety,1729.2289514205183,884
gender,woman,7,safety,1796.5603028972632,631
gender,woman,8,safety,1874.0043391694019,602
gender,other,0,living,1553.3632890503548,17
gender,other,1,living,1413.769825119253,11
gender,other,2,living,1463.0141497999375,15
gender,other,3,living,1523.0670535970269,14
gender,other,4,living,1571.7038560282144,6
gender,other,5,living,1498.588221595206,12
gender,other,6,living,1452.0701931907179,10
gender,other,7,living,1485.3352343134432,15
gender,other,8,living,1527.7968545717417,14
gender,other,0,biodiversity,1425.8792521157593,12
gender,other,1,biodiversity,1487.4426628111787,13
gender,other,2,biodiversity,1548.0155013904218,10
gender,other,3,biodiversity,1476.4182839037846,20
gender,other,4,biodiversity,1560.0582780711425,9
gender,other,5,biodiversity,1523.2202712031626,10
gender,other,6,biodiversity,1500.173024966506,14
gender,other,7,biodiversity,1535.966072645564,17
