demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,565.5982934645632,2194
global,global,1,living,1076.4718808175762,2478
global,global,2,living,1174.0414957419953,2058
global,global,3,living,1899.23535946297,1647
global,global,4,living,2276.9685481492384,1956
global,global,5,living,1604.0073870570113,2451
global,global,6,living,1386.3247412570574,2101
global,global,7,living,975.2637376209179,1983
global,global,8,living,2013.7172300504396,2028
global,global,0,biodiversity,1342.7849820605293,2006
global,global,1,biodiversity,1595.2810645060833,2674
global,global,2,biodiversity,1512.2409035768849,2596
global,global,3,biodiversity,2007.2964460499315,2816
global,global,4,biodiversity,1972.9887745302885,2637
global,global,5,biodiversity,-196.86785706338244,2704
global,global,6,biodiversity,972.9299788819953,2545
global,global,7,biodiversity,2099.7729521684055,1814
global,global,8,biodiversity,2232.531121299099,1768
global,global,0,safety,1581.19085595154,3054
global,global,1,safety,1921.6590853130429,3384
global,global,2,safety,1748.0013831229749,2813
global,global,3,safety,903.2008469807408,2320
global,global,4,safety,1722.8613102577056,2933
global,global,5,safety,635.8197413179057,2202
global,global,6,safety,2180.7899659215245,2427
global,global,7,safety,2023.2855313365644,2272
global,global,8,safety,2351.032862473953,1439
gender,man,0,living,1185.1662783557636,1176
gender,man,1,living,395.5556749691671,1239
gender,man,2,living,960.538247929136,1064
gender,man,3,living,1917.1612437577028,786
gender,man,4,living,2008.9984079058545,1011
gender,man,5,living,1514.1194765895789,1219
gender,man,6,living,1416.8022905087923,1044
gender,man,7,living,1556.7468211904395,1076
gender,man,8,living,1637.0425040323903,1051
gender,man,0,biodiversity,1203.7613988839214,1077
gender,man,1,biodiversity,2080.1005999008485,1309
gender,man,2,biodiversity,1564.487059734235,1304
gender,man,3,biodiversity,1554.57380804694,1482
gender,man,4,biodiversity,1744.8416010864485,1305
gender,man,5,biodiversity,1256.009586897698,1435
gender,man,6,biodiversity,1620.8437969883569,1241
gender,man,7,biodiversity,1137.421160551151,956
gender,man,8,biodiversity,1908.8274202923453,903
gender,man,0,safety,1495.1640869980415,1650
gender,man,1,safety,1713.8956348260722,1693
gender,man,2,safety,1442.4886566787636,1407
gender,man,3,safety,1357.240404428407,1230
gender,man,4,safety,1589.6492363245786,1451
gender,man,5,safety,1511.387913244928,1160
gender,man,6,safety,1958.2734918249146,1243
gender,man,7,safety,1406.7423237284677,1125
gender,man,8,safety,2080.508628595534,787
gender,woman,0,living,1832.0320209669474,858
gender,woman,1,living,1830.2292843646185,1051
gender,woman,2,living,1542.4448111362456,848
gender,woman,3,living,1614.3682865984485,736
gender,woman,4,living,1875.123337506308,827
gender,woman,5,living,1592.6697293376792,977
gender,woman,6,living,1106.571315401105,881
gender,woman,7,living,1164.069823763051,826
gender,woman,8,living,1914.8458507117757,802
gender,woman,0,biodiversity,1473.1357532693494,787
gender,woman,1,biodiversity,1285.0375148187293,1047
gender,woman,2,biodiversity,1835.2959027510958,1026
gender,woman,3,biodiversity,1810.5203748217793,1112
gender,woman,4,biodiversity,1234.0691226723802,1076
gender,woman,5,biodiversity,788.0133191979023,1062
gender,woman,6,biodiversity,1013.9741617679534,1047
gender,woman,7,biodiversity,1961.4482047437755,701
gender,woman,8,biodiversity,1561.4438344622522,768
gender,woman,0,safety,1882.01774492759,1181
gender,woman,1,safety,1690.1587978306213,1343
gender,woman,2,safety,1922.7642656922108,1133
gender,woman,3,safety,1024.7034205720358,953
gender,woman,4,safety,1185.6999249871226,1110
gender,woman,5,safety,1241.2428214935953,913
gender,woman,6,safety,1624.678662562305,945
gender,woman,7,safety,1857.9748506518017,905
gender,woman,8,safety,1945.2875057142498,553
gender,other,0,living,1546.7628728631737,12
gender,other,1,living,1524.362635831485,14
gender,other,2,living,1486.4195033952915,13
gender,other,3,living,1511.9037221851663,9
gender,other,4,living,1500.3875562469864,12
gender,other,5,living,1452.0293800750796,8
gender,other,6,living,1570.8099728913285,8
gender,other,7,living,1463.2234303470286,17
gender,other,8,living,1439.9974676352622,5
gender,other,0,biodiversity,1571.019720166324,12
gender,other,1,biodiversity,1523.8918616529268,14
gender,other,2,biodiversity,1523.9083161834772,12
gender,other,3,biodiversity,1497.7671061298352,20
gender,other,4,biodiversity,1431.3718407657843,16
gender,other,5,biodiversity,1549.2208115944147,10
gender,other,6,biodiversity,1463.2298636604414,17
gender,other,7,biodiversity,1452.111089999032,8
gender,other,8,biodiversity,1488.4873693553245,13
gender,other,0,safety,1510.5776646649508,15
gender,other,1,safety,1540.0516879999393,11
gender,other,2,safety,1561.0497932349758,13
gender,other,3,safety,1488.6172556671736,11
gender,other,4,safety,1538.9471576357714,15
gender,other,5,safety,1450.0865262600234,12
gender,other,6,safety,1500.2312220752951,18
gender,other,7,safety,1467.6467362062533,15
gender,other,8,safety,1455.9544020319204,8
age,younger,0,living,1699.8410156087464,572
age,younger,1,living,1619.1272700499521,711
age,younger,2,living,932.1992037154092,572
age,younger,3,living,1545.7635118950689,474
age,younger,4,living,980.7762811004607,561
age,younger,5,living,1412.2104544129643,706
age,younger,6,living,1877.9091023581132,562
age,younger,7,living,1353.750549928348,595
age,younger,8,living,1757.5456170232774,639
age,younger,0,biodiversity,1503.0442156801398,616
age,younger,1,biodiversity,1820.9211943520286,760
age,younger,2,biodiversity,1198.6466423614352,727
age,younger,3,biodiversity,1915.9613088688661,738
age,younger,4,biodiversity,1363.689703690476,748
age,younger,5,biodiversity,887.5838571280837,756
age,younger,6,biodiversity,154.59405676103705,613
age,younger,7,biodiversity,1766.1250507505013,494
age,younger,8,biodiversity,1588.4507556014103,522
age,younger,0,safety,1673.5377259523784,947
age,younger,1,safety,1555.7697858334182,931
age,younger,2,safety,1492.3104758516997,766
age,younger,3,safety,1727.3458342164013,738
age,younger,4,safety,1913.7418448270014,795
age,younger,5,safety,1239.4137902746443,600
age,younger,6,safety,1659.532182545745,715
age,younger,7,safety,925.2968692550899,517
age,younger,8,safety,1883.1935945746836,407
age,middle,0,living,1119.823960262271,981
age,middle,1,living,1204.457721414408,1043
age,middle,2,living,1293.3948375188845,933
age,middle,3,living,1793.7848139357616,669
age,middle,4,living,2005.2233079516152,808
age,middle,5,living,1670.8543650196393,1011
age,middle,6,living,615.9043571852048,908
age,middle,7,living,1257.306844634925,870
age,middle,8,living,1586.760239029884,809
age,middle,0,biodiversity,896.15733927934,883
age,middle,1,biodiversity,1650.0407907619099,1028
age,middle,2,biodiversity,1874.8493814309945,1074
age,middle,3,biodiversity,876.0080728402903,1222
age,middle,4,biodiversity,1418.934623392695,1076
age,middle,5,biodiversity,554.3486817267492,1182
age,middle,6,biodiversity,1797.9465654130622,1097
age,middle,7,biodiversity,1111.3588523739631,798
age,middle,8,biodiversity,1984.4682120225082,758
age,middle,0,safety,1807.9250757708937,1287
age,middle,1,safety,955.3132165653327,1385
age,middle,2,safety,1691.8655718404264,1214
age,middle,3,safety,1387.7767740253194,941
age,middle,4,safety,367.48557546019856,1134
age,middle,5,safety,1279.1775250654193,965
age,middle,6,safety,1846.0516777280739,1012
age,middle,7,safety,1760.0327327370082,1041
age,middle,8,safety,1970.1959116183887,619
age,older,0,living,1506.7871982705003,481
age,older,1,living,1707.0358976944824,543
age,older,2,living,1751.1918056033414,415
age,older,3,living,1484.1830091816425,390
age,older,4,living,1637.5455388357052,475
age,older,5,living,650.8808613625432,481
age,older,6,living,878.7836868607212,457
age,older,7,living,1591.1600724018524,446
age,older,8,living,1791.627493210161,400
age,older,0,biodiversity,1046.5978679450418,362
age,older,1,biodiversity,1563.4405911033489,574
age,older,2,biodiversity,984.50891951821,524
age,older,3,biodiversity,1812.1193386925179,645
age,older,4,biodiversity,1379.5636359459584,572
age,older,5,biodiversity,1315.42795120079,567
age,older,6,biodiversity,1598.5726888856566,586
age,older,7,biodiversity,1868.1187771845878,378
age,older,8,biodiversity,1740.7905162629515,396
age,older,0,safety,663.9331685578676,597
age,older,1,safety,1395.2276303233843,731
age,older,2,safety,1870.6896266607941,566
age,older,3,safety,1089.6769084360142,507
age,older,4,safety,1523.2826943389232,641
age,older,5,safety,1293.1508160084195,515
age,older,6,safety,1748.3960488153236,472
age,older,7,safety,1688.3964697688136,489
age,older,8,safety,1797.606814745866,318
ethnicity,white,0,living,1274.725378660564,1763
ethnicity,white,1,living,1550.500092840575,1976
ethnicity,white,2,living,1342.7234158411761,1661
ethnicity,white,3,living,1741.7414695992409,1348
ethnicity,white,4,living,2091.408397692673,1594
ethnicity,white,5,living,1903.2393581502367,1853
ethnicity,white,6,living,965.1722043157391,1674
ethnicity,white,7,living,1438.2796948773996,1650
ethnicity,white,8,living,2155.8742248849812,1577
ethnicity,white,0,biodiversity,495.8439116465207,1592
ethnicity,white,1,biodiversity,1999.7585087007556,2045
ethnicity,white,2,biodiversity,1342.5266869271393,2020
ethnicity,white,3,biodiversity,1941.845635305606,2308
ethnicity,white,4,biodiversity,2106.631928549548,2099
ethnicity,white,5,biodiversity,966.7315863070538,2168
ethnicity,white,6,biodiversity,1619.3658825140085,2019
ethnicity,white,7,biodiversity,2036.97848897652,1403
ethnicity,white,8,biodiversity,2201.7657118377647,1456
ethnicity,white,0,safety,1650.861186880289,2425
ethnicity,white,1,safety,1671.0141426157988,2618
ethnicity,white,2,safety,1815.4853748937064,2179
ethnicity,white,3,safety,1004.9999644977544,1875
ethnicity,white,4,safety,1282.7946486650603,2249
ethnicity,white,5,safety,1070.5862504681559,1814
ethnicity,white,6,safety,2150.4742612349364,1914
ethnicity,white,7,safety,2019.3219664807946,1760
ethnicity,white,8,safety,2182.4466655722495,1120
ethnicity,other,0,living,1230.588483004428,192
ethnicity,other,1,living,1592.7356952334883,224
ethnicity,other,2,living,1481.3445213483162,171
ethnicity,other,3,living,1706.6685022268,115
ethnicity,other,4,living,1629.9299555056282,186
ethnicity,other,5,living,1215.001781712459,248
ethnicity,other,6,living,1672.8718319643538,193
ethnicity,other,7,living,1404.7524395573287,203
ethnicity,other,8,living,1563.695008670634,204
ethnicity,other,0,biodiversity,1520.153025632183,194
ethnicity,other,1,biodiversity,1706.2248167892276,223
ethnicity,other,2,biodiversity,1625.9090566958869,234
ethnicity,other,3,biodiversity,1757.3007612514598,203
ethnicity,other,4,biodiversity,1365.0641629162021,218
ethnicity,other,5,biodiversity,1315.9109989892904,235
ethnicity,other,6,biodiversity,1235.7440737374013,194
ethnicity,other,7,biodiversity,1563.9326624537514,180
ethnicity,other,8,biodiversity,1402.9292287054795,165
ethnicity,other,0,safety,1594.4904645507447,292
ethnicity,other,1,safety,1551.1613878943165,303
ethnicity,other,2,safety,1731.7417306921698,284
ethnicity,other,3,safety,1463.2592235955674,232
ethnicity,other,4,safety,1697.4348870374563,235
ethnicity,other,5,safety,1136.3824857701231,201
ethnicity,other,6,safety,1361.165521478983,199
ethnicity,other,7,safety,1518.9417297574848,186
ethnicity,other,8,safety,1668.1792553406508,166
education,sixteen,0,living,1682.5507917142186,150
education,sixteen,1,living,1391.2510276379708,134
education,sixteen,2,living,1380.061733870113,134
education,sixteen,3,living,1603.8325095461385,127
education,sixteen,4,living,1642.0164933995366,148
education,sixteen,5,living,1545.4471897446779,163
education,sixteen,6,living,1340.946066532963,132
education,sixteen,7,living,1516.9910297759375,115
education,sixteen,8,living,1575.5437423427272,139
education,sixteen,0,biodiversity,1227.1610357930367,117
education,sixteen,1,biodiversity,1675.6638836270838,192
education,sixteen,2,biodiversity,1701.6237494445415,164
education,sixteen,3,biodiversity,1300.668683682102,165
education,sixteen,4,biodiversity,1396.561296050085,159
education,sixteen,5,biodiversity,1481.8445435220092,184
education,sixteen,6,biodiversity,1526.4779338908259,167
education,sixteen,7,biodiversity,1609.474787395977,126
education,sixteen,8,biodiversity,1578.6311884266383,102
education,sixteen,0,safety,1408.914615053903,167
education,sixteen,1,safety,1643.1015930157682,182
education,sixteen,2,safety,1523.7962247599878,180
education,sixteen,3,safety,1521.1696433000218,147
education,sixteen,4,safety,1527.5427227847429,199
education,sixteen,5,safety,1473.155579884596,162
education,sixteen,6,safety,1548.8904273977387,176
education,sixteen,7,safety,1590.1564641182956,126
education,sixteen,8,safety,1668.8884489826341,115
education,eighteen,0,living,1509.2389999422007,385
education,eighteen,1,living,1402.9784037794773,448
education,eighteen,2,living,1427.9577556560398,366
education,eighteen,3,living,1612.9260338616382,256
education,eighteen,4,living,1743.9461237016897,338
education,eighteen,5,living,1677.129153510263,395
education,eighteen,6,living,1249.3589430773925,370
education,eighteen,7,living,1298.4656485191967,342
education,eighteen,8,living,1817.0742222601268,326
education,eighteen,0,biodiversity,1230.9783484745751,321
education,eighteen,1,biodiversity,1838.3774167426263,349
education,eighteen,2,biodiversity,1240.2569835216073,390
education,eighteen,3,biodiversity,1667.1653720304512,501
education,eighteen,4,biodiversity,1480.4120912790256,484
education,eighteen,5,biodiversity,871.088041222911,462
education,eighteen,6,biodiversity,1583.6175437752029,465
education,eighteen,7,biodiversity,1625.5123261322233,322
education,eighteen,8,biodiversity,1721.153183350676,350
education,eighteen,0,safety,1780.540657664691,476
education,eighteen,1,safety,1344.2772379485855,529
education,eighteen,2,safety,1284.634919153795,471
education,eighteen,3,safety,1136.0613147118943,355
education,eighteen,4,safety,1455.1016106027541,499
education,eighteen,5,safety,1112.3626080776444,452
education,eighteen,6,safety,1755.2886972818285,370
education,eighteen,7,safety,1789.3682829897139,399
education,eighteen,8,safety,1579.9426366542232,221
education,older,0,living,999.0744188245828,1483
education,older,1,living,1631.806958980182,1698
education,older,2,living,1768.9289457000157,1394
education,older,3,living,2010.4562075517595,1129
education,older,4,living,2145.7044716708106,1333
education,older,5,living,1868.6528598851364,1627
education,older,6,living,1454.6144932758498,1406
education,older,7,living,1528.4266541330496,1437
education,older,8,living,1950.2333360334094,1377
education,older,0,biodiversity,1931.345473314795,1415
education,older,1,biodiversity,1678.6351234218796,1788
education,older,2,biodiversity,1636.9306952958702,1765
education,older,3,biodiversity,2107.5646185848277,1909
education,older,4,biodiversity,2124.8629230149645,1727
education,older,5,biodiversity,1199.8331560134588,1830
education,older,6,biodiversity,1102.1674460862027,1642
education,older,7,biodiversity,1714.8958882813909,1200
education,older,8,biodiversity,2043.9537757319304,1214
education,older,0,safety,1591.5443529337088,2163
education,older,1,safety,1329.0659276298697,2285
education,older,2,safety,2045.4349636773736,1879
education,older,3,safety,1282.7393689399955,1668
education,older,4,safety,1625.0516036494992,1839
education,older,5,safety,1783.8413107832307,1440
education,older,6,safety,1751.2956085085561,1639
education,older,7,safety,1654.8430131273406,1492
education,older,8,safety,2109.4979269504715,1001
income,lower,0,living,1429.9076813105003,348
income,lower,1,living,1602.3061812217095,463
income,lower,2,living,858.582155752569,338
income,lower,3,living,1550.7738224866678,257
income,lower,4,living,1834.772997058734,340
income,lower,5,living,1248.0841429623604,446
income,lower,6,living,1471.1418236833515,322
income,lower,7,living,1320.6728018057547,347
income,lower,8,living,1732.578671958633,341
income,lower,0,biodiversity,1409.150453061541,366
income,lower,1,biodiversity,1322.3889739067436,442
income,lower,2,biodiversity,1439.8858768858468,452
income,lower,3,biodiversity,1666.5731695431077,449
income,lower,4,biodiversity,1773.8996526165965,430
income,lower,5,biodiversity,1807.9373568024257,439
income,lower,6,biodiversity,1001.2597478252831,429
income,lower,7,biodiversity,1728.521729261838,314
income,lower,8,biodiversity,1257.1540349952918,309
income,lower,0,safety,1785.2211118867274,471
income,lower,1,safety,1251.4186890419198,547
income,lower,2,safety,1389.8244100768668,472
income,lower,3,safety,1106.9755262398785,428
income,lower,4,safety,1767.6858975701734,513
income,lower,5,safety,1516.6646745174758,435
income,lower,6,safety,770.000523747906,385
income,lower,7,safety,1317.1616865302292,387
