demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2295.1920190068677,1903
global,global,1,living,2021.2521595028982,2274
global,global,2,living,2129.1927983123705,2568
global,global,3,living,1688.8467190743263,2048
global,global,4,living,1103.5665392180267,2437
global,global,5,living,115.2466050563045,1639
global,global,6,living,1211.5499064219428,1650
global,global,7,living,484.5634133830554,1856
global,global,8,living,916.5668538728793,2451
global,global,0,biodiversity,236.99877121219862,3355
global,global,1,biodiversity,2256.7491607487214,1797
global,global,2,biodiversity,682.5684357505457,1901
global,global,3,biodiversity,1415.2354579262724,1893
global,global,4,biodiversity,1103.6542568717862,2905
global,global,5,biodiversity,1396.043764522994,2362
global,global,6,biodiversity,2021.1520179888441,2288
global,global,7,biodiversity,1333.6377867291842,2876
global,global,8,biodiversity,2119.944868340892,2233
global,global,0,safety,184.70333335833757,2169
global,global,1,safety,864.4210857216605,2736
global,global,2,safety,1746.8436747733135,2484
global,global,3,safety,1140.64081655701,2392
global,global,4,safety,1882.0264211853105,2853
global,global,5,safety,2183.532568611506,1890
global,global,6,safety,2360.2468646131065,2885
global,global,7,safety,1805.611255261838,2665
global,global,8,safety,1331.117032485428,2790
gender,man,0,living,1680.4046596424723,961
gender,man,1,living,2012.0205606396928,1136
gender,man,2,living,1863.7582280722916,1303
gender,man,3,living,1975.7812219323573,1071
gender,man,4,living,1832.694511149941,1327
gender,man,5,living,612.8221610366164,813
gender,man,6,living,1403.643473889112,818
gender,man,7,living,459.73171896283066,940
gender,man,8,living,1232.214329439984,1271
gender,man,0,biodiversity,1168.3557561482417,1684
gender,man,1,biodiversity,2067.196235175005,893
gender,man,2,biodiversity,519.4635634453253,920
gender,man,3,biodiversity,1482.8933736136623,891
gender,man,4,biodiversity,1440.130434431926,1380
gender,man,5,biodiversity,789.805259761171,1278
gender,man,6,biodiversity,1716.148553636516,1189
gender,man,7,biodiversity,1956.009965586372,1397
gender,man,8,biodiversity,1541.8268044708325,1158
gender,man,0,safety,1107.5537401715958,1178
gender,man,1,safety,2027.1188553316188,1492
gender,man,2,safety,1893.2048955652574,1287
gender,man,3,safety,1016.8002392221001,1216
gender,man,4,safety,1766.090887822898,1447
gender,man,5,safety,1928.1913103410752,989
gender,man,6,safety,2100.3782944106183,1506
gender,man,7,safety,559.0284825752842,1431
gender,man,8,safety,1406.5933650844884,1448
gender,woman,0,living,1978.7597412324365,779
gender,woman,1,living,1696.6064854425397,894
gender,woman,2,living,1346.8999045297064,1009
gender,woman,3,living,1616.2667611078648,834
gender,woman,4,living,855.4356472698101,933
gender,woman,5,living,1470.5252898055967,728
gender,woman,6,living,1839.953502697869,689
gender,woman,7,living,1794.1621952544165,816
gender,woman,8,living,1747.0548089645208,1006
gender,woman,0,biodiversity,1042.213732207229,1340
gender,woman,1,biodiversity,1516.111448711791,753
gender,woman,2,biodiversity,1768.5809781662267,798
gender,woman,3,biodiversity,715.0452057121805,718
gender,woman,4,biodiversity,1458.411847960774,1196
gender,woman,5,biodiversity,1914.213502418896,918
gender,woman,6,biodiversity,1698.781527006131,938
gender,woman,7,biodiversity,1206.2609898076682,1249
gender,woman,8,biodiversity,1991.3951209623092,836
gender,woman,0,safety,1038.2375851842294,854
gender,woman,1,safety,1556.405975774114,1057
gender,woman,2,safety,1354.9774214919764,1040
gender,woman,3,safety,1322.2018636835296,984
gender,woman,4,safety,1672.1400256121453,1116
gender,woman,5,safety,1926.1955838072502,721
gender,woman,6,safety,1748.1097476874822,1096
gender,woman,7,safety,1992.381542900794,990
gender,woman,8,safety,1226.312668412604,1176
gender,other,0,living,1547.9429111311576,8
gender,other,1,living,1498.3842256708376,14
gender,other,2,living,1413.7253604509333,11
gender,other,3,living,1486.8032443503182,13
gender,other,4,living,1570.6996082346475,10
gender,other,5,living,1462.5073923745344,13
gender,other,6,living,1452.5904621608975,12
gender,other,7,living,1533.9223206770207,11
gender,other,8,living,1520.0280790269824,14
gender,other,0,biodiversity,1545.5161131255495,8
gender,other,1,biodiversity,1535.592864258685,7
gender,other,2,biodiversity,1487.6657036241263,17
gender,other,3,biodiversity,1511.9611704370939,15
gender,other,4,biodiversity,1500.004762868007,10
gender,other,5,biodiversity,1427.9304801844007,10
gender,other,6,biodiversity,1461.5142137426735,13
gender,other,7,biodiversity,1571.4644129153505,16
gender,other,8,biodiversity,1451.5809250060831,12
gender,other,0,safety,1571.4920654903124,6
gender,other,1,safety,1480.0162205547992,16
gender,other,2,safety,1534.3085413831795,19
gender,other,3,safety,1463.6002607060973,17
gender,other,4,safety,1500.1688546349617,14
gender,other,5,safety,1452.4950817177564,14
gender,other,6,safety,1547.647294931491,16
gender,other,7,safety,1521.549755725915,12
gender,other,8,safety,1426.6692173320826,10
age,younger,0,living,1928.3534487173197,489
age,younger,1,living,1580.6146789125967,615
age,younger,2,living,1840.939845819349,686
age,younger,3,living,1383.0733620854214,659
age,younger,4,living,1333.784731511589,728
age,younger,5,living,1187.7115611155814,501
age,younger,6,living,1482.6898300193775,462
age,younger,7,living,994.1590459032392,571
age,younger,8,living,1652.4101348886675,701
age,younger,0,biodiversity,1458.8084549907726,941
age,younger,1,biodiversity,1677.704934613089,510
age,younger,2,biodiversity,1054.8968515343297,582
age,younger,3,biodiversity,801.584307060561,517
age,younger,4,biodiversity,1632.0527506302808,752
age,younger,5,biodiversity,1512.1115481482202,669
age,younger,6,biodiversity,1787.9854244692851,634
age,younger,7,biodiversity,1874.5799183066572,711
age,younger,8,biodiversity,1889.4421421200736,650
age,younger,0,safety,1199.328196383917,658
age,younger,1,safety,1480.5913008384928,751
age,younger,2,safety,1665.8138336128013,706
age,younger,3,safety,1826.91765789382,719
