demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1410.7991927486908,2335
global,global,1,living,1840.278094614637,2779
global,global,2,living,1911.6586662461057,2710
global,global,3,living,1988.9585364219345,2291
global,global,4,living,2071.4471263564988,2173
global,global,5,living,2147.359339422282,1070
global,global,6,living,111.63494117870832,1032
global,global,7,living,1509.020554647236,2530
global,global,8,living,518.0554119777664,1694
global,global,0,biodiversity,1552.7454917149055,2996
global,global,1,biodiversity,1780.638555748884,3096
global,global,2,biodiversity,1767.7886258930903,2556
global,global,3,biodiversity,1751.6141572021113,2506
global,global,4,biodiversity,2134.3551882377983,2907
global,global,5,biodiversity,957.2212183524008,3020
global,global,6,biodiversity,2333.1922854554773,3063
global,global,7,biodiversity,2297.94431411048,2162
global,global,8,biodiversity,1183.4744824189916,3442
global,global,0,safety,819.6272317575982,2263
global,global,1,safety,2156.5885839247153,2408
global,global,2,safety,2338.3747702456717,2366
global,global,3,safety,1299.9176955361359,2747
global,global,4,safety,-719.3548553202653,839
global,global,5,safety,678.6321982435718,1191
global,global,6,safety,1446.089767920954,2471
global,global,7,safety,2229.8545580660752,2652
global,global,8,safety,2050.6898293735003,2001
gender,man,0,living,448.0341842242042,1236
gender,man,1,living,1896.9101626838842,1415
gender,man,2,living,1810.4648449500887,1350
gender,man,3,living,1666.3542761182514,1172
gender,man,4,living,1288.631192799997,1068
gender,man,5,living,1984.5751042109327,554
gender,man,6,living,1027.7766645029353,569
gender,man,7,living,1448.1522866524879,1247
gender,man,8,living,907.5707509403697,873
gender,man,0,biodiversity,921.8532688965727,1576
gender,man,1,biodiversity,2126.1418946998083,1645
gender,man,2,biodiversity,1436.317183657657,1308
gender,man,3,biodiversity,1606.599488366121,1286
gender,man,4,biodiversity,1485.8457333764363,1510
gender,man,5,biodiversity,1237.8887584239837,1551
gender,man,6,biodiversity,1814.0216456850158,1602
gender,man,7,biodiversity,2051.312957675089,1068
gender,man,8,biodiversity,1854.2929561673911,1796
gender,man,0,safety,971.1793510535726,1128
gender,man,1,safety,1632.2149502767084,1232
gender,man,2,safety,2043.2305978835682,1164
gender,man,3,safety,1350.7205403615897,1419
gender,man,4,safety,804.035778930669,439
gender,man,5,safety,1225.1159713211327,607
gender,man,6,safety,1833.7637498628374,1293
gender,man,7,safety,1908.5927713991045,1281
gender,man,8,safety,1469.7958384072851,1035
gender,woman,0,living,1730.801688593039,874
gender,woman,1,living,1869.4606560768905,1123
gender,woman,2,living,1239.465676315206,1021
gender,woman,3,living,1511.6915260842063,914
gender,woman,4,living,1961.5068638005519,807
gender,woman,5,living,1428.5374740918717,472
gender,woman,6,living,1060.5111533920663,413
gender,woman,7,living,1479.420793217286,967
gender,woman,8,living,1095.8549500439594,715
gender,woman,0,biodiversity,1839.5925657096184,1239
gender,woman,1,biodiversity,504.73880559961736,1212
gender,woman,2,biodiversity,1614.2763432143615,1075
gender,woman,3,biodiversity,1499.8061178068194,955
