demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2181.4490899759207,2878
global,global,1,living,1720.0756666570392,2060
global,global,2,living,790.4714113642406,3227
global,global,3,living,1860.7868104776985,3024
global,global,4,living,2066.058436628685,3519
global,global,5,living,2278.6047682796416,3387
global,global,6,living,2121.0398430880964,2621
global,global,7,living,1782.0577741511079,3441
global,global,8,living,396.08328361916955,1959
global,global,0,biodiversity,2151.543392806891,1746
global,global,1,biodiversity,1712.787148295889,2034
global,global,2,biodiversity,1231.2214439584827,2040
global,global,3,biodiversity,42.82081235249383,1776
global,global,4,biodiversity,1843.198485634722,2234
global,global,5,biodiversity,923.3641687045863,1699
global,global,6,biodiversity,979.3114884683913,2384
global,global,7,biodiversity,2079.7000826440835,2327
global,global,8,biodiversity,2259.1926792895165,2364
global,global,0,safety,1103.1806541127783,2154
global,global,1,safety,1341.3359869329095,2716
global,global,2,safety,371.97179616477797,2212
global,global,3,safety,1291.171040322871,2462
global,global,4,safety,1785.679467003841,1949
global,global,5,safety,2137.6556872400793,1560
global,global,6,safety,1674.5408250284192,1895
global,global,7,safety,2056.8912762230857,1253
global,global,8,safety,494.2169561543162,2379
gender,man,0,living,1684.247023038933,1486
gender,man,1,living,2113.3253357001463,1031
gender,man,2,living,1095.2411162291899,1769
gender,man,3,living,1773.9664191357074,1536
gender,man,4,living,1408.5111920739544,1899
gender,man,5,living,1751.2038164817884,1771
gender,man,6,living,1507.1087734574378,1380
gender,man,7,living,1918.3203353198685,1675
gender,man,8,living,864.3941595376285,1035
gender,man,0,biodiversity,1056.4916755228915,917
gender,man,1,biodiversity,1923.3966478306759,1006
gender,man,2,biodiversity,1833.4119353159126,1054
gender,man,3,biodiversity,898.0150899386533,939
gender,man,4,biodiversity,1961.2958912173367,1093
gender,man,5,biodiversity,682.5465322320779,848
gender,man,6,biodiversity,1498.5956814432689,1222
gender,man,7,biodiversity,1194.3047139393975,1268
gender,man,8,biodiversity,1986.841368857152,1173
gender,man,0,safety,1567.4814448051034,1047
gender,man,1,safety,572.8006266430466,1327
gender,man,2,safety,393.52863451439646,1155
gender,man,3,safety,925.8603153771322,1259
gender,man,4,safety,1758.2538840546088,1028
gender,man,5,safety,1356.3939312661862,803
gender,man,6,safety,1689.452462667225,949
gender,man,7,safety,1967.7578258443386,601
gender,man,8,safety,1523.314326559276,1153
gender,woman,0,living,1807.4813355761607,1153
gender,woman,1,living,1330.7979553771638,834
gender,woman,2,living,1733.4463350502838,1282
gender,woman,3,living,1452.548189296205,1221
gender,woman,4,living,1775.6919558178836,1303
gender,woman,5,living,1917.6424695128876,1355
gender,woman,6,living,1957.1437747083476,968
gender,woman,7,living,1393.840757128605,1435
gender,woman,8,living,1501.5991751306917,803
gender,woman,0,biodiversity,1917.302357062051,721
gender,woman,1,biodiversity,543.4815091016045,878
gender,woman,2,biodiversity,587.5345804080629,816
gender,woman,3,biodiversity,983.251106115913,747
gender,woman,4,biodiversity,1604.7255559150044,986
gender,woman,5,biodiversity,1425.443149480859,658
gender,woman,6,biodiversity,1185.3599555331764,954
gender,woman,7,biodiversity,1983.5132650606236,871
gender,woman,8,biodiversity,1747.412125213334,981
gender,woman,0,safety,937.3742160158955,862
gender,woman,1,safety,1715.6962831103342,1068
gender,woman,2,safety,1813.777976865401,909
gender,woman,3,safety,1018.4984646972498,1027
gender,woman,4,safety,1685.3265888211138,761
gender,woman,5,safety,1967.2023801318078,554
gender,woman,6,safety,1463.544010517341,780
gender,woman,7,safety,1362.41375170536,556
gender,woman,8,safety,969.6983695595671,985
gender,other,0,living,1463.7154168667223,19
gender,other,1,living,1514.3719532655323,11
gender,other,2,living,1450.2670082790917,16
gender,other,3,living,1503.2858943660067,20
gender,other,4,living,1535.7560766274578,13
gender,other,5,living,1570.738009655681,14
gender,other,6,living,1487.7836770065742,15
gender,other,7,living,1549.0782510470938,12
gender,other,8,living,1426.2967347859126,10
gender,other,0,biodiversity,1559.9894856692426,9
gender,other,1,biodiversity,1475.898256336121,8
gender,other,2,biodiversity,1441.5640660561144,11
gender,other,3,biodiversity,1478.40998860684,14
gender,other,4,biodiversity,1514.4813290546463,15
gender,other,5,biodiversity,1547.3780536679672,8
gender,other,6,biodiversity,1465.7566569525588,15
gender,other,7,biodiversity,1500.2984872613245,16
gender,other,8,biodiversity,1524.4745705702974,12
gender,other,0,safety,1499.9672239579593,10
gender,other,1,safety,1588.182705629237,10
gender,other,2,safety,1524.4446323370576,16
gender,other,3,safety,1476.0006077131977,8
gender,other,4,safety,1452.2163158810558,8
gender,other,5,safety,1512.9331592488284,15
gender,other,6,safety,1534.6608728937256,7
gender,other,7,safety,1464.2869101278145,15
gender,other,8,safety,1434.4630770180431,11
age,younger,0,living,1873.6345912394895,820
age,younger,1,living,1439.6900575531247,565
age,younger,2,living,735.1770844923253,964
age,younger,3,living,1410.38370520427,891
age,younger,4,living,1616.4400470074224,1018
age,younger,5,living,1994.5752504034047,950
age,younger,6,living,1759.7956873727078,745
age,younger,7,living,1639.0684046943754,947
age,younger,8,living,-7.3433896046336,536
age,younger,0,biodiversity,1529.6811838114859,512
age,younger,1,biodiversity,1653.7284269020097,542
age,younger,2,biodiversity,1774.6321106722037,572
age,younger,3,biodiversity,1406.2184131338352,563
age,younger,4,biodiversity,1356.0184967739272,664
age,younger,5,biodiversity,1461.3923264934806,487
age,younger,6,biodiversity,1194.7635956413296,746
age,younger,7,biodiversity,1714.9441567736235,665
age,younger,8,biodiversity,1958.2868298263388,669
age,younger,0,safety,1514.5675066944127,616
age,younger,1,safety,1406.2622745270316,676
age,younger,2,safety,1535.5699615478675,617
age,younger,3,safety,1439.5676582578826,666
age,younger,4,safety,1731.1119137979322,529
age,younger,5,safety,1689.5194472030496,449
age,younger,6,safety,1666.5211835632736,484
age,younger,7,safety,1815.9855475561915,347
age,younger,8,safety,1584.0413695076543,542
age,middle,0,living,1705.4044804430198,1207
age,middle,1,living,1771.104532621852,916
age,middle,2,living,1649.9711542727923,1433
age,middle,3,living,1940.3689310564557,1254
age,middle,4,living,2027.783211930053,1526
age,middle,5,living,1845.3468181004819,1438
age,middle,6,living,1498.1149965272716,1127
age,middle,7,living,1687.2154087291763,1423
age,middle,8,living,1798.6500314426605,956
age,middle,0,biodiversity,1859.625819484425,740
age,middle,1,biodiversity,1557.1398493342285,872
age,middle,2,biodiversity,1372.9533184114098,829
age,middle,3,biodiversity,1065.5944507373556,749
age,middle,4,biodiversity,1879.9580148970153,937
age,middle,5,biodiversity,979.3452906259021,710
age,middle,6,biodiversity,1421.4878217754083,935
age,middle,7,biodiversity,1924.8041500501085,915
age,middle,8,biodiversity,1861.3063154688155,977
age,middle,0,safety,860.8015487534335,848
age,middle,1,safety,1540.3359296479905,1170
age,middle,2,safety,1608.719959711938,964
age,middle,3,safety,1455.5557598134612,1075
age,middle,4,safety,1930.237247609622,807
age,middle,5,safety,1844.7219942941897,642
age,middle,6,safety,1703.8430551829279,821
age,middle,7,safety,1794.1908674181223,466
age,middle,8,safety,1314.069668200387,1011
age,older,0,living,989.8736118880954,628
age,older,1,living,1788.2921710966236,397
age,older,2,living,1157.1724312105687,658
age,older,3,living,1531.2973589459177,621
age,older,4,living,1571.3214719320663,667
age,older,5,living,1452.547636656235,744
age,older,6,living,1855.7846270963685,485
age,older,7,living,959.9740933190562,745
age,older,8,living,1692.9807782549503,355
age,older,0,biodiversity,1447.693368230169,398
age,older,1,biodiversity,1662.4598279329853,475
age,older,2,biodiversity,1496.519590487989,471
age,older,3,biodiversity,1265.3213421576272,387
age,older,4,biodiversity,1615.769561004358,490
age,older,5,biodiversity,1815.228690762361,318
age,older,6,biodiversity,1698.3740078925848,496
age,older,7,biodiversity,1748.8026701903764,569
age,older,8,biodiversity,1483.3356893233579,512
age,older,0,safety,1791.9231804212739,445
age,older,1,safety,1768.5463247517732,542
age,older,2,safety,1505.680418999558,489
age,older,3,safety,1291.515471316755,547
age,older,4,safety,1594.2906423239006,458
age,older,5,safety,1709.1975698904805,274
age,older,6,safety,1642.7756850526048,422
age,older,7,safety,1388.8974243317923,354
age,older,8,safety,1421.9237470195035,581
ethnicity,white,0,living,2075.2008191464056,2228
ethnicity,white,1,living,1973.8050757476722,1615
ethnicity,white,2,living,962.2799588912249,2651
ethnicity,white,3,living,1612.638922908146,2372
ethnicity,white,4,living,2187.7243979545296,2793
ethnicity,white,5,living,2162.714701235935,2718
ethnicity,white,6,living,1883.7022726464156,1999
ethnicity,white,7,living,1267.388354511505,2754
ethnicity,white,8,living,1080.617087939872,1606
ethnicity,white,0,biodiversity,2038.4305381329932,1422
ethnicity,white,1,biodiversity,1809.1246992706056,1645
ethnicity,white,2,biodiversity,1648.4723249326528,1626
ethnicity,white,3,biodiversity,1566.5075693570639,1478
ethnicity,white,4,biodiversity,2234.488418294481,1825
ethnicity,white,5,biodiversity,1580.2052123699325,1289
ethnicity,white,6,biodiversity,1471.588315828636,1887
ethnicity,white,7,biodiversity,2144.753287445447,1881
ethnicity,white,8,biodiversity,2176.088897567785,1863
ethnicity,white,0,safety,1072.5994292440078,1643
ethnicity,white,1,safety,1304.647352786057,2083
ethnicity,white,2,safety,1444.856628309932,1806
ethnicity,white,3,safety,1156.5637999388903,1937
ethnicity,white,4,safety,1732.4599653584391,1550
ethnicity,white,5,safety,2000.053744940206,1152
ethnicity,white,6,safety,1654.901486238465,1486
ethnicity,white,7,safety,2040.3714657680662,1020
ethnicity,white,8,safety,1340.2009760108735,1831
ethnicity,other,0,living,1642.484258322565,315
ethnicity,other,1,living,1596.4194139664312,177
ethnicity,other,2,living,1535.617821718301,300
ethnicity,other,3,living,1684.4980714458661,289
ethnicity,other,4,living,1307.0455174790159,296
ethnicity,other,5,living,1435.1431155663035,319
ethnicity,other,6,living,1576.2094524715362,264
ethnicity,other,7,living,1747.507266658015,249
ethnicity,other,8,living,1056.3907086487193,155
ethnicity,other,0,biodiversity,1297.1579862978924,166
ethnicity,other,1,biodiversity,1550.609259687926,177
ethnicity,other,2,biodiversity,1407.816480603222,170
ethnicity,other,3,biodiversity,1122.0445515797314,157
ethnicity,other,4,biodiversity,1618.26355296435,184
ethnicity,other,5,biodiversity,1272.5936457975436,170
ethnicity,other,6,biodiversity,1635.8669175411703,225
ethnicity,other,7,biodiversity,1485.6700518228015,190
ethnicity,other,8,biodiversity,1793.8213758729107,199
ethnicity,other,0,safety,1700.1136928976352,200
ethnicity,other,1,safety,1571.9869059183045,226
ethnicity,other,2,safety,1286.2159510153233,189
ethnicity,other,3,safety,1531.4994577285415,238
ethnicity,other,4,safety,1736.074754454754,163
ethnicity,other,5,safety,1547.3097737110943,152
ethnicity,other,6,safety,1413.665848920193,173
ethnicity,other,7,safety,1465.8490934307674,110
ethnicity,other,8,safety,1229.3087408210026,227
education,sixteen,0,living,1505.8493800852912,201
education,sixteen,1,living,1067.666462759387,123
education,sixteen,2,living,796.0471183269348,183
education,sixteen,3,living,1675.0011980954794,188
education,sixteen,4,living,1391.0195270507138,191
education,sixteen,5,living,1557.5678054487937,220
education,sixteen,6,living,1750.7689554836745,149
education,sixteen,7,living,1587.8754716660217,217
education,sixteen,8,living,1477.3466997315388,130
education,sixteen,0,biodiversity,1608.7198280211226,108
education,sixteen,1,biodiversity,1663.1503049651494,114
education,sixteen,2,biodiversity,1279.3518563462146,151
education,sixteen,3,biodiversity,1526.4132387746877,130
education,sixteen,4,biodiversity,1445.8102868117912,148
education,sixteen,5,biodiversity,1338.3039680837321,121
education,sixteen,6,biodiversity,1482.9760216170835,157
education,sixteen,7,biodiversity,1360.2536166508135,183
education,sixteen,8,biodiversity,1721.897154914256,118
education,sixteen,0,safety,1624.0541748864869,139
education,sixteen,1,safety,1656.3533169077718,172
education,sixteen,2,safety,1279.6115343094666,124
education,sixteen,3,safety,1521.0831565886197,155
education,sixteen,4,safety,1398.4231956510507,135
education,sixteen,5,safety,1431.6485388294345,96
education,sixteen,6,safety,1548.4236947922607,145
education,sixteen,7,safety,1456.7783503293692,104
education,sixteen,8,safety,1691.6454356456218,170
education,eighteen,0,living,1823.6525058102727,424
education,eighteen,1,living,1747.3183049942504,363
education,eighteen,2,living,1204.2647657616017,530
education,eighteen,3,living,1665.725188202796,486
education,eighteen,4,living,1453.8976949948176,614
education,eighteen,5,living,1326.9901062994238,534
education,eighteen,6,living,1610.1431760059913,445
education,eighteen,7,living,1541.2908024376015,577
education,eighteen,8,living,1698.9233753691963,349
education,eighteen,0,biodiversity,1748.9034611504276,266
education,eighteen,1,biodiversity,1301.243385308835,398
education,eighteen,2,biodiversity,1639.6165468952534,338
education,eighteen,3,biodiversity,1674.6938894684063,331
education,eighteen,4,biodiversity,1515.9683606546064,389
education,eighteen,5,biodiversity,1613.351825527711,292
education,eighteen,6,biodiversity,1566.7939900574606,400
education,eighteen,7,biodiversity,1387.1395412194274,366
education,eighteen,8,biodiversity,1720.5449058446825,442
education,eighteen,0,safety,1571.896774962092,372
education,eighteen,1,safety,1612.6480565825764,447
education,eighteen,2,safety,1670.166146673613,344
education,eighteen,3,safety,1549.2627540731662,439
education,eighteen,4,safety,1739.8105743953754,269
education,eighteen,5,safety,1628.577028742223,291
education,eighteen,6,safety,1347.240714873975,299
education,eighteen,7,safety,1706.7277936814462,224
education,eighteen,8,safety,1284.5035259656104,413
education,older,0,living,1264.6245511726454,2001
education,older,1,living,1946.7296281743447,1377
education,older,2,living,1149.7479947881204,2307
education,older,3,living,1683.1418505033882,2060
education,older,4,living,2132.5157104668615,2372
education,older,5,living,2154.470549721862,2341
education,older,6,living,1570.287884390559,1746
education,older,7,living,1353.7616611685692,2283
education,older,8,living,252.7223910582493,1357
education,older,0,biodiversity,1284.3320490132664,1252
education,older,1,biodiversity,1855.391004394065,1355
education,older,2,biodiversity,1361.094657492723,1371
education,older,3,biodiversity,158.96916794155896,1219
education,older,4,biodiversity,1981.9036132001038,1530
education,older,5,biodiversity,1412.7279047206944,1079
education,older,6,biodiversity,1528.2623131098874,1592
education,older,7,biodiversity,2200.448155798963,1573
education,older,8,biodiversity,1901.8810821280117,1575
education,older,0,safety,986.2797918094694,1390
education,older,1,safety,861.3778161327855,1763
education,older,2,safety,1070.07590042151,1582
education,older,3,safety,1478.8056413006366,1671
education,older,4,safety,1731.0612496477472,1368
education,older,5,safety,2051.9513382484765,974
education,older,6,safety,1659.4320321691118,1275
education,older,7,safety,1818.1962786275387,831
education,older,8,safety,737.9678614126193,1536
income,lower,0,living,1393.093572396583,515
income,lower,1,living,1255.8209220744116,325
income,lower,2,living,1166.9810984505655,527
income,lower,3,living,1812.6510101348129,518
