demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,512.0463478764242,2028
global,global,1,living,2376.319103085906,2871
global,global,2,living,1332.0694580514787,3310
global,global,3,living,2212.291717348437,2348
global,global,4,living,1802.0317485463163,4209
global,global,5,living,2009.762464166643,3319
global,global,6,living,1753.8775225589065,2844
global,global,7,living,112.91930754228186,2827
global,global,8,living,2285.146696404835,3370
global,global,0,biodiversity,206.108814577426,1834
global,global,1,biodiversity,2073.113398713313,1627
global,global,2,biodiversity,-257.4959818428839,1884
global,global,3,biodiversity,858.6813774869086,1587
global,global,4,biodiversity,776.8760848081486,2066
global,global,5,biodiversity,1705.2055205289844,1727
global,global,6,biodiversity,2229.516706379454,1697
global,global,7,biodiversity,1200.3803574037709,1981
global,global,8,biodiversity,930.7997177144296,2095
global,global,0,safety,1789.8311812502052,2091
global,global,1,safety,2247.1382541771272,1655
global,global,2,safety,32.54204504174187,2216
global,global,3,safety,1957.536847840937,1668
global,global,4,safety,1680.3667159026531,2277
global,global,5,safety,1862.5209464556897,2701
global,global,6,safety,968.5050806344314,2643
global,global,7,safety,327.27894418999637,2192
global,global,8,safety,1620.1512270210042,2233
gender,man,0,living,1477.1362947077707,1060
gender,man,1,living,1617.4513799670492,1578
gender,man,2,living,1941.8506564142776,1762
gender,man,3,living,2086.197995761896,1216
gender,man,4,living,1539.960746164585,2089
gender,man,5,living,2128.932973672235,1666
gender,man,6,living,-17.100626621224215,1349
gender,man,7,living,1219.9516210974466,1526
gender,man,8,living,2174.3606763107023,1722
gender,man,0,biodiversity,507.8011566064186,891
gender,man,1,biodiversity,2050.362597864817,862
gender,man,2,biodiversity,1008.1939784058367,978
gender,man,3,biodiversity,-110.79265612252121,760
gender,man,4,biodiversity,1813.1409940286935,1044
gender,man,5,biodiversity,1912.4779846489675,877
gender,man,6,biodiversity,1674.9015815953064,915
gender,man,7,biodiversity,1458.6455679844946,1053
gender,man,8,biodiversity,822.8328280809193,1052
gender,man,0,safety,1687.827542548211,1095
gender,man,1,safety,1978.3049031539576,837
gender,man,2,safety,1376.3221053874415,1128
gender,man,3,safety,1927.5381477849658,783
gender,man,4,safety,1767.4103070137942,1173
gender,man,5,safety,1541.5023426396915,1366
gender,man,6,safety,490.8785983806333,1361
gender,man,7,safety,818.0536990491856,1131
gender,man,8,safety,1549.9785148857754,1150
gender,woman,0,living,844.294742739483,815
gender,woman,1,living,2060.459456926945,1131
gender,woman,2,living,1585.8752369727276,1369
gender,woman,3,living,1828.1430936554923,907
gender,woman,4,living,1638.475924800733,1725
gender,woman,5,living,1259.5097376485885,1347
gender,woman,6,living,1789.7603322148566,1144
gender,woman,7,living,520.6811575950542,1075
gender,woman,8,living,1473.1612943524904,1389
gender,woman,0,biodiversity,1261.6471282428272,738
gender,woman,1,biodiversity,1818.435722803579,595
gender,woman,2,biodiversity,309.2710107152458,719
gender,woman,3,biodiversity,1899.3719551705365,639
gender,woman,4,biodiversity,1002.6644681655089,854
gender,woman,5,biodiversity,1313.3461757291227,712
gender,woman,6,biodiversity,1860.6474389418731,660
gender,woman,7,biodiversity,1567.1894614763141,761
gender,woman,8,biodiversity,1663.7550571880024,862
gender,woman,0,safety,1797.621447023086,859
gender,woman,1,safety,1866.7955006210896,691
gender,woman,2,safety,1113.201123008838,947
gender,woman,3,safety,1144.0406037819441,743
gender,woman,4,safety,712.0206083015527,864
gender,woman,5,safety,1488.3890845066853,1110
gender,woman,6,safety,1836.1203513305297,1066
gender,woman,7,safety,1229.496181860735,888
gender,woman,8,safety,1943.2372570008495,858
gender,other,0,living,1441.611544015908,11
gender,other,1,living,1463.5161843792864,11
gender,other,2,living,1478.528881161548,14
gender,other,3,living,1488.0015316069048,9
gender,other,4,living,1561.485864009565,17
gender,other,5,living,1501.6378800734008,12
gender,other,6,living,1512.4144062489156,9
gender,other,7,living,1523.9449429317458,6
gender,other,8,living,1535.946844496852,7
gender,other,0,biodiversity,1514.718123606908,21
gender,other,1,biodiversity,1477.8186323075588,14
gender,other,2,biodiversity,1535.8527757089619,15
gender,other,3,biodiversity,1463.3230490865094,15
gender,other,4,biodiversity,1453.2030167161101,10
gender,other,5,biodiversity,1500.415281419349,14
gender,other,6,biodiversity,1548.013414525653,6
gender,other,7,biodiversity,1569.9776198699226,18
gender,other,8,biodiversity,1437.9480317118766,5
gender,other,0,safety,1540.0769866731857,21
gender,other,1,safety,1569.341505090096,10
gender,other,2,safety,1521.2152035556126,18
gender,other,3,safety,1488.1894723177472,15
gender,other,4,safety,1462.30542166752,9
gender,other,5,safety,1428.9324870444393,8
gender,other,6,safety,1448.3248553899418,12
gender,other,7,safety,1560.0130106843355,13
gender,other,8,safety,1474.7344553838373,18
age,younger,0,living,785.038725625959,587
age,younger,1,living,1819.5424535149557,869
age,younger,2,living,1637.2069339247935,1026
age,younger,3,living,1882.065119326267,567
age,younger,4,living,1681.729868297969,1194
age,younger,5,living,1841.5280054832072,1009
age,younger,6,living,1161.8022180153746,774
age,younger,7,living,1102.9434028161904,811
age,younger,8,living,1924.3464828807141,957
age,younger,0,biodiversity,1067.2236739464481,529
age,younger,1,biodiversity,1908.8659911441043,414
age,younger,2,biodiversity,1224.4824891709245,539
age,younger,3,biodiversity,319.0186237946311,391
age,younger,4,biodiversity,1834.4466803873268,591
age,younger,5,biodiversity,1495.4913763051015,458
age,younger,6,biodiversity,1673.712359691354,466
age,younger,7,biodiversity,1163.9896021297068,616
age,younger,8,biodiversity,1515.6148956661477,612
age,younger,0,safety,1432.592919700679,590
age,younger,1,safety,1739.408392382995,476
age,younger,2,safety,1527.0739012392125,634
age,younger,3,safety,1787.7938850086061,429
age,younger,4,safety,1086.757150482382,565
age,younger,5,safety,1913.2763318309146,723
age,younger,6,safety,1579.7414776429646,720
age,younger,7,safety,1555.0731449155815,592
age,younger,8,safety,1301.9582964707138,643
age,middle,0,living,1905.4398564700898,870
age,middle,1,living,1998.1454619374697,1227
age,middle,2,living,123.32371601990488,1373
age,middle,3,living,1968.5114159193442,1020
age,middle,4,living,1510.2648417854396,1723
age,middle,5,living,1717.5654204611192,1366
age,middle,6,living,955.678689801831,1152
age,middle,7,living,1532.269712179975,1150
age,middle,8,living,916.574125969475,1435
age,middle,0,biodiversity,987.4017465401873,718
age,middle,1,biodiversity,1934.4016147022464,692
age,middle,2,biodiversity,890.7030966186262,790
age,middle,3,biodiversity,1649.2826096672866,652
age,middle,4,biodiversity,1079.4053821679333,924
age,middle,5,biodiversity,1821.7203717750683,748
age,middle,6,biodiversity,1899.6365374182035,699
age,middle,7,biodiversity,1721.6952019618252,829
age,middle,8,biodiversity,1144.9205834618463,892
age,middle,0,safety,1699.1360713133852,922
age,middle,1,safety,1979.002151900032,712
age,middle,2,safety,990.7192304448969,977
age,middle,3,safety,1894.4613627288236,685
age,middle,4,safety,1565.51279821772,966
age,middle,5,safety,254.65374058892826,1214
age,middle,6,safety,1589.6213718074746,1138
age,middle,7,safety,-22.618650402689745,944
age,middle,8,safety,1617.6080640032108,930
age,older,0,living,1242.0253307621629,424
age,older,1,living,1740.8923237695901,614
age,older,2,living,1909.759537019884,732
age,older,3,living,1108.7041375725046,536
age,older,4,living,1699.7396073701184,892
age,older,5,living,1467.58202410108,640
age,older,6,living,1557.682242565668,564
age,older,7,living,1145.6238102478917,630
age,older,8,living,1877.5060905299802,722
age,older,0,biodiversity,1601.3713849672513,402
age,older,1,biodiversity,1732.2651814869657,361
age,older,2,biodiversity,1116.4175636670561,383
age,older,3,biodiversity,1646.2813910925179,367
age,older,4,biodiversity,1305.7557414517005,391
age,older,5,biodiversity,1567.1333820338548,400
age,older,6,biodiversity,1693.980478675549,406
age,older,7,biodiversity,1813.7828994254849,391
age,older,8,biodiversity,1435.3494323350988,417
age,older,0,safety,1531.804384537923,461
age,older,1,safety,1816.338308876461,340
age,older,2,safety,1332.3563086842855,474
age,older,3,safety,1364.055177674263,417
age,older,4,safety,1636.9932860327744,508
age,older,5,safety,1514.4928574600438,543
age,older,6,safety,1256.2171975163278,573
age,older,7,safety,1618.4255786391036,495
age,older,8,safety,1841.952924898819,445
ethnicity,white,0,living,599.9920652329677,1631
ethnicity,white,1,living,2294.96787256381,2331
ethnicity,white,2,living,1828.3171837496886,2654
ethnicity,white,3,living,2097.1867622854306,1840
ethnicity,white,4,living,1156.867531901845,3313
ethnicity,white,5,living,1954.9920239718356,2593
ethnicity,white,6,living,1550.7308765600496,2188
ethnicity,white,7,living,-448.2406943602484,2260
ethnicity,white,8,living,1758.3695038660803,2678
ethnicity,white,0,biodiversity,627.8734468534807,1407
ethnicity,white,1,biodiversity,2031.1813104372036,1267
ethnicity,white,2,biodiversity,513.4058279394083,1442
ethnicity,white,3,biodiversity,1274.0357354374128,1204
ethnicity,white,4,biodiversity,1357.1886085506003,1664
ethnicity,white,5,biodiversity,1527.4139715422841,1407
ethnicity,white,6,biodiversity,2158.29368411928,1388
ethnicity,white,7,biodiversity,1446.872156188555,1570
ethnicity,white,8,biodiversity,1319.431932557112,1669
ethnicity,white,0,safety,2047.2721238891002,1701
ethnicity,white,1,safety,2089.6387947892817,1315
ethnicity,white,2,safety,897.5124670967575,1756
ethnicity,white,3,safety,1882.9426798538566,1365
ethnicity,white,4,safety,1294.5809239723824,1773
ethnicity,white,5,safety,1528.2610186635093,2135
ethnicity,white,6,safety,998.3716887963154,2120
ethnicity,white,7,safety,141.08409099579603,1754
ethnicity,white,8,safety,2126.609201554412,1735
ethnicity,other,0,living,1650.6484072358955,184
ethnicity,other,1,living,1194.0074254627539,276
ethnicity,other,2,living,1547.2265813814588,345
ethnicity,other,3,living,1505.344929760015,206
ethnicity,other,4,living,1571.0357299839463,364
ethnicity,other,5,living,1375.926972649982,321
ethnicity,other,6,living,1007.8927937059216,212
ethnicity,other,7,living,1794.309732216187,212
ethnicity,other,8,living,1630.880903558226,316
ethnicity,other,0,biodiversity,1335.5900328969217,181
ethnicity,other,1,biodiversity,1633.8482809466773,163
ethnicity,other,2,biodiversity,1382.4699371072163,208
ethnicity,other,3,biodiversity,1311.1776920935451,144
ethnicity,other,4,biodiversity,1594.0296636442345,181
ethnicity,other,5,biodiversity,1714.792049824829,135
ethnicity,other,6,biodiversity,1688.1481423763466,127
ethnicity,other,7,biodiversity,1451.4138173040485,190
ethnicity,other,8,biodiversity,1270.1774514841552,163
ethnicity,other,0,safety,1137.9164156893808,182
ethnicity,other,1,safety,1664.6154950298462,156
ethnicity,other,2,safety,1498.1789338961676,244
ethnicity,other,3,safety,1751.9316073193477,124
ethnicity,other,4,safety,1597.2303025383615,186
ethnicity,other,5,safety,1306.221633920883,246
ethnicity,other,6,safety,1470.912440479095,215
ethnicity,other,7,safety,1540.7580015771182,203
ethnicity,other,8,safety,1440.7021429988185,196
education,sixteen,0,living,1399.6363046726945,121
education,sixteen,1,living,1692.336590179499,170
education,sixteen,2,living,1470.4795781308799,193
education,sixteen,3,living,1656.5854576892314,185
education,sixteen,4,living,1675.0550428206736,240
education,sixteen,5,living,1619.607684172568,212
education,sixteen,6,living,1019.461975260493,150
education,sixteen,7,living,1374.9111177376649,212
education,sixteen,8,living,1565.3530270032509,183
education,sixteen,0,biodiversity,1535.1912162345948,147
education,sixteen,1,biodiversity,1667.8329011813353,116
education,sixteen,2,biodiversity,1409.3294196263741,121
education,sixteen,3,biodiversity,1490.4700329669938,136
education,sixteen,4,biodiversity,1388.3731114550587,161
education,sixteen,5,biodiversity,1565.4832390552506,139
education,sixteen,6,biodiversity,1606.0134456313083,155
education,sixteen,7,biodiversity,1456.9241879680455,105
education,sixteen,8,biodiversity,1632.096466563303,130
education,sixteen,0,safety,1731.2426008855339,117
education,sixteen,1,safety,1510.4082794466578,109
education,sixteen,2,safety,1543.878052774181,145
education,sixteen,3,safety,1642.798551644745,106
education,sixteen,4,safety,1338.8315997963177,142
education,sixteen,5,safety,1415.6530139378667,147
education,sixteen,6,safety,1580.0214277310301,155
education,sixteen,7,safety,1192.3979092949105,144
education,sixteen,8,safety,1446.844400568608,131
education,eighteen,0,living,1322.9351916927403,349
education,eighteen,1,living,1795.6692854918317,499
education,eighteen,2,living,1684.7289769822742,531
education,eighteen,3,living,1557.8195953725829,408
education,eighteen,4,living,1123.516432463811,659
education,eighteen,5,living,1813.7676902541457,481
education,eighteen,6,living,1750.4003715642377,448
education,eighteen,7,living,1257.7382307671685,511
education,eighteen,8,living,1445.399166115512,576
