demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,165.31833692076987,1946
global,global,1,living,1497.3189123408138,2200
global,global,2,living,1952.8714290309817,2026
global,global,3,living,1414.7041938186824,2386
global,global,4,living,1202.2177207700843,1636
global,global,5,living,327.46944881064286,2284
global,global,6,living,1796.962084291331,1869
global,global,7,living,1240.2633872454462,2863
global,global,8,living,2209.7283925751453,1460
global,global,0,biodiversity,2347.6761158113663,2217
global,global,1,biodiversity,1373.352664686463,2601
global,global,2,biodiversity,1871.689639819535,2411
global,global,3,biodiversity,2037.0770146702177,2126
global,global,4,biodiversity,1182.5309861644948,2383
global,global,5,biodiversity,1725.7128862192385,2929
global,global,6,biodiversity,1601.6281316500535,2928
global,global,7,biodiversity,-529.5006528127722,1885
global,global,8,biodiversity,1301.7049260538824,2324
global,global,0,safety,1818.7385796015556,2631
global,global,1,safety,2357.5736276539383,2687
global,global,2,safety,-114.51567498154787,1939
global,global,3,safety,2154.327379021372,3177
global,global,4,safety,1167.315329880408,2375
global,global,5,safety,17.180704569111946,1930
global,global,6,safety,1638.1783702389937,2741
global,global,7,safety,2247.4285456353373,2527
global,global,8,safety,2458.9432064214157,2819
gender,man,0,living,1397.812926607195,1056
gender,man,1,living,1940.4811347449963,1104
gender,man,2,living,1700.8195733897023,1040
gender,man,3,living,1423.535492423783,1234
gender,man,4,living,623.9091094352643,841
gender,man,5,living,398.87384135043675,1142
gender,man,6,living,1976.8616328393096,979
gender,man,7,living,1444.2757143792514,1483
gender,man,8,living,1834.4599666403292,761
gender,man,0,biodiversity,1999.4421962565707,1172
gender,man,1,biodiversity,1759.656831532009,1396
gender,man,2,biodiversity,2073.495776427317,1162
gender,man,3,biodiversity,1934.5716269778454,1121
gender,man,4,biodiversity,1701.0638596979456,1261
gender,man,5,biodiversity,1510.141280380164,1456
gender,man,6,biodiversity,1199.8911173916213,1543
gender,man,7,biodiversity,1126.7852813224774,1059
gender,man,8,biodiversity,1559.0075381889267,1180
gender,man,0,safety,1611.8864437012585,1297
gender,man,1,safety,1807.554426586476,1340
gender,man,2,safety,1299.2528441698855,1007
gender,man,3,safety,1986.9573552713584,1584
gender,man,4,safety,1655.506375874735,1192
gender,man,5,safety,908.380364325393,991
gender,man,6,safety,1900.1210342226207,1309
gender,man,7,safety,734.4530511803281,1289
gender,man,8,safety,2139.6501233401336,1425
gender,woman,0,living,584.8994769532918,748
gender,woman,1,living,885.5834585905629,877
gender,woman,2,living,1428.6708862288517,819
gender,woman,3,living,1664.591655807233,915
