demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2376.8331398406403,1925
global,global,1,living,1829.5552251095885,2700
global,global,2,living,2247.436349476295,2555
global,global,3,living,283.2908620716087,2253
global,global,4,living,1799.8971998330971,3044
global,global,5,living,1888.833102025795,2626
global,global,6,living,2007.8365177030607,2893
global,global,7,living,2065.2343670176037,2779
global,global,8,living,2107.078952008233,2743
global,global,0,biodiversity,2094.8613316339947,2854
global,global,1,biodiversity,2358.163590797345,2558
global,global,2,biodiversity,1870.687648068642,3093
global,global,3,biodiversity,2013.4607535954353,2649
global,global,4,biodiversity,621.9794591081818,1895
global,global,5,biodiversity,2277.390686935903,1562
global,global,6,biodiversity,1936.6277923318717,2908
global,global,7,biodiversity,1790.6524027545927,2892
global,global,8,biodiversity,1238.529380873317,2805
global,global,0,safety,2155.2202036892813,1633
global,global,1,safety,1217.4525900008637,2173
global,global,2,safety,1920.7532185666646,1912
global,global,3,safety,1992.149643993247,1734
global,global,4,safety,479.4751323411261,1627
global,global,5,safety,854.3267100449737,1902
global,global,6,safety,1789.5474814102108,1620
global,global,7,safety,1340.2724860575838,2094
global,global,8,safety,1630.4855585862754,1871
gender,man,0,living,1744.240401840331,1035
gender,man,1,living,1778.3984140839016,1405
gender,man,2,living,1896.4155583199006,1345
gender,man,3,living,498.4511745112159,1084
gender,man,4,living,1105.3314830611932,1507
gender,man,5,living,2072.207978874759,1311
gender,man,6,living,2025.3280862656113,1478
gender,man,7,living,1384.3586537138797,1379
gender,man,8,living,1832.5283232962838,1364
gender,man,0,biodiversity,1842.5655951850515,1388
gender,man,1,biodiversity,1761.1639216480285,1407
gender,man,2,biodiversity,2087.997222781018,1502
gender,man,3,biodiversity,1886.5061428827767,1394
gender,man,4,biodiversity,465.96946192705445,946
gender,man,5,biodiversity,1979.1942610302704,877
gender,man,6,biodiversity,1105.54620811556,1403
gender,man,7,biodiversity,1705.6017185126675,1474
gender,man,8,biodiversity,1215.5630318239419,1383
gender,man,0,safety,1960.8641701984704,809
gender,man,1,safety,1806.1694677878943,1138
gender,man,2,safety,1445.5107671572434,1000
gender,man,3,safety,1318.1486027550584,938
gender,man,4,safety,952.0373511168361,902
gender,man,5,safety,1569.6986031645508,1061
gender,man,6,safety,1630.5835515229178,856
gender,man,7,safety,691.152200245319,1118
gender,man,8,safety,1856.86635046249,920
gender,woman,0,living,2029.5522800476008,700
gender,woman,1,living,1788.5987163144994,1128
gender,woman,2,living,1675.0642277860688,995
gender,woman,3,living,1635.203200299399,995
gender,woman,4,living,1828.5068678183688,1235
gender,woman,5,living,1694.12868711725,1067
gender,woman,6,living,528.7713245724401,1112
gender,woman,7,living,1628.2623453016124,1152
gender,woman,8,living,1228.7273392105415,1128
gender,woman,0,biodiversity,1745.5182802307052,1135
gender,woman,1,biodiversity,1987.8205846582182,889
gender,woman,2,biodiversity,914.200626490957,1298
gender,woman,3,biodiversity,855.0307576536729,977
gender,woman,4,biodiversity,1474.4908648090516,889
gender,woman,5,biodiversity,1617.6336492481382,557
gender,woman,6,biodiversity,1775.4605966926654,1150
gender,woman,7,biodiversity,-195.00503556948098,1196
gender,woman,8,biodiversity,817.9135194876985,1163
gender,woman,0,safety,1870.0469192876615,673
gender,woman,1,safety,663.223187675165,902
gender,woman,2,safety,1906.7738105473618,795
gender,woman,3,safety,1611.1017220190272,675
gender,woman,4,safety,802.2816983268423,638
gender,woman,5,safety,904.6256246115589,728
gender,woman,6,safety,1335.2457853016674,674
gender,woman,7,safety,1755.8086572700197,844
gender,woman,8,safety,1440.7243563148613,773
gender,other,0,living,1451.9028381927399,8
gender,other,1,living,1423.4420895941219,10
gender,other,2,living,1536.0374528494144,11
gender,other,3,living,1475.0312357719445,12
gender,other,4,living,1514.019504776091,13
gender,other,5,living,1461.452013738583,13
gender,other,6,living,1498.7817877331381,14
gender,other,7,living,1572.800533875162,16
gender,other,8,living,1554.8192667743215,11
gender,other,0,biodiversity,1460.3084788180406,20
gender,other,1,biodiversity,1485.2067624575338,21
gender,other,2,biodiversity,1492.6924697610025,13
gender,other,3,biodiversity,1528.0764712736736,16
gender,other,4,biodiversity,1437.008576147595,15
gender,other,5,biodiversity,1514.5004485824904,19
