demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2167.24599745384,2875
global,global,1,living,1850.6315366318688,3182
global,global,2,living,1588.9812274421563,2868
global,global,3,living,1794.630115094391,2264
global,global,4,living,2209.303682323875,1583
global,global,5,living,1901.6255425523752,3052
global,global,6,living,1751.2838542456707,2516
global,global,7,living,963.7332040429441,2605
global,global,8,living,1148.40335801126,1831
global,global,0,biodiversity,1384.4849765859335,2127
global,global,1,biodiversity,2003.029545328542,2702
global,global,2,biodiversity,2310.525210978497,2326
global,global,3,biodiversity,1016.6397917421461,2670
global,global,4,biodiversity,2126.8043091788745,1748
global,global,5,biodiversity,1034.6919594707163,1919
global,global,6,biodiversity,1632.8064824907688,2441
global,global,7,biodiversity,2283.299740005304,2802
global,global,8,biodiversity,1449.5956891927938,2463
global,global,0,safety,1892.4839493809739,1705
global,global,1,safety,1689.6298169933887,2168
global,global,2,safety,868.3916076008331,2147
global,global,3,safety,1386.3545104169327,2389
global,global,4,safety,413.7140163117786,2540
global,global,5,safety,255.54913109810485,2625
global,global,6,safety,2159.9230803739333,1117
global,global,7,safety,1043.9129319735468,2181
global,global,8,safety,1586.940805907314,2454
gender,man,0,living,2066.1835702963863,1455
gender,man,1,living,1633.3148923366114,1600
gender,man,2,living,1904.0253618455636,1399
gender,man,3,living,1872.3311681070438,1213
gender,man,4,living,1027.0165994580557,898
gender,man,5,living,1707.205753312894,1509
gender,man,6,living,1953.584583342003,1309
gender,man,7,living,184.02797354863662,1332
gender,man,8,living,1605.7800841701835,997
gender,man,0,biodiversity,1911.0346412590939,1017
gender,man,1,biodiversity,1635.4723437807922,1386
gender,man,2,biodiversity,1972.613118550029,1217
gender,man,3,biodiversity,1742.8393281873655,1365
gender,man,4,biodiversity,1936.6984507899717,798
gender,man,5,biodiversity,847.9066876313595,969
gender,man,6,biodiversity,1249.3920894042901,1259
gender,man,7,biodiversity,1555.26031527276,1419
gender,man,8,biodiversity,1312.2616994001855,1256
gender,man,0,safety,1679.3909406286807,897
gender,man,1,safety,2006.839385307681,1084
gender,man,2,safety,1455.9518300929253,1166
gender,man,3,safety,1659.096303012932,1291
gender,man,4,safety,1377.9533533375568,1306
gender,man,5,safety,524.6759720028566,1320
gender,man,6,safety,1905.5275165039286,560
gender,man,7,safety,692.6072354557334,1053
gender,man,8,safety,1367.5973633814792,1349
gender,woman,0,living,1559.445043711705,1173
gender,woman,1,living,1636.8193386736307,1252
gender,woman,2,living,989.2340196154788,1147
gender,woman,3,living,1599.0286825961782,863
gender,woman,4,living,1975.3078496295868,634
gender,woman,5,living,1230.408487563788,1248
gender,woman,6,living,1368.9373336970161,935
gender,woman,7,living,1840.012473741595,1045
gender,woman,8,living,1467.364208546244,759
gender,woman,0,biodiversity,541.2323943895886,876
gender,woman,1,biodiversity,1944.0667832709328,1065
gender,woman,2,biodiversity,1859.4131995978719,923
gender,woman,3,biodiversity,897.5104936860263,1096
gender,woman,4,biodiversity,1756.83473051991,747
gender,woman,5,biodiversity,1733.2013557588803,808
gender,woman,6,biodiversity,1604.9388054752335,955
gender,woman,7,biodiversity,1967.3673934029177,1102
gender,woman,8,biodiversity,1495.8231966271483,1026
gender,woman,0,safety,1901.2096039204991,718
gender,woman,1,safety,1282.998231158717,847
gender,woman,2,safety,1453.2813020166877,842
gender,woman,3,safety,1556.9267719796385,945
gender,woman,4,safety,1357.057424407565,1063
gender,woman,5,safety,1469.7445246496723,1079
gender,woman,6,safety,1942.647476360424,463
gender,woman,7,safety,1329.7306161895317,924
gender,woman,8,safety,1792.227245693754,933
gender,other,0,living,1478.8741495328256,12
gender,other,1,living,1441.649622266481,13
gender,other,2,living,1514.9679389662958,13
gender,other,3,living,1499.462618442885,12
gender,other,4,living,1490.1962520807058,15
gender,other,5,living,1559.9943359569609,11
gender,other,6,living,1512.490491487066,13
gender,other,7,living,1550.1278032013786,12
gender,other,8,living,1465.6966036639176,13
gender,other,0,biodiversity,1559.9413749959836,17
gender,other,1,biodiversity,1437.1539810698632,7
gender,other,2,biodiversity,1450.1711731583555,14
gender,other,3,biodiversity,1504.2958725061146,18
gender,other,4,biodiversity,1532.675475403988,13
gender,other,5,biodiversity,1465.113644670118,9
gender,other,6,biodiversity,1476.1145719793667,14
gender,other,7,biodiversity,1548.7201817106816,12
gender,other,8,biodiversity,1526.9063090217333,8
gender,other,0,safety,1562.9328809952403,7
gender,other,1,safety,1475.8355734211068,12
gender,other,2,safety,1463.0436656844881,13
gender,other,3,safety,1535.5619596269153,13
gender,other,4,safety,1504.4672446888396,18
gender,other,5,safety,1427.1791181084973,14
gender,other,6,safety,1475.2856209888607,14
gender,other,7,safety,1545.471727275521,12
gender,other,8,safety,1512.4158244643,9
age,younger,0,living,1940.340596327272,798
age,younger,1,living,1439.0750294067093,873
age,younger,2,living,1608.3164812350094,761
age,younger,3,living,1556.298846180204,729
age,younger,4,living,1516.9271403746316,498
age,younger,5,living,1580.510387194254,840
age,younger,6,living,1765.0196541166215,636
age,younger,7,living,1856.4456483770439,666
age,younger,8,living,1228.7206420571836,561
age,younger,0,biodiversity,1609.642052619085,590
age,younger,1,biodiversity,1664.4853330014823,733
age,younger,2,biodiversity,1737.248591897625,691
age,younger,3,biodiversity,1047.2456608312114,734
age,younger,4,biodiversity,1895.6999096597472,402
age,younger,5,biodiversity,1470.0179106056726,530
age,younger,6,biodiversity,-156.85231884622593,665
age,younger,7,biodiversity,1382.8030491321706,795
age,younger,8,biodiversity,1789.6489482176776,670
age,younger,0,safety,1843.84207156993,474
age,younger,1,safety,1658.285499534313,599
age,younger,2,safety,1746.8246400624523,643
age,younger,3,safety,1722.399384992204,747
age,younger,4,safety,1878.9219410980138,773
age,younger,5,safety,663.6276371320212,713
age,younger,6,safety,1683.258039206697,418
age,younger,7,safety,1380.0981123736672,540
age,younger,8,safety,1465.298725731656,703
age,middle,0,living,1628.5515369141447,1207
age,middle,1,living,1663.512606789554,1320
age,middle,2,living,1742.5455947522578,1213
age,middle,3,living,1938.1079338254392,908
age,middle,4,living,1847.8963329815194,669
age,middle,5,living,1865.7518992214746,1283
age,middle,6,living,1467.6090803287575,1066
age,middle,7,living,1221.9090335396027,1159
age,middle,8,living,1440.0551477023541,789
age,middle,0,biodiversity,1563.604128088003,853
age,middle,1,biodiversity,1431.8936641461687,1136
age,middle,2,biodiversity,1880.7289876938478,977
age,middle,3,biodiversity,1552.02068890085,1103
age,middle,4,biodiversity,1045.449611754162,835
age,middle,5,biodiversity,1075.8998140934546,831
age,middle,6,biodiversity,2028.204074759712,1025
age,middle,7,biodiversity,1821.1595328137535,1121
age,middle,8,biodiversity,1033.1408436314314,1045
age,middle,0,safety,1788.349501918058,782
age,middle,1,safety,1724.9482721650297,882
age,middle,2,safety,918.8766115238193,912
age,middle,3,safety,1250.8617074036204,1045
age,middle,4,safety,1065.5332672443726,1116
age,middle,5,safety,1703.1910787120594,1099
age,middle,6,safety,1963.0979649328094,392
age,middle,7,safety,1327.461366635771,938
age,middle,8,safety,1586.8176777922677,1042
age,older,0,living,1774.1236981996694,629
age,older,1,living,1612.7898383726513,660
age,older,2,living,1618.9119500384568,587
age,older,3,living,1797.47609569654,445
age,older,4,living,1656.7530840402706,375
age,older,5,living,921.3553244038148,635
age,older,6,living,1567.8907535980993,553
age,older,7,living,672.6548223869198,551
age,older,8,living,1736.648076727255,419
age,older,0,biodiversity,1192.2635911927878,461
age,older,1,biodiversity,1602.444314099485,579
age,older,2,biodiversity,1774.4347680727044,471
age,older,3,biodiversity,1519.7366886525235,637
age,older,4,biodiversity,1829.5528388991156,317
age,older,5,biodiversity,1100.906345050252,425
age,older,6,biodiversity,1676.847193866848,535
age,older,7,biodiversity,1705.1662046999645,607
age,older,8,biodiversity,1577.9331706986522,566
age,older,0,safety,1435.0849393807098,356
age,older,1,safety,1891.073313659162,453
age,older,2,safety,1324.5555218855536,458
age,older,3,safety,1730.783417848475,448
age,older,4,safety,1058.786996109172,493
age,older,5,safety,1173.4353456571387,601
age,older,6,safety,1629.1619109223634,222
age,older,7,safety,1373.348629320755,506
age,older,8,safety,1472.9689718947543,539
ethnicity,white,0,living,2047.312744404879,2275
ethnicity,white,1,living,1406.439147648256,2483
ethnicity,white,2,living,1896.579775472327,2215
ethnicity,white,3,living,1845.3043303424956,1798
ethnicity,white,4,living,2131.3560313015264,1295
ethnicity,white,5,living,1381.955872601012,2403
ethnicity,white,6,living,1959.3648049857288,1954
ethnicity,white,7,living,537.0078816197931,2083
ethnicity,white,8,living,1601.5027136143863,1474
ethnicity,white,0,biodiversity,983.6350178076523,1629
ethnicity,white,1,biodiversity,1942.6775427144914,2108
ethnicity,white,2,biodiversity,2171.1392767002717,1844
ethnicity,white,3,biodiversity,760.5467469419026,2147
ethnicity,white,4,biodiversity,2111.7385813292103,1316
ethnicity,white,5,biodiversity,843.2015022404755,1503
ethnicity,white,6,biodiversity,1524.7331784459232,1937
ethnicity,white,7,biodiversity,1760.2145867049965,2205
ethnicity,white,8,biodiversity,1393.1223146582931,1945
ethnicity,white,0,safety,1889.8299017281836,1378
ethnicity,white,1,safety,1809.2760674292917,1648
ethnicity,white,2,safety,996.8584605018558,1733
ethnicity,white,3,safety,1285.5531497954287,1933
ethnicity,white,4,safety,499.908452347623,2080
