demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2027.6452835520133,1448
global,global,1,living,1697.7051415455921,2592
global,global,2,living,1450.6764303229504,2407
global,global,3,living,2115.9559403881653,1519
global,global,4,living,1215.876636575263,2995
global,global,5,living,1601.1327976036384,2137
global,global,6,living,814.7425050601464,2568
global,global,7,living,1660.6088087859516,3205
global,global,8,living,200.66376582686107,2607
global,global,0,biodiversity,1910.851713582058,2190
global,global,1,biodiversity,2263.3905267619143,2301
global,global,2,biodiversity,1450.8218960205845,2308
global,global,3,biodiversity,2014.4112138739797,2575
global,global,4,biodiversity,328.88198949510183,1948
global,global,5,biodiversity,757.9171445010365,2163
global,global,6,biodiversity,-5.054005490282403,1511
global,global,7,biodiversity,2140.221211711137,1685
global,global,8,biodiversity,1782.759972961363,2283
global,global,0,safety,1802.5107545895264,2555
global,global,1,safety,2022.0170830432487,2666
global,global,2,safety,2158.7829246565652,3053
global,global,3,safety,2397.138244688798,2227
global,global,4,safety,1300.5530937229887,2551
global,global,5,safety,2213.87628917298,2551
global,global,6,safety,997.483474829525,2450
global,global,7,safety,1653.986051350842,2585
global,global,8,safety,40.72578303340844,2220
gender,man,0,living,1823.1047070387417,732
gender,man,1,living,1645.7789185648096,1293
gender,man,2,living,1579.0037201721375,1190
gender,man,3,living,2005.2461487584103,758
gender,man,4,living,-443.6271968244821,1500
gender,man,5,living,1502.711732128938,1139
gender,man,6,living,1449.7570443516354,1374
gender,man,7,living,1244.3159158879794,1654
gender,man,8,living,213.69860889578425,1344
gender,man,0,biodiversity,1837.6932955769107,1133
gender,man,1,biodiversity,1581.7434518340544,1091
gender,man,2,biodiversity,1915.6681298647818,1202
gender,man,3,biodiversity,1162.7409629092574,1378
gender,man,4,biodiversity,1959.5665216832842,1138
gender,man,5,biodiversity,538.9156177674591,1156
gender,man,6,biodiversity,1040.7846515414894,820
gender,man,7,biodiversity,1873.3005209559342,830
gender,man,8,biodiversity,1491.38874040682,1176
gender,man,0,safety,2102.646094915164,1243
gender,man,1,safety,1555.6992909687808,1314
gender,man,2,safety,1746.417102086585,1499
gender,man,3,safety,1494.6894671230468,1192
gender,man,4,safety,1766.4931922702224,1379
gender,man,5,safety,1279.7711170758816,1321
gender,man,6,safety,987.1383950797868,1199
gender,man,7,safety,1957.3571923344903,1275
gender,man,8,safety,877.5349966917956,1094
gender,woman,0,living,1750.5353726811338,605
gender,woman,1,living,1514.6041292778516,1083
gender,woman,2,living,1949.5886537666972,954
gender,woman,3,living,1697.0330432244148,621
gender,woman,4,living,1673.2430602900777,1280
gender,woman,5,living,1837.504259333065,830
gender,woman,6,living,288.2235402362006,979
gender,woman,7,living,1728.3515207158362,1341
gender,woman,8,living,1784.3909229972894,1089
gender,woman,0,biodiversity,1251.9219956213938,895
gender,woman,1,biodiversity,1875.2174390140049,880
gender,woman,2,biodiversity,1479.9697034394446,902
gender,woman,3,biodiversity,1786.6706729818247,961
gender,woman,4,biodiversity,354.65683041202556,718
gender,woman,5,biodiversity,1710.5338028823562,869
gender,woman,6,biodiversity,732.4513955399523,633
gender,woman,7,biodiversity,1950.9488400368746,683
gender,woman,8,biodiversity,909.7695599548061,871
gender,woman,0,safety,1658.1515480130897,1088
gender,woman,1,safety,1779.907982931951,1051
gender,woman,2,safety,1987.7961661734419,1237
gender,woman,3,safety,2039.4668110753798,854
gender,woman,4,safety,1211.6231550930418,1021
gender,woman,5,safety,1901.0763234945805,962
gender,woman,6,safety,1547.3996873261947,1052
gender,woman,7,safety,1523.756262203525,1103
gender,woman,8,safety,1228.6313223454572,906
gender,other,0,living,1497.8872948698588,14
gender,other,1,living,1512.242385884967,9
gender,other,2,living,1425.9207367800884,10
gender,other,3,living,1487.973789808937,11
gender,other,4,living,1522.764451427991,14
gender,other,5,living,1551.2261633708886,14
gender,other,6,living,1475.267074243633,20
gender,other,7,living,1572.6032284122032,12
gender,other,8,living,1452.8158609795457,10
gender,other,0,biodiversity,1486.8038270229222,9
gender,other,1,biodiversity,1536.078722887775,7
gender,other,2,biodiversity,1511.9771380674972,7
gender,other,3,biodiversity,1560.832337632353,17
gender,other,4,biodiversity,1464.0015290367057,5
gender,other,5,biodiversity,1440.0457991838734,9
gender,other,6,biodiversity,1476.0014779887824,6
gender,other,7,biodiversity,1525.941475250827,10
gender,other,8,biodiversity,1499.9304664393467,12
gender,other,0,safety,1453.1240064256358,18
gender,other,1,safety,1514.4138889935887,17
gender,other,2,safety,1475.6752180236424,16
gender,other,3,safety,1535.4310366212303,23
gender,other,4,safety,1550.9638469284187,14
gender,other,5,safety,1503.4417317768996,20
gender,other,6,safety,1440.0025313427611,9
gender,other,7,safety,1466.0096125419022,15
gender,other,8,safety,1571.5030500870885,10
age,younger,0,living,1721.1340445462054,414
age,younger,1,living,1618.3705955328699,685
age,younger,2,living,1388.781318819736,677
age,younger,3,living,1806.0950033642364,446
age,younger,4,living,1422.2590603865194,854
age,younger,5,living,1604.8252383172303,560
age,younger,6,living,1190.5655174400608,756
age,younger,7,living,1874.1823567393901,935
age,younger,8,living,492.60682897806737,675
age,younger,0,biodiversity,1831.123985235186,687
age,younger,1,biodiversity,1805.840710572259,488
age,younger,2,biodiversity,1642.8041492373445,583
age,younger,3,biodiversity,1464.4066613083767,727
age,younger,4,biodiversity,1622.5562696992224,583
age,younger,5,biodiversity,1392.653544980234,637
age,younger,6,biodiversity,226.7882757883158,338
age,younger,7,biodiversity,1725.2124479457784,461
age,younger,8,biodiversity,651.7922509251921,600
age,younger,0,safety,1801.661038240691,762
age,younger,1,safety,1861.494047585774,784
age,younger,2,safety,1021.4127907860372,857
age,younger,3,safety,1787.4325047873588,696
age,younger,4,safety,1546.15549662436,762
age,younger,5,safety,1668.6591286918922,743
age,younger,6,safety,1404.0163914014427,684
age,younger,7,safety,1735.2887610417765,769
age,younger,8,safety,1714.9268693088488,619
age,middle,0,living,1835.0626074383313,599
age,middle,1,living,1064.6209543281163,1083
age,middle,2,living,1585.0377508758322,924
age,middle,3,living,1945.8252659442087,613
age,middle,4,living,723.1453965744504,1299
age,middle,5,living,1475.3666728077649,885
age,middle,6,living,1610.9239855771248,1096
age,middle,7,living,1186.6193277033808,1397
age,middle,8,living,1432.3199186339364,1144
age,middle,0,biodiversity,1667.0466299529414,970
age,middle,1,biodiversity,1630.5836097243748,998
age,middle,2,biodiversity,1510.8287427568293,1074
age,middle,3,biodiversity,1874.4999207853507,1103
age,middle,4,biodiversity,1226.3937464051803,883
age,middle,5,biodiversity,68.44961197960805,968
age,middle,6,biodiversity,1605.5686440240809,728
age,middle,7,biodiversity,1983.0886305439874,675
age,middle,8,biodiversity,1810.0431210370796,907
age,middle,0,safety,1896.139872864381,1037
age,middle,1,safety,1227.2763969002883,1035
age,middle,2,safety,1734.7655313150253,1276
