demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2128.256321484028,2826
global,global,1,living,1679.9945164296423,3197
global,global,2,living,1226.1221034550979,2725
global,global,3,living,2223.4091178796352,1568
global,global,4,living,1282.1572000758417,2775
global,global,5,living,578.5978054781356,3140
global,global,6,living,1012.59272853708,2960
global,global,7,living,1973.2603995270572,2344
global,global,8,living,-504.433125812747,2327
global,global,0,biodiversity,1291.6751218292172,2662
global,global,1,biodiversity,1457.965292055135,2880
global,global,2,biodiversity,308.6831133841432,2875
global,global,3,biodiversity,389.80766069677674,1436
global,global,4,biodiversity,2026.4178869386546,2117
global,global,5,biodiversity,-771.3321224937849,2475
global,global,6,biodiversity,1325.0332267039291,2221
global,global,7,biodiversity,1795.5495233648808,2864
global,global,8,biodiversity,2152.7132987368705,1334
global,global,0,safety,-1091.0990711582106,1978
global,global,1,safety,1587.1738944138078,2206
global,global,2,safety,288.4546910985744,2440
global,global,3,safety,218.39417508597091,1846
global,global,4,safety,2225.615362165893,1521
global,global,5,safety,1979.679404088599,2524
global,global,6,safety,1849.833024199369,2268
global,global,7,safety,1181.517970838722,1790
global,global,8,safety,-366.77067522337893,2001
gender,man,0,living,1572.4869986401814,1431
gender,man,1,living,1606.5853667556346,1627
gender,man,2,living,1187.4464381866326,1301
gender,man,3,living,1988.9789624456691,821
gender,man,4,living,1613.5822880994863,1407
gender,man,5,living,1235.9718526052654,1584
gender,man,6,living,383.88024215299384,1373
gender,man,7,living,1939.551807414323,1215
gender,man,8,living,788.854094734681,1213
gender,man,0,biodiversity,1790.6654782224284,1416
gender,man,1,biodiversity,1707.543344660877,1465
gender,man,2,biodiversity,1737.7159634807736,1408
gender,man,3,biodiversity,1446.5797598538122,784
gender,man,4,biodiversity,2029.3316393432701,1139
gender,man,5,biodiversity,594.9069207417391,1247
gender,man,6,biodiversity,1289.1289138258676,1098
gender,man,7,biodiversity,1818.1408145487014,1489
gender,man,8,biodiversity,1940.5910190918644,774
gender,man,0,safety,48.726193358735784,1052
gender,man,1,safety,1667.8731191188601,1093
gender,man,2,safety,860.7516430795018,1294
gender,man,3,safety,1105.7954430097302,961
gender,man,4,safety,2027.7514652136786,782
gender,man,5,safety,1886.1646560202169,1291
gender,man,6,safety,1811.0272260561094,1138
gender,man,7,safety,1700.5774505461077,992
gender,man,8,safety,12.71120532361742,1029
gender,woman,0,living,1721.639080444211,1140
gender,woman,1,living,1916.4503640366163,1241
gender,woman,2,living,1545.7010121745427,1128
gender,woman,3,living,2012.6947354535118,640
gender,woman,4,living,1672.6116728409854,1067
gender,woman,5,living,1355.5308763357834,1218
gender,woman,6,living,1520.183318647528,1179
gender,woman,7,living,1221.158581216603,912
gender,woman,8,living,979.8408034011601,1011
gender,woman,0,biodiversity,1311.2486885200587,1095
gender,woman,1,biodiversity,1404.7483802443783,1158
gender,woman,2,biodiversity,1160.3180109760044,1180
gender,woman,3,biodiversity,1045.5640587433377,567
gender,woman,4,biodiversity,1840.9529327540172,794
gender,woman,5,biodiversity,1274.9903955465531,1049
gender,woman,6,biodiversity,1872.7295683628074,897
gender,woman,7,biodiversity,1766.6814092587767,1152
gender,woman,8,biodiversity,1931.733729793733,486
gender,woman,0,safety,998.8802821536879,843
gender,woman,1,safety,1773.630801730687,866
gender,woman,2,safety,1681.3380657216464,996
gender,woman,3,safety,1294.5008241190706,782
gender,woman,4,safety,1975.8172214631786,626
gender,woman,5,safety,1835.7616082712238,1004
gender,woman,6,safety,1737.8369830930985,906
gender,woman,7,safety,643.6952587372043,682
gender,woman,8,safety,1394.409334790725,849
gender,other,0,living,1527.7185076678022,14
gender,other,1,living,1490.2271504375778,9
gender,other,2,living,1570.4514407463455,12
gender,other,3,living,1509.768669501955,17
gender,other,4,living,1448.709940957627,18
gender,other,5,living,1549.1854827404718,14
gender,other,6,living,1476.2199142291922,10
gender,other,7,living,1500.007713858984,10
gender,other,8,living,1427.6550183217894,12
gender,other,0,biodiversity,1472.750467871511,18
gender,other,1,biodiversity,1570.7285979555368,10
gender,other,2,biodiversity,1431.353879434149,8
gender,other,3,biodiversity,1464.1087144270005,21
gender,other,4,biodiversity,1500.7112009019793,12
gender,other,5,biodiversity,1516.1836096267264,21
gender,other,6,biodiversity,1538.298140968746,19
gender,other,7,biodiversity,1451.9200678965408,18
gender,other,8,biodiversity,1557.5446573490624,17
gender,other,0,safety,1544.131422192183,10
gender,other,1,safety,1490.0519682881234,9
gender,other,2,safety,1475.0708595872707,10
gender,other,3,safety,1559.8646908203555,5
gender,other,4,safety,1499.9689800860122,12
gender,other,5,safety,1525.4736485281462,12
gender,other,6,safety,1452.0,6
gender,other,7,safety,1511.9538817255357,7
gender,other,8,safety,1435.9008123585988,7
age,younger,0,living,1595.5847315180356,809
age,younger,1,living,649.6335479942369,946
age,younger,2,living,1723.2082103303928,624
age,younger,3,living,1802.7949639206067,470
age,younger,4,living,1667.3302349952637,841
age,younger,5,living,1347.296670538869,871
age,younger,6,living,851.5342972875479,700
age,younger,7,living,1879.620363924285,566
age,younger,8,living,1218.979140463495,611
age,younger,0,biodiversity,1695.8353305121063,807
age,younger,1,biodiversity,1328.9029812165923,760
age,younger,2,biodiversity,1524.7553747400311,791
age,younger,3,biodiversity,670.2017934260431,390
age,younger,4,biodiversity,1919.7403966146653,571
age,younger,5,biodiversity,1190.1261695678327,729
age,younger,6,biodiversity,1157.932996087527,600
