demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1559.363985706216,2297
global,global,1,living,2046.431969109395,2208
global,global,2,living,2190.66122155572,2238
global,global,3,living,1746.9906849543393,2045
global,global,4,living,2232.597522289968,2212
global,global,5,living,839.538735042691,2075
global,global,6,living,1845.091050956172,2254
global,global,7,living,530.1866578252832,1539
global,global,8,living,1298.7928168950411,2488
global,global,0,biodiversity,1735.3026499172252,2106
global,global,1,biodiversity,1926.2195582555703,2268
global,global,2,biodiversity,2153.5848923213853,2722
global,global,3,biodiversity,2006.982665061121,2788
global,global,4,biodiversity,2061.403917877955,2687
global,global,5,biodiversity,2219.678293961939,2359
global,global,6,biodiversity,772.6349509539081,2583
global,global,7,biodiversity,1271.7138935998248,2325
global,global,8,biodiversity,1134.1546230278093,2600
global,global,0,safety,495.60934230026817,2489
global,global,1,safety,1235.577912273619,2702
global,global,2,safety,1686.9967231188432,2226
global,global,3,safety,717.5110716990026,2463
global,global,4,safety,2200.9071589966698,1826
global,global,5,safety,2081.7538688550517,2395
global,global,6,safety,1816.1889521639325,2625
global,global,7,safety,1997.443368167422,1875
global,global,8,safety,1337.6583140391983,2905
gender,man,0,living,1770.8963391158186,1167
gender,man,1,living,1598.8899371848179,1134
gender,man,2,living,2017.7776405938682,1135
gender,man,3,living,1361.4471132629142,1053
gender,man,4,living,1812.5580243914144,1093
gender,man,5,living,1646.0302517721261,1075
gender,man,6,living,1715.604392897152,1151
gender,man,7,living,1857.4053873469447,836
gender,man,8,living,1882.5176710792052,1238
gender,man,0,biodiversity,1531.7578886239528,1092
gender,man,1,biodiversity,1567.1894594379478,1113
gender,man,2,biodiversity,2071.506060352464,1327
gender,man,3,biodiversity,1682.3919491993697,1446
gender,man,4,biodiversity,1806.0435232613202,1300
gender,man,5,biodiversity,1779.377216820309,1243
gender,man,6,biodiversity,201.54736964514038,1402
gender,man,7,biodiversity,1839.350281063933,1272
gender,man,8,biodiversity,212.54715246583385,1365
gender,man,0,safety,795.9164238173643,1217
gender,man,1,safety,1728.2764831050051,1379
gender,man,2,safety,1782.6256670986095,1046
gender,man,3,safety,1426.314693337765,1312
gender,man,4,safety,1990.9628597436217,900
gender,man,5,safety,1597.7580878134158,1250
gender,man,6,safety,916.4931333729356,1390
gender,man,7,safety,1963.6469648319671,929
gender,man,8,safety,1132.9005759218333,1559
gender,woman,0,living,1327.165417426145,975
gender,woman,1,living,1937.8995468014953,849
gender,woman,2,living,1833.6287607897184,896
gender,woman,3,living,1893.0494129735978,781
gender,woman,4,living,1791.8551252560549,934
gender,woman,5,living,708.0449418074321,801
gender,woman,6,living,1547.383680294571,917
gender,woman,7,living,740.7846458256205,608
gender,woman,8,living,1390.3378649756573,1035
gender,woman,0,biodiversity,1759.2121813149154,857
gender,woman,1,biodiversity,998.8657898856268,906
gender,woman,2,biodiversity,1543.9341874810011,1096
gender,woman,3,biodiversity,1987.0753721600533,1065
gender,woman,4,biodiversity,850.3417787072153,1077
gender,woman,5,biodiversity,1652.9504940355812,902
gender,woman,6,biodiversity,1892.1535680433833,1003
gender,woman,7,biodiversity,920.8293319155248,968
gender,woman,8,biodiversity,1668.489779312486,1070
gender,woman,0,safety,1440.7789349324116,1027
gender,woman,1,safety,937.4389145894014,1096
gender,woman,2,safety,1828.0403635824275,945
gender,woman,3,safety,891.8173618656705,1030
gender,woman,4,safety,1936.2714935232104,762
gender,woman,5,safety,1860.9463362235456,954
gender,woman,6,safety,1603.5706911948603,986
gender,woman,7,safety,1048.7000449654192,768
gender,woman,8,safety,1810.8498985597907,1160
gender,other,0,living,1572.4214133519245,8
gender,other,1,living,1524.7910247936293,10
gender,other,2,living,1501.6923544588383,16
gender,other,3,living,1450.6734126809977,10
gender,other,4,living,1485.3916524866047,7
gender,other,5,living,1478.7063976993456,16
gender,other,6,living,1445.6232031685274,11
gender,other,7,living,1513.3243234236177,17
gender,other,8,living,1535.9534669379168,21
gender,other,0,biodiversity,1488.9747679001812,13
gender,other,1,biodiversity,1500.7834862574982,8
gender,other,2,biodiversity,1442.2579533838773,19
gender,other,3,biodiversity,1512.4857596553916,11
gender,other,4,biodiversity,1568.739040429375,14
gender,other,5,biodiversity,1546.409037277423,14
gender,other,6,biodiversity,1463.853595174693,15
gender,other,7,biodiversity,1536.0037877272296,13
gender,other,8,biodiversity,1437.7471688911528,7
gender,other,0,safety,1439.999012717918,5
gender,other,1,safety,1476.1412368240706,12
gender,other,2,safety,1487.020777810886,15
gender,other,3,safety,1499.994857531537,10
gender,other,4,safety,1525.5036252460334,14
gender,other,5,safety,1549.7036176246775,12
gender,other,6,safety,1562.423727813012,11
gender,other,7,safety,1455.2449431537452,14
gender,other,8,safety,1510.3684618481186,15
age,younger,0,living,1637.030877716291,646
age,younger,1,living,1458.417442080259,606
age,younger,2,living,1934.1238284322083,641
age,younger,3,living,1625.9439008343238,584
age,younger,4,living,1796.9973038449566,572
age,younger,5,living,341.7659709358945,562
age,younger,6,living,1411.911234050298,624
age,younger,7,living,1145.7059151154492,473
age,younger,8,living,1052.008845681048,714
age,younger,0,biodiversity,1359.1927190249824,602
age,younger,1,biodiversity,488.7664043262584,625
age,younger,2,biodiversity,1331.4896378688932,760
age,younger,3,biodiversity,1960.6175237465313,728
age,younger,4,biodiversity,769.562170654959,710
age,younger,5,biodiversity,1557.7888324766218,698
age,younger,6,biodiversity,1179.8354756805425,769
age,younger,7,biodiversity,1692.1266370342562,718
age,younger,8,biodiversity,1599.3613280127302,724
age,younger,0,safety,-67.7017456317509,606
age,younger,1,safety,1758.579859345996,794
age,younger,2,safety,1479.8500290200066,601
age,younger,3,safety,1104.0243040999146,729
age,younger,4,safety,1782.448624272619,493
age,younger,5,safety,1868.4481762006783,677
age,younger,6,safety,1288.7373852739927,735
age,younger,7,safety,1820.2033403648777,551
age,younger,8,safety,1606.9140877991704,840
age,middle,0,living,1239.2132478240342,965
age,middle,1,living,1805.8565688590422,927
age,middle,2,living,1471.0972492717951,928
age,middle,3,living,1603.8496918289652,823
age,middle,4,living,1750.3613165771599,973
age,middle,5,living,1912.4597856863993,889
age,middle,6,living,1843.3028937856068,963
age,middle,7,living,1290.959838045083,647
age,middle,8,living,1702.4504892889786,1107
