demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2192.475259769815,2897
global,global,1,living,1965.9545136220622,2679
global,global,2,living,429.10784816954776,2923
global,global,3,living,1547.599464060707,3038
global,global,4,living,123.15725569142135,2864
global,global,5,living,987.2374570442117,3218
global,global,6,living,2326.6870760084544,2396
global,global,7,living,898.4608646242879,2663
global,global,8,living,1295.4030473692665,2842
global,global,0,biodiversity,1311.1709126596722,2135
global,global,1,biodiversity,2090.3829837523135,1537
global,global,2,biodiversity,677.1549726654539,1861
global,global,3,biodiversity,210.81206939767227,1399
global,global,4,biodiversity,2151.9987580345482,1551
global,global,5,biodiversity,1676.7700999711972,1896
global,global,6,biodiversity,955.3753901705738,2338
global,global,7,biodiversity,837.4249874348029,1674
global,global,8,biodiversity,1968.4269628379216,1775
global,global,0,safety,182.71976540594264,2492
global,global,1,safety,2189.944520861241,2442
global,global,2,safety,70.48697567205504,1454
global,global,3,safety,1668.4418488698452,3356
global,global,4,safety,2318.3699173368736,1596
global,global,5,safety,-691.6326611201184,2014
global,global,6,safety,1919.0312386012442,2923
global,global,7,safety,400.94169313811557,2841
global,global,8,safety,1481.4286581076055,2496
gender,man,0,living,1986.8771090884386,1511
gender,man,1,living,2092.70376749615,1384
gender,man,2,living,1143.9519084912097,1540
gender,man,3,living,1797.640944381266,1632
gender,man,4,living,1741.0932332553768,1542
gender,man,5,living,1623.7453176689164,1548
gender,man,6,living,1848.3782406950363,1222
gender,man,7,living,1519.1859715685414,1321
gender,man,8,living,1906.1636214957807,1556
gender,man,0,biodiversity,1342.5210062204978,1082
gender,man,1,biodiversity,1605.7051778800037,835
gender,man,2,biodiversity,935.6701909753093,917
gender,man,3,biodiversity,1002.6516000483804,738
gender,man,4,biodiversity,1921.5886964101717,828
gender,man,5,biodiversity,1805.3484653775427,968
gender,man,6,biodiversity,1254.7043644398375,1175
gender,man,7,biodiversity,1555.0739592241098,813
gender,man,8,biodiversity,2017.9987676346473,892
gender,man,0,safety,800.8057226693363,1196
gender,man,1,safety,1833.4599650959417,1215
gender,man,2,safety,450.7676457186579,739
gender,man,3,safety,1472.3575621413115,1779
gender,man,4,safety,2055.9802130284697,842
gender,man,5,safety,468.1431132098874,1049
gender,man,6,safety,1640.693154453917,1458
gender,man,7,safety,1747.9186540680582,1408
gender,man,8,safety,1372.3927393863746,1234
gender,woman,0,living,1878.4214725806864,1214
gender,woman,1,living,1736.481255951732,1125
gender,woman,2,living,1609.8014892553267,1181
gender,woman,3,living,1969.4116571226937,1188
gender,woman,4,living,1552.2469633521703,1164
gender,woman,5,living,1453.0637239433527,1280
gender,woman,6,living,2067.3712918444394,994
gender,woman,7,living,1105.0760414772287,1019
gender,woman,8,living,901.3250917200294,1135
gender,woman,0,biodiversity,1695.7885833743292,836
gender,woman,1,biodiversity,1915.7516019529785,533
gender,woman,2,biodiversity,1175.5527703415169,805
gender,woman,3,biodiversity,743.9477494596166,511
gender,woman,4,biodiversity,1491.7519883065665,585
gender,woman,5,biodiversity,1543.4822759435795,794
gender,woman,6,biodiversity,1331.9258853547271,954
gender,woman,7,biodiversity,576.1794587024629,629
gender,woman,8,biodiversity,1853.4016606395282,723
gender,woman,0,safety,1165.937949405494,1002
gender,woman,1,safety,1490.307173464542,985
gender,woman,2,safety,830.1103306275837,551
gender,woman,3,safety,2091.076451841829,1378
gender,woman,4,safety,1957.395880980506,668
gender,woman,5,safety,1324.1800810641034,797
gender,woman,6,safety,1874.4763309992268,1122
gender,woman,7,safety,1410.850987698732,1254
gender,woman,8,safety,1671.8276196819254,1041
gender,other,0,living,1489.0769477800663,13
gender,other,1,living,1562.7220485247026,9
gender,other,2,living,1535.0768615941665,15
gender,other,3,living,1500.0314094235534,6
gender,other,4,living,1452.2093841041838,12
gender,other,5,living,1521.4584455236732,12
gender,other,6,living,1428.1304619386674,12
gender,other,7,living,1461.5488300086672,17
gender,other,8,living,1547.8439102798209,16
gender,other,0,biodiversity,1486.8447004751797,13
gender,other,1,biodiversity,1476.2547431704536,14
gender,other,2,biodiversity,1595.3801523050374,17
gender,other,3,biodiversity,1519.4537796590137,16
gender,other,4,biodiversity,1523.9368269508134,8
gender,other,5,biodiversity,1549.9947530070326,14
gender,other,6,biodiversity,1437.595966828751,15
gender,other,7,biodiversity,1421.1726171358705,12
gender,other,8,biodiversity,1465.100947327735,7
gender,other,0,safety,1571.1241257430088,14
gender,other,1,safety,1535.9427537750023,15
gender,other,2,safety,1549.6549544571492,14
gender,other,3,safety,1511.4730135483246,9
gender,other,4,safety,1439.0836351667588,15
gender,other,5,safety,1451.9703917634483,10
gender,other,6,safety,1448.9080908049846,10
gender,other,7,safety,1486.9632010717814,11
gender,other,8,safety,1499.9664959393251,12
age,younger,0,living,1729.181201398202,901
age,younger,1,living,1647.6318931700232,737
age,younger,2,living,1487.4014829645153,826
age,younger,3,living,918.0390138744477,821
age,younger,4,living,841.8388092263319,865
age,younger,5,living,1811.1311188698517,868
age,younger,6,living,1940.361509060846,659
age,younger,7,living,1547.5905508760939,686
age,younger,8,living,1883.237702717187,859
age,younger,0,biodiversity,1758.5565781738017,599
age,younger,1,biodiversity,1782.065438416673,439
age,younger,2,biodiversity,1298.6466423969798,571
age,younger,3,biodiversity,1539.0253208358113,434
age,younger,4,biodiversity,1663.4547667296852,454
age,younger,5,biodiversity,1811.0798563175115,525
age,younger,6,biodiversity,1215.4002446415234,694
age,younger,7,biodiversity,753.320681100632,401
age,younger,8,biodiversity,1451.8417141338525,513
age,younger,0,safety,1359.0091281983555,684
age,younger,1,safety,1647.6273126375843,732
age,younger,2,safety,1060.65662964766,454
age,younger,3,safety,1758.0603759240937,862
age,younger,4,safety,1808.291961950481,506
age,younger,5,safety,1471.4425864986051,590
