demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1654.6826221059375,2857
global,global,1,living,1977.0342874823464,3100
global,global,2,living,-345.8443453185314,1952
global,global,3,living,2427.665354736446,2257
global,global,4,living,2066.3924975583705,2776
global,global,5,living,2192.8273544023937,3089
global,global,6,living,609.5207609020847,2051
global,global,7,living,1716.77085292634,3174
global,global,8,living,1385.8165777156307,2320
global,global,0,biodiversity,1199.5060333650097,2264
global,global,1,biodiversity,2113.162500348819,2103
global,global,2,biodiversity,1997.5017856230115,2351
global,global,3,biodiversity,1694.3851200307452,2683
global,global,4,biodiversity,1418.6753215901251,2418
global,global,5,biodiversity,2044.9286918281312,2521
global,global,6,biodiversity,2310.8200862736426,2377
global,global,7,biodiversity,-334.87983429362407,1342
global,global,8,biodiversity,831.290452651105,2153
global,global,0,safety,731.3664350662007,2354
global,global,1,safety,2250.1541071164747,1367
global,global,2,safety,1610.3685313844194,2381
global,global,3,safety,-21.139170344474604,1774
global,global,4,safety,1816.3544850834198,2899
global,global,5,safety,1945.062209204721,2231
global,global,6,safety,1205.1682984592994,2315
global,global,7,safety,1546.269478615073,2142
global,global,8,safety,785.6374953277682,2049
gender,man,0,living,2063.463660410281,1445
gender,man,1,living,2018.853033648555,1605
gender,man,2,living,934.5350431299022,1013
gender,man,3,living,1825.3663054168949,1253
gender,man,4,living,1943.9518714362473,1441
gender,man,5,living,1586.8102975540135,1560
gender,man,6,living,1120.0175682714541,1107
gender,man,7,living,1150.3195475811126,1603
gender,man,8,living,1651.2227449668496,1145
gender,man,0,biodiversity,1131.425375328016,1137
gender,man,1,biodiversity,1915.4144062616474,991
gender,man,2,biodiversity,1892.6012911340808,1233
gender,man,3,biodiversity,1530.2542528444528,1343
gender,man,4,biodiversity,1586.5188988349257,1243
gender,man,5,biodiversity,2073.8079344261305,1273
gender,man,6,biodiversity,1803.7684516524946,1209
gender,man,7,biodiversity,260.6795379862924,709
gender,man,8,biodiversity,658.2132729153471,1094
gender,man,0,safety,1167.2214873009086,1257
gender,man,1,safety,2047.2091535624747,749
gender,man,2,safety,1789.4716959187301,1135
gender,man,3,safety,1144.063268111951,999
gender,man,4,safety,1264.9275251515855,1495
gender,man,5,safety,1742.8600030293742,1075
gender,man,6,safety,1325.125219323322,1162
gender,man,7,safety,1870.9996875095667,1131
gender,man,8,safety,1416.61866745756,1017
gender,woman,0,living,1175.9279930110085,1165
gender,woman,1,living,1507.2983724325898,1368
gender,woman,2,living,1016.8254413971079,834
gender,woman,3,living,2028.4626287550457,813
gender,woman,4,living,1554.067180257152,1061
gender,woman,5,living,1916.1126220764538,1225
gender,woman,6,living,1281.9278973883982,815
gender,woman,7,living,1695.715431560241,1254
gender,woman,8,living,1619.648723511579,1011
gender,woman,0,biodiversity,1736.0734099672636,925
gender,woman,1,biodiversity,1623.99218961236,887
gender,woman,2,biodiversity,1034.2555351616404,880
gender,woman,3,biodiversity,1672.9907621633706,1058
gender,woman,4,biodiversity,1953.828777842529,930
gender,woman,5,biodiversity,1793.1133928855938,1049
gender,woman,6,biodiversity,1816.7727607418137,970
gender,woman,7,biodiversity,1362.6422862218863,592
gender,woman,8,biodiversity,1661.9833583537397,873
gender,woman,0,safety,768.2779424554318,927
gender,woman,1,safety,1886.0398417574413,555
gender,woman,2,safety,1535.2227905743123,912
gender,woman,3,safety,738.6342180981292,704
gender,woman,4,safety,1406.2221152470897,1083
gender,woman,5,safety,1972.311067790083,916
gender,woman,6,safety,1737.0046950631581,951
gender,woman,7,safety,980.6905002425726,863
