demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2405.308185335453,2823
global,global,1,living,2149.6341525934936,2948
global,global,2,living,2201.9352731615286,2773
global,global,3,living,1832.434471092659,2912
global,global,4,living,1803.5974289604937,3130
global,global,5,living,2095.5637742745953,2815
global,global,6,living,1320.493823099759,2090
global,global,7,living,421.5721543765562,2089
global,global,8,living,538.9511255169117,1930
global,global,0,biodiversity,1422.379828557905,2262
global,global,1,biodiversity,2279.6323923883315,2320
global,global,2,biodiversity,1654.162654960352,2332
global,global,3,biodiversity,-51.55323073995153,1928
global,global,4,biodiversity,1780.9959617221916,2634
global,global,5,biodiversity,2100.340812662346,1414
global,global,6,biodiversity,1266.7230776250642,2394
global,global,7,biodiversity,822.8333823809028,2207
global,global,8,biodiversity,1947.9183116145118,1869
global,global,0,safety,2196.942713728833,1817
global,global,1,safety,856.7678821936746,2381
global,global,2,safety,1011.8369931624541,2399
global,global,3,safety,1600.0308923216262,2570
global,global,4,safety,-229.8646827668055,2428
global,global,5,safety,2040.3274441809938,2514
global,global,6,safety,1657.6116043571972,2073
global,global,7,safety,946.5870305989376,2408
global,global,8,safety,1944.0570968349457,1840
gender,man,0,living,2070.62821789561,1500
gender,man,1,living,576.8506131642753,1502
gender,man,2,living,1719.491689330952,1434
gender,man,3,living,1741.342508772428,1526
gender,man,4,living,1913.4521368369524,1651
gender,man,5,living,2006.0521036622501,1457
gender,man,6,living,1253.3292935689474,1046
gender,man,7,living,620.4106797001356,1030
gender,man,8,living,-25.337014306400114,938
gender,man,0,biodiversity,1737.992828361072,1180
gender,man,1,biodiversity,1434.2115959206626,1192
gender,man,2,biodiversity,1892.4580196270913,1151
gender,man,3,biodiversity,1390.6245388984612,1087
gender,man,4,biodiversity,1296.195194261411,1344
gender,man,5,biodiversity,2031.8419052609265,651
gender,man,6,biodiversity,1582.408603818225,1251
gender,man,7,biodiversity,1150.899592170432,1145
gender,man,8,biodiversity,1706.1059277711358,903
gender,man,0,safety,1762.0809057295637,1000
gender,man,1,safety,1132.0533095771448,1180
gender,man,2,safety,1962.9712479549971,1175
gender,man,3,safety,2020.1504180607787,1263
gender,man,4,safety,437.40112332329926,1305
gender,man,5,safety,1828.2132255532367,1302
gender,man,6,safety,1610.3820106136395,1030
gender,man,7,safety,1183.5201554794446,1159
gender,man,8,safety,1781.7468840541476,1022
gender,woman,0,living,1411.3756762102894,1058
gender,woman,1,living,1988.4276212244517,1128
gender,woman,2,living,1705.39237887215,1110
gender,woman,3,living,1022.8900523060054,1176
gender,woman,4,living,970.4616827464615,1243
gender,woman,5,living,980.2151303976743,1120
gender,woman,6,living,1865.5418443167757,849
gender,woman,7,living,1465.6214117597865,932
gender,woman,8,living,1792.546460778984,854
gender,woman,0,biodiversity,961.8783473251124,892
gender,woman,1,biodiversity,1905.538341863758,898
gender,woman,2,biodiversity,1708.29366546155,980
gender,woman,3,biodiversity,848.3774986757959,738
gender,woman,4,biodiversity,1601.6628853825002,991
gender,woman,5,biodiversity,1748.9459759353938,565
gender,woman,6,biodiversity,1370.5074868776414,973
gender,woman,7,biodiversity,1419.5492402780105,867
gender,woman,8,biodiversity,1950.8286013355432,770
gender,woman,0,safety,1951.132358722511,656
gender,woman,1,safety,1431.4258205735773,1004
gender,woman,2,safety,1068.1865574775616,1010
gender,woman,3,safety,1534.6229060329547,1067
gender,woman,4,safety,1026.5055434117853,949
gender,woman,5,safety,995.8837523832741,1038
gender,woman,6,safety,1688.7102154667125,853
gender,woman,7,safety,1583.8385928161338,1068
gender,woman,8,safety,1879.4160200467404,679
gender,other,0,living,1457.735791677371,14
gender,other,1,living,1511.9977272142728,13
gender,other,2,living,1571.8988898651294,12
gender,other,3,living,1476.7460442291756,14
gender,other,4,living,1502.9933323875184,16
gender,other,5,living,1454.6537093449347,16
gender,other,6,living,1523.5059784348825,14
gender,other,7,living,1489.6309727142334,15
gender,other,8,living,1528.2905171264542,10
gender,other,0,biodiversity,1425.0594172372223,10
gender,other,1,biodiversity,1463.9565491298008,13
gender,other,2,biodiversity,1549.2120789241112,10
gender,other,3,biodiversity,1500.9101829536162,16
gender,other,4,biodiversity,1523.640841113554,14
gender,other,5,biodiversity,1533.6456468222868,11
gender,other,6,biodiversity,1451.9143525695788,10
gender,other,7,biodiversity,1488.3980901959562,15
gender,other,8,biodiversity,1560.0739432940613,9
gender,other,0,safety,1538.7309990139506,15
gender,other,1,safety,1477.3376592285279,10
gender,other,2,safety,1571.9044792062843,10
gender,other,3,safety,1451.9384424888826,8
gender,other,4,safety,1498.7390474843473,14
gender,other,5,safety,1439.6037059884025,13
gender,other,6,safety,1535.8846540395812,11
gender,other,7,safety,1473.5457284411557,10
gender,other,8,safety,1512.615304300921,15
age,younger,0,living,1752.1777966154218,832
age,younger,1,living,1632.0247387230656,824
age,younger,2,living,1681.9965892935656,752
age,younger,3,living,1664.9694566366788,841
age,younger,4,living,1925.7979385140547,948
age,younger,5,living,1778.442361272994,791
age,younger,6,living,1896.5099879588138,584
age,younger,7,living,1195.2269351950056,674
age,younger,8,living,1311.2624664299567,532
age,younger,0,biodiversity,1285.7137625672287,642
age,younger,1,biodiversity,789.9900944522917,670
age,younger,2,biodiversity,1443.5722186188145,621
age,younger,3,biodiversity,1630.5168943854735,601
age,younger,4,biodiversity,1196.7126606852428,752
age,younger,5,biodiversity,1890.2530905031292,329
age,younger,6,biodiversity,1742.0829235036706,705
age,younger,7,biodiversity,873.5339767725745,646
age,younger,8,biodiversity,1314.0070457218815,492
age,younger,0,safety,1704.2498058706806,503
age,younger,1,safety,1160.535890164329,615
age,younger,2,safety,1391.9128999297268,670
age,younger,3,safety,1200.5400541166002,628
age,younger,4,safety,-229.97488634324588,678
age,younger,5,safety,1829.2062477927543,664
age,younger,6,safety,1657.9688379638449,566
age,younger,7,safety,1695.0436821318833,652
age,younger,8,safety,1763.9746352671384,570
age,middle,0,living,1963.0625500625456,1137
age,middle,1,living,1822.5901161531635,1244
age,middle,2,living,2026.3207368101084,1195
age,middle,3,living,1848.0863725482943,1240
age,middle,4,living,1674.2145901787735,1290
age,middle,5,living,1361.3240658252219,1178
age,middle,6,living,1491.3534517005157,859
age,middle,7,living,907.457720372586,880
age,middle,8,living,1283.6652577450045,787
age,middle,0,biodiversity,1800.5112272032757,963
age,middle,1,biodiversity,1894.4757930405888,995
age,middle,2,biodiversity,1483.230251509672,1018
age,middle,3,biodiversity,954.2428848300818,841
age,middle,4,biodiversity,1721.7896992320857,1040
age,middle,5,biodiversity,1590.4104597224516,558
age,middle,6,biodiversity,1760.3787533934915,1012
age,middle,7,biodiversity,268.0028472232936,958
age,middle,8,biodiversity,1972.9066775246067,787
age,middle,0,safety,1965.483680290981,717
age,middle,1,safety,1301.4602037422626,1081
age,middle,2,safety,1405.6167489977122,1013
age,middle,3,safety,1649.4368105451613,1155
age,middle,4,safety,1791.3507184798586,1067
age,middle,5,safety,1021.3132636827639,1103
age,middle,6,safety,1437.1822342745493,877
age,middle,7,safety,1337.5872401404897,1037
age,middle,8,safety,1871.4233751863526,716
age,older,0,living,1920.7612487941715,590
age,older,1,living,1695.644689386664,563
age,older,2,living,1575.1095837066425,608
age,older,3,living,776.6511008615755,625
age,older,4,living,1226.7519832945504,663
age,older,5,living,1495.359472821254,621
age,older,6,living,1659.4551320167031,453
age,older,7,living,1451.0114838369682,414
age,older,8,living,953.8587591223708,481
age,older,0,biodiversity,1077.094278735297,473
age,older,1,biodiversity,1831.9612173712405,438
age,older,2,biodiversity,1511.3413737727228,499
age,older,3,biodiversity,1172.43137416033,397
age,older,4,biodiversity,1463.5916039164786,544
age,older,5,biodiversity,1573.5761034022096,340
age,older,6,biodiversity,821.7123336173914,506
age,older,7,biodiversity,1802.311925450382,419
age,older,8,biodiversity,1648.3943861335829,396
age,older,0,safety,1498.3921650931632,441
age,older,1,safety,1777.792771990016,493
age,older,2,safety,1251.9617050165145,505
age,older,3,safety,1878.4317466838759,550
age,older,4,safety,1459.9531156823546,514
age,older,5,safety,1431.112399202152,578
age,older,6,safety,1492.2515415804203,451
age,older,7,safety,1681.4749598903288,540
age,older,8,safety,1648.0994877019393,426
ethnicity,white,0,living,2208.525732504115,2252
ethnicity,white,1,living,2104.3027038783944,2277
ethnicity,white,2,living,1821.5210680111084,2205
ethnicity,white,3,living,1743.7975782897247,2377
ethnicity,white,4,living,728.5675357617744,2442
