demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1728.5188545297103,2004
global,global,1,living,1162.265234797891,1996
global,global,2,living,2191.709765119752,1962
global,global,3,living,1921.5384312271165,2289
global,global,4,living,-98.1084686884557,1860
global,global,5,living,2060.9052513251313,2680
global,global,6,living,996.5997182776708,2803
global,global,7,living,2122.347365550635,2575
global,global,8,living,1376.7792018889734,2289
global,global,0,biodiversity,-159.80236748757255,1743
global,global,1,biodiversity,2038.653465178532,2348
global,global,2,biodiversity,362.52202671624434,1958
global,global,3,biodiversity,543.9156600557793,2234
global,global,4,biodiversity,1834.968885738844,2834
global,global,5,biodiversity,2334.789279405499,2132
global,global,6,biodiversity,1941.4496129906288,2891
global,global,7,biodiversity,1259.7254794710784,2594
global,global,8,biodiversity,2194.238385188924,2394
global,global,0,safety,1842.6511655821732,2882
global,global,1,safety,2272.727439894534,1850
global,global,2,safety,1966.2796922005393,2817
global,global,3,safety,2008.6321233829583,1818
global,global,4,safety,1428.8670341535574,2914
global,global,5,safety,98.00457964407556,1696
global,global,6,safety,1187.1407100530903,2510
global,global,7,safety,2156.3991981397794,3279
global,global,8,safety,799.1645211012707,1948
gender,man,0,living,1824.7097837733907,1124
gender,man,1,living,1060.7346121661005,973
gender,man,2,living,1410.8205153313584,1074
gender,man,3,living,1895.010979215878,1172
gender,man,4,living,765.7140968035155,1002
gender,man,5,living,1701.2926089494918,1398
gender,man,6,living,1660.2658410856336,1370
gender,man,7,living,2108.4690882290115,1265
gender,man,8,living,1371.5049816460219,1162
gender,man,0,biodiversity,999.5190890520595,881
gender,man,1,biodiversity,2008.716880636591,1115
gender,man,2,biodiversity,605.5024171601196,974
gender,man,3,biodiversity,1235.2594432203691,1213
gender,man,4,biodiversity,1754.2473989224402,1470
gender,man,5,biodiversity,1602.2261214867965,1147
gender,man,6,biodiversity,1334.4650609347887,1527
gender,man,7,biodiversity,1572.2793282939995,1440
gender,man,8,biodiversity,2058.066970896153,1139
gender,man,0,safety,1977.5552747679528,1363
gender,man,1,safety,2039.6952157250164,978
gender,man,2,safety,1826.3649194432564,1393
gender,man,3,safety,1460.1777440148992,897
gender,man,4,safety,1580.7690251302652,1448
gender,man,5,safety,902.9126285948732,905
gender,man,6,safety,1527.0978235621442,1360
gender,man,7,safety,1625.6155945172193,1601
gender,man,8,safety,575.9598935727502,1033
gender,woman,0,living,1836.7271629390711,730
gender,woman,1,living,1629.1507176914206,823
gender,woman,2,living,1975.652640474935,777
gender,woman,3,living,1306.6915764009723,881
gender,woman,4,living,809.0709231209141,759
gender,woman,5,living,1936.5091326295014,1108
gender,woman,6,living,1479.3047268978971,1185
gender,woman,7,living,1625.706377451314,1068
gender,woman,8,living,1518.5147810412732,937
gender,woman,0,biodiversity,809.1174001011244,734
gender,woman,1,biodiversity,1790.7273845743125,997
gender,woman,2,biodiversity,1209.1166146975308,827
gender,woman,3,biodiversity,528.3832614290236,850
gender,woman,4,biodiversity,1757.1037805688045,1095
gender,woman,5,biodiversity,2012.0652778336462,828
gender,woman,6,biodiversity,1935.7599410049424,1096
gender,woman,7,biodiversity,1543.179260903246,1051
gender,woman,8,biodiversity,791.0309181129699,984
gender,woman,0,safety,1417.61718697481,1129
gender,woman,1,safety,1979.7449716584213,708
gender,woman,2,safety,1516.479216872482,1086
gender,woman,3,safety,1596.9435217737175,765
gender,woman,4,safety,1573.500181149252,1188
