demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1910.6406294810429,2043
global,global,1,living,904.6202078894105,1827
global,global,2,living,1042.7917943834345,1820
global,global,3,living,2211.403120687582,1422
global,global,4,living,1591.1007425432915,1896
global,global,5,living,256.979007945875,1783
global,global,6,living,2025.940752383146,1858
global,global,7,living,814.5247292283884,2386
global,global,8,living,1961.6748106729615,1805
global,global,0,biodiversity,2053.7715897495286,2475
global,global,1,biodiversity,1910.3957474784636,2441
global,global,2,biodiversity,2431.5162940238897,2831
global,global,3,biodiversity,2230.3481446733767,2930
global,global,4,biodiversity,1773.4927880573644,2349
global,global,5,biodiversity,1757.0872289757222,2612
global,global,6,biodiversity,1967.6761251100738,2446
global,global,7,biodiversity,755.8459539603848,2430
global,global,8,biodiversity,2338.4689591846904,2852
global,global,0,safety,2088.316628759801,2497
global,global,1,safety,2387.5277137600397,2138
global,global,2,safety,1930.3390351592689,2851
global,global,3,safety,2140.8838091893203,2369
global,global,4,safety,2323.5257847832913,2571
global,global,5,safety,1540.1451672202877,3086
global,global,6,safety,1352.5323877146245,2561
global,global,7,safety,1686.3031559657713,2669
global,global,8,safety,1863.2150493254646,2352
gender,man,0,living,1892.2463098470441,1026
gender,man,1,living,621.7958392749166,891
gender,man,2,living,1117.3233454161775,924
gender,man,3,living,2007.7892659935455,668
gender,man,4,living,1576.6320441719515,1013
gender,man,5,living,915.9942513963243,919
gender,man,6,living,1722.4760805922133,957
gender,man,7,living,1194.8435541316876,1251
gender,man,8,living,960.2910814716108,941
gender,man,0,biodiversity,1881.410599159871,1341
gender,man,1,biodiversity,427.36109490731815,1229
gender,man,2,biodiversity,1785.6408634348638,1514
gender,man,3,biodiversity,1697.1989843234676,1522
gender,man,4,biodiversity,1521.0902527116446,1199
gender,man,5,biodiversity,1908.7945452670544,1320
gender,man,6,biodiversity,813.6167837229463,1198
gender,man,7,biodiversity,1847.5044835952262,1285
