demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,787.6235121637452,1800
global,global,1,living,1433.671325856521,2135
global,global,2,living,2116.6080494592966,1622
global,global,3,living,686.1106281806723,1475
global,global,4,living,617.7735985360082,2011
global,global,5,living,1871.1582121657207,1983
global,global,6,living,2219.694100134739,1836
global,global,7,living,468.17183769245185,2066
global,global,8,living,1697.3192055794987,1870
global,global,0,biodiversity,2316.228188959867,2553
global,global,1,biodiversity,-71.74739591962154,2551
global,global,2,biodiversity,910.2183473568547,2651
global,global,3,biodiversity,2375.1062827306914,3380
global,global,4,biodiversity,2211.191424220447,3146
global,global,5,biodiversity,1232.4839401977142,3087
global,global,6,biodiversity,1740.424460040498,1653
global,global,7,biodiversity,1908.4856028079294,2925
global,global,8,biodiversity,1817.9812585522411,3282
global,global,0,safety,2104.641033367925,2366
global,global,1,safety,1185.413974981711,2708
global,global,2,safety,824.0587015552056,1736
global,global,3,safety,1541.8862512317837,2424
global,global,4,safety,1442.3529397751731,2756
global,global,5,safety,606.1564263968028,2294
global,global,6,safety,968.1095433120673,2505
global,global,7,safety,2036.598267770301,2579
global,global,8,safety,2282.340509521981,1906
gender,man,0,living,1620.087601470714,931
gender,man,1,living,1700.1274788048765,1130
gender,man,2,living,1437.8841921367039,842
gender,man,3,living,1226.7953668470673,722
gender,man,4,living,1140.7261099572806,1049
gender,man,5,living,1917.3213781278955,913
gender,man,6,living,1969.391554271312,957
gender,man,7,living,913.45329140558,1060
gender,man,8,living,1782.9479004528857,948
gender,man,0,biodiversity,1882.241310379733,1253
gender,man,1,biodiversity,953.1191705265419,1332
gender,man,2,biodiversity,2010.6548349589966,1478
gender,man,3,biodiversity,2113.8364258783786,1678
gender,man,4,biodiversity,1527.5742725930231,1648
gender,man,5,biodiversity,814.3990776539341,1579
gender,man,6,biodiversity,1635.1433304662628,866
gender,man,7,biodiversity,1297.9523452642516,1461
gender,man,8,biodiversity,1776.2097254977687,1617
gender,man,0,safety,2017.0790391161343,1160
gender,man,1,safety,1815.6912497502092,1354
gender,man,2,safety,1089.4634954670041,915
gender,man,3,safety,1543.13303139946,1277
gender,man,4,safety,1611.3783397333848,1541
gender,man,5,safety,-136.9493690113336,1167
gender,man,6,safety,1269.9336891292544,1265
gender,man,7,safety,1753.116550476174,1273
gender,man,8,safety,1900.1675109860355,1008
gender,woman,0,living,603.9564312968109,653
gender,woman,1,living,1304.2389620051583,854
gender,woman,2,living,1934.0565343930052,574
gender,woman,3,living,1172.707164180865,626
gender,woman,4,living,1588.2774868938009,807
gender,woman,5,living,1407.715104608613,862
gender,woman,6,living,1872.2353245791253,687
gender,woman,7,living,1375.9499722722294,862
gender,woman,8,living,1627.809384261438,751
gender,woman,0,biodiversity,1988.314180192574,1079
gender,woman,1,biodiversity,1474.3640120368814,1055
gender,woman,2,biodiversity,641.3155707290654,1034
gender,woman,3,biodiversity,1911.9060599337977,1337
gender,woman,4,biodiversity,1738.699505672922,1229
gender,woman,5,biodiversity,1516.1724730847968,1259
gender,woman,6,biodiversity,1960.514014916441,648
gender,woman,7,biodiversity,1452.001310235803,1158
gender,woman,8,biodiversity,1226.6051781191966,1333
gender,woman,0,safety,1422.0451597536119,978
gender,woman,1,safety,1025.6629792261026,1090
gender,woman,2,safety,1262.3989317683186,739
gender,woman,3,safety,1794.2163506779748,959
gender,woman,4,safety,1687.5018359499516,1056
gender,woman,5,safety,1728.8451114904647,980
gender,woman,6,safety,889.7589866575536,1022
gender,woman,7,safety,1938.7480479971787,1046
gender,woman,8,safety,1897.5027896435315,790
gender,other,0,living,1439.1190952219965,13
gender,other,1,living,1535.8877872733465,11
gender,other,2,living,1477.8318805552149,14
gender,other,3,living,1568.463994426232,12
gender,other,4,living,1464.6610843555798,15
gender,other,5,living,1556.3808867876403,7
gender,other,6,living,1522.9403553596132,22
gender,other,7,living,1422.565407995559,10
gender,other,8,living,1500.783937048605,16
gender,other,0,biodiversity,1569.5345249552824,8
gender,other,1,biodiversity,1488.3240263479813,13
gender,other,2,biodiversity,1512.8676030524819,9
gender,other,3,biodiversity,1450.6450953376848,18
gender,other,4,biodiversity,1464.3662653431047,13
gender,other,5,biodiversity,1524.024186333669,12
gender,other,6,biodiversity,1501.2951356210438,14
gender,other,7,biodiversity,1439.9994886997433,5
gender,other,8,biodiversity,1547.3243964641017,12
gender,other,0,safety,1420.0379716660943,10
gender,other,1,safety,1513.2284918771359,21
gender,other,2,safety,1499.6196184983733,18
gender,other,3,safety,1476.0707956366161,12
gender,other,4,safety,1442.1560166854586,13
