demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,467.08995933464064,1833
global,global,1,living,1536.1847869742026,2273
global,global,2,living,1260.349605773775,2455
global,global,3,living,2255.9727036297363,1616
global,global,4,living,1782.322096573629,2002
global,global,5,living,-579.4644726999963,694
global,global,6,living,1674.1089892215284,2150
global,global,7,living,1186.7755615431859,2516
global,global,8,living,2118.7799547233963,2399
global,global,0,biodiversity,1471.0187253043268,2401
global,global,1,biodiversity,2123.7280821828194,2039
global,global,2,biodiversity,430.92786591190566,1281
global,global,3,biodiversity,2032.0490935248217,2283
global,global,4,biodiversity,1575.9313753297838,2768
global,global,5,biodiversity,2187.5621744601967,2147
global,global,6,biodiversity,624.7389055992064,2627
global,global,7,biodiversity,1096.6320201329243,2273
global,global,8,biodiversity,1891.300853065889,2277
global,global,0,safety,2374.138412195561,2907
global,global,1,safety,1209.5603045724197,3102
global,global,2,safety,1965.164515803711,2978
global,global,3,safety,2170.621939616579,3231
global,global,4,safety,2233.980988450216,2481
global,global,5,safety,1364.4390017397623,2794
global,global,6,safety,1348.5828707359578,2468
global,global,7,safety,2066.093544602842,2465
global,global,8,safety,2325.02855721404,2840
gender,man,0,living,1079.9156224053904,962
gender,man,1,living,1356.2548133407229,1174
gender,man,2,living,1597.824144915133,1270
gender,man,3,living,2068.4292104403653,811
gender,man,4,living,1528.4999005005204,1042
gender,man,5,living,591.4577463150797,418
gender,man,6,living,1692.3562356245984,1079
gender,man,7,living,1299.5423162161692,1306
gender,man,8,living,1852.663574563478,1146
gender,man,0,biodiversity,1542.183428435923,1272
gender,man,1,biodiversity,1885.0049433619436,1028
gender,man,2,biodiversity,1044.701228644639,620
gender,man,3,biodiversity,1972.4802492170131,1104
gender,man,4,biodiversity,1582.6779037530746,1414
gender,man,5,biodiversity,1744.204369025846,1209
gender,man,6,biodiversity,1716.7864522157465,1377
gender,man,7,biodiversity,1933.1173942527118,1144
gender,man,8,biodiversity,2011.728885362705,1206
gender,man,0,safety,2037.4708228425895,1484
gender,man,1,safety,1396.8414850159613,1555
gender,man,2,safety,859.8640014768579,1462
gender,man,3,safety,2090.6722652446797,1599
gender,man,4,safety,1997.6264087462885,1331
gender,man,5,safety,1525.2481596857713,1472
gender,man,6,safety,1640.3255473277482,1203
gender,man,7,safety,1751.3536588048992,1328
gender,man,8,safety,2036.3857382995227,1408
gender,woman,0,living,1353.620783092258,756
gender,woman,1,living,1946.53198091144,929
gender,woman,2,living,1653.1060352250329,951
gender,woman,3,living,1792.4160388135397,710
gender,woman,4,living,1750.4094008830357,798
gender,woman,5,living,725.3047287198393,258
gender,woman,6,living,1519.3225887443575,841
gender,woman,7,living,1882.6068590374623,1020
gender,woman,8,living,1827.6809171055893,1015
gender,woman,0,biodiversity,1557.4845974218767,959
gender,woman,1,biodiversity,1795.750011375273,767
gender,woman,2,biodiversity,1343.4923738145296,564
gender,woman,3,biodiversity,1998.4242415381384,911
gender,woman,4,biodiversity,1518.1525971413855,1087
gender,woman,5,biodiversity,1877.0414409443551,803
gender,woman,6,biodiversity,1390.3144111511203,1104
gender,woman,7,biodiversity,1311.9556091282846,960
gender,woman,8,biodiversity,1612.9784390057291,847
gender,woman,0,safety,1836.690273243154,1179
gender,woman,1,safety,1658.1834140961953,1257
gender,woman,2,safety,1795.2510752280173,1244
gender,woman,3,safety,1540.7320590398565,1267
gender,woman,4,safety,1585.2215014008834,956
gender,woman,5,safety,1295.9906983638693,1076
gender,woman,6,safety,1710.0697857687676,1093
gender,woman,7,safety,1911.9015214946112,951
gender,woman,8,safety,1988.2465192227,1165
gender,other,0,living,1547.9904788287517,8
gender,other,1,living,1511.9634413801552,11
gender,other,2,living,1559.613824041211,7
gender,other,3,living,1475.0350025798418,14
gender,other,4,living,1499.1960230457325,14
gender,other,5,living,1453.6078113750725,8
gender,other,6,living,1427.6601087198792,16
gender,other,7,living,1489.6093256003571,15
gender,other,8,living,1537.4460930333994,21
gender,other,0,biodiversity,1463.6519492294228,11
gender,other,1,biodiversity,1477.3824895727316,14
gender,other,2,biodiversity,1560.039924040281,7
gender,other,3,biodiversity,1499.6337998009437,12
gender,other,4,biodiversity,1511.8363177452802,15
gender,other,5,biodiversity,1443.416454642066,7
gender,other,6,biodiversity,1540.3113864356953,13
gender,other,7,biodiversity,1523.993167428498,10
gender,other,8,biodiversity,1488.0344687787947,9
gender,other,0,safety,1525.5564220368742,12
gender,other,1,safety,1477.0759190294714,16
gender,other,2,safety,1562.3253333096084,13
gender,other,3,safety,1489.2252312303913,17
gender,other,4,safety,1524.5582537170733,14
gender,other,5,safety,1548.8625077182026,16
gender,other,6,safety,1451.5448750997912,12
gender,other,7,safety,1500.8819895247964,10
gender,other,8,safety,1427.904260626003,16
age,younger,0,living,1299.2712324924205,557
age,younger,1,living,1691.738643772789,572
age,younger,2,living,1711.65434543501,607
age,younger,3,living,1890.481561811416,405
age,younger,4,living,1650.141497292786,530
age,younger,5,living,1221.4104065079819,241
age,younger,6,living,930.4884656265066,593
age,younger,7,living,1052.0557053567884,666
age,younger,8,living,1271.0850068737175,697
age,younger,0,biodiversity,1508.4152139351463,721
age,younger,1,biodiversity,1886.2831541409646,562
age,younger,2,biodiversity,714.854092208885,340
age,younger,3,biodiversity,1828.2901186815632,674
age,younger,4,biodiversity,1582.1000403640126,796
age,younger,5,biodiversity,1265.4722621059889,616
