demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1506.7058950411767,1885
global,global,1,living,2156.2625736532823,1744
global,global,2,living,2234.7297304121494,1396
global,global,3,living,879.2580574259041,1971
global,global,4,living,-246.52683276038277,1625
global,global,5,living,1620.9922305084806,2283
global,global,6,living,440.9634084416372,1708
global,global,7,living,1268.321208371854,1860
global,global,8,living,1566.5025054353464,1810
global,global,0,biodiversity,372.23835197357374,2306
global,global,1,biodiversity,1488.5099190296357,2424
global,global,2,biodiversity,1442.2615532942111,2679
global,global,3,biodiversity,2106.8999164720935,1889
global,global,4,biodiversity,1801.3599808023957,3407
global,global,5,biodiversity,1606.7291173827457,3023
global,global,6,biodiversity,2334.46437346808,2375
global,global,7,biodiversity,1307.4029840764447,2543
global,global,8,biodiversity,-62.14702587461002,2380
global,global,0,safety,2052.8867736332777,1788
global,global,1,safety,1095.6355743037227,2994
global,global,2,safety,2019.9518310740455,2652
global,global,3,safety,2325.068370163125,2570
global,global,4,safety,901.1365382697327,3103
global,global,5,safety,1140.9822141162092,3207
global,global,6,safety,584.4437646270395,2123
global,global,7,safety,2246.0337777640834,2824
global,global,8,safety,1681.0330255410092,2731
gender,man,0,living,1476.1685442814091,951
gender,man,1,living,1894.487859740591,817
gender,man,2,living,1952.2593982178146,673
gender,man,3,living,784.7539923799744,1007
gender,man,4,living,93.32566383286778,892
gender,man,5,living,1438.5980502443833,1158
gender,man,6,living,1597.3223518174173,946
gender,man,7,living,1570.2045969040396,996
gender,man,8,living,1862.628465754862,874
gender,man,0,biodiversity,479.34012034937945,1223
gender,man,1,biodiversity,1540.1491713149867,1187
gender,man,2,biodiversity,1576.296805303537,1427
gender,man,3,biodiversity,1914.431547725773,997
gender,man,4,biodiversity,1717.792898401963,1733
gender,man,5,biodiversity,2073.2694207097907,1555
gender,man,6,biodiversity,2015.3702368318643,1187
gender,man,7,biodiversity,1946.7174104937924,1382
gender,man,8,biodiversity,881.1398034204344,1221
gender,man,0,safety,1855.7849129288265,880
gender,man,1,safety,388.48604487125544,1509
gender,man,2,safety,1899.8724873622937,1378
gender,man,3,safety,1816.3249280947305,1315
gender,man,4,safety,962.6196975146433,1536
gender,man,5,safety,1145.2898023976131,1607
gender,man,6,safety,1578.5198904955794,1149
gender,man,7,safety,2048.5365971509536,1453
gender,man,8,safety,370.85453310007193,1371
gender,woman,0,living,1719.0289093825127,794
gender,woman,1,living,1837.1556480589247,671
gender,woman,2,living,1917.954333547408,553
gender,woman,3,living,1357.7615369241348,840
gender,woman,4,living,1546.8186338748321,656
gender,woman,5,living,1764.0371411809565,889
gender,woman,6,living,-110.07747348779138,646
gender,woman,7,living,1447.3797358021752,793
gender,woman,8,living,1278.7548569653143,738
gender,woman,0,biodiversity,1643.4849103948443,911
gender,woman,1,biodiversity,1341.5344210718188,995
gender,woman,2,biodiversity,1985.0737728434979,992
gender,woman,3,biodiversity,1862.1722084517733,808
gender,woman,4,biodiversity,1552.5513634513995,1397
gender,woman,5,biodiversity,1369.8701629745485,1208
gender,woman,6,biodiversity,1808.1612875779804,933
gender,woman,7,biodiversity,1148.4878862591797,1002
gender,woman,8,biodiversity,999.1448879426011,968
gender,woman,0,safety,1623.3462771678683,713
gender,woman,1,safety,1894.0381043587217,1185
gender,woman,2,safety,1700.8728713180008,1104
gender,woman,3,safety,1647.1641949889442,1044
gender,woman,4,safety,1729.7235814803412,1266
gender,woman,5,safety,1916.1213131028421,1301
gender,woman,6,safety,191.12981128641118,826
gender,woman,7,safety,1234.6658938447483,1110
gender,woman,8,safety,2021.393797600226,1125
gender,other,0,living,1535.5995645658913,11
gender,other,1,living,1499.5995475358313,10
gender,other,2,living,1475.9995222727719,8
gender,other,3,living,1424.412362776248,12
gender,other,4,living,1512.0143082724737,11
gender,other,5,living,1473.606490448695,10
gender,other,6,living,1567.9999292978978,8
gender,other,7,living,1452.9271801723455,12
gender,other,8,living,1545.9341595389922,10
gender,other,0,biodiversity,1449.7707833401885,14
