demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,141.38848387098875,2423
global,global,1,living,1549.8910862953674,2532
global,global,2,living,2195.1994808766594,2168
global,global,3,living,-158.99792190834182,2561
global,global,4,living,1562.37303108733,3040
global,global,5,living,979.0566959667974,2677
global,global,6,living,1883.188918606868,2251
global,global,7,living,2264.3542054935792,2105
global,global,8,living,1732.015707822667,3053
global,global,0,biodiversity,1913.2649236257978,3152
global,global,1,biodiversity,2150.7317829404415,2729
global,global,2,biodiversity,1062.8061925977377,2853
global,global,3,biodiversity,1419.9715213903432,2362
global,global,4,biodiversity,257.70293503704096,2043
global,global,5,biodiversity,2051.944637191714,1502
global,global,6,biodiversity,1361.8073513163347,3253
global,global,7,biodiversity,2067.406379352186,2239
global,global,8,biodiversity,813.254528372144,2487
global,global,0,safety,1341.892144841962,1981
global,global,1,safety,563.0606422851105,1920
global,global,2,safety,870.9975707537903,2253
global,global,3,safety,468.97191294703896,2825
global,global,4,safety,639.9558534130197,1939
global,global,5,safety,1923.1595092354548,1157
global,global,6,safety,2081.492800868124,1382
global,global,7,safety,1736.6201782362743,1689
global,global,8,safety,806.9349341347432,2724
gender,man,0,living,1023.6952922305908,1295
gender,man,1,living,1045.6683603037848,1330
gender,man,2,living,2031.7733186077774,1073
gender,man,3,living,640.5959612743793,1306
gender,man,4,living,1635.4585026690754,1569
gender,man,5,living,1435.6132879671643,1366
gender,man,6,living,1793.6596830189267,1120
gender,man,7,living,2061.360387197364,1090
gender,man,8,living,1503.8576322799736,1563
gender,man,0,biodiversity,1393.7427926333003,1684
gender,man,1,biodiversity,1432.668884629491,1400
gender,man,2,biodiversity,1701.275327352164,1514
gender,man,3,biodiversity,1881.0838442966121,1171
gender,man,4,biodiversity,454.6843453201241,1049
gender,man,5,biodiversity,1744.996099264197,809
gender,man,6,biodiversity,1256.9452302733378,1787
gender,man,7,biodiversity,2033.714991004572,1055
gender,man,8,biodiversity,1587.5216253015524,1319
gender,man,0,safety,1869.0283526664452,965
gender,man,1,safety,1489.4275513616524,982
gender,man,2,safety,268.622737073364,1153
gender,man,3,safety,1602.8255962256583,1435
gender,man,4,safety,573.1183632955486,969
gender,man,5,safety,1848.6468767926408,560
gender,man,6,safety,1810.2834074223576,679
gender,man,7,safety,1717.680799755865,837
gender,man,8,safety,1402.0896859540594,1344
gender,woman,0,living,1681.0683575594526,1023
gender,woman,1,living,1528.1218855351035,1016
gender,woman,2,living,1843.140539503685,892
gender,woman,3,living,1567.7299514754689,1073
gender,woman,4,living,1551.9318031786108,1195
gender,woman,5,living,774.9673520680739,1133
gender,woman,6,living,1919.3466609891516,896
gender,woman,7,living,1950.4738314337255,790
gender,woman,8,living,1499.8960902427434,1230
gender,woman,0,biodiversity,1930.6004982737047,1159
gender,woman,1,biodiversity,1778.6527798777554,1063
gender,woman,2,biodiversity,643.9196029891134,1163
gender,woman,3,biodiversity,403.823826108033,944
gender,woman,4,biodiversity,1045.0646527289587,866
gender,woman,5,biodiversity,1968.5599387886102,600
gender,woman,6,biodiversity,1543.6616081268937,1294
gender,woman,7,biodiversity,1146.6112311033778,888
gender,woman,8,biodiversity,523.3636977179549,1015
gender,woman,0,safety,1540.402282130016,861
gender,woman,1,safety,1198.3753332061353,821
gender,woman,2,safety,1735.0618023452998,853
gender,woman,3,safety,876.9779282926099,1103
gender,woman,4,safety,1485.341362745909,804
gender,woman,5,safety,1915.4611322325054,522
gender,woman,6,safety,1867.8305379074461,544
gender,woman,7,safety,1793.404268525979,718
gender,woman,8,safety,905.9599550883345,1002
gender,other,0,living,1451.954367160824,8
gender,other,1,living,1535.8032813007196,19
gender,other,2,living,1465.2747696650792,13
gender,other,3,living,1488.9592502649184,13
gender,other,4,living,1523.623074231746,10
gender,other,5,living,1547.623551423638,10
gender,other,6,living,1440.0000195534428,5
gender,other,7,living,1490.430577021839,19
gender,other,8,living,1561.739306320751,21
gender,other,0,biodiversity,1539.4093617433261,15
gender,other,1,biodiversity,1487.9129940397115,17
gender,other,2,biodiversity,1511.8183828798103,17
gender,other,3,biodiversity,1452.4532336889972,12
gender,other,4,biodiversity,1465.3424468171752,11
gender,other,5,biodiversity,1559.9841645611093,9
