demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1050.8631655776396,2086
global,global,1,living,2254.6317026160746,1803
global,global,2,living,650.8048764652426,2030
global,global,3,living,187.13007709192806,1388
global,global,4,living,1999.72670640341,2443
global,global,5,living,2106.338640494528,2259
global,global,6,living,1879.4042239765704,1547
global,global,7,living,1435.566011482823,2543
global,global,8,living,1595.9894421799768,2251
global,global,0,biodiversity,1698.7465158543382,2367
global,global,1,biodiversity,2128.8573439211864,1684
global,global,2,biodiversity,1822.826171624946,2367
global,global,3,biodiversity,1399.2263428933163,2505
global,global,4,biodiversity,663.5447396891723,2357
global,global,5,biodiversity,1489.6737348378706,2441
global,global,6,biodiversity,362.4823901193257,2184
global,global,7,biodiversity,866.7413533043883,2276
global,global,8,biodiversity,2221.5663442173854,2015
global,global,0,safety,2418.8411365348015,1813
global,global,1,safety,857.4026516391625,2676
global,global,2,safety,1571.0877022611005,2748
global,global,3,safety,2085.085658190714,2940
global,global,4,safety,1836.7270310796423,3194
global,global,5,safety,2197.7798330908713,2539
global,global,6,safety,1340.5474333844759,3201
global,global,7,safety,1993.5398580985789,2795
global,global,8,safety,114.16289677369659,2848
gender,man,0,living,1533.3582118810705,1123
gender,man,1,living,1823.9325218777474,917
gender,man,2,living,1250.6895104240712,1124
gender,man,3,living,247.0782825113522,749
gender,man,4,living,1515.6084695560708,1197
gender,man,5,living,1901.5160198554124,1081
gender,man,6,living,2014.9011262836377,681
gender,man,7,living,1639.7975945004027,1337
gender,man,8,living,1210.349501243963,1187
gender,man,0,biodiversity,1872.840000182541,1242
gender,man,1,biodiversity,2031.350421449535,848
gender,man,2,biodiversity,1699.3525344650463,1268
gender,man,3,biodiversity,1233.6450256584783,1350
gender,man,4,biodiversity,1106.0556807575447,1276
gender,man,5,biodiversity,947.1812851391775,1298
gender,man,6,biodiversity,1547.1707909949682,1176
gender,man,7,biodiversity,1076.7385277519434,1206
gender,man,8,biodiversity,1721.5671113735873,994
gender,man,0,safety,2058.6258151728357,853
gender,man,1,safety,502.4818892965905,1344
gender,man,2,safety,1130.8191442938617,1423
gender,man,3,safety,1574.1466828489463,1444
gender,man,4,safety,1298.1799530934584,1597
gender,man,5,safety,1839.359655589502,1274
gender,man,6,safety,1782.583715986416,1635
gender,man,7,safety,997.2042535967033,1334
gender,man,8,safety,312.3313371808213,1466
gender,woman,0,living,1227.2078530759784,809
gender,woman,1,living,1962.6620363921338,685
gender,woman,2,living,707.7001704312711,761
gender,woman,3,living,1709.457353195854,570
gender,woman,4,living,1837.1692512258842,958
gender,woman,5,living,1636.336396829061,917
gender,woman,6,living,1325.0445157370582,666
gender,woman,7,living,1660.9429705278112,1072
gender,woman,8,living,1760.562239496746,870
gender,woman,0,biodiversity,1671.779336053083,979
gender,woman,1,biodiversity,1726.1064986762046,726
gender,woman,2,biodiversity,1820.58205294121,936
gender,woman,3,biodiversity,1534.564143873917,1002
gender,woman,4,biodiversity,1766.018427121114,923
gender,woman,5,biodiversity,1996.5457649327252,968
gender,woman,6,biodiversity,660.1616151768803,854
gender,woman,7,biodiversity,1567.8449561472653,858
gender,woman,8,biodiversity,1894.9859641707217,874
gender,woman,0,safety,1162.0566190536385,794
gender,woman,1,safety,1246.2710578366602,1122
gender,woman,2,safety,1814.244455650572,1093
gender,woman,3,safety,1827.4220308396962,1144
gender,woman,4,safety,2007.6648666962237,1216
gender,woman,5,safety,876.3045511044515,973
gender,woman,6,safety,1518.2768425425668,1371
gender,woman,7,safety,2021.9191177233897,1126
gender,woman,8,safety,1561.3499011268302,1201
gender,other,0,living,1452.0299787677309,14
gender,other,1,living,1518.3526376930909,11
gender,other,2,living,1558.8716680200318,7
gender,other,3,living,1545.9906364132428,10
gender,other,4,living,1515.2872263844051,11
gender,other,5,living,1513.2723425507982,15
gender,other,6,living,1487.8715687365564,15
gender,other,7,living,1474.4105059586718,16
gender,other,8,living,1440.0588636857917,5
gender,other,0,biodiversity,1567.2575071413987,15
gender,other,1,biodiversity,1500.0880348983474,10
gender,other,2,biodiversity,1475.999013195776,10
gender,other,3,biodiversity,1511.9998012366323,11
gender,other,4,biodiversity,1488.096087612173,17
gender,other,5,biodiversity,1442.8921534760389,11
gender,other,6,biodiversity,1523.7808873814838,12
gender,other,7,biodiversity,1468.1757515384743,17
gender,other,8,biodiversity,1536.2636012246473,13
gender,other,0,safety,1524.0871150784878,10
gender,other,1,safety,1513.6813056939247,17
gender,other,2,safety,1476.3189967468918,12
gender,other,3,safety,1563.342375807928,11
gender,other,4,safety,1425.155176556293,18
gender,other,5,safety,1501.878941332394,12
gender,other,6,safety,1555.2298887159195,15
gender,other,7,safety,1450.2625725956148,14
gender,other,8,safety,1491.8129147584887,9
age,younger,0,living,1368.3552924894332,595
age,younger,1,living,1531.859403447985,504
age,younger,2,living,1103.2638440102012,560
age,younger,3,living,1762.7097170775446,408
age,younger,4,living,1505.1772167186612,668
age,younger,5,living,1694.9317667653988,606
age,younger,6,living,1820.2117596107873,403
age,younger,7,living,1735.7501106505606,721
age,younger,8,living,1651.5815751835748,639
age,younger,0,biodiversity,1267.876837770236,673
age,younger,1,biodiversity,1741.2761402357469,505
age,younger,2,biodiversity,1796.2191331980175,613
age,younger,3,biodiversity,1247.5614853387974,714
age,younger,4,biodiversity,1501.7228400251638,629
age,younger,5,biodiversity,1777.6251843518662,689
age,younger,6,biodiversity,1208.3791128081882,618
age,younger,7,biodiversity,1228.067585097797,648
age,younger,8,biodiversity,1871.4578464703147,561
age,younger,0,safety,1895.1914064506764,444
age,younger,1,safety,1521.2447322388866,829
age,younger,2,safety,1329.7553827248062,834
age,younger,3,safety,1547.2235736229716,836
age,younger,4,safety,1865.7671134625311,822
age,younger,5,safety,1827.2040806470561,750
age,younger,6,safety,1187.4668104993284,948
age,younger,7,safety,1610.9591158533003,762
age,younger,8,safety,1158.5523893897107,803
age,middle,0,living,1737.9766707460462,904
age,middle,1,living,1809.4426770920431,710
age,middle,2,living,1360.7834604112861,935
age,middle,3,living,1219.1014257902189,573
age,middle,4,living,2034.068033933022,945
age,middle,5,living,1566.2063483019588,981
age,middle,6,living,911.2472490774359,659
age,middle,7,living,1645.648646081151,1108
age,middle,8,living,1299.9244249392766,971
age,middle,0,biodiversity,1945.7646981353523,986
age,middle,1,biodiversity,1819.5406066832702,732
age,middle,2,biodiversity,1435.9555868847829,1009
age,middle,3,biodiversity,1560.397290048343,1056
age,middle,4,biodiversity,1489.2534705599055,1075
age,middle,5,biodiversity,689.399997728537,984
age,middle,6,biodiversity,1653.0269473336693,971
age,middle,7,biodiversity,1673.4057379002647,970
age,middle,8,biodiversity,1993.3341792474052,891
age,middle,0,safety,2040.1858239179476,847
age,middle,1,safety,1744.4424459900513,1055
age,middle,2,safety,1190.4226355803871,1101
age,middle,3,safety,1981.010389549992,1172
age,middle,4,safety,1321.7451389253342,1288
age,middle,5,safety,1802.49127590116,999
age,middle,6,safety,1720.0707242369745,1419
age,middle,7,safety,1868.0919789830639,1133
age,middle,8,safety,1277.3320289728424,1274
age,older,0,living,1229.6356046620585,439
age,older,1,living,1693.5891194395972,397
age,older,2,living,1589.4538824445383,386
age,older,3,living,1343.1622071471174,345
age,older,4,living,1093.5000158185387,548
age,older,5,living,1652.8282237640697,425
age,older,6,living,1881.0767253893184,295
age,older,7,living,1263.7545205500564,586
age,older,8,living,1499.735325050051,441
age,older,0,biodiversity,1537.5668019717862,564
age,older,1,biodiversity,1794.7667714079282,346
age,older,2,biodiversity,1720.978496109563,577
age,older,3,biodiversity,1344.520846794651,583
age,older,4,biodiversity,1364.696565892607,506
age,older,5,biodiversity,1599.3344654808636,588
age,older,6,biodiversity,1289.5799928532488,442
age,older,7,biodiversity,1697.5220131132698,461
age,older,8,biodiversity,1828.5508334699484,429
age,older,0,safety,1826.7011182493939,369
age,older,1,safety,563.4814582651085,598
age,older,2,safety,1779.9751909351373,589
age,older,3,safety,1847.6592245683366,590
age,older,4,safety,1373.39554829418,707
