demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2078.952626940345,2633
global,global,1,living,2365.7010073389106,2693
global,global,2,living,1170.9354911667524,2201
global,global,3,living,2025.0879324772206,2955
global,global,4,living,526.922131156445,2054
global,global,5,living,848.249684751652,2735
global,global,6,living,2364.425222904057,2608
global,global,7,living,-51.43539735574004,2289
global,global,8,living,2132.085510426956,3120
global,global,0,biodiversity,1921.3056895141342,2250
global,global,1,biodiversity,929.1403015479984,2708
global,global,2,biodiversity,2147.7313445863842,2395
global,global,3,biodiversity,2332.737963173046,1807
global,global,4,biodiversity,1781.500474293511,2297
global,global,5,biodiversity,492.86037066870233,1840
global,global,6,biodiversity,1050.5412650301075,2179
global,global,7,biodiversity,1335.1834956711762,2420
global,global,8,biodiversity,2037.950277285364,2102
global,global,0,safety,2085.5530913680054,2061
global,global,1,safety,1438.0225119455138,2405
global,global,2,safety,1980.6265847745456,2330
global,global,3,safety,809.9250978192309,1841
global,global,4,safety,594.5328312139624,2389
global,global,5,safety,1493.17024891043,3003
global,global,6,safety,2180.9206923350694,1540
global,global,7,safety,1671.5453802989393,2235
global,global,8,safety,213.48239026237434,2210
gender,man,0,living,1412.5726317802057,1385
gender,man,1,living,1192.69915052304,1317
gender,man,2,living,1888.6907182373739,1179
gender,man,3,living,2035.7912825297078,1480
gender,man,4,living,1103.7057418685686,1059
gender,man,5,living,1269.6718974006644,1397
gender,man,6,living,2136.2524873177304,1369
gender,man,7,living,770.9868092019461,1208
gender,man,8,living,1706.6608500890675,1608
gender,man,0,biodiversity,2001.8426386815518,1162
gender,man,1,biodiversity,1472.7388257142077,1416
gender,man,2,biodiversity,1958.732418076884,1225
gender,man,3,biodiversity,1864.8597966380146,984
gender,man,4,biodiversity,1907.1371517020714,1153
gender,man,5,biodiversity,323.25731095798426,900
gender,man,6,biodiversity,1709.8361044068345,1104
gender,man,7,biodiversity,1556.5438087433045,1281
gender,man,8,biodiversity,1610.2671594945348,1077
gender,man,0,safety,1892.5054405675548,1066
gender,man,1,safety,1208.8659162479619,1153
gender,man,2,safety,1775.9283334150773,1180
gender,man,3,safety,-246.59337641940135,891
gender,man,4,safety,1242.506312305482,1183
gender,man,5,safety,1301.691925103292,1538
gender,man,6,safety,1988.341534529782,819
gender,man,7,safety,1814.9469960493616,1104
gender,man,8,safety,661.695106284212,1186
gender,woman,0,living,1863.21704395014,1033
gender,woman,1,living,1940.4577533676688,1047
gender,woman,2,living,3.29615201849273,789
gender,woman,3,living,1265.4357880635382,1231
gender,woman,4,living,1198.8811714446979,853
gender,woman,5,living,911.7341658560733,1025
gender,woman,6,living,1642.5342116619306,1013
gender,woman,7,living,1157.577581624515,917
gender,woman,8,living,2075.341946674167,1204
gender,woman,0,biodiversity,1898.165914875224,836
gender,woman,1,biodiversity,1624.6739729500196,1123
gender,woman,2,biodiversity,1772.7440782879582,910
gender,woman,3,biodiversity,1938.7585605846052,620
gender,woman,4,biodiversity,1658.1091045767348,920
gender,woman,5,biodiversity,1596.7544602561068,838
gender,woman,6,biodiversity,1136.6012853699995,937
gender,woman,7,biodiversity,1697.5432168928023,955
gender,woman,8,biodiversity,1358.892145233908,855
gender,woman,0,safety,1809.8507252357706,845
gender,woman,1,safety,2019.702538802123,981
gender,woman,2,safety,1682.1896183586205,1019
gender,woman,3,safety,1755.6501260013724,865
gender,woman,4,safety,875.8862577336541,1022
gender,woman,5,safety,1841.2101263648942,1177
gender,woman,6,safety,1879.5879131450467,665
gender,woman,7,safety,1417.4450705550382,920
gender,woman,8,safety,1611.233486235413,868
gender,other,0,living,1440.9690730569712,15
gender,other,1,living,1532.8048578846829,11
gender,other,2,living,1547.8991347075741,14
gender,other,3,living,1472.3976586473764,16
gender,other,4,living,1429.5410789083096,12
gender,other,5,living,1524.4926698270128,16
gender,other,6,living,1483.2016606419647,20
gender,other,7,living,1500.4166633065565,20
gender,other,8,living,1570.6403025808697,12
gender,other,0,biodiversity,1531.1018079279706,20
gender,other,1,biodiversity,1492.2924178375524,17
gender,other,2,biodiversity,1512.2622299901986,15
gender,other,3,biodiversity,1561.4138888069629,13
gender,other,4,biodiversity,1499.942498842762,8
gender,other,5,biodiversity,1477.296012118462,14
gender,other,6,biodiversity,1462.6298462276247,11
gender,other,7,biodiversity,1441.68945642163,13
gender,other,8,biodiversity,1538.341874046606,9
gender,other,0,safety,1500.0255670759848,8
gender,other,1,safety,1453.2116043204128,10
gender,other,2,safety,1568.0497750786544,6
gender,other,3,safety,1524.0600032045893,12
gender,other,4,safety,1487.9999684092365,7
gender,other,5,safety,1512.5551604427928,15
gender,other,6,safety,1436.7661599587443,7
gender,other,7,safety,1475.9990864448241,10
gender,other,8,safety,1535.975256977879,7
age,younger,0,living,1627.0281594649798,790
age,younger,1,living,1987.418592579201,716
age,younger,2,living,1267.7395034511392,552
age,younger,3,living,1729.4190896163261,827
age,younger,4,living,797.7383929987357,522
age,younger,5,living,1749.5470764091147,775
age,younger,6,living,1798.2835267717544,746
age,younger,7,living,1354.4418706832494,641
age,younger,8,living,1502.0297190792687,871
age,younger,0,biodiversity,1904.275182364957,624
age,younger,1,biodiversity,1207.9317963674644,800
age,younger,2,biodiversity,1813.396314214115,615
age,younger,3,biodiversity,1787.1540594766445,522
age,younger,4,biodiversity,1057.5998390011973,618
age,younger,5,biodiversity,1639.780346452438,557
age,younger,6,biodiversity,1456.9759053206612,637
age,younger,7,biodiversity,1670.225472428634,692
age,younger,8,biodiversity,1546.677782667414,629
age,younger,0,safety,1550.0720556867793,601
age,younger,1,safety,587.2047428387335,688
age,younger,2,safety,1724.62824092512,632
age,younger,3,safety,1312.5703384181274,543
age,younger,4,safety,1274.6313001894334,701
age,younger,5,safety,1769.2221857436725,830
age,younger,6,safety,1845.0321901131424,468
age,younger,7,safety,1856.6644108186617,592
age,younger,8,safety,1183.8983387765938,593
age,middle,0,living,1991.4957324601482,1085
age,middle,1,living,1772.9203064215249,1074
age,middle,2,living,1597.7791755007224,975
age,middle,3,living,1562.4325303254686,1282
age,middle,4,living,1370.6644014543995,984
age,middle,5,living,515.6574296245512,1071
age,middle,6,living,1717.5112025837775,1147
age,middle,7,living,1465.7681096700837,1059
age,middle,8,living,2016.7504397319735,1263
age,middle,0,biodiversity,1968.7662474434405,904
age,middle,1,biodiversity,1392.657453733818,1149
age,middle,2,biodiversity,1598.2365525478142,1000
age,middle,3,biodiversity,1925.120891942577,719
age,middle,4,biodiversity,1671.8926689821917,953
age,middle,5,biodiversity,679.8927947665346,787
age,middle,6,biodiversity,1097.4902665905586,913
age,middle,7,biodiversity,619.0941894068151,1034
age,middle,8,biodiversity,1355.5966086291498,873
age,middle,0,safety,1928.5951016565593,840
age,middle,1,safety,1860.4523388150967,966
age,middle,2,safety,1670.5521972678023,1065
age,middle,3,safety,581.5179812476582,809
age,middle,4,safety,1346.6191744159526,1027
age,middle,5,safety,877.2434830124886,1252
age,middle,6,safety,1830.5794200823525,619
age,middle,7,safety,707.3160121331034,940
age,middle,8,safety,1624.3130393725908,958
age,older,0,living,1278.9787826233494,548
age,older,1,living,1809.898928233772,577
age,older,2,living,1615.6246026213478,456
