demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1689.0731986627723,2573
global,global,1,living,563.0457714961165,2412
global,global,2,living,2189.580635489792,1898
global,global,3,living,652.7082114391895,2630
global,global,4,living,2300.0134972223996,2146
global,global,5,living,1489.1255868164353,1869
global,global,6,living,1560.185592403804,2864
global,global,7,living,1974.5393916893738,2273
global,global,8,living,1823.3283640903837,2203
global,global,0,biodiversity,1330.8700317115895,2775
global,global,1,biodiversity,1123.7320105927813,2163
global,global,2,biodiversity,-259.43221976925025,1706
global,global,3,biodiversity,2179.0366279906475,2392
global,global,4,biodiversity,1469.422137918238,3009
global,global,5,biodiversity,2260.02562552506,2508
global,global,6,biodiversity,1860.1459649779729,2656
global,global,7,biodiversity,2209.2640163091,2636
global,global,8,biodiversity,1795.199419016701,1895
global,global,0,safety,815.4970364164973,2178
global,global,1,safety,1793.8340769889155,2579
global,global,2,safety,2095.007524387632,1971
global,global,3,safety,7.45158788851403,2246
global,global,4,safety,1337.7445601203985,2480
global,global,5,safety,2147.952081736899,2209
global,global,6,safety,1088.4732971341637,2219
global,global,7,safety,2256.7081448211097,2141
global,global,8,safety,1190.936622795198,2669
gender,man,0,living,1400.098151657792,1245
gender,man,1,living,530.6137097123677,1266
gender,man,2,living,1888.2937315722713,985
gender,man,3,living,843.2015388526945,1326
gender,man,4,living,1517.5691040280035,1090
gender,man,5,living,1936.1598386472217,975
gender,man,6,living,2005.054121841085,1434
gender,man,7,living,1896.7462920876205,1170
gender,man,8,living,1681.6523579000789,1079
gender,man,0,biodiversity,954.6125987016068,1477
gender,man,1,biodiversity,1318.2259760722545,1042
gender,man,2,biodiversity,1039.329205690181,920
gender,man,3,biodiversity,1971.4680174987457,1199
gender,man,4,biodiversity,1763.222248823086,1513
gender,man,5,biodiversity,2041.2156380263145,1239
gender,man,6,biodiversity,1344.1672030147095,1387
gender,man,7,biodiversity,549.8091571589275,1334
gender,man,8,biodiversity,1258.560700863278,1001
gender,man,0,safety,1067.9449722804445,1135
gender,man,1,safety,1776.5567173632007,1302
gender,man,2,safety,1965.706123222581,1028
gender,man,3,safety,1486.97072987897,1198
gender,man,4,safety,1731.3151734966968,1316
gender,man,5,safety,1831.3855606963364,1189
gender,man,6,safety,664.6874640518797,1071
gender,man,7,safety,2100.436294084522,1098
gender,man,8,safety,1607.309995037173,1405
gender,woman,0,living,1753.1632658366927,1036
gender,woman,1,living,1466.9889247733786,960
gender,woman,2,living,1808.1521561284126,759
gender,woman,3,living,1584.1565523851323,1071
