demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,994.7619332158662,2518
global,global,1,living,1701.6766984944004,2414
global,global,2,living,463.8470211664597,3006
global,global,3,living,1485.8786920832233,2413
global,global,4,living,2078.0071887917825,2459
global,global,5,living,1803.293533389251,2824
global,global,6,living,2300.2116942333714,2204
global,global,7,living,2173.262588379972,1888
global,global,8,living,391.66166194248444,2316
global,global,0,biodiversity,1721.2778838176923,2506
global,global,1,biodiversity,2214.7108441192204,2489
global,global,2,biodiversity,2369.0422320500243,2051
global,global,3,biodiversity,1349.686231593345,2621
global,global,4,biodiversity,1563.630893896886,2302
global,global,5,biodiversity,-329.7216562708897,1301
global,global,6,biodiversity,1904.4989265619267,2732
global,global,7,biodiversity,135.90708061143104,1380
global,global,8,biodiversity,1236.1855419637243,2240
global,global,0,safety,2224.576061912241,3050
global,global,1,safety,1192.156936953631,1959
global,global,2,safety,1383.0113154139756,2835
global,global,3,safety,2375.476190242535,2266
global,global,4,safety,2034.621909853514,2264
global,global,5,safety,616.3554662358628,1608
global,global,6,safety,136.62872429765812,1391
global,global,7,safety,1883.3268556748676,3404
global,global,8,safety,1626.6176919418801,2859
gender,man,0,living,1170.8505925768095,1308
gender,man,1,living,935.8088332432199,1331
gender,man,2,living,1236.9557912276523,1495
gender,man,3,living,1866.570992807694,1158
gender,man,4,living,1961.1743017643264,1177
gender,man,5,living,2016.9061835086422,1384
gender,man,6,living,1990.503050714386,1196
gender,man,7,living,1680.4876207557877,940
gender,man,8,living,1102.9646923535772,1239
gender,man,0,biodiversity,1120.8765229738303,1239
gender,man,1,biodiversity,1929.580360289028,1311
gender,man,2,biodiversity,2065.8870979532476,1021
gender,man,3,biodiversity,1850.278414246966,1378
gender,man,4,biodiversity,1901.7812693902963,1206
gender,man,5,biodiversity,1205.7471426558498,725
gender,man,6,biodiversity,1166.4871348041233,1368
gender,man,7,biodiversity,381.22214509226,733
gender,man,8,biodiversity,1502.1423974002141,1215
gender,man,0,safety,2140.4917584881273,1553
gender,man,1,safety,1855.1298571911204,991
gender,man,2,safety,1728.165157791287,1416
gender,man,3,safety,1483.641760830904,1185
gender,man,4,safety,1982.5105046599808,1120
gender,man,5,safety,1519.6704772793546,868
gender,man,6,safety,565.4992088599677,667
gender,man,7,safety,1642.0176260204523,1736
gender,man,8,safety,2024.7725844563897,1464
gender,woman,0,living,1647.4162373841941,1057
gender,woman,1,living,1983.160264670724,917
gender,woman,2,living,1211.1614779302104,1293
gender,woman,3,living,1487.376477622907,1084
gender,woman,4,living,1295.0328791251159,1065
gender,woman,5,living,1420.0872399024765,1230
gender,woman,6,living,1863.9849016224837,887
gender,woman,7,living,2030.323510266393,793
gender,woman,8,living,914.9459082249789,942
gender,woman,0,biodiversity,1800.5006326298849,925
gender,woman,1,biodiversity,1686.5127169272514,975
gender,woman,2,biodiversity,1971.4918308006604,820
gender,woman,3,biodiversity,1293.2398007403604,1045
gender,woman,4,biodiversity,1746.1647672609504,870
gender,woman,5,biodiversity,554.8617070935463,494
gender,woman,6,biodiversity,1855.8638182365971,1084
gender,woman,7,biodiversity,1509.6135975306056,563
gender,woman,8,biodiversity,1481.4391669345296,896
gender,woman,0,safety,2075.321113589509,1160
gender,woman,1,safety,878.8590224984624,772
gender,woman,2,safety,1095.0231575741238,1156
gender,woman,3,safety,1814.8027342230018,919
gender,woman,4,safety,1680.9105923457191,881
gender,woman,5,safety,679.6466208747397,630
gender,woman,6,safety,936.3899319066444,643
gender,woman,7,safety,1776.5921199428226,1315
gender,woman,8,safety,1345.9579167938266,1052
gender,other,0,living,1574.9930822587346,9
gender,other,1,living,1442.1384723435992,9
gender,other,2,living,1419.0550048708242,18
gender,other,3,living,1533.468637794272,7
gender,other,4,living,1512.0,7
gender,other,5,living,1466.2090576879286,11
gender,other,6,living,1498.8038270229222,10
gender,other,7,living,1546.9276332472589,10
gender,other,8,living,1485.5407907180281,11
gender,other,0,biodiversity,1563.5306817743717,13
gender,other,1,biodiversity,1511.4890943054813,21
gender,other,2,biodiversity,1551.0902633429318,24
gender,other,3,biodiversity,1537.80953219379,17
gender,other,4,biodiversity,1500.7982159619137,16
gender,other,5,biodiversity,1453.5861528309333,10
gender,other,6,biodiversity,1488.6822383190556,15
gender,other,7,biodiversity,1440.3738269918626,9
gender,other,8,biodiversity,1467.1978155929182,15
gender,other,0,safety,1452.3256667818775,10
gender,other,1,safety,1559.9995552317416,9
gender,other,2,safety,1535.6561333962436,13
gender,other,3,safety,1512.4671972668034,11
gender,other,4,safety,1548.3751760850737,12
gender,other,5,safety,1439.5565863271363,11
gender,other,6,safety,1487.6175796057992,9
gender,other,7,safety,1465.268586768315,17
gender,other,8,safety,1500.3572900127829,14
age,younger,0,living,1470.1042036528172,717
age,younger,1,living,1630.043525268847,715
age,younger,2,living,596.1306496183336,837
age,younger,3,living,1515.628292402191,724
age,younger,4,living,1959.4060969530547,629
age,younger,5,living,1728.6555016342122,773
age,younger,6,living,1541.346403715267,640
age,younger,7,living,1763.1222862661855,543
age,younger,8,living,891.7650248842413,632
age,younger,0,biodiversity,1546.3022896534535,639
age,younger,1,biodiversity,1497.234901592803,671
age,younger,2,biodiversity,1919.6476034186182,589
age,younger,3,biodiversity,1796.5770148827987,737
age,younger,4,biodiversity,1680.6149332646953,644
age,younger,5,biodiversity,902.7316278401211,388
age,younger,6,biodiversity,1593.0420955291079,737
age,younger,7,biodiversity,1098.3095175990943,469
age,younger,8,biodiversity,1754.3707169521037,650
age,younger,0,safety,1792.0368764967295,868
age,younger,1,safety,1519.3511565320043,585
age,younger,2,safety,1774.0331217137275,786
age,younger,3,safety,1599.1906909671225,667
age,younger,4,safety,1905.1778370554568,558
age,younger,5,safety,1491.6851154059877,463
age,younger,6,safety,1151.3526238148156,390
age,younger,7,safety,1714.1600321283186,946
age,younger,8,safety,1335.8414471076726,785
age,middle,0,living,1519.8950098751943,1117
age,middle,1,living,1686.1011879204327,1066
age,middle,2,living,549.632569917534,1312
age,middle,3,living,1736.813481968534,1014
age,middle,4,living,1089.6002536874569,1053
age,middle,5,living,1880.4966737033228,1224
age,middle,6,living,2018.582659323792,939
age,middle,7,living,1976.9892354380459,838
age,middle,8,living,1375.4660966042234,1061
age,middle,0,biodiversity,1385.1475798270824,1002
age,middle,1,biodiversity,1746.0393335958256,1065
age,middle,2,biodiversity,2007.4349561141244,809
age,middle,3,biodiversity,1565.934742693428,1097
age,middle,4,biodiversity,1593.2108233169936,1018
age,middle,5,biodiversity,406.2530886325497,534
age,middle,6,biodiversity,1877.5983452297207,1133
age,middle,7,biodiversity,1520.3662303206183,572
age,middle,8,biodiversity,834.4552535422068,986
age,middle,0,safety,1940.5860512268587,1229
age,middle,1,safety,1521.9996040759654,827
age,middle,2,safety,1239.567190559988,1144
age,middle,3,safety,1793.9347340441439,919
age,middle,4,safety,2000.731185263463,901
age,middle,5,safety,1373.2866885223425,722
age,middle,6,safety,568.4629294393782,596
age,middle,7,safety,1760.6680048981598,1441
