demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1637.8281950132007,2446
global,global,1,living,2293.186935555618,2377
global,global,2,living,1539.6903580365338,2221
global,global,3,living,2050.0928685542067,2709
global,global,4,living,2147.5049583620917,2029
global,global,5,living,1020.0121744881098,1990
global,global,6,living,1261.5013474680738,2387
global,global,7,living,-295.85716274305355,1403
global,global,8,living,1938.8357212245621,2788
global,global,0,biodiversity,2062.776355842156,2365
global,global,1,biodiversity,2206.2309718593083,2628
global,global,2,biodiversity,2457.4732191201965,2195
global,global,3,biodiversity,1835.188673254699,2442
global,global,4,biodiversity,1645.8965333543526,3237
global,global,5,biodiversity,2162.5889954426516,2457
global,global,6,biodiversity,1092.4399234663622,2427
global,global,7,biodiversity,1596.8596806282906,2649
global,global,8,biodiversity,1230.926091796337,2432
global,global,0,safety,1790.3131254953767,2373
global,global,1,safety,-126.80582547334001,2020
global,global,2,safety,1073.7327730819256,2852
global,global,3,safety,1740.496674417948,2199
global,global,4,safety,1548.4005034996549,2713
global,global,5,safety,1564.2173630694983,2801
global,global,6,safety,2021.8565019396644,2065
global,global,7,safety,2140.9116113739956,1236
global,global,8,safety,44.42542790831948,1859
gender,man,0,living,1492.631589562596,1294
gender,man,1,living,2053.5666705414646,1235
gender,man,2,living,1845.361786794195,1248
gender,man,3,living,2006.9832483919245,1339
gender,man,4,living,1922.026641860662,1085
gender,man,5,living,824.8048821789765,998
gender,man,6,living,1826.4834130457373,1254
gender,man,7,living,1175.1623407512247,772
gender,man,8,living,1943.7324321872966,1513
gender,man,0,biodiversity,2071.6395829064395,1173
gender,man,1,biodiversity,1929.0562899971635,1294
gender,man,2,biodiversity,2014.0202876032308,1127
gender,man,3,biodiversity,1759.18927611601,1244
gender,man,4,biodiversity,1220.202103238859,1628
gender,man,5,biodiversity,1082.9068251513145,1209
gender,man,6,biodiversity,1469.4866593078914,1217
gender,man,7,biodiversity,1126.6651946747006,1389
gender,man,8,biodiversity,1698.2759181777244,1249
gender,man,0,safety,1194.0017057699379,1146
gender,man,1,safety,1096.7872608132407,1074
gender,man,2,safety,1800.9719473652615,1440
gender,man,3,safety,1961.3041653031178,1127
gender,man,4,safety,1599.2480625387773,1341
gender,man,5,safety,1173.855435506345,1398
gender,man,6,safety,1430.6583787515624,1139
gender,man,7,safety,2004.7465398053453,623
gender,man,8,safety,808.2260039279812,868
gender,woman,0,living,1860.4266028088175,953
gender,woman,1,living,1448.5728291593637,929
gender,woman,2,living,1724.294725820135,842
gender,woman,3,living,1762.581653215163,1138
gender,woman,4,living,1954.123789211777,779
gender,woman,5,living,1809.8662737173054,838
gender,woman,6,living,569.1655146212487,985
gender,woman,7,living,525.4215914677328,554
gender,woman,8,living,1672.716440320615,1094
gender,woman,0,biodiversity,1927.4308372575704,962
gender,woman,1,biodiversity,1636.0866916571754,1133
gender,woman,2,biodiversity,1990.0670694687828,877
gender,woman,3,biodiversity,1725.3949836218749,940
gender,woman,4,biodiversity,1331.3141446063598,1214
gender,woman,5,biodiversity,1857.4147708033627,1000
gender,woman,6,biodiversity,1263.3638064200607,1006
gender,woman,7,biodiversity,947.1727499340346,1012
gender,woman,8,biodiversity,718.169147147593,940
gender,woman,0,safety,1317.7652204307524,904
gender,woman,1,safety,1331.65651704671,777
gender,woman,2,safety,1461.050257217293,1230
gender,woman,3,safety,1833.3976653702325,899
gender,woman,4,safety,1774.5020191536785,1105
gender,woman,5,safety,1899.443941332789,1182
gender,woman,6,safety,1591.4179216924283,795
gender,woman,7,safety,1935.5495507103803,528
gender,woman,8,safety,1172.9393962340055,852
gender,other,0,living,1424.169309126849,28
gender,other,1,living,1476.5118319344556,18
gender,other,2,living,1502.4138507687096,18
gender,other,3,living,1463.682847353059,15
gender,other,4,living,1536.5243401233129,11
gender,other,5,living,1440.2861630888162,9
gender,other,6,living,1571.2977511174743,16
gender,other,7,living,1523.3408301815066,14
gender,other,8,living,1559.3608898380364,15
gender,other,0,biodiversity,1488.0000170497412,9
gender,other,1,biodiversity,1511.9999829298954,11
gender,other,2,biodiversity,1524.0138151983788,10
gender,other,3,biodiversity,1475.9999999789334,6
gender,other,4,biodiversity,1463.9999999782058,7
gender,other,5,biodiversity,1439.9999993471952,7
gender,other,6,biodiversity,1499.9995063594286,8
gender,other,7,biodiversity,1559.585699413623,7
gender,other,8,biodiversity,1535.6000088421538,11
gender,other,0,safety,1571.777555676916,6
gender,other,1,safety,1485.9312029111875,17
gender,other,2,safety,1521.7020393661514,20
gender,other,3,safety,1435.351979755948,13
gender,other,4,safety,1500.313416969934,16
gender,other,5,safety,1464.0619686340137,13
gender,other,6,safety,1535.8722832208643,11
gender,other,7,safety,1554.7581109791395,15
gender,other,8,safety,1414.4594666038242,7
age,younger,0,living,963.5190794966487,670
age,younger,1,living,1856.3753644770122,675
age,younger,2,living,1095.3810676493633,671
age,younger,3,living,1759.1747030067859,782
age,younger,4,living,1827.0713541381185,613
age,younger,5,living,1655.7201969731877,558
age,younger,6,living,1354.7349464811045,664
age,younger,7,living,1609.0935170102066,417
age,younger,8,living,835.7579570668361,826
age,younger,0,biodiversity,1022.4636637196205,643
age,younger,1,biodiversity,1828.3312634497431,714
age,younger,2,biodiversity,1882.4297845484464,520
age,younger,3,biodiversity,1619.5622731510327,685
age,younger,4,biodiversity,1666.1248113022343,833
age,younger,5,biodiversity,165.89324179946132,687
age,younger,6,biodiversity,1533.5836396562038,647
age,younger,7,biodiversity,1632.4865368014312,760
age,younger,8,biodiversity,1203.6173485952265,669
age,younger,0,safety,1325.3045690236672,641
age,younger,1,safety,1273.8713617533556,625
age,younger,2,safety,1655.8196949306564,842
age,younger,3,safety,1294.1550287331863,672
age,younger,4,safety,1744.5934612909755,710
age,younger,5,safety,1734.6899737359156,762
age,younger,6,safety,1628.0060254844711,566
age,younger,7,safety,1921.0308399964301,399
age,younger,8,safety,1064.2375015939397,531
age,middle,0,living,1672.9492496935216,1101
age,middle,1,living,1744.6274896665611,1001
age,middle,2,living,1819.8082382454093,935
age,middle,3,living,1850.6931327979773,1119
age,middle,4,living,2040.9903523409587,856
age,middle,5,living,1300.072532300835,851
age,middle,6,living,1722.827613030947,1057
age,middle,7,living,535.3621980688711,555
age,middle,8,living,1787.4171905597575,1247
age,middle,0,biodiversity,1978.5402137814476,972
age,middle,1,biodiversity,1698.7698976919287,1128
age,middle,2,biodiversity,1773.1924465970017,1011
age,middle,3,biodiversity,1798.0240597224836,990
age,middle,4,biodiversity,1177.1327150694954,1330
age,middle,5,biodiversity,1936.5631835234803,998
age,middle,6,biodiversity,1263.1605400112612,1080
age,middle,7,biodiversity,583.007498938762,1021
age,middle,8,biodiversity,1050.5297404726837,984
age,middle,0,safety,1239.8896576314826,918
age,middle,1,safety,1756.5403350753097,874
age,middle,2,safety,1683.7773016921947,1264
age,middle,3,safety,2004.1186888130721,896
age,middle,4,safety,1822.041552027559,1128
age,middle,5,safety,1836.734009958627,1203
age,middle,6,safety,1353.1930049854848,902
age,middle,7,safety,1905.4723337151058,509
age,middle,8,safety,1403.5679960641828,818
age,older,0,living,1471.6351663562805,506
age,older,1,living,1402.7310264889577,504
age,older,2,living,1535.3705684331435,492
age,older,3,living,1052.3797711687923,590
age,older,4,living,1918.0701359885643,402
age,older,5,living,1148.441233087306,420
age,older,6,living,922.9413501099297,531
age,older,7,living,946.5961925168738,366
age,older,8,living,1824.71441009164,539
age,older,0,biodiversity,1762.6550704324354,526
age,older,1,biodiversity,1678.3794910335037,588
age,older,2,biodiversity,1174.7526133349822,475
age,older,3,biodiversity,1334.897631435212,504
age,older,4,biodiversity,1435.7481122416057,679
age,older,5,biodiversity,1853.7951000759178,514
age,older,6,biodiversity,1817.7583218292807,493
age,older,7,biodiversity,1510.7548777125971,620
age,older,8,biodiversity,1311.9394628332298,543
age,older,0,safety,1720.0822978077224,489
age,older,1,safety,958.1361548617142,361
age,older,2,safety,1380.4516897365704,583
age,older,3,safety,1851.2257167821629,463
age,older,4,safety,1205.9121816922043,616
age,older,5,safety,1755.7174385079497,617
age,older,6,safety,1422.836015224115,476
age,older,7,safety,1664.4252899415783,256
age,older,8,safety,1317.07805095248,375
ethnicity,white,0,living,1659.1939268224728,1918
ethnicity,white,1,living,2209.824318494193,1888
ethnicity,white,2,living,1549.3374842054427,1789
ethnicity,white,3,living,1943.7322024761788,2146
ethnicity,white,4,living,2147.333981628832,1578
ethnicity,white,5,living,905.4508645546521,1596
ethnicity,white,6,living,1126.9278652272963,1934
ethnicity,white,7,living,220.3177945797259,1143
ethnicity,white,8,living,2022.765652432221,2244
ethnicity,white,0,biodiversity,1971.3651134077286,1858
ethnicity,white,1,biodiversity,2094.001871897083,2119
ethnicity,white,2,biodiversity,2287.9964367764305,1785
ethnicity,white,3,biodiversity,1555.7792211524268,1879
ethnicity,white,4,biodiversity,795.4960766643453,2509
ethnicity,white,5,biodiversity,1987.4933949417562,1917
ethnicity,white,6,biodiversity,1395.6425252183672,1960
ethnicity,white,7,biodiversity,579.1260523473201,2083
ethnicity,white,8,biodiversity,1277.8627871714525,1906
ethnicity,white,0,safety,892.6028966208046,1762
ethnicity,white,1,safety,778.4994136674035,1584
ethnicity,white,2,safety,1817.6680624643716,2324
ethnicity,white,3,safety,1864.4147700476738,1761
ethnicity,white,4,safety,1675.000167684818,2140
ethnicity,white,5,safety,1505.1784391104509,2228
ethnicity,white,6,safety,1724.8114084497684,1661
ethnicity,white,7,safety,2129.169426301599,974
ethnicity,white,8,safety,62.05965750640098,1474
ethnicity,other,0,living,1289.3978562636444,270
ethnicity,other,1,living,1698.9225900888803,224
ethnicity,other,2,living,1647.0967000255625,245
ethnicity,other,3,living,1507.296062676287,259
ethnicity,other,4,living,1737.7382620645212,220
ethnicity,other,5,living,1614.479313718529,172
ethnicity,other,6,living,1471.9996750337905,241
ethnicity,other,7,living,1256.50846570765,150
ethnicity,other,8,living,1402.0590608680118,247
ethnicity,other,0,biodiversity,1597.9599407844153,206
ethnicity,other,1,biodiversity,1554.1465518396008,235
ethnicity,other,2,biodiversity,1648.755354204434,143
ethnicity,other,3,biodiversity,1441.826548264617,224
ethnicity,other,4,biodiversity,1738.431821388168,226
ethnicity,other,5,biodiversity,1376.3390160952147,211
ethnicity,other,6,biodiversity,1146.9862689955642,190
ethnicity,other,7,biodiversity,1642.379702049947,228
ethnicity,other,8,biodiversity,1451.2662742437851,207
ethnicity,other,0,safety,1562.253684983356,212
ethnicity,other,1,safety,1363.0497403603167,186
ethnicity,other,2,safety,1217.0046972357832,246
ethnicity,other,3,safety,1543.7939067074872,195
ethnicity,other,4,safety,1733.4778940738918,211
ethnicity,other,5,safety,1013.8045466495463,234
ethnicity,other,6,safety,1524.5721576442202,177
ethnicity,other,7,safety,1679.1042258434395,132
ethnicity,other,8,safety,1600.5654382981459,189
education,sixteen,0,living,1342.3159530652363,154
education,sixteen,1,living,1451.472871300148,158
education,sixteen,2,living,1202.518203504689,127
education,sixteen,3,living,1582.0772845544218,162
education,sixteen,4,living,1490.8823228538486,133
education,sixteen,5,living,1726.3410786732193,99
education,sixteen,6,living,1552.1344512146986,168
education,sixteen,7,living,1259.1870090772359,117
education,sixteen,8,living,1685.6821205583528,182
education,sixteen,0,biodiversity,1470.3045145489318,154
education,sixteen,1,biodiversity,1751.66565314778,147
education,sixteen,2,biodiversity,1384.2475355207469,162
education,sixteen,3,biodiversity,1241.5267605769845,122
education,sixteen,4,biodiversity,1423.4277404452685,187
education,sixteen,5,biodiversity,1642.647087487857,129
education,sixteen,6,biodiversity,1598.2441597774662,146
education,sixteen,7,biodiversity,1564.6762724806,192
education,sixteen,8,biodiversity,1364.0347731696263,153
education,sixteen,0,safety,1459.4136177466128,183
education,sixteen,1,safety,1317.3259497486486,141
education,sixteen,2,safety,1692.017614095501,191
education,sixteen,3,safety,1524.8241322297545,164
education,sixteen,4,safety,1627.5528082897783,173
education,sixteen,5,safety,1652.841454643448,191
education,sixteen,6,safety,1483.8184784711455,160
education,sixteen,7,safety,1556.9242638788603,81
education,sixteen,8,safety,1388.243405301526,96
education,eighteen,0,living,1689.0798919416923,416
education,eighteen,1,living,1330.770367668495,404
education,eighteen,2,living,1662.0395985521195,387
education,eighteen,3,living,1587.261697251448,468
education,eighteen,4,living,1462.43630530314,335
education,eighteen,5,living,1805.033077502393,285
education,eighteen,6,living,1181.5591677397606,422
education,eighteen,7,living,677.3599358815214,195
education,eighteen,8,living,1726.5897967202468,484
education,eighteen,0,biodiversity,1522.8474358893866,402
education,eighteen,1,biodiversity,1600.6736057823932,471
education,eighteen,2,biodiversity,1645.8241395198784,395
education,eighteen,3,biodiversity,1806.8888219733162,398
education,eighteen,4,biodiversity,1359.7924944546319,531
education,eighteen,5,biodiversity,1752.389669398637,418
education,eighteen,6,biodiversity,1711.3920660626668,438
education,eighteen,7,biodiversity,1567.8765461265305,426
education,eighteen,8,biodiversity,1126.8730878537417,415
education,eighteen,0,safety,1345.3410655355246,319
education,eighteen,1,safety,1791.0997025208214,323
education,eighteen,2,safety,1536.2907366897248,522
education,eighteen,3,safety,1590.8676407540743,379
education,eighteen,4,safety,1742.56779626734,470
education,eighteen,5,safety,1318.3232174808675,489
education,eighteen,6,safety,1558.87888246842,324
education,eighteen,7,safety,1690.8552839652612,219
education,eighteen,8,safety,1378.714273392875,307
education,older,0,living,1683.789152025621,1669
education,older,1,living,2050.3289229287384,1591
education,older,2,living,1535.3441065118259,1572
education,older,3,living,1942.1545105530167,1827
education,older,4,living,2087.613580939687,1380
education,older,5,living,240.83082845414685,1440
education,older,6,living,1910.1733805497304,1638
education,older,7,living,1175.230134925019,1003
education,older,8,living,1131.4648824355243,1922
education,older,0,biodiversity,2053.8133280942207,1559
education,older,1,biodiversity,1863.7319152596165,1792
education,older,2,biodiversity,2230.5075723493683,1422
education,older,3,biodiversity,1379.2367900713627,1642
education,older,4,biodiversity,1437.1149692263114,2103
education,older,5,biodiversity,1407.5896829921821,1630
education,older,6,biodiversity,-73.89922304093596,1626
education,older,7,biodiversity,649.3371503854773,1749
education,older,8,biodiversity,1341.7635058789826,1601
education,older,0,safety,1372.2477666095658,1527
education,older,1,safety,128.06657763175212,1386
education,older,2,safety,612.3765224780643,1956
education,older,3,safety,1752.8943848644406,1477
education,older,4,safety,1055.6917166241567,1785
education,older,5,safety,1780.244138150103,1891
education,older,6,safety,1686.8862339929892,1440
education,older,7,safety,2086.6689721489165,852
education,older,8,safety,675.4570327130136,1300
income,lower,0,living,1038.7251746608745,423
income,lower,1,living,1743.1704069166856,396
income,lower,2,living,1259.6899344539822,387
income,lower,3,living,1461.9335684688774,452
income,lower,4,living,1834.0152248398851,389
income,lower,5,living,1681.5028514355597,272
income,lower,6,living,1508.6226957331646,414
income,lower,7,living,907.0953399392591,281
income,lower,8,living,1606.8079625061373,462
income,lower,0,biodiversity,1695.2929665284478,386
income,lower,1,biodiversity,1571.1218596601416,502
income,lower,2,biodiversity,1376.6350361546538,368
income,lower,3,biodiversity,1454.7806227765261,401
income,lower,4,biodiversity,1773.8136975074258,473
income,lower,5,biodiversity,1705.197007281435,404
income,lower,6,biodiversity,1796.0795688344338,387
income,lower,7,biodiversity,1126.98516689123,432
income,lower,8,biodiversity,978.0205230685941,425
income,lower,0,safety,1369.8737192791614,382
income,lower,1,safety,1453.916004751263,389
income,lower,2,safety,1617.3522254922905,543
income,lower,3,safety,1654.5296123470002,351
income,lower,4,safety,1500.271896955758,467
income,lower,5,safety,1407.370636678886,463
income,lower,6,safety,1733.3253970909348,353
income,lower,7,safety,1814.2856809338373,223
income,lower,8,safety,987.6266578884184,295
income,middle,0,living,1494.4825521932976,702
income,middle,1,living,1714.0126936785448,751
income,middle,2,living,1623.5195147272311,657
income,middle,3,living,1845.031846301637,803
income,middle,4,living,1878.5695583160339,526
income,middle,5,living,1060.286215847998,585
income,middle,6,living,1091.9245580692118,669
income,middle,7,living,385.8851088886407,369
income,middle,8,living,1761.740275215569,830
income,middle,0,biodiversity,1675.6990912733563,740
income,middle,1,biodiversity,1736.6998321409308,747
income,middle,2,biodiversity,1582.0861781613726,659
income,middle,3,biodiversity,1925.9514465302648,686
income,middle,4,biodiversity,1394.8034208059448,942
income,middle,5,biodiversity,1376.4414918310138,752
income,middle,6,biodiversity,740.7092873068401,733
income,middle,7,biodiversity,1862.545100472071,765
income,middle,8,biodiversity,864.841574274813,686
income,middle,0,safety,1180.9083899532202,618
income,middle,1,safety,1481.7518730845798,595
income,middle,2,safety,1351.2893123977435,812
income,middle,3,safety,1752.0004748207791,659
income,middle,4,safety,1996.3680839369267,820
income,middle,5,safety,1730.61499057279,852
income,middle,6,safety,1576.8930612079396,606
income,middle,7,safety,1443.1790434284217,385
income,middle,8,safety,1054.0667795969318,585
income,higher,0,living,1817.39616488826,732
income,higher,1,living,1794.009946470684,646
income,higher,2,living,1265.3095914020525,698
income,higher,3,living,1426.7352625917426,809
income,higher,4,living,1610.7568089465672,620
income,higher,5,living,1526.7337285557953,668
income,higher,6,living,1912.4534570083374,777
income,higher,7,living,1477.2600740474759,474
income,higher,8,living,826.3195476245863,864
income,higher,0,biodiversity,1855.8009859358253,645
income,higher,1,biodiversity,1707.1171541143092,757
income,higher,2,biodiversity,1940.5958552581856,588
income,higher,3,biodiversity,1361.2003456006814,701
income,higher,4,biodiversity,1555.1579512875178,910
income,higher,5,biodiversity,1409.6723448503358,669
income,higher,6,biodiversity,1199.7908257787828,721
income,higher,7,biodiversity,1151.558450224021,775
income,higher,8,biodiversity,1471.7352923454232,696
income,higher,0,safety,1268.9892418265815,689
income,higher,1,safety,576.9178864658629,571
income,higher,2,safety,1807.9244409957835,869
income,higher,3,safety,1761.0107372319817,668
income,higher,4,safety,963.4585292083748,714
income,higher,5,safety,1584.4856067506464,799
income,higher,6,safety,1564.0483765441147,627
income,higher,7,safety,1877.7885854236824,354
income,higher,8,safety,1619.9395162144856,557
movement,yes,0,living,961.2974176369781,474
movement,yes,1,living,1409.553259731632,467
movement,yes,2,living,1436.5978723050644,460
movement,yes,3,living,1086.4766804416538,519
movement,yes,4,living,1390.8605830178287,433
