demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1638.9256354952615,2647
global,global,1,living,1046.4873393915118,2105
global,global,2,living,2190.6489847553694,1942
global,global,3,living,1896.7428633528366,2494
global,global,4,living,1104.7377554029274,2059
global,global,5,living,1776.624576035838,2064
global,global,6,living,1208.3555180777416,2307
global,global,7,living,2110.6729359989176,2199
global,global,8,living,2346.718310141742,2587
global,global,0,biodiversity,1811.6275945352434,1848
global,global,1,biodiversity,1832.4617519033743,2567
global,global,2,biodiversity,717.3554622938832,2448
global,global,3,biodiversity,2089.1001373975705,2569
global,global,4,biodiversity,758.9491280011227,2148
global,global,5,biodiversity,2284.259504277079,2252
global,global,6,biodiversity,503.72421176663863,2197
global,global,7,biodiversity,1937.2561520873894,2499
global,global,8,biodiversity,2216.2789505535548,2356
global,global,0,safety,2254.1149954565612,2056
global,global,1,safety,961.8539477309944,2492
global,global,2,safety,2097.2324950191723,3157
global,global,3,safety,1354.7547112193943,2475
global,global,4,safety,694.8598206621093,2052
global,global,5,safety,-258.5822274114579,1933
global,global,6,safety,2014.9222923887755,2331
global,global,7,safety,2364.732965111589,2634
global,global,8,safety,1885.33468114981,2882
gender,man,0,living,1866.6817946272329,1317
gender,man,1,living,922.6773490995784,1078
gender,man,2,living,1327.8275328892526,977
gender,man,3,living,1421.4875071048195,1296
gender,man,4,living,1246.8942229905565,1074
gender,man,5,living,1694.5190566986441,1106
gender,man,6,living,1843.1140701604459,1211
gender,man,7,living,2032.4846129918556,1058
gender,man,8,living,1835.6081683492794,1345
gender,man,0,biodiversity,1994.635932631503,982
gender,man,1,biodiversity,1812.5260026882218,1359
gender,man,2,biodiversity,1319.1114621113115,1225
gender,man,3,biodiversity,1629.0375530088195,1268
gender,man,4,biodiversity,1223.8529969128697,1075
gender,man,5,biodiversity,1933.1817419783645,1197
gender,man,6,biodiversity,767.3705031734497,1141
gender,man,7,biodiversity,2039.6321887429588,1300
gender,man,8,biodiversity,1832.3790756165215,1191
gender,man,0,safety,2035.8106675394047,1034
gender,man,1,safety,436.3078958359081,1267
gender,man,2,safety,1110.1113687756442,1553
gender,man,3,safety,797.8338709645086,1289
gender,man,4,safety,1330.2660085504554,1092
gender,man,5,safety,1637.8323926892344,1108
gender,man,6,safety,1892.2702591306024,1147
gender,man,7,safety,1787.7159086100341,1277
gender,man,8,safety,1862.212681593561,1457
gender,woman,0,living,1518.0248439551451,1118
gender,woman,1,living,1537.8273305811524,820
gender,woman,2,living,1953.4847952371892,799
gender,woman,3,living,1306.1684301049318,1024
gender,woman,4,living,1749.704881818303,846
gender,woman,5,living,1338.184345528723,831
gender,woman,6,living,508.6174893409371,874
gender,woman,7,living,1930.3880866709942,937
gender,woman,8,living,1892.7232725444517,1005
gender,woman,0,biodiversity,1502.6647643728134,716
gender,woman,1,biodiversity,1440.4011995067265,1002
gender,woman,2,biodiversity,1365.435232540358,1054
gender,woman,3,biodiversity,1843.976947885328,1049
gender,woman,4,biodiversity,1192.3145246062775,864
gender,woman,5,biodiversity,2016.291686201093,862
gender,woman,6,biodiversity,1661.9160726001728,804
gender,woman,7,biodiversity,1586.089614404032,966
gender,woman,8,biodiversity,1808.834934472866,939
gender,woman,0,safety,1411.8798017131464,877
gender,woman,1,safety,1917.1617044434715,1033
gender,woman,2,safety,1655.0080947653116,1281
gender,woman,3,safety,1112.1501647990442,972
gender,woman,4,safety,1021.8128952778534,860
gender,woman,5,safety,79.37897430685558,745
gender,woman,6,safety,1891.7823927192628,955
gender,woman,7,safety,2034.671247511634,1026
gender,woman,8,safety,1845.1755055697872,1209
gender,other,0,living,1546.469843577728,12
gender,other,1,living,1440.0416175512141,9
gender,other,2,living,1522.5692896802618,8
gender,other,3,living,1514.8170271958702,11
gender,other,4,living,1499.9999960898747,8
gender,other,5,living,1571.380633162616,12
gender,other,6,living,1485.7921763875308,11
gender,other,7,living,1460.4567600007426,19
gender,other,8,living,1455.840206069381,12
gender,other,0,biodiversity,1485.6374311023897,11
gender,other,1,biodiversity,1490.5421014395688,11
gender,other,2,biodiversity,1571.9176576525158,10
gender,other,3,biodiversity,1548.7278379552945,16
gender,other,4,biodiversity,1511.8255032820434,15
gender,other,5,biodiversity,1479.6357116579788,8
gender,other,6,biodiversity,1454.7271219350766,12
gender,other,7,biodiversity,1438.0245037901038,21
gender,other,8,biodiversity,1522.7375246554982,12
gender,other,0,safety,1537.5606971922564,13
gender,other,1,safety,1547.9122426263345,16
gender,other,2,safety,1442.5213183035867,9
gender,other,3,safety,1511.2779482536587,15
gender,other,4,safety,1463.7618251290805,19
gender,other,5,safety,1452.0796405265949,10
gender,other,6,safety,1561.5836187816208,9
gender,other,7,safety,1502.3632256647927,16
gender,other,8,safety,1488.479943774699,13
age,younger,0,living,1063.0331902646485,775
age,younger,1,living,809.6030163287364,560
age,younger,2,living,1565.2262273373015,528
age,younger,3,living,1829.506809959869,746
age,younger,4,living,1884.5099050352655,555
age,younger,5,living,1125.5034250350818,604
age,younger,6,living,1252.9639545550342,628
age,younger,7,living,1801.6032649925712,608
age,younger,8,living,1496.3459111859477,728
age,younger,0,biodiversity,1216.3603805954017,539
age,younger,1,biodiversity,1727.462087744368,726
age,younger,2,biodiversity,1505.15589061821,756
age,younger,3,biodiversity,1790.360970797001,660
age,younger,4,biodiversity,1164.4016211987557,571
age,younger,5,biodiversity,1913.8794680304436,591
age,younger,6,biodiversity,1426.3404983334744,639
age,younger,7,biodiversity,1581.7904836258745,700
age,younger,8,biodiversity,1631.9298745507506,656
age,younger,0,safety,1443.1282103203125,626
age,younger,1,safety,968.6805229628527,688
age,younger,2,safety,1948.5622825141006,822
age,younger,3,safety,1733.8044974713914,743
age,younger,4,safety,1545.0666730065834,598
age,younger,5,safety,1145.151614074443,563
age,younger,6,safety,1673.2908246980007,635
age,younger,7,safety,1694.1210475454382,754
age,younger,8,safety,1856.110221352849,783
age,middle,0,living,1909.991444433477,1066
age,middle,1,living,1433.9043760077632,872
age,middle,2,living,1958.80448815244,861
age,middle,3,living,1451.893831685463,1076
age,middle,4,living,936.0508736546744,944
age,middle,5,living,1842.3602863792662,903
age,middle,6,living,983.1068126845887,957
age,middle,7,living,1801.3323429262316,954
age,middle,8,living,1720.2248912137372,1129
age,middle,0,biodiversity,1863.4579247031595,782
age,middle,1,biodiversity,1572.2307645618014,1076
age,middle,2,biodiversity,764.3831230057104,999
age,middle,3,biodiversity,1159.2204963290214,1092
age,middle,4,biodiversity,590.974502714023,969
age,middle,5,biodiversity,1677.4430374666504,972
age,middle,6,biodiversity,269.8472708159867,894
age,middle,7,biodiversity,1912.9731490040672,1012
age,middle,8,biodiversity,1958.1987477316168,982
age,middle,0,safety,1679.6440320581191,824
age,middle,1,safety,1267.1930588112991,1085
age,middle,2,safety,1895.5460819619436,1316
age,middle,3,safety,248.44333052588135,1033
age,middle,4,safety,1352.7258089562263,923
age,middle,5,safety,200.6225009274641,829
age,middle,6,safety,1583.2776831333483,945
age,middle,7,safety,1995.9880949643675,994
age,middle,8,safety,1738.6036274495061,1259
age,older,0,living,1676.177107049555,606
age,older,1,living,1461.87432907905,468
age,older,2,living,1709.0027069827895,399
age,older,3,living,1063.4142218471666,500
age,older,4,living,1245.4763257884829,416
age,older,5,living,874.9229786670192,426
age,older,6,living,1825.0065924351152,507
age,older,7,living,1494.9546641659958,453
age,older,8,living,1833.9246610955117,499
age,older,0,biodiversity,1627.9245769171953,386
age,older,1,biodiversity,1480.4179219670536,562
age,older,2,biodiversity,1374.0745970392434,528
age,older,3,biodiversity,1543.9518285430318,581
age,older,4,biodiversity,1793.088923614566,409
age,older,5,biodiversity,1709.4579177520443,496
age,older,6,biodiversity,1764.753299113847,413
age,older,7,biodiversity,1517.0992758039329,568
age,older,8,biodiversity,1243.7707859346203,489
age,older,0,safety,1523.7939509797532,475
age,older,1,safety,1765.0338569087182,542
age,older,2,safety,-27.18948405133332,692
age,older,3,safety,1196.9001677632416,489
age,older,4,safety,1402.4067850901622,440
age,older,5,safety,1721.7093046321827,465
age,older,6,safety,1891.6825367635633,519
age,older,7,safety,1663.4859503753364,569
age,older,8,safety,1352.930882407518,631
ethnicity,white,0,living,1907.4194151205413,2065
ethnicity,white,1,living,1497.1631316260514,1674
ethnicity,white,2,living,2167.1201022096025,1509
ethnicity,white,3,living,756.852893754737,2012
ethnicity,white,4,living,1099.2387043761523,1654
ethnicity,white,5,living,1011.9843094539731,1686
ethnicity,white,6,living,333.86549267858646,1795
ethnicity,white,7,living,2016.8940132506536,1688
ethnicity,white,8,living,2044.3037287178454,2039
ethnicity,white,0,biodiversity,1830.6231207142955,1475
ethnicity,white,1,biodiversity,1736.041633283356,2054
ethnicity,white,2,biodiversity,1350.4614391152847,1990
ethnicity,white,3,biodiversity,1915.5696845741631,2013
ethnicity,white,4,biodiversity,560.3931715818347,1644
ethnicity,white,5,biodiversity,2180.3318850959517,1817
ethnicity,white,6,biodiversity,1872.1512562611451,1703
ethnicity,white,7,biodiversity,1991.6863911876446,2003
ethnicity,white,8,biodiversity,2038.4467219540843,1845
ethnicity,white,0,safety,2180.6156646154923,1638
ethnicity,white,1,safety,1368.370126126069,1983
ethnicity,white,2,safety,1624.8569871723719,2460
ethnicity,white,3,safety,1097.608280246295,1937
ethnicity,white,4,safety,914.42732767235,1697
ethnicity,white,5,safety,1293.881909804674,1621
ethnicity,white,6,safety,2116.827231843255,1852
ethnicity,white,7,safety,2091.9496657695745,2004
ethnicity,white,8,safety,1898.921667657727,2302
ethnicity,other,0,living,1229.6675804246402,273
ethnicity,other,1,living,1312.5243175701562,144
ethnicity,other,2,living,1542.1639383225288,210
ethnicity,other,3,living,1763.5438964417879,217
ethnicity,other,4,living,1262.4040958639164,203
ethnicity,other,5,living,1500.4650307274712,182
ethnicity,other,6,living,1642.6880947751924,208
ethnicity,other,7,living,1570.6290145143464,240
ethnicity,other,8,living,1661.3325657917517,227
ethnicity,other,0,biodiversity,1528.861139973346,157
ethnicity,other,1,biodiversity,1554.6200941990874,217
ethnicity,other,2,biodiversity,1210.3260008030109,223
ethnicity,other,3,biodiversity,1489.2730623029677,222
ethnicity,other,4,biodiversity,1609.503244628151,216
ethnicity,other,5,biodiversity,1654.1166861556014,164
ethnicity,other,6,biodiversity,1146.8937329347727,175
ethnicity,other,7,biodiversity,1378.2360451526145,204
