demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2104.8645849348427,2548
global,global,1,living,2234.8829815195418,2409
global,global,2,living,692.9386003610916,1360
global,global,3,living,210.05141269225732,2015
global,global,4,living,1911.4372624828009,2444
global,global,5,living,2365.845811577875,2306
global,global,6,living,430.0894209972436,2388
global,global,7,living,1255.846610191792,2998
global,global,8,living,1746.8374380657242,2908
global,global,0,biodiversity,766.793003537727,3188
global,global,1,biodiversity,1926.1359144774412,2277
global,global,2,biodiversity,1016.6337636626299,2257
global,global,3,biodiversity,1483.1887687504127,2911
global,global,4,biodiversity,2278.7106795656828,1967
global,global,5,biodiversity,1198.2433248150978,2766
global,global,6,biodiversity,-247.66077523654667,1848
global,global,7,biodiversity,206.95647439847096,2252
global,global,8,biodiversity,2137.7007341540034,2434
global,global,0,safety,2155.0134814797675,1280
global,global,1,safety,1269.3463408515026,2873
global,global,2,safety,1428.3114840003648,2087
global,global,3,safety,489.1832312976096,2856
global,global,4,safety,1988.8165679594777,1540
global,global,5,safety,793.6391360146317,2428
global,global,6,safety,465.1398982094534,2830
global,global,7,safety,1230.3147972736508,2015
global,global,8,safety,1675.7935407405394,2115
gender,man,0,living,1772.9199149886201,1368
gender,man,1,living,2114.2925059784748,1195
gender,man,2,living,651.4438773733247,695
gender,man,3,living,1474.02725032454,1104
gender,man,4,living,1732.5457622102772,1300
gender,man,5,living,1897.8127097829074,1131
gender,man,6,living,884.1763731972652,1263
gender,man,7,living,1690.3329661353423,1545
gender,man,8,living,1803.6543255745228,1469
gender,man,0,biodiversity,1027.2411766359178,1574
gender,man,1,biodiversity,1661.8759913208578,1112
gender,man,2,biodiversity,1537.7378953292796,1153
gender,man,3,biodiversity,784.7034558155118,1512
gender,man,4,biodiversity,2052.809005355846,897
gender,man,5,biodiversity,1275.6324397032245,1409
gender,man,6,biodiversity,172.7238247749258,906
gender,man,7,biodiversity,997.823593616142,1202
gender,man,8,biodiversity,1917.5961365636877,1237
gender,man,0,safety,1592.7075774901966,736
gender,man,1,safety,1719.3794642603716,1495
gender,man,2,safety,1770.8853709816667,1047
gender,man,3,safety,1146.302204017622,1444
gender,man,4,safety,1698.2182345691049,852
gender,man,5,safety,244.17965452915928,1196
gender,man,6,safety,1638.464133926034,1429
gender,man,7,safety,1117.5995765212274,1071
gender,man,8,safety,2018.2129460097435,1082
gender,woman,0,living,2043.8665554551571,953
gender,woman,1,living,1571.0211928814838,1028
gender,woman,2,living,1483.6634441024319,608
gender,woman,3,living,696.8958303374737,791
gender,woman,4,living,1662.7161321863757,991
gender,woman,5,living,1908.5066441460342,982
gender,woman,6,living,1301.30819127361,915
gender,woman,7,living,1341.1246020582073,1201
gender,woman,8,living,1687.7919470449926,1159
gender,woman,0,biodiversity,1654.3919362761023,1348
gender,woman,1,biodiversity,1968.4435740523331,911
gender,woman,2,biodiversity,1562.2502358088493,904
