demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1217.7564481095787,2815
global,global,1,living,500.7224744714637,2312
global,global,2,living,2013.875079647681,2504
global,global,3,living,2365.102020246532,2003
global,global,4,living,533.846230899626,2156
global,global,5,living,1196.4460844531493,1975
global,global,6,living,1963.3189128676868,2799
global,global,7,living,2290.751590717246,2711
global,global,8,living,2155.7172406022146,2549
global,global,0,biodiversity,1820.559304917062,2264
global,global,1,biodiversity,1475.9852348970342,2573
global,global,2,biodiversity,2141.998389106594,1831
global,global,3,biodiversity,401.1351268351874,1902
global,global,4,biodiversity,2019.0041594710726,2497
global,global,5,biodiversity,2260.648891104957,1455
global,global,6,biodiversity,1156.1196164867847,2316
global,global,7,biodiversity,243.8650895947737,2127
global,global,8,biodiversity,1668.5946677061459,2631
global,global,0,safety,1535.5948004027166,2408
global,global,1,safety,1409.251774675743,3170
global,global,2,safety,877.3593847891734,3219
global,global,3,safety,127.3154059351358,1759
global,global,4,safety,1267.7259690617075,3013
global,global,5,safety,398.9970186618356,2753
global,global,6,safety,1745.202321111866,2156
global,global,7,safety,1882.0282756125928,1766
global,global,8,safety,2206.459505689881,1636
gender,man,0,living,1165.9034149179126,1420
gender,man,1,living,956.435817839234,1267
gender,man,2,living,1720.0513522816636,1317
gender,man,3,living,1878.3367741306513,1007
gender,man,4,living,1787.0691359789898,1149
gender,man,5,living,384.9068313202536,992
gender,man,6,living,1258.7938820618024,1412
gender,man,7,living,2101.4240578710046,1338
gender,man,8,living,2013.557327012487,1258
gender,man,0,biodiversity,1727.1341282213289,1107
gender,man,1,biodiversity,1342.4403251805993,1289
gender,man,2,biodiversity,1784.799429870764,877
gender,man,3,biodiversity,1621.6711334331694,1055
gender,man,4,biodiversity,1290.7841338803662,1288
gender,man,5,biodiversity,2051.347109128357,675
gender,man,6,biodiversity,994.6211911836448,1217
gender,man,7,biodiversity,1559.32429999854,1209
gender,man,8,biodiversity,1749.6331308638637,1381
gender,man,0,safety,963.7661677110333,1200
gender,man,1,safety,1704.0895093568795,1562
gender,man,2,safety,1645.8229124951795,1597
gender,man,3,safety,716.933106135867,943
gender,man,4,safety,1884.9932590744875,1501
gender,man,5,safety,-115.73047427676437,1438
gender,man,6,safety,653.3611421234039,1147
gender,man,7,safety,1917.3099985299596,928
gender,man,8,safety,1964.6080411544763,850
gender,woman,0,living,1496.9861551125307,1146
gender,woman,1,living,1361.980498134747,940
gender,woman,2,living,1141.0763772781827,977
gender,woman,3,living,1911.6901814860068,812
gender,woman,4,living,136.51576570126198,869
gender,woman,5,living,2009.1523781168264,899
gender,woman,6,living,1724.062596915879,1037
gender,woman,7,living,1814.8365843426946,1095
gender,woman,8,living,1870.875272500584,989
gender,woman,0,biodiversity,1685.8436676170356,919
gender,woman,1,biodiversity,1716.386618014989,1023
gender,woman,2,biodiversity,1969.4724471093923,773
gender,woman,3,biodiversity,480.89757589270823,768
gender,woman,4,biodiversity,1921.5590632875321,944
gender,woman,5,biodiversity,1814.5497478992256,600
gender,woman,6,biodiversity,1457.1519818826268,959
gender,woman,7,biodiversity,182.26240337079187,808
gender,woman,8,biodiversity,1083.0954400912528,986
gender,woman,0,safety,1894.1824095362824,939
gender,woman,1,safety,1182.359187086329,1309
gender,woman,2,safety,1610.414539159074,1345
gender,woman,3,safety,1651.4931772481755,690
gender,woman,4,safety,1348.947690587798,1263
gender,woman,5,safety,1426.2082413890757,1088
gender,woman,6,safety,1928.8449172887163,880
gender,woman,7,safety,1462.0689969185205,737
gender,woman,8,safety,1838.6769390478746,673
gender,other,0,living,1480.269852239589,16
gender,other,1,living,1538.0395806501551,9
gender,other,2,living,1489.6462619872993,15
gender,other,3,living,1560.0856901326952,7
gender,other,4,living,1501.379662987374,12
gender,other,5,living,1441.706324354394,13
gender,other,6,living,1464.0000678290414,7
gender,other,7,living,1499.7566036796884,14
gender,other,8,living,1535.6057986892151,13
gender,other,0,biodiversity,1555.7159497885098,9
gender,other,1,biodiversity,1461.7307696923795,9
gender,other,2,biodiversity,1526.0849510451053,16
gender,other,3,biodiversity,1490.9715801555192,15
gender,other,4,biodiversity,1522.554242297501,14
gender,other,5,biodiversity,1488.0294987002244,13
gender,other,6,biodiversity,1571.192418595962,16
gender,other,7,biodiversity,1451.9955886951902,14
gender,other,8,biodiversity,1426.5653465784253,12
gender,other,0,safety,1548.1389092345703,10
gender,other,1,safety,1572.703498107811,8
gender,other,2,safety,1477.6103883360374,16
gender,other,3,safety,1516.682518202491,17
gender,other,4,safety,1497.7315210420807,16
gender,other,5,safety,1518.2344544860164,14
gender,other,6,safety,1410.7784926679178,9
gender,other,7,safety,1452.0796563120907,6
gender,other,8,safety,1500.8456030004177,18
age,younger,0,living,947.0063326346831,784
age,younger,1,living,1147.4960126567687,717
age,younger,2,living,1363.304550398036,736
age,younger,3,living,1875.625299143964,541
age,younger,4,living,839.1905347345496,580
age,younger,5,living,1456.374400339627,600
age,younger,6,living,1292.5269371822803,804
age,younger,7,living,1901.0987308629565,740
age,younger,8,living,1755.454924912735,618
age,younger,0,biodiversity,1483.2219981889175,646
age,younger,1,biodiversity,1522.9939823569746,724
age,younger,2,biodiversity,1651.4333392629487,490
age,younger,3,biodiversity,1024.5156706059258,516
age,younger,4,biodiversity,1858.3345828675378,690
age,younger,5,biodiversity,1818.7252818667553,450
age,younger,6,biodiversity,1729.479622745845,679
age,younger,7,biodiversity,1355.9878865632072,649
age,younger,8,biodiversity,1797.4096150191406,728
age,younger,0,safety,1638.220460199359,704
age,younger,1,safety,1890.160858657244,845
age,younger,2,safety,1741.8709484283354,867
age,younger,3,safety,1329.5135366620873,500
age,younger,4,safety,1168.1062601217154,852
age,younger,5,safety,988.0173148022955,797
age,younger,6,safety,1203.204402193413,572
age,younger,7,safety,1787.024373638951,480
