demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2498.0285883912065,2707
global,global,1,living,1811.0288519214128,2839
global,global,2,living,854.9159678210955,1292
global,global,3,living,670.9007430440951,1326
global,global,4,living,1274.040938229157,2566
global,global,5,living,1924.8322366458908,2798
global,global,6,living,1720.2244242978309,2188
global,global,7,living,2279.0448113083876,2469
global,global,8,living,1536.638550535875,2903
global,global,0,biodiversity,1997.157637489186,2324
global,global,1,biodiversity,2335.387921128573,2427
global,global,2,biodiversity,48.54303099653263,1445
global,global,3,biodiversity,2289.2284136677795,2523
global,global,4,biodiversity,1823.2875278991241,2671
global,global,5,biodiversity,645.3559540766915,2789
global,global,6,biodiversity,1689.2786004041961,2142
global,global,7,biodiversity,2117.357207742988,2668
global,global,8,biodiversity,464.2694777491211,1957
global,global,0,safety,119.3050985584595,2255
global,global,1,safety,951.9890755749591,1884
global,global,2,safety,1863.4143110138343,2906
global,global,3,safety,1434.970175489928,2787
global,global,4,safety,1925.460438626062,2054
global,global,5,safety,558.8484216939654,2741
global,global,6,safety,2244.344742597404,1465
global,global,7,safety,1792.8380322807482,2323
global,global,8,safety,1477.299627982093,2851
gender,man,0,living,2171.1238611806825,1398
gender,man,1,living,1590.496370224974,1479
gender,man,2,living,1145.0462619758623,640
gender,man,3,living,692.9376811739951,657
gender,man,4,living,1554.3403377660593,1251
gender,man,5,living,2064.314679386599,1358
gender,man,6,living,1081.9518571329252,1054
gender,man,7,living,1395.1539295242967,1217
gender,man,8,living,1729.4258854123152,1474
gender,man,0,biodiversity,1543.1110718850668,1266
gender,man,1,biodiversity,1443.2396954394085,1186
gender,man,2,biodiversity,1595.983818138777,758
gender,man,3,biodiversity,1904.2865928987014,1277
gender,man,4,biodiversity,1937.06698920924,1297
gender,man,5,biodiversity,1738.3030673628023,1376
gender,man,6,biodiversity,1825.8584919774623,1137
gender,man,7,biodiversity,2032.5183063850463,1310
gender,man,8,biodiversity,1402.1981381347318,1033
gender,man,0,safety,1451.431643672204,1285
gender,man,1,safety,1233.8108735105027,1067
gender,man,2,safety,1305.4495859840542,1515
gender,man,3,safety,1893.0450207474134,1479
gender,man,4,safety,1964.5768730741129,1052
gender,man,5,safety,1843.5048063365994,1424
gender,man,6,safety,1984.6029268256223,854
gender,man,7,safety,1597.303460131273,1139
gender,man,8,safety,1793.1881965945845,1441
gender,woman,0,living,1940.3129413415616,1072
gender,woman,1,living,1612.809633269646,1090
gender,woman,2,living,1520.6634701280232,585
gender,woman,3,living,1571.8759059031227,609
gender,woman,4,living,1241.8747874877788,1040
gender,woman,5,living,1901.6725709351367,1096
gender,woman,6,living,1977.8471009224384,893
gender,woman,7,living,1681.1975006300336,994
gender,woman,8,living,1847.6258366924433,1173
gender,woman,0,biodiversity,1851.3225958782516,933
gender,woman,1,biodiversity,1992.6630798360127,933
gender,woman,2,biodiversity,1047.976997538916,605
gender,woman,3,biodiversity,1916.0549418478793,1043
gender,woman,4,biodiversity,1128.8998764940532,1107
gender,woman,5,biodiversity,963.0458703019408,1159
