demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2099.201522105988,2699
global,global,1,living,2083.745354253383,2377
global,global,2,living,2216.170471889659,1963
global,global,3,living,1932.2918345804608,3104
global,global,4,living,1094.3497151565884,2757
global,global,5,living,803.5177853200388,2882
global,global,6,living,1662.901588825097,2445
global,global,7,living,1620.768196714811,2612
global,global,8,living,1796.990130655044,2307
global,global,0,biodiversity,362.9662123454992,2065
global,global,1,biodiversity,1612.091512029169,1600
global,global,2,biodiversity,991.0350167992557,1266
global,global,3,biodiversity,2037.5400627212146,1240
global,global,4,biodiversity,1389.4355377365323,2055
global,global,5,biodiversity,598.1945177269914,2101
global,global,6,biodiversity,1670.1568380098847,2061
global,global,7,biodiversity,2242.082890759889,1476
global,global,8,biodiversity,1437.5573124680548,1640
global,global,0,safety,1661.715404491701,3300
global,global,1,safety,1849.8326976079725,3356
global,global,2,safety,1871.9721008204033,2523
global,global,3,safety,1249.4799195150308,2517
global,global,4,safety,1563.8718531600323,3230
global,global,5,safety,2217.0286713872138,1435
global,global,6,safety,1885.9742153827062,2398
global,global,7,safety,1670.3699678580172,2851
global,global,8,safety,1957.2869719671512,3040
gender,man,0,living,2024.3089466154454,1417
gender,man,1,living,1917.5749777512317,1231
gender,man,2,living,1419.174039762073,1048
gender,man,3,living,1826.809222099215,1656
gender,man,4,living,1801.8080066023674,1447
gender,man,5,living,308.9444174088676,1449
gender,man,6,living,1967.0609559401871,1213
gender,man,7,living,1093.1437854071717,1342
gender,man,8,living,1061.9401629669214,1121
gender,man,0,biodiversity,924.9686427409347,1067
gender,man,1,biodiversity,1334.7520747601147,831
gender,man,2,biodiversity,1114.1619539794674,645
gender,man,3,biodiversity,1825.1213551550188,617
gender,man,4,biodiversity,1136.9568245794283,1052
gender,man,5,biodiversity,1162.1235400344362,1070
gender,man,6,biodiversity,1851.5947634317374,981
gender,man,7,biodiversity,1974.6162447432007,779
gender,man,8,biodiversity,1448.8759128747786,838
gender,man,0,safety,1675.004277396002,1674
gender,man,1,safety,1751.9517923988549,1702
gender,man,2,safety,1494.6580786074783,1285
gender,man,3,safety,1367.7982445665982,1348
gender,man,4,safety,1871.6232390470484,1661
gender,man,5,safety,2069.985798589229,766
gender,man,6,safety,1953.67076634066,1260
gender,man,7,safety,920.2297477974936,1413
gender,man,8,safety,1471.5537525055065,1511
gender,woman,0,living,486.87920507390953,1081
gender,woman,1,living,1714.1212725323824,947
gender,woman,2,living,1953.7163645105916,729
gender,woman,3,living,1625.2354969875892,1221
gender,woman,4,living,132.44209753288843,1125
gender,woman,5,living,1670.5947371991072,1197
gender,woman,6,living,884.3397428255798,1000
gender,woman,7,living,1870.1744175168606,1103
gender,woman,8,living,961.0207226734476,965
gender,woman,0,biodiversity,1714.2937509504063,850
gender,woman,1,biodiversity,1758.1890022056537,610
gender,woman,2,biodiversity,1460.55559708106,526
gender,woman,3,biodiversity,1925.930846501156,459
gender,woman,4,biodiversity,1587.7611881013552,796
gender,woman,5,biodiversity,1331.5484738178718,844
gender,woman,6,biodiversity,927.3961261394077,802
gender,woman,7,biodiversity,1655.1614946683046,569
gender,woman,8,biodiversity,1438.2986563688867,680
gender,woman,0,safety,1581.2201973641088,1380
gender,woman,1,safety,1338.1080300447866,1322
gender,woman,2,safety,1887.7134549596615,1040
gender,woman,3,safety,919.2068403546599,1002
gender,woman,4,safety,885.1394428487049,1291
gender,woman,5,safety,1939.5021149885913,560
gender,woman,6,safety,1921.8426966024172,937
gender,woman,7,safety,1691.0473414841965,1248
gender,woman,8,safety,1487.19705223504,1184
gender,other,0,living,1523.4926817437054,18
gender,other,1,living,1498.8587088436514,14
gender,other,2,living,1559.9733557104782,5
gender,other,3,living,1546.8710246106657,10
gender,other,4,living,1477.8082382067155,20
gender,other,5,living,1526.9476803708017,14
gender,other,6,living,1499.9677182104,12
gender,other,7,living,1426.7601019080419,6
gender,other,8,living,1439.5797318606608,15
gender,other,0,biodiversity,1450.7188628525648,10
gender,other,1,biodiversity,1536.3991328281,7
gender,other,2,biodiversity,1439.9841232517497,5
gender,other,3,biodiversity,1511.6437349727505,9
gender,other,4,biodiversity,1488.8148185443015,11
gender,other,5,biodiversity,1476.3862146160482,14
gender,other,6,biodiversity,1522.7484187211353,14
gender,other,7,biodiversity,1500.0152615409752,10
gender,other,8,biodiversity,1571.5338617455377,12
gender,other,0,safety,1572.197636648805,14
gender,other,1,safety,1528.359792309076,14
gender,other,2,safety,1466.5970054636648,15
gender,other,3,safety,1502.0431166774215,12
gender,other,4,safety,1513.4979426619927,15
gender,other,5,safety,1440.8068969970898,11
gender,other,6,safety,1463.1643520054697,21
gender,other,7,safety,1473.5315361153093,18
gender,other,8,safety,1549.729992971069,12
age,younger,0,living,1537.0353209406953,785
age,younger,1,living,223.2450334600027,662
age,younger,2,living,1888.5615214130858,496
age,younger,3,living,1846.8753026467803,862
age,younger,4,living,1547.9862571839558,756
age,younger,5,living,1706.3979419782418,804
age,younger,6,living,1275.8694496128555,702
age,younger,7,living,717.7246478159219,677
age,younger,8,living,1347.627052513155,616
age,younger,0,biodiversity,1767.1771398007818,625
age,younger,1,biodiversity,1347.8831866469266,457
age,younger,2,biodiversity,962.8620447337106,335
age,younger,3,biodiversity,1503.738853859604,369
age,younger,4,biodiversity,1833.9554426846873,564
age,younger,5,biodiversity,1261.8953118905065,619
age,younger,6,biodiversity,1580.3627088958876,560
age,younger,7,biodiversity,1795.8015766298408,429
age,younger,8,biodiversity,1630.6738767934478,532
age,younger,0,safety,1661.928265120317,912
age,younger,1,safety,1628.7283924951903,976
age,younger,2,safety,1599.248895131308,712
age,younger,3,safety,1712.3000854466438,693
age,younger,4,safety,1951.7891903880218,881
age,younger,5,safety,1457.1541351704236,392
age,younger,6,safety,1770.6839455154284,740
age,younger,7,safety,1379.217093585608,750
age,younger,8,safety,1808.8388957435648,876
age,middle,0,living,1208.1429748285727,1174
age,middle,1,living,2032.9692302834999,1020
age,middle,2,living,1923.2839758315492,820
age,middle,3,living,1427.6495039335555,1299
age,middle,4,living,978.9050921178052,1251
age,middle,5,living,1687.529605966496,1256
age,middle,6,living,1546.403907414728,976
age,middle,7,living,1810.235133711415,1194
age,middle,8,living,283.7767149318885,962
age,middle,0,biodiversity,1191.3576599904961,917
age,middle,1,biodiversity,1888.0796816379013,634
age,middle,2,biodiversity,1255.158409842609,547
age,middle,3,biodiversity,1762.3834716286892,465
age,middle,4,biodiversity,501.8737353628656,847
age,middle,5,biodiversity,1641.7119429582842,903
age,middle,6,biodiversity,1459.4193246480966,836
age,middle,7,biodiversity,1800.1936469286209,648
age,middle,8,biodiversity,1574.538227434427,659
age,middle,0,safety,1361.2530047255414,1420
age,middle,1,safety,1485.4638364236337,1393
age,middle,2,safety,1738.3296914847524,1101
age,middle,3,safety,1122.142166959837,1051
age,middle,4,safety,445.6814724646652,1367
age,middle,5,safety,2004.4048216731294,615
age,middle,6,safety,1647.7200729490723,979
age,middle,7,safety,1408.2285981490832,1228
age,middle,8,safety,882.3826899982669,1186
age,older,0,living,1808.4986247690874,554
age,older,1,living,1721.729359093355,497
age,older,2,living,1200.4235562192218,462
age,older,3,living,1576.0510861481362,719
age,older,4,living,1107.5858202213203,576
age,older,5,living,1162.3754461285675,591
age,older,6,living,1434.6658400045878,546
age,older,7,living,1903.5496554972442,577
age,older,8,living,1701.844514805849,518
age,older,0,biodiversity,89.45794801661742,378
age,older,1,biodiversity,1154.0779627868615,353
age,older,2,biodiversity,1543.309889004747,289
age,older,3,biodiversity,1792.890735984075,250
age,older,4,biodiversity,1489.9472903667859,442
age,older,5,biodiversity,573.3603148438851,397
age,older,6,biodiversity,1682.4984566481614,395
age,older,7,biodiversity,1709.0893496989888,280
age,older,8,biodiversity,1584.5796101949904,332
